date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-16,5.0,I just moved down the street from this place and have taken definitely advantage of their awesome lunch specials for $7.99 and deals during the week! On Mondays you get 2 entrees and 1 appetizer from their select menu for $25! The portions are super generous and all of the options are amazing! They also have an outdoor patio during the summer. Oh and it's BYOB!,0.9681,0.731,0.269,0.0,0.6711111111111111
2017-07-30,4.0,"Yesterday was the first time I've had Peruvian food, and I absolutely enjoyed what I've ordered! Came here with a party of 5 last night and we were seated right  away. Service was great! Staff were nice and diligent. We were served with complimentary bread and ahi which took me by surprise on how delicious it was. The bread was out of the oven, and the sauce was definitely on the spicy side that some weren't able to handle but I liked it. The Lomo Saltado and Yuquita Rellenas were mouth watering! The other parties ordered ceviche and steak that were so-so. Otherwise, I'd come back again and order the same items.",0.9658,0.801,0.199,0.0,0.5221938775510204
2017-07-28,3.0,"Although the food was tasty, it certainly wasn't worth a hour & a half wait. Today was Peru's Independence Day, so naturally, it was busy--however, we made reservations and weren't seated promptly.. nor were our orders taken until 20 minutes after. There was a live performance which temporarily made us forget about our grumbling stomachs, but ultimately, it wasn't quite enough to make me want to come back (despite being a proud Peruvian myself who would've liked to see this place succeed). You're probably better off trying D'Candela on Kedzie Ave.",0.9196,0.818,0.154,0.029,0.5034632034632035
2017-07-22,5.0,"Excellent food and service. Most main courses are big enough for sharing. The Maracuja juice looks natural and super, you can order a jar for reasonable price that could serve 4 glasses. Very recomendable.",0.9169,0.685,0.315,0.0,0.4888888888888888
2017-07-13,5.0,What an amazing experience! The service was amazing! The flavor in the pollo saltado was superb! The chicken was so tender and the French fries were delicious. BYOB which is a plus!!!!!!! Don't miss out on this gem :),0.9683,0.604,0.396,0.0,0.8214285714285714
2017-07-07,5.0,"Excellent birthday meal. Try the steak with pesto cream. And, the dark chocolate cake is a must. Will put this spot on regular rotation!",0.6114,0.846,0.154,0.0,0.4923076923076923
2017-06-18,5.0,The food was excellent. The flavor on the meat we order was super good. The amount of food was just the right amount. We were very satisfied with the right amount of food. I also like it because it was BYOB and the service was very good. I recommend it to anyone.,0.9673,0.664,0.336,0.0,0.731156462585034
2017-06-16,2.0,"Overall this place was a miss. We ordered ceviche mixto as a starter and it came out with our entrees. The fish wasn't the freshest but the fish was flavorful. They actually messed up my order but I didn't bother to correct them bc I didn't want to wait for another dish. As a result I had the pechuga with rice. The chicken itself was seasoned well and again had good flavor but it was incredibly dry. Same with my husband's food, he had the churrasco and it was too well-done. Lastly, they forgot my husbands soda he ordered and they charged us for more bread? I've never been charged in my life for refilling my bread basket! Despite all this they were friendly and the ambiance is nice and it's byob so for that I guess I should give them two stars.",0.881,0.82,0.114,0.066,0.4265151515151515
2017-06-03,1.0,"Greasy food, rest of bones and tendons with the chicken in a sauce that was nothing but a can of cream. That is a shame because I have tried Peruvian food before and it should be tasty in fact, is one of the most delicious  As I said very disappointing",-0.5267,0.745,0.097,0.158,0.8400000000000001
2017-05-27,2.0,"We have been to this place a couple of times before. This time we were disappointed. The jugo de maracujá was very good, but that was it. The pollo saltado was not great: the chicken was cold and the whole dish was super salty. The flan was decent, but the arroz con leche was runny. The coffee was nothing especial. The service was reasonable but one of the waiters stacked the dishes on the table, which I don't think is appropriate. All in all the place cannot be recommended for Peruvian food. I suggest that the chef improves the taste and quality at the expense of portion size.",0.5814,0.835,0.094,0.071,0.7063333333333335
2017-05-23,3.0,Seafood and steak were hard to chew. Cheap shrimps tasted like plastics. Little below the average level Peru food I had before.,0.2732,0.83,0.109,0.061,0.5354166666666667
2017-05-20,4.0,"Overall: Solid Peruvian joint if you're looking for something authentic and different. Don't be fooled by the aging outdoor sign, this place is great! The good: The food overall is very good. The rice dishes are fantastic and all of the fish dishes that I've had are awesome. The apps are all very tasty. It seems pretty authentic. The portion sizes are good sized and the menu is varied. BYOB and no corkage. The not-so-good: One night was very busy, but the service was pretty limited. Took forever to get the order. The lomo saltado was a little too salty. Not a super fancy restaurant or anything, could be a little cleaner. Atmosphere: 8/10 Service: 8/10 Food: 8/10",0.9714,0.75,0.221,0.029,0.5664761904761905
2017-05-20,4.0,"I had a chance to ask two Peruvian Americans where they go in Chicago for an authentic meal if they aren't cooking at home. While they offered a few other places, both said to try Machu Picchu. So today we took some time to drive out and give their lomo saltado a try. My initial take was it was very good but a bit heavy on the salt. We like savoriness but it seemed that it was ramped up a bit too much. The over use of salt didn't detract that much though from what we thought was a great meal! The service was great and the bread they serve before the meal was outstanding!  Keep in mind, parking is really difficult so be prepared to walk a bit or wait to find a closer parking space.",0.9759,0.796,0.179,0.024,0.5233333333333334
2017-05-06,4.0,"I ate here with a group of 8 on 5/5. I was in a different group than the guy who gave the bad review on the same night, BUT we sat next to them, and let me tell you, they were full of it, just ignore that bad review! We overheard their table insult and aggressively confront the staff in a manner that was completely rude and uncalled for. People like that really shouldn't be allowed to dine out or engage in the service industry.  MY REVIEW: Our server was very kind and attentive. We didn't wait long for anything.  We ordered some empanadas and ceviche to share. I will definitely be back for that ceviche alone - I highly recommend it!  Our entees were good, and we all joked about how we licked our plates clean. Food was very flavorful. We'll be back!",0.7915,0.666,0.184,0.15,0.4616666666666667
2017-05-06,4.0,This was my first time and the service was good. The bread served was soft with butter and some type of spicy green sauce for the bread. Be ware it has a nice kick to it but would it recommend to start off with if you don't have anything in your belly. I ordered the Tallarin Verde con Bistec Apanado (linguine with steak) and I thought it tasted pretty good. You get a huge portion of both pasta and steak which was nice. Overall I would definitely come back. I also had a chicken empanadas and a beef empanada which was also good as well.,0.9848,0.731,0.269,0.0,0.580952380952381
