date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-30,3.0,"Atmosphere was nice and service was so/so.  Hostess seemed put out by having customers.  I had the curry fried rice and it tasted blah.  Egg roles for appetizers was the best part of the meal.  The group a couple tables away seemed to be enjoying their meals. It is easy yo get to by public transportation.  I would go back to try something else, before writing it off forever. (Put I'm in no hurry.)",0.8934,0.794,0.162,0.044,0.46666666666666673
2017-07-28,3.0,"The Thai egg rolls are fantastic. 2 per order--but they're bigger than spring rolls. Really delicious. Unfortunately the red curry was not so great. I couldn't decide whether to get chicken or tofu (because I'm particular), so I called ahead of time and asked if the tofu was soft or firm and if it's fried. Woman on the phone said fried and firm. Well, it arrived... and it's firm, but not fried. That's fine. But the part that gets me is that it tastes as if cows milk was used over coconut milk. No sweetness. Very bland. So that was verrrrrry disappointing. My boyfriend who got the Massaman curry loved his. He got it with chicken and beef. Seems this place can be hit or miss depending on what you order....",0.4019,0.789,0.108,0.103,0.6431372549019608
2017-07-28,2.0,"Don't go here/order from here. First off, they don't know how to roll sushi (I'll post a photo). Second off, their sushi wasn't good. I will never order from here again, that's for sure. Just don't.",-0.0274,0.872,0.063,0.066,0.45555555555555555
2017-07-19,5.0,"This place was bomb af their lemon Thai iced tea was unforgettable and their curry fried rice is the best, Of course their sushi was delicious too",0.6908,0.684,0.225,0.091,0.7666666666666666
2017-07-16,1.0,"So, I have had lots of thai food to compare this to and I can honestly say this was by far the worst I've ever had. The pad thai is a thick, inedible sauce probably from a can. I couldn't eat it. I actually spit it out. I've never done that before. The green curry was ok, but the sauce had an aftertaste that really was not pleasant. The server did not care to be there, as her attitude was just as bland as the food. I don't even write bad reviews, but I feel obligated to tell you guys about the food here.",-0.5522,0.839,0.069,0.093,0.6310606060606061
2017-07-02,4.0,"Came here at the recommendation of my Airbnb host. Nice interior, and really good food for a reasonable price. The mi krop appetiser is made fresh to order and honestly could stand as its own dish, there's so much of it. The service could be a touch more friendly, but otherwise it was a lovely meal.",0.92,0.757,0.243,0.0,0.655
2017-05-24,5.0,Fast delivery & good pad thai. I get it at least twice a month.,0.4404,0.775,0.225,0.0,0.5333333333333333
2017-05-10,2.0,"I just got an order for pickup that included Thai spring rolls. I got home and dug in but noticed the crepe part tasted differently than I'm used to and so I called the restaurant with a sneaky suspicion that they were made with wheat flour instead of rice flour.  The lady on the phone confirmed my suspicions.  I have an autoimmune disease and I have been gluten free for over a year. I love getting Thai food because most of it is safe for me to eat! I'm really upset that the fact they use wheat flour isn't anywhere on the menu and now I will most likely have a flare up.  I'll probably give them one more shot because they are within walking distance from my house and the rest of my order tastes good, I'm just incredibly disappointed about the rolls.",0.424,0.778,0.114,0.108,0.6291666666666668
2017-04-02,4.0,"The spot for all of your Asian cuisine needs; Manee Thai is the place to go for some any Chinese, Japanese, and Thai delights. The option to BYOB is a great pair for any of the dishes this restaurant will come serve you. Crab Rangoon here are amazing, first and foremost. For being so small in size, these bites pack a powerful hit in quality flavor. For an entree, I had the green curry which comes with a little bowl of sticky rice. Luckily the green curry came with so much sauce, I could not get over how rich in spices the dish was altogether. What I wasn't crazy about was the dessert, which was the Pumpkin Custard. I was not a huge fan of the texture, but did enjoy the great pumpkin flavor it had. The menu is loaded with desserts on top of appetizers, entrees, authentic beverages (delicious fruit smoothies, anyone?), and a whole section dedicated to sushi. I did not have the opportunity to try any of the sushi- I suppose I'll make my next trip to this place all about the sushi. I really do adore this restaurant. The interior is really pretty, making the place seem really intimate, especially at night once the twinkle lights come to play (looks good for a date night, ladies). Head on over if you're around the Northwest side of the city, you won't regret the great meal(s).",0.994,0.77,0.207,0.022,0.5557471264367816
2017-03-08,4.0,"Great lunch special. My pad Thai original order was too sweet for my taste, but the server was super nice and switched my dish for rice. I'd come back again.",0.9442,0.584,0.416,0.0,0.6268707482993197
2017-01-02,4.0,Good Thai food. We got the Kung Pao Chicken and Pad Thai with egg rolls and crab ragoon.  All tasty and reasonably priced.  Our delivery was fast and efficient.  Happy to have it in the hood.,0.8555,0.778,0.222,0.0,0.75
2016-12-27,3.0,Manee Thai is a good place to eat their pad Thai is really good and so is there crab ragoon. It's a pretty heft plate which can be a meal for two people. It does take a while for the food to arrive but I can overlook that,0.6124,0.87,0.13,0.0,0.7333333333333334
2016-12-27,5.0,"Ordered take-out and could not have been more pleased.  We enjoyed the Hamachi Jalapeño appetizer, Chirashi, and a Chicken Teriyaki Bento Box.  The portions were quite generous for the price!  The fish was fresh, perfectly chilled, and very high quality.  We will become regulars.",0.9527,0.689,0.311,0.0,0.7645714285714286
2016-12-24,2.0,"The food is just ok, absolutely nothing special; the delivery is also slow. If you want a good Thai dinner, please do not go here or order from here, but if you want cheap food that is slow at arriving, then this is your place.",0.4646,0.799,0.164,0.037,0.5816326530612246
