date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-19,5.0,"This is probably my current favorite burger joint. I maybe have a burger once or twice a month so I like to go someplace I really like.  This is a comfy neighborhood place that is as laid back as it gets. Basically a big bar with about 15 or more tables. Additional outdoor seating in the summer. On Fridays you'll find them filled with young families. If you don't have a kid under 10 at your table you might feel a bit left out.  There are a zillion burger combinations including a daily special with a number of side dishes such as black beans and corn, bbq beans cole slaw and of course fries. The blackened fish taco is also really good. Oh by the way they have about 100 beer choices. This is not an exaggeration.  Just a few steps from the Rockwell brown line stop you can easily take the el over and make this your neighborhood place even if it's not your neighborhood.",0.9582,0.855,0.132,0.013,0.4086309523809523
2017-08-16,3.0,"Been coming to this bar for the last 2 years. Since we live right down the block it's very close and convenient! Always had great service and experience, until last nite.  We came in for dinner & the bar was not crowded at all with several tables to to pick from. We decided to sit up by the windows away from everybody else.  Guess what? Mother comes in with her son, and they sit right behind us. Seriously? The kid was out of control, jumping over the railing, crying, kicking my chair & hitting the window.  Our server wasn't  that good. She brought our chips  and salsa, and we ate them. She then brought out our main meals, but left the empty chips and salsa plate on the table. I should've said something but I was waiting for her to take it away on her own. She didn't. After our meals, we finished our drinks at a very full table of empty dishes. I asked for a root beer  and she brought me an IBC bottle.... didn't tell me it was in a bottle, so I wouldn't be getting a refill. She should've told me in the beginning, root beer comes  in a bottle. My wife could never find her for a refill either. She dropped off our check and left. We had issues with the credit card machine.... and our waitress was nowhere to be found. I had to get up and walk around...for help. I found the hostess who was more than willing to come help us. THANK YOU! She was sweet. I just thought we got bad service, when the place wasn't even full....Will we be back? We're not sure...........",0.8839,0.868,0.077,0.055,0.46593101343101345
2017-08-06,4.0,"I wanted a burger, fries and a beer.  Rockwell's delivered.  Service was great. I was disappointed that so many beers were listed as ""sold out"". One very nit-picky thing...I ordered guacamole on my burger and it came on the side.  This only matters because the little plastic cup becomes slippery...and I may have dropped the cup. Live and learn for me. I will go back.",0.2732,0.871,0.081,0.048,0.5375
2017-07-14,4.0,"Steady & reliable casual neighborhood family bar & grill. Be ready for lots of kids b/c they are family friendly & everyone w/ small kids go here! The service & food is great too. No doubt their burgers are cooked perfectly to your order but this time I mixed it up. I got the roast pork sandwich (basically pulled pork w/ no sauce), hubs got the taco salad & my daughter had their grill cheese. The waiter suggested I have the spicy sauce on the side b/c it's super spicy! So I did thank goodness b/c it WAS HOT!!!! I was able to portion out the spicy sauce to my liking. The sandwich was a bit dry, so a side of BBQ would have been perfect. My hubs enjoyed the taco salad and wished it was bigger. My daughter absolutely went nuts for her grill cheese (w/o the tomatoes). The bread was like Texas toast & the cheese combo was perfect & had a little kick to it. She was head over heals for it. The fries here are totally made from scratch & soooo good. I usually dip them in their ranch dressing, hello perfect pairing!!! The food & service is solid. But there's one tip I want to give....bring a sweater!!! The AC was on blast-you-into-the-arctic!!! It was near painful by the end of our meal & I couldn't get out of there fast enough. Yikes!!! Would have been 5stars had the temperature been more tolerable. Overall this was a great lunch experience!",0.9948,0.729,0.224,0.047,0.6152777777777777
2017-07-07,3.0,"We sat on the patio and the other reviews hold up- it's a nice space. Minor miscommunication between hostesses regarding table availability outside but it was handled swiftly. Solid beer selection and the burgers were good. Three star rating is due to their fryer being down, many menu items being unavailable, and my burger order being wrong. Only reason this is noteworthy is because our server repeated back to us our exact order and we confirmed so I didn't really see justification for it being wrong. Delay on getting the bill because the ""inside was so busy."" To consumers- be laid back, the place seems worth it; to management- seems evident where you need to tighten up",-0.3291,0.822,0.091,0.086,0.41944444444444445
2017-07-06,4.0,"Pro Dog friendly Outdoor seating Excellent drink menu, especially the juice inspired cocktails Solid burger options  Really nice size portions  Chill environment Con A bit on the expensive side but not budget busting  Chill/semi slow service",0.7922,0.749,0.251,0.0,0.6714285714285715
2017-06-23,5.0,"I really like this place. It's in a nice location and has a good atmosphere. Staff was very helpful and friendly. I had a burger, and it was one of the best I've ever had (granted, I was very hungry at the time). Can't wait till next time.",0.9598,0.652,0.348,0.0,0.39999999999999997
2017-06-12,5.0,"I am surprised I have not reviewed his place yet! A lot of names get thrown around when discussing the best burger in Chicago and I believe Rockwells very much deserves to be in that conversation!  Though an unassuming neighbourhood bar and grill the build your own burger is a game changer! If you are looking for a top notch burger, look no further. Bonus they have nice outdoor seating on a relatively quiet street.  They have a bunch of different ways you can prepare your burger! My favourite combination is  the Angus beef patty (with a garlic and pepper char crust), wheat bun, pepper jack cheese, arugula, raw onions, yellow mustard, avocado, grilled jalapeños, and grilled onions! Great service, even better food!",0.9646,0.812,0.171,0.017,0.536062271062271
2017-06-10,3.0,"Found this place on where else....but YELP! My partner and I both had burgers, with my partner having a build your own burger, while I indulged in the Santa Fe Burger. Prices are very reasonable, and the service is good, but not stellar. Our accompaniments with the burgers, for my partner, was a side of fries, while I had a side of Mac and Cheese. Opportunities for improvement are as follows:  Service, while it started out good, our waitress kinda disappeared half way through, failing to refill our drinks. The burgers were on point, however, the Mac and cheese was just ok at best. There was very little cheese on the noodles, and I felt like I was eating just buttered noodles basically. Not horrible by any means, but I wish there was more cheese! Overall 3 solid stars on this experience with Rockwell's. Please note, if you are paying by card, you have to process the transaction on your own at your table, which is arduous at best. We did not feel welcomed during our visit. Unfortunately, although the burgers were great, there were too many issues for us to return.",0.985,0.725,0.202,0.074,0.5708771929824562
2017-06-07,4.0,"Laid back. I'm a sucker for outside seating so the fact that this place has such a nice outside patio partially shaded by trees won me over. I stopped here for a quick beer and a snack and didn't end up getting a beer as they didn't have any on tap that I liked.  I really loved the tortilla soup. It's like regular chilli and white chicken chilli had a baby... I'll let you sort that one out for yourself.  Overall, this is a cute corner bar in a nice quiet area and I'd definitely frequent it if I lived nearby.",0.9595,0.726,0.225,0.049,0.47001424501424505
