date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-15,4.0,Great sushi spot down the street from me. The service is pretty good and always on top of the water :),0.9325,0.516,0.484,0.0,0.6898148148148149
2017-07-30,5.0,"Our favorite neighborhood joint. Where do we start? Food-wise we stick to the basics (Sushi) and it's consistently delicious. Consistency is key because we've been over 30 times between take-out and dine-in and they've never gotten an order wrong. All of their sushi is rolled to perfection and presentation is on point. Service-wise, we've never had a bad experience. Everyone is upbeat, full of energy and very knowledgeable about the food. Additionally, South Coast is hyper-sensitive to my wife's celiac and does a great job accommodating (separate gluten-free soy sauce/king crab instead of imitation/etc.).",0.9464,0.79,0.181,0.029,0.7708333333333333
2017-07-24,4.0,"Great ambiance and perfectly suited on the South Loop. I've been there once before and enjoyed it. This time, I tried their vegetarian options - delish!! Looooved the Moo! Also, great bartenders and drinks.",0.9557,0.628,0.372,0.0,0.8
2017-07-12,5.0,"Great experience here a couple nights ago with solid spicy tuna, scallop roll, and good service from waitress Francesca",0.8225,0.636,0.364,0.0,0.4833333333333334
2017-07-11,5.0,"On Tuesdays, they have a great three course meal deal. I had the salmon poke and the spring rolls, both were delicious. The ginger ice cream had a good texture. The staff was extremely helpful and friendly.",0.9535,0.627,0.373,0.0,0.77
2017-07-07,5.0,"So happy to review a neighborhood spot for my 500th review :). Strangely enough never explored this location south of home but what a pleasant surprise it was, from ambience to décor and service!! We thoroughly enjoyed all of the food, was tad bit disappointed with the soft shell crab but really like the spiced Sangria more than the banana infused vodka. Our server Kay was a real doll with recommendations and courteousness . We will be going back soon!!! Ps:: its BYOB with $5 corkage fee, not a bad deal",0.9605,0.73,0.216,0.054,0.5777777777777778
2017-07-06,4.0,Good food and good service. Really liked the sushi family enjoyed going and it is in a nice spot. Was cool inside as the weather was humid and warm. Nice on the 3rd floor of the mall. Check this out and grab a bite. Prices were a bit steep but good restaurant.,0.9306,0.68,0.32,0.0,0.655
2017-06-20,4.0,"My new go to sushi place in south loop. Good prices, great choices.  The rolls aren't too big so they are actually bite size. Great vegetarian options too. Everything seems very fresh.",0.9286,0.672,0.328,0.0,0.4863636363636364
2017-06-03,4.0,"Tonight we were in the mood for sushi and SCC is our local go to for such cravings. As usual we were promptly greeted and seated.  AMBIANCE: this is a great date night spot with dim lighting, candles on the tables, interesting chandeliers and soft music. There is a sushi bar for those that like to watch the chefs at work, a cocktail bar for those looking for a liquid meal, outdoor seating and regular tables inside.  STAFF: they are courteous, friendly, and willing to explain anything on the menu. DRINKS: we tried out the original sake which came in an ice bucket with a cold sake glass and was delicious. I also tried the sunburst cocktail which was white rum, cranberry juice, and peach juice with an orange slice on ice (photo attached) which was very strong but also quite good. APPETIZERS: first came the complimentary fried seaweed with two dipping sauces which was absolutely fantastic, it's like a Japanese play on chips and dip! Then we ordered the tempura sampler which was pretty average but especially enjoyed the corn patty (photos attached). MAIN COURSE: we tried out the dragon roll and the sushi platter. The chef was nice enough to go over all the types of fish on the platter and everything was delicious! Very fresh fish, sticky rice and nice tight rolls with unlimited soy sauce. OTHER: there is next to no parking for this place, it's all street parking and the closest train stop is at Roosevelt so it's a bit hard to get to unless you're local but it's definitely a must if you're in the area!",0.9958,0.761,0.215,0.024,0.5499806674806674
2017-05-31,5.0,Love the service! The sushi variety is amazing! One of my favorite spots and its BYOB!,0.9165,0.523,0.477,0.0,0.8333333333333334
