date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-31,4.0,"Came here on my birthday. We tried a bunch of the menu but I really enjoyed the spicy tuna tar tar, uni sashimi, hamachi, and my favorite hands down was the otoro tuna sashimi. Fish was fresh, ambiance was chill, service was good and he made really great recs.  I love a good lychee martini and this place has a delicious one. I think I'd go back just for the drink.  Ended dinner with the green tea mochi. Overall solid.",0.9916,0.626,0.374,0.0,0.4952991452991453
2017-08-10,5.0,Sat outside here last night and it was a great day. Had the mono spicy roll and the chicken satay. The chicken dish was delicious and I would highly recommend. I liked the roll too but preferred the chicken dish. The service was great and I recommend.,0.9529,0.671,0.329,0.0,0.6806666666666666
2017-07-12,5.0,"This is one of my favorite sushi spots in Chicago. The quality of the fish is always first-rate; rolls are made with precision and artistry; and the service is generally attentive and warm.  There was a time when you couldn't get near this place. It was packed to the gills with hipsters and tourists seeking a scene as much as sushi. Of late it's become a more sedate ""locals and regulars"" spot, which is to my liking. The outdoor patio is a plus during warmer months. And the interior is understated, clean, and accommodating. Highly recommended.",0.9117,0.855,0.145,0.0,0.6044444444444445
2017-06-28,4.0,"Been coming for years, and most for their special ""tuna-tuna-salmon"" roll. While it never disappoints, the price sure does. I'm pretty sure the price has gone up a lot, and you now get fewer pieces. I could be wrong about the fewer pieces, but for 17 bucks, I need 2 to fill me up. Always friendly and great service, and love the outdoor space. With so much sushi competition, I hope they can last.",0.9788,0.658,0.319,0.023,0.6241702741702742
2017-06-25,4.0,Seemed to be authentic Japanese sushi cuisine. Diverse and flavorful menu options. Nice outdoor area to dine and people watch on a nice summer day.,0.6808,0.797,0.203,0.0,0.6875
2017-06-08,2.0,"This spot isn't too bad in your in a pinch for sushi and in Wicker Park. What I didn't like was the smell of the restaurant when you walked in. It just had a smell between fish and something burning. I have been to many sushi spots mostly on the West and East Coasts and also in Japan and haven't come across a sushi restaurant with an odor when you walk in. To eat I had the chef's trio and a tuna roll, which wasn't bad but it wasn't great either. Also, the tofu in the miso soup was sour! My friend had the fatty tuna and said it was good. If you're craving sushi and in Wicker Park this place will do but would definitely consider trying somewhere in Lincoln Park or West Loop for sushi.",0.8704,0.849,0.109,0.041,0.5203703703703704
2017-05-07,4.0,"We were recommended for excellent food and we weren't disappointed. Place is modern and look appealing. Although they were full, service was very good and expeditions. ""Yose Nabe"", miso soup is delicious and size wise can be a meal by itself. Another delicious meal what standout was a shrimp ""togarashi"". All together, excellent food quality. What we didn't like is noise level. It was hard to keep conversation. Also, it was annoying when multiple times employees tried to take your plate even if you still enjoy your meal. At least they should ask before they grab the plate",0.9733,0.707,0.241,0.052,0.6747777777777778
2017-03-08,4.0,"A couple of friends and I went here last night after work. The food was really fresh. I had edamame, tempura soft shell crab, yaki yaki, and the chef's special nigiri trio. The peach sake sangria was really good too!",0.8974,0.735,0.265,0.0,0.41761904761904767
2017-03-03,4.0,"Consistent fresh sushi every time! There's many places around wicker but for a couple extra bucks, you'll get the better sushi compared to other places.",0.6996,0.792,0.208,0.0,0.37083333333333335
2017-01-22,5.0,"Have to say this is the most delicious and consistently fresh sushi in Chicago.  I've been coming here with my wife since 2002 or 2003.  I'll admit it's not quite as hip looking as it seemed in 2003 but the food and service make up for it all.  Upstairs has a great urban vibe.  We're spoiled because we almost always walk in without a wait, even in summer for outdoor dining.  Take out and delivery also excellent.",0.9455,0.812,0.188,0.0,0.625
2016-12-19,4.0,Gluten free items are listed on the menu and they have gluten free soy sauce!,0.784,0.654,0.346,0.0,0.8
