date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,5.0,Cute little informal place. Helpful staff. Authentic Chinese and Korean tastes. Easy street parking on Spaulding St.,0.8144,0.624,0.376,0.0,0.6166666666666667
2017-08-20,5.0,"Have been going here for years and I'm always excited for the food. The wings are a must if you come here. Their Red Sea noodle soup is also delicious! They don't really fill up the carryout containers (especially when it comes to their rice), but that's just preference since I'm used to other places packing the rice to the top. If you dine in expect to wait a bit and not have the best customer service since they get really busy.  All in all, check it out and try out their wings!",-0.223,0.884,0.069,0.046,0.49166666666666664
2017-08-13,4.0,I've been hearing about Great Sea Chinese Restaurant for months. I finally got to visit on a random Friday evening.  Pros:  - They have a variety of table sizes that will accommodate various group sizes - The chicken was very delicious! Everyone comes here for the chicken lollipops so you know I had to get them.  - They have a very quick turnaround time. Even though you may wait the staff is great at making sure people get their food and finish up in a reasonable time.  - I loved the diverse set of clientele!  Cons:  -  Guaranteed wait time - this place is extremely popular so you have to be willing to wait no matter what time you visit  -  Take out took a little longer than expected but they were very sweet - I would be remiss to mention that their were a few chicken lollipops were dry inside and seemed like they used some of the chicken that had been sitting out for awhile.,0.961,0.849,0.141,0.01,0.6969949494949496
2017-07-23,3.0,This is the first time I've eaten here since the new management takeover and I must say the food is now just average. This used to be one of my go to Chinese restaurant but I steered away when I heard about the new management. Prices went up slightly and the food quality is different than before. I must say the chicken lollipop is still good here. That's probably the only thing I will come back for. The rest of the dishes I used to order are not as good as they used to be.,0.8271,0.919,0.081,0.0,0.4632575757575757
2017-07-04,2.0,"I started coming here in 2001. It was a family favorite. Last year when we heard that the ownership would change we were scared to go back to the restaurant. Our family loves the typical Korean people Chinese food: jjamppong (spicy seafood noodles soup), jjajang (black bean sauce noodles), tangsooyook (deep fried pork/beef/shrimp with clear sweet and sour sauce), kkanpoongki (spicy wings, or as many call it ""lollipop""). My husband and I managed to come here instead of going to another Chinese restaurant that we frequented after the change of management. I ordered the jjampong and he the spicy wings. I am EXTREMELY DISAPPOINTED with the noodles. The soup itself was so salty but when I tried the noodles, I couldn't decide if the noodle itself had too much salt in the dough or if they poured cups of salt into the water to boil it. I tried keeping face as the servers were the original servers that worked here since I came here as a child (reason why I gave 2 stars), But the  soup and the noodles were NOT edible.  Also, the rashish kimchee isn't as tasty as it used to be, as it has too much red pepper powder. Also, my husband's wings did not come out. 2 different groups of people that came after us were served and they were halfway through their food so I called the server and asked her where the food was. She returned saying that the food would take a little longer. I asked her to cancel it. She returned to the kitchen and magically appeared with the food, only to say ""what can I do? The food is ready..."" and placed it down... so my nice husband just said to let it go and ate it... unhappily. He said the wings do not taste good. It's not spicy and lacks flavor compared to before.  In the end we paid $28.16 (including tax, not too) and left very unhappy. The 2 stars are only because during the transition they kept the old waitresses that worked here for over a decade. That was very kind of the new ownership. As much as we love these ladies, we don't think we will try this restaurant again in a very long time.",0.3694,0.897,0.055,0.048,0.5120232629323539
2017-06-30,2.0,"This restaurant is NO longer what it use to be. It was sold a bout a year back from the original owners , which had it for 20 years plus that I know of growing up in the area.  In less then one year it has TANKED !! Quality of food had Tanked Dramatically , Service as well. Don't waste your time as I did  twice this year.",0.6228,0.827,0.131,0.043,0.20416666666666666
2017-06-21,5.0,Five stars solely for the food! The service and location isn't all that great but the wings more than make up for it. Would highly recommend this place to anyone!,0.4813,0.813,0.124,0.062,0.5966666666666667
2017-06-20,5.0,"I have lived in Albany Park for almost my entire life and this has always been a staple in the community. Last year when they announced that they were closing, it made me so sad that I went and bought 10 bottles of sauce just in case! So happy that they were bought out and the food quality is still great and it still tastes delicious. My go to orders are always the combo fried rice and the chicken lollipop wings. That sauce is perfection. You can literally eat it with anything and it would taste perfect, I even eat the sauce just like soup!  I hope this place never closes down for good because we will be running around like a headless chicken trying to find the next best thing! I will say though that the restaurant looks great and customer service has improved 100% since the management has changed. I feel much more attended to now than I have in the past times I've been to this restaurant. Who knows? Maybe selling the restaurant was the best thing for this place!",0.9922,0.759,0.222,0.019,0.6076797385620916
2017-06-15,5.0,"They were so nice, sang happy bday to our friend , and the food was amazing! This is a Chicago legend!",0.9448,0.497,0.503,0.0,0.9666666666666667
2017-06-05,3.0,"I read this place was great, but I was disappointed. I did not order their signature dish of chicken wings, so maybe that was the problem. I ordered the cashew chicken, egg rolls, crab Rangoon and shrimp fried rice. The shrimp fried rice was okay, not good, very few shrimp, though they were a decent size. It was rather plain. The crab Rangoon was good, fresh cream cheese and great crab flavor. The egg rolls were the best I have had in a long time. Nice amount of meat, and not tons of cabbage. Plus you get 3, usually an order is 2, but they were generous. The cashew chicken wad mediocre at best, though it had a good amount of cashews and chicken, the sauce was just okay. I will give this place another try, but was disappointed they did not have sesame chicken on the menu. I have tried the wings, they mistakenly gave me hot when i asked for mild. The hot is very hot. Too hot for me. I eventually had the mild ones, they were good, nothing amazing about them though. I really think they are small thighs with the meat pushed down.",0.7511,0.714,0.152,0.133,0.6397913832199547
