date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,4.0,"Didn't know what to expect. I was in Rogers Park and my friend said let's go to Susie's and check it out. He had never been there either. 5 tables and a small two person counter. We sat down at a small two top table. Susie asked us to move so a single person could sit there and motioned for us to move to a bigger table. No big deal. I had the Bulgogi omelette and my friend had the Bulgogi and Kimchi omelette. Have to say for a one woman operation, the food came timely and Susie knows how to plate a meal. The food is very good. The only problem with the place is the size. I saw people look in and because it was full, they walked away. We were lucky in that theee was an open table when we got there. Otherwise it would have been a very long wait. Prices are very reasonable.",0.8516,0.88,0.089,0.031,0.5261791383219954
2017-08-31,4.0,"Delicious, fresh, authentic food cooked by Queen Susie who rocks this place single handed. It's local with no frills and is well worth a visit. Well priced and a few blocks from the beach. Great for breakfast and lunch. Well worth a visit if you are in the area.",0.9337,0.597,0.335,0.068,0.39047619047619053
2017-08-19,4.0,Like being in her dining room. Homemade good Korean staples. I had top notch bibimbop.Nothing fancy. Grab a soda from the cooler. Love it. Do not miss.,0.8967,0.609,0.391,0.0,0.5666666666666668
2017-08-12,5.0,"Susie is fantastic. Do not come here in a rush because she takes her time. She's a beautiful lady with great heart. So please don't rush her. She's the only one here cooking, serving, and cleaning. The wait is worth the time! Menu is on par!.",0.9492,0.7,0.3,0.0,0.75
2017-08-10,4.0,This place is a small storefront along the train tracks that looks unassuming but delivers a good meal. Solid bibimbop with bulgogi and super pillowy rice. Will go back.,0.9022,0.684,0.316,0.0,0.35333333333333333
2017-08-03,5.0,Susie's has fantastic food and it is all run by one person. Would recommend going and getting the pancakes!,0.75,0.727,0.273,0.0,0.9
2017-07-31,5.0,A really low-key place with some REALLY good home cooked dishes.  My friend and I got the Bibim Bop with bulgogi and the Spicy Chicken with mixed vegetables.  I will come back again to try some of the other dishes.  It definitely is a long time business that still somewhat of a hidden gem in the Rogers Park neighborhood.,0.8698,0.838,0.162,0.0,0.3885416666666667
2017-07-11,5.0,Bulgogi was great and tasted authentic. Susie got my order wrong but I wasn't mad because she was running the whole resultant on her own and food tasted great,0.8908,0.637,0.309,0.054,0.7928571428571428
2017-07-02,4.0,The old woman who runs this place is super super nice! The food that we had to go was pretty good but I wouldn't say that it hit the spot exactly. Make sure you stop by and patronize this restaurant because she cares about you just as much as she cares about the food.,0.9538,0.639,0.321,0.041,0.6080246913580247
2017-06-16,5.0,"I love this place! Susie is so sweet and cute. The food is simple and cheap. Great hole in the wall. Just your basic stuff, nothing fancy in terms of like being vegan or healthy egg whites or anything like that. The cool part is the Korean twist. My first visit I had American breakfast with an omelette, hash browns and toast. It felt like my grandma was making me breakfast. I will try the Korean food next time! Only thing to note is that its cash only. Luckily there is a chase ATM like 1 min away by the family dollar.",0.9865,0.715,0.285,0.0,0.5665873015873015
