date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,4.0,"I've been here a few times this summer.  Each meal has been excellent. Innovative and interesting menue that constantly changes. Friendly service but not the best, a little slow.",0.1774,0.632,0.237,0.131,0.5148148148148148
2017-08-17,5.0,"I have stopped by for diner a couple of times here at this restaurant. The food is great, kid friendly and great service!",0.8955,0.556,0.382,0.062,0.6666666666666666
2017-08-12,1.0,"Terrible service, order incorrect, very rude waitress. I wouldn't come here again. I asked to change something to my order and she said they're too busy to make adjustments...",-0.7501,0.796,0.0,0.204,0.6933333333333334
2017-08-02,1.0,"Recently had a horrible experience here. First off, it was way over priced. Our food was ok, but the quality nor quantity did not meet expectations. We paid $10 for maybe 12 cheese curds around the size of a quarter. There was fruit flies in our water glasses, and all over the restaurant in general. When we asked for additional condiments, we were given remarkably small proportions and were charged without being notified. The server brought my sister a salad without dressing so she then asked for oil and vinegar, but the server only returned with an empty olive oil container. Highly disappointed with the food, environment, and service at this restaurant and will not return.",-0.8638,0.894,0.013,0.093,0.5814814814814814
2017-07-31,2.0,"I've been here numerous times throughout the years and I can't figure out why it's always so busy?!  I have thought in the past that the food was bland and lacked flavor.  I decided I'd try it again to give it another chance... and ordered a turkey sandwich. Um... deli turkey - and not good deli turkey (I am not a deli meat snob), but this seemed to resemble the prepackaged turkey that's shaped into a scalloped round. It was flavorless... redeeming the sandwich was guacamole and sweet potato fries... I would have done better with the grocery store for turkey.  I tried a bite of the tuna melt which was not bad, but honestly, not impressed with the turkey...  Service was friendly and efficient. I may return, but would stick to the hot items as I'm guessing they take more time with those (as evidenced by tuna melt).",0.9282,0.822,0.126,0.052,0.5750000000000001
2017-07-30,4.0,"My wife and I have dined here on several occasions. We've been very happy with every meal so far. The service and food has been good. My only complaint is that I would like the menu to feature more vegetarian and fish options. There are a few really good options, such as the veggie burger, crab & shrimp roll, and fish tacos. But the menu could use a few more veggie/fish options. I really love their outdoor seating arrangement. I would definitely recommend this place.",0.9627,0.743,0.233,0.023,0.5142857142857142
2017-07-28,5.0,I stopped here for a late lunch with a friend and loved it. I sat on the patio and the staff was wonderful and the food and drinks were amazing. Great quiet atmosphere. A place I will come back too in order to try other items on the menu.,0.9571,0.642,0.325,0.033,0.5947916666666666
2017-07-19,5.0,"My fiancé and I got dinner here last night and enjoyed their $5 burger and fries, Tuesday night special. It was terrific! We were having a stressful day and our server Chelsea was awesome! We ordered the Shrimp Cobb salad to share, which was delicious BTW, and she split it into two dishes, which was a substantial amount. I asked for honey mustard for my burger and fries. Chelsea said they didn't have any, BUT the chef made me some and it was very yummy! We enjoyed our dinner. Water was refilled a plenty and for a $5 burger, it was very good! We'll definitely make it a spot we frequent often in the future.",0.9829,0.733,0.251,0.016,0.5869246031746032
2017-07-15,4.0,I moved a few blocks away from here about a month ago and I think this will be my new weekend brunch spot! Came here on a Saturday morning and the staff was extremely friendly! The food came out quickly and the waitress was quick to refill my coffee. We ordered the doughnuts and two entrees and everything was cooked to perfection! They also have a Mexican section of their brunch menu which looks enticing for the next time. There is also a beautiful patio to sit on during the summer. Nothing crazy or fancy but a good quality overall brunch.  Bacon - 5 stars Eggs - 3 stars (a little bit runny) Potatoes - 5 stars Coffee - 5 stars Doughnuts - 4 stars Service - 5 stars,0.8632,0.873,0.1,0.027,0.4212121212121212
2017-07-12,2.0,"Just no! I don't know if I ordered the wrong thing, but I ordered the fish tacos with beans and rice. It just was not good all the way around. The tacos were just blah, with the beans and rice totally bland with no flavor. There were 3 tacos on the plate, with a mound of rice, and beans poured over the rice. The presentation alone had left me standoffish, but I forged ahead, soon wishing I would have ordered something else within two bites into the dish.  Service was ok, my drink got refilled, but nothing special. I probably would not be back.",-0.8654,0.798,0.047,0.154,0.4863945578231293
2017-06-13,4.0,Good patio and good food.  Always a solid choice.  We enjoy sitting outside on their patio in the summer.  I recommend the Roscoe burger.,0.9022,0.565,0.435,0.0,0.37000000000000005
