date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-02,4.0,"I've been coming here for years - I am not sure why it's taken me so long to write a review. The first time I came here was on a date forever ago and the date was eh but the drinks were pretty good! Ever since I moved around the corner one month ago, I've come here a bunch - I think 2 brunches, and two lunches in one month. The brunch is solid but my fave item is on the lunch menu - the Wrightwood Salad. Wow. The cornbread croutons are freaking out of this world. I would eat a plate of those. I also like the outdoor area and that you can bring your dog. I came here with two dogs the other day and did some work on their free wifi and ate a salad. It was a great place to relax.  I'm only docking one star because I reserve 5 star reviews for places that really knock it out of the park and while I do love this place, it's a solid 4 star place.",0.9918,0.744,0.229,0.027,0.5819444444444445
2017-08-30,3.0,"Was psyched to eat here, but sadly was disappointed with the food. I'm giving this place a soft 3 stars. Ribs were dry and not as soft as I expected. Food served wasn't hot. Friendly service, but felt rushed on a week night. Place was not that busy. Nice ambiance, and outdoor seating. Only thing I'd reorder is the chocolate chip/ice cream skillet. Get BBQ ribs elsewhere.",-0.904,0.769,0.041,0.19,0.6454545454545455
2017-08-30,4.0,I ordered takeout so I can't say much about the restaurant itself; the server was nice however. I ordered the small rib tip order and I was surprised how much did came with. I'm used to smalller chopped tips because these were huge chucks of meat. Nonetheless it was flavorful and fell right of the bone. The Mac and cheese wasn't too bad. I took one star off because of the collard greens. Very little flavor... And there was a lemon in the greens. A lemon?!! Put some smoked meat and seasoning on these greens okay? Lol,0.9259,0.844,0.156,0.0,0.6047619047619048
2017-08-27,5.0,This is my go to brunch spot. Every time I try to branch out I'm never as satisfied as I am here. The pulled pork Benedict is delicious. The flavors are amazing. More importantly... THE BLOODY MARY. I've searched for a Bloody Mary that compares and I can't find one. The service has always been great and fast. Best brunch spot in the city.,0.8258,0.68,0.203,0.117,0.785
2017-08-15,5.0,"had the Big Daddy Breakfast which is outstanding,my kid had  excellent french toast",0.5719,0.764,0.236,0.0,0.3666666666666667
2017-08-07,5.0,I love this place! Went with my boyfriend for date night. Nice atmosphere. We had drinks and the pulled meat nachos out on the street side patio.  I got cold and we moved inside.  For another drink and entrees...the brisket on the nachos was delicious. I will definitely come back again,0.9286,0.763,0.237,0.0,0.6833333333333332
2017-08-01,5.0,"Best BBQ place in wicker park! Their pulled pork burger is amazing, the pork is juicy, and the customer service is always on point they make everyone feel welcome! Prices are reasonable! And it has outdoor seating!",0.9212,0.736,0.264,0.0,0.675
2017-07-11,5.0,"I've been coming to Smoke Daddy for a long time now with my family and friends and i've got to say, this may be one of my favorite BBQ joints in the city. They're consistently hitting the mark and when I say that they're generous with their portions I do mean they are GENEROUS. My most recent visit we were immediately greeted and seated by an awesome hostess, Laura. She made sure that we got to our table quickly and was able to accommodate our large party even tho it was very short notice. Our service was spectacular, thanks to Maureen who was running around making sure our table got everything we needed. Always friendly, always accommodating, their staff really makes Smoke Daddy one of my favorites in the city! Now the food. If you're just ready to pig out on some BBQ with some tasty sides, there is absolutely no better place than Smoke Daddy. All of their platters are stock piled with delicious, flavorful meat. My favorite has always been their rib tips and brisket. Their sides are also always fantastic: get the mac n cheese! You will be in heaven. If you're ever around make sure you stop by. Truly a great place near Wicker Park!",0.9957,0.721,0.26,0.019,0.6219095238095239
2017-07-05,3.0,"Their drinks menu is really nice, plus the patio seating with tvs outside in the open is good too.  But we tried some of their food and it was not that great.  better to come =here for drinks and maybe a snack than to dine here.",0.0754,0.778,0.114,0.108,0.5666666666666668
2017-07-05,3.0,"Smoke Daddy has a great, outdoorsy layout. I went here on a summer afternoon and really liked the atmosphere.  The food however is quite below par. We ordered a platter and none of the things on it tastes too great. Come here for a drink or two but not on an empty stomach",0.7926,0.83,0.17,0.0,0.7
