date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-19,4.0,"I stopped here the other day for some post-work Mexican food, and it is always great. I have eaten here two or three times, and have always been satisfied. I usually get the suizo burrito with steak. The portions are great, the burritos are always hot and well seasoned, and the service is on par with what you would expect from a place like this. I am not a fan of card minimums in toady's day and age (9 dollars), but besides that this restaurant is a good choice.",0.8812,0.812,0.155,0.032,0.536111111111111
2017-07-31,3.0,"Once again, my journey for tacos led me here. Since I always see how popular it is with the drunk folks, I wanted to check if it was legitimately good. Went. Grabbed a couple of tacos. Chicken of course. ................. ....................... I think it's better if you're drunk  ‍",0.5859,0.744,0.164,0.092,0.8250000000000001
2017-07-19,1.0,"Terrible tacos! The lengua was tough, almost inedible and disgusting. The service was slow and I realize they are at times but their slowness was ridiculous.",-0.7852,0.702,0.0,0.298,0.8466666666666667
2017-06-29,3.0,"The nacho plate with chicken is totally a gut buster, and seriously the epitome of Americanized Mexican. This restaurant is soooooo much the 2am spot. But! But, I'm not gonna lie... I was loving those nachos! If I want some sloppy gut busting food I'll be back to this spot with the quickness",0.6229,0.863,0.106,0.031,0.5333333333333333
2017-05-31,5.0,"I live in the area and, actually, closer to another Mexican restaurant that has the same quality of food that costs more. Taco & Burrito Palace is a gem in the neighborhood. The aesthetic of the restaurant is ""hole in the wall"". There are a few fast food style booth tables, a counter at the window with stools, and that's about it. That's all you need though because let's face it: you're here for some cost effective but delicious food, which, if you're a fan of Mexican food, you'll get. You go up to the counter, take a look at the menu (which is fairly extensive), and order. Don't let your social anxiety get in the way as the staff is very friendly and patient. I ordered a suizo burrito dinner, which included a burrito, beans, and rice with a few chips and veggies on the side. You can pick your fillings. I chose ground beef as my filling. The service was pretty fast and very friendly. They make everything to order, and you go up to the counter when they call your name, which was a nice touch (I didn't tell them my name, but they saw it on my credit card...so that was a pleasant surprise that was endearing). They offer up some refrigerated sauces- verde, hot sauce, etc. I chose the verde. The total cost for my ""dinner"" meal and a drink was only $11.50 with a tip ($9.50) before. This is a steal in the area. The price and quality match for once! I wouldn't go out of my way to go here, but the fact that it is right near my apartment and affordable makes it a sort of ""diamond in the rough"". I will definitely be back here.",0.9907,0.836,0.144,0.02,0.5010141093474427
2017-05-25,5.0,"Not perfect but 5 stars to me = worth the price. I'll never forget the Twon from Men On Film walking out one afternoon with his carryout order....at the door.... ""Wait. Waits.  What's in this burrito?  Does it have beans?"" ""Yes."" ""Wells I done no want no beans."" ""It'll be  $3.00 to take them off."" (Decides he/she/whatever will scrape off the beans and sashays off to ""restorative justice"" class at COH clutching it's pearly white plastic  bag)  LOL.  Go complain to the cook at Harold's in Englewood that you thought the fried chicken was gluten free and free range. ""Two snaps up"" for Jose! P.S. Don't go there after 1:45am.  This is when the ""last call"" people at Lil Jimbo's get scared, flee and decide they want a burrito or #3......which  is healthier and safer but it gets really messy (picture Weiner's Circle but with some Chanel No. 5, pine tree car air freshener and hot tub chlorine strewn about to whet your appetite - what a movie - ""Hated it!"" ).  Also, my co-workers husband got gay bashed outside this palace and he's not even gay.  I could just imagine what HE said. And to those complaining there's no restroom there. They let me use the one you have to walk through the kitchen to get to.  Maybe it's because I didn't have an air of ""entitlement"" about me or wasn't waving a knife.  Also, all looked good back there.",0.8361,0.753,0.139,0.108,0.5114583333333332
2017-05-20,4.0,"Good spot for fast tacos. This is maybe one or two minutes from my apartment. When I'm craving tacos I just grab them from here. I usually only get steak tacos with cilantro, onion and cheese. I get sour cream on the side. I've walked in to order before and called ahead as well (generally during random/off hours). I'm pretty set with just two tacos. Three = too many. I think they are cash only up to $9. You can use card $9+  This place is also a popular late night drunk food spot. I only ate inside once with some friends when it was crowded and after 11pm. Otherwise I just get it to go!",0.8999,0.859,0.121,0.02,0.7333333333333334
2017-04-07,5.0,"My go to for burritos for over 20 years. Same guys running the place. Definitely best burrito place around, the salsa is the best anywhere.",0.9022,0.665,0.335,0.0,0.24166666666666667
2017-02-25,4.0,"Twice now I've ordered the chicken tacos, both times sober. Great heap of hot shredded chicken with lettuce, tomato, cheese and sour cream wrapped in two tortillas. I needed a fork to finish it off. Go with the salsa verde - At $2.50/taco it's a great way to pad the tummy before or after a night out. As well as all the t & bs they also, strange as it is, offer hamburgers and fries!!",0.8774,0.835,0.142,0.023,0.5875000000000001
2017-02-11,1.0,"Good burritos, but overcharged my card. Never visiting this place again. That dollar and fourteen cents probably wasnt worth losing my business.",0.4073,0.739,0.184,0.078,0.35000000000000003
2017-01-13,5.0,Reliably and consistently good. I order here all the time. i love the tacos here. It is fast and delicious.,0.8957,0.581,0.419,0.0,0.7000000000000001
