date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-21,5.0,This is a great Cuban spot. I recommend the jibaritos and the veggie tostones. The price is inexpensive and the atmosphere feels authentic. I enjoy the food every time I come and have been half a dozen times. Whenever I crave Cuban this is my go-to spot.,0.8689,0.795,0.205,0.0,0.5416666666666666
2017-06-29,5.0,"Amazing!! I wouldn't change anything about the experience.. The setting was clean/comforting, service was very attentive/not forced, and need I explain the food?? We started with the yuca fries.. then I had the breaded chicken breast which was savory/delicious along with the perfect portion size.. w/black beans and white rice with sweet plantains. My fiancé had the steak (same sides). To say the least we left with no leftovers.. we'll definitely be back and recommending to others.  -Forgot to mention the red wine that paired PERFECT with this meal! Yum! (BYOB)",0.9401,0.767,0.181,0.052,0.42500000000000004
2017-06-23,3.0,"Two words: Black Beans!! The beans were delicious. Also had the vegetarian jibarito sandwich. The sandwich lacked seasoning but it was right up my alley since the mock ""bread"" is smashed green plantains. I would give a 4 star but the fact that there was no a.c. on in mid June caused a deduction. The coconut flan is a gift from the gods themselves!!",-0.3544,0.799,0.09,0.111,0.4538095238095238
2017-05-26,5.0,Extraordinary Cuban Food. Best Cubano I've had in many years. I grew up in Miami. Had the maduros and black bean soup as well. All great. Cafe con leche and flan hit the spot. Will come again when in Chicago.,0.886,0.776,0.224,0.0,0.5966666666666667
2017-03-25,3.0,"Decent food. Be careful when you order carry out. The container broke through the thin lid of the black beans, which scattered tiny plastic shards into the food. They remade the beans, but I had to take an Uber there and back to d",-0.1531,0.926,0.03,0.044,0.5750000000000001
2017-03-21,4.0,"BYOB's are great. What better excuse for drinking than, ""look honey/ we saved a LOT of money."" Face it you cheap ""BASTAGES,"" that's why you like the BYOB.  Anyway, this place is a cozy little spot that would be better suited for patio dining. The interior is showing its age, and is in need of a facelift. The food is still solid, seasoned to perfection, and the portions are just right.  This is more your comfort fit jeans, vs the killer outfit you wear on a Saturday night.",0.964,0.698,0.261,0.041,0.4613095238095238
2017-03-12,5.0,"Coming from Michigan, where you are hard pressed to find any Cuban food, we were thrilled to find this restaurant when visiting Chicago last weekend. This is a quaint byob. The staff who I'm thinking are family were so sweet and wonderful making us feel like old friends. The food especially the Vaca Frita was awesome. If you want fancy storefront, this isnt for you, but if you want unpretentious, authentic and friendly please give them a try!",0.9593,0.726,0.261,0.013,0.6408333333333334
2017-03-12,5.0,Delicious!  Loved the sweet plantains and the black beans. I wish we lived closer so I could eat it more often,0.9273,0.525,0.475,0.0,0.6766666666666667
2017-03-11,5.0,Great little Cuban restaurant.  Friendly staff and great food.  We've had brunch and dinner here and both were excellent.  Try the fried yuca and beer empanadas.... delicious!,0.9629,0.539,0.461,0.0,0.75
2017-02-26,1.0,"Very bad choice. I hated the experience. We ordered the jibaritos with rice and beans and we just got the rice. Expensive price for not much food. Only one waitress to serve, slowly service. The jibarito was soaked in oil. Terrible.",-0.9073,0.765,0.0,0.235,0.6952380952380953
2017-02-25,5.0,"Food was amazing! Great staff, clean, will definitely be back!!!!  And love all the authentic art on the wall. It's truly a little hidden gem!!!",0.9704,0.455,0.545,0.0,0.5666666666666667
2017-02-19,5.0,"This is one of my favorite restaurants in Chicago. The cortaditos are addicting, the Cuban food is some of the best in Chicago and service is great. Don't miss the chilaquiles, the cubano sandwich, and the ropa vieja.",0.9143,0.727,0.273,0.0,0.6833333333333332
2017-02-18,4.0,"My partner, girlfriends and I visited Habana Libre last night after visiting the Beauty Bar for Happy Hour. The wait to be seated was relatively short and throughout our meal our server was very attentive. Overall, the atmosphere of the restaurant was quaint and intimate.  My partner and I shared the steak jibarito which came with white rice, black beans and plantains. The beans were so delicious and something I'd come back for! The jibarito was fairly good; the steak well-seasoned. The steak could have been more tender.",0.9574,0.82,0.18,0.0,0.4583333333333333
2017-01-05,2.0,"It's okay food, but prices are a little out of whack. Very expensive and small portions. I don't think the quality of the food is worth the prices they're charging. Cleanliness might be issue too, my buddy found an ant in his glass/straw.",0.4215,0.911,0.089,0.0,0.48200000000000004
2017-01-05,5.0,"I have passed this place so many times and never stopped. Since my favorite Cuban sandwich shop closed, I wanted to try another Cuban spot. I was in search for a good Cuban sandwich. This place hit the spot! Great service, delicious steak sandwich and the Cafe con Leche was perfect. I would definitely go back!",0.9696,0.663,0.337,0.0,0.61875
2016-12-29,1.0,"I created a yelp account just so that I could share this review! I paid $29 for 2 sandwiches, an order of rice and a large pio pio. Money I wish I did not spend there! The rice was inedible!!!!! It was the worst I have ever had! The pio pio had an okay flavor but was almost all broth. The Cuban sandwich had no cheese!!! Who makes a Cuban with no cheese???? Huge disappointment!",-0.8499,0.698,0.118,0.184,0.6457142857142857
2016-10-17,5.0,"I have been to Habana Libre twice so far , both times as part of birthday parties of 25 or more people. The service is excellent, food is delicious staff is friendly and it is BYOB! Will go there many more times.",0.9273,0.726,0.274,0.0,0.7142857142857143
2016-10-16,5.0,"Ate here about two weeks ago and plan on going there for lunch today. The food was very delicious, I had the Jibarito with plátano maduros, the wait staff was very attentive and accommodating to the requests I had. Needless to say I will be a frequent customer here if I want great food and great service!",0.9298,0.777,0.223,0.0,0.7999999999999999
2016-09-25,2.0,"Did our research for BYOB and Cuban and found Habana Libre based on the reviews and not too far away.  It was a Saturday so called to get a reservation for 8:30  Really disappointed.   Should have known when we arrived.  Decor marginal and our party of five was about to be their only customer.  We decided to eat outside.  BTW there is a club next door so lines started forming next to the sidewalk seating toward the end of dinner, which didn't really bother us but might others. Service was friendly and attentive.  Food was dry and not much presentation.  My Ropa Vieja was probably the best choice.  4 entrees and an appetizer, corkage fees and $160 before tip. My mistake.",0.8511,0.855,0.105,0.041,0.4583333333333333
2016-09-01,4.0,One of the better Cuban places I have been to in the city. A little pricey but the food is really good.,0.7383,0.743,0.257,0.0,0.5333333333333333
2016-07-25,1.0,"Their food is flavor less and over priced for the amount served.  Ordered the Ceviche and they had ran out of lemons.  Ordered the ""bistec a la palomilla"" and it was extremely hard and tasted like pure meat.  The yuca frita tasted like pure oil and the empanadas and croquetas were over fried. When my fiancé and I told the waitress she didn't apologize or even discount our bill.",0.4608,0.887,0.07,0.042,0.40208333333333335
2016-07-01,4.0,"Everything I've had here I really like. The owner/chef/server grinds out delicious Cuban fare and of course, a delicious Cuban sandy. I love the sweet plantains and croquettes. I do think it is more expensive than it should be and prices have a tendency to increase without notice.",0.9623,0.653,0.347,0.0,0.6642857142857144
2016-06-06,5.0,"I have tried a few Cuban places in the city, ie. 90 Miles both locations, Senor Pan, Cafecito, etc. and this has been our favorite place. I ordered the chilaquiles at dinner time! Yes, they serve breakfast all day. The skirt steak my daughter ordered was wonderful and perfectly cooked. The thing I have liked the best is the fried pork chunks. They are tender, juicy, and fatty here. I have had bad experiences at all the other places with dried out meat. The place isn't the most beautiful thing in the world, but definitely is worth the visit. Also BYOB with a liquor and wine store literally 3 doors down. No corkage fee. Service is good as well. Ingrid took care of us both times I've been there. I think I'm going to become a regular.",0.9646,0.757,0.195,0.048,0.5504674145299145
2016-05-21,4.0,"Yummy food, cute decor, and friendly service. Portions were decent for the price. Had the Carne Asada & my boyfriend had the Lechon Asado. Would love to go again. Great for any type of situation - friends, family, dates.",0.9682,0.596,0.404,0.0,0.7033333333333334
2016-05-09,5.0,I love this place!  It s sort of a hole in the wall but don't get me wrong.  It s a nice little quaint place w friendly service and awesome food!!!  I'd definitely go back,0.9774,0.49,0.51,0.0,0.6428571428571429
2016-05-08,1.0,"Real disaster of a meal!!!!! Croquetas were half frozen, tostones not fully cooked, cuban sandwich, which we took home  had a piece of plastic wrap in the middle. bisteck empanizado was not cooked properly, frijoles negros were bland. Maduros and rice were OK.  Whoever was in charge of the kitchen on Mother's Day better learn how to cook Cuban food. The only thing good was the friendly service. Waste of money and time. No wonder the restaurant was half empty.",0.4941,0.745,0.139,0.116,0.39743589743589747
2016-04-20,5.0,My husband and I went to Cuba last year and this food was literally right on par. The best best service and food was so delicious. Order the pork and fried plantains YUMMY!! Will be taking our friends and family here. Customer service is amazing. Love some great Cuban food and this is the spot to go to!,0.9885,0.595,0.405,0.0,0.5565476190476191
2016-03-23,5.0,"This was such a great way to spend a few hours with friends. The food was so delish And the service was excellent! We had the platter for startersyum And I had the sandwich, can't pronounce the name but it was beef with red sauce and cheese Some had the Cuban sandwich with beans and rice on the side. You bring your own liquor if you want. Can't wait to go back",0.7712,0.882,0.118,0.0,0.4785714285714286
2016-03-20,5.0,"Wonderful food and run by wonderful people! I used Habana Libre to cater a baby shower and they did a fantastic job! The guests could not stop raving about how delicious everything was. The staff was accommodating with helping me place my order, made great recommendations and for what we got I felt it was reasonably priced. Fantastic experience and I will continue to frequent this neighborhood gem.",0.98,0.67,0.33,0.0,0.80625
2016-03-20,1.0,"Superrrrrr disappointed in our experience last night. My bf and I were really in the mood for some good Cuban and did some research as usual. While there were some bad reviews, we decided to still check out Habana because the good reviews out weighed the bad.  We ordered the combination plate for 2 and like most reviews mentioned it was a pretty small for $40. Here is what was on it and how it tasted: Pork- Dry but actually had some seasoning Tostones- fine Sweet plantains- Yum Chicken- Like something I tried to cook in college (rubber) Shrimp- meh. This came with Sauce and I was forced to put it on all the other meats since they were so bland Beef- actually not bad Rice/Beans- These were ok, but I still lacking flavor Really bummed that we wasted our money here.. Back to 90 miles next time.",-0.4678,0.756,0.119,0.125,0.45099999999999996
2016-03-06,4.0,"The appetizer Tostones Rellenos de ropa vieja were somewhat disappointing. If you're looking for a plate to share (there are 6 mini tostonitos), I suggest ordering but trying a different meat. The ropa vieja just didn't have the correct balance of tomato and plantain.  HOWEVER, that lechón...oh boy you better make sure you have enough to take home for leftovers.",0.7541,0.834,0.135,0.031,0.6377777777777778
2016-02-27,4.0,I crave their jibaritos. I've had several and this one is the best in the city!!! Although it's small I have seen it packed for dinner.,0.7249,0.819,0.181,0.0,0.2333333333333333
2016-01-17,2.0,"This place was O.k at best. The food was decent but portions were small. The place is a dive and the prices are high. Service was okay not many people there. Let's just say, I'm still on the hunt for that perfect Cuban joint. If your a dirty hipster with a trust fund you'll love it.",0.9545,0.661,0.285,0.054,0.5896296296296296
2016-01-10,5.0,"The food is flavorful and reasonably priced.   I have eaten here a few times, but most recently with a few coworkers.  We bought a bottle of rum next door and used it make some mojitos.  The portions were pretty large and filing, and the service was great.  The atmosphere is very laid back, casual and inviting.  I will definitely be back the next time I am craving some Cuban food!",0.9654,0.753,0.247,0.0,0.34965986394557824
2015-12-31,1.0,"I have been here several times and each time I come here, we (husband and I) get the Masas de Puerco which are outstanding!  I decided to switch it up and try chicken breast (pollo encebollado) and my husband had the half chicken.  It was seriously the worst chicken I have ever had anywhere!  I have been to D'Cuba on Fullerton avenue and had the same chicken and it was phenomenal.  Both chicken Plates were gamy and dry.  The breast is $16.95 and is half the size of a typical breast.  The half broiled chicken was sopping in oil - it was gross.  Never again. Stick to the typical sandwiches and Masas - don't deviate.",-0.6688,0.884,0.034,0.081,0.5771929824561401
2015-12-06,1.0,"Too expensive for such a small amount of food;  I ordered a chicken sandwich cafe con leche and croquettes. Also order my wife oxtail and soup to go and honestly the prices aren't honored on the menu. The waitress said the owners are on the process of changing prices on their menu. If the menu states a price honor it don't verbally steal.  The $62.00 would of been best invested in any other Cuban restaurant in Chicago. The to go order is the size of any left overs taken from any restaurant.  Way too expensive for such a little amount of food definitely think twice before spending your money. I am originally from Miami I know the ridiculous amount of food Miami serves however I have been to a few places in Chicago to have Cuban food in Edgewater, Logan and Bucktown and def. their portions are way better. This place is not at all impressive!  Service wasn't all on point. I had to ask for a refill to get water. Never bothered brining extra napkins. She was more concerned about the party reservations at3pm than the four tables that were actually sitting  before 1:30.  Overall the kitchen should serve bigger portions and the waitress shouldn't be changing prices. I practically paid 2.00 over every item ordered. I can see why this place isn't busy compared to other Cuban cuisines.  Too bad it is a small little cute place with crappy portions. Never again will I think of going again to this place. The sandwich taste great and the croquettes were aight the sauce made up for it.",0.8946,0.838,0.1,0.062,0.5126436781609195
2015-10-23,1.0,"My family and I we're enjoying our food and everything was going pretty good. Then after our meal, my dad decided to order some coffee. A couple sips into it, he noticed something in his coffee so he pulled it out with a fork only to find out it was s small dead roach. Yuck! Ruined the experience.",0.3382,0.74,0.148,0.112,0.6666666666666666
2015-10-05,4.0,Ordered for pickup. Food was ready quick! I ordered the fried pork. Really solid Cuban food but the portions could've been larger for the price. Granted I did order after a swim so I was starving but still more meat and plantains please!,0.4789,0.718,0.195,0.087,0.42000000000000004
2015-09-26,4.0,"Tostada sandwich...delightful. Chilaquiles also yummy. Super casual, pretty tasty, interesting cuban options. Hit this place up.",0.9325,0.423,0.577,0.0,0.7583333333333333
2015-09-24,5.0,"I love this place! I've been here 3 times now and it's consistently good. The cafe con leche is exactly what I want from coffee. Full disclaimer: I may be biased, since I'm of Latin decent, toward this menu. The tostones are perfect, the black beans are fabulous and the lunch special sandwiches hit the spot.",0.9468,0.686,0.282,0.032,0.6301587301587301
