date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-22,5.0,SO good!  We were exhausted and not super hungry but had the sausage ravioli and it was amazing!  Great wine selection and excellent service.    We did find room for desert which was amazing.  So glad we tried something new and unique.  Great waitress!!,0.9891,0.468,0.479,0.053,0.7928374655647384
2017-08-03,4.0,"Bring your appetite and your checkbook. Both will get a workout. Located in the Theater District you would expect to pay a premium for on par cuisine. Surprise, the selections here are gourmet and worth every penny. I ordered the pan seared halibut off the Summer menu. Served with an almond purée, cherry tomatoes, watercress, and black olive caramel. Every bite was full of flavor. The restaurant is quiet but active. I could enjoy a conversation with my guest. The service was impeccable and prompt. You cannot beat the location if you're out for dinner and a play.",0.9144,0.85,0.138,0.012,0.4666666666666667
2017-08-02,5.0,"MMMMMMM Homemade Pasta! I can't say enough good things about this place.  I've been here numerous times for dinner in the past two months.  It's a great spot for business dinner in the loop or grabbing a bite before a show. Their pasta dishes are where it's at.  Must haves include the Butternut and Acorn Squash Ravioli  and the Cavatelli.  Seared Pork Belly is a great appetizer. Service can be slow at times, especially during the theater rush, but the food makes up for this. I strongly suggest you check out this great spot in the loop.",0.9246,0.845,0.139,0.017,0.6233333333333333
2017-07-24,4.0,"Enter building and find stairs going down (not a lot of options to go any other direction really). Be greeted by cooler air and a classy interior. We didn't make reservations, but called ahead and they said they would reserve a table in the lounge for us, which was basically a table next to the bar. They are known for their Ravioli. We got the Buttersquash (so delicious) and the spicy sausage (which was also good if sausage is your thing). We also got the parpadelle, which I'm usually never a fan of but liked this one as well. Bread came with not butter but a really nice butter/roasted red pepper spread.  Service was nice. Interior was nice and intimate and mostly approachable. It's a solid restaurant.",0.9766,0.783,0.199,0.017,0.5383680555555556
2017-07-19,5.0,"We had a fabulous dinner here last evening.  The food was perfectly prepared, the service was attentive and efficient, and the vibe of the place was old school chill.  Everything was absolutely delicious.  Terrific wine list.  Our waiter Jan was amazing and made our meal that much better by being so friendly and on point with our order. Great place for a special Italian meal in Chicago!",0.9896,0.59,0.41,0.0,0.6452380952380952
2017-07-14,2.0,"Disappointing meal after reading all the reviews about their homemade pasta. Ravioli dishes were supposed to be their specialty so we ordered the braised pork belly ravioli and the spicy sausage ravioli. The pork belly ravioli with the broth was so salty I couldn't finish my dish. The spicy sausage ravioli was flavorful but the homemade ravioli was hard, a little too el dente. The service was attentive. The atmosphere was nice but felt a bit tired. The bathrooms need to be gutted and remodeled.",-0.431,0.874,0.041,0.085,0.7236111111111111
2017-07-13,5.0,"Butternut ravioli was the dish recommended to us by the server, ""almost 30 years on the menu"". Apparently they haven't made many changes to the recipe since fruition as the existing item was and is such a huge hit.",0.4767,0.898,0.102,0.0,0.5625
2017-07-12,5.0,"We came here before a show and could not have been more pleased. The service was amazing. David, our server, was attentive, friendly and made our experience perfect!!! In addition to the impeccable service the food was delicious. They even let us try a sample before we made our entree  selection. This was a true highlight of our evening!",0.9749,0.672,0.328,0.0,0.8
2017-07-06,4.0,"After a long day of travel and then apartment searching, this was a very delicious dinner, with a relaxed and beautiful ambiance. The Italian Barbera wine was scrumptious and it was just what we needed after a busy and full day!",0.938,0.695,0.305,0.0,0.5416666666666666
2017-06-29,4.0,"My wife and I were going to hang out on the riverwalk but rain forced us to find something inside. The concierge at the Alise Staypineapple mentioned Trattoria #10. Great recommendation. Intimate, secluded below steet level with jazz playing amd white linen tablecoths. Very knowledgeable waitress suggested sharing several dishes between us. My wife started with an excellent moscato. Light salad was followed by a surprising squash raviola with a butter and walnut sauce. You read that right. It was amazing. Next we tried a pasta with spicy Italian sausage in a savory sauce. Excellent.  Great romantic evening.",0.9896,0.66,0.308,0.032,0.48348214285714286
2017-06-29,4.0,"This hidden gem was sort of off my radar.  Was there last week for dinner and today for lunch.  The food is exceptional, drinks are top notch, and the service is 6 stars.  David (our server on both occasions) creates a very enjoyable dining experience.  He is truly the best of the best!  I will be back for the food and David!",0.9582,0.736,0.264,0.0,0.4099999999999999
2017-06-08,4.0,"Out of this world appetizer, great desert.  The only unfortunate and disappointing part was the ravioli that they said was their specialty, turned out to be fairly pedestrian.",-0.2732,0.708,0.116,0.176,0.8700000000000001
2017-05-30,5.0,"Not your traditional Italian restaurant; BETTER! Chef Lanza does a great job with the fresh ingredients that comprise these incredible dishes. Favorites: pork belly, acorn squash ravioli, and the scallops. Great for a romantic dinner and/or pre-theater dining.",0.9634,0.601,0.399,0.0,0.58125
2017-05-27,5.0,Really happy to see this restaurant is still in business 25 plus years after we moved away from Chicago. Super atmosphere and great service. Food remains fantastic. Lot of people go here before a show so it really emptied out by 7:30. Made it nice and quiet to enjoy a meal and a drink with our daughter. Really just a super high quality place in downtown Chicago. Simply can't go wrong here. Hope it's here for 25 more years.,0.9834,0.66,0.317,0.023,0.6274358974358974
2017-05-17,4.0,"Came here on a Monday night for the wine special sometime in April - $10 for a wine flight. Awesome deal, the wines were amazing and I left hammered. Came here again last week and either they stopped doing the special or the server had no idea what was going on because he charged us $10 per wine glass. Still cheaper than the original price of the wine but not as good as the wine flight deal. They also gave us free bread and some sundried tomato spread which tasted amazing.  We sat at the bar area downstairs - the place has a really chill classy vibe. Nice place for a date night or to catch up with a friend",0.9791,0.711,0.234,0.055,0.6353479853479855
2017-05-07,5.0,"Fabulous service. Our waitress was very knowledgeable and friendly. She suggested great wine pairings. The squash ravioli was the best ever! We appreciated the small serving options, which let us save room for tiramisu!",0.9727,0.557,0.443,0.0,0.47857142857142854
2017-05-01,2.0,"I gave the restaurant 2 stars because of the ambiance and the service; both were pleasant. The food, however, was not good at all. I got the scallops and ended up not even eating them all, and there were only 4 of them in the full sized meal portion ($36). They were bland, flavorless, lying on a listless bed of starchy peas, and the worst part - they were incredibly SANDY. This is admittedly a pet peeve of mine, but if I'm paying these kind of prices I feel I should not be biting into sand with every single mouthful. I gave my husband half of a scallop to try, and he too complained about the gritty sand. It's like they didn't wash them at all. The sauces - bland. The pasta - meh. Serving sizes - small. Prices - very high. The cheapest glass of wine (not a fancy brand) was $12. My husband actually liked the creamy tomato sauce that came with my son's child meal better than he liked the sauce on his spicy sausage ravioli. My other son got a kid's meal that was basically bowties in butter - even a 9 year-old recognized that it was maybe a dollar's worth of food for a much heftier price tag than it was worth. It's also not ""right across the street"" from the Hamilton theater, btw. After the meal we were very confused on the sidewalk until a helpful local pointed us in the right direction. The theater is actually about 2.5 blocks away, around the corner.",0.8707,0.84,0.095,0.065,0.5545449735449737
2017-05-01,3.0,"First, I want to start off by saying that I have a hard time with paying for ""fine"" Italian dining, since my husband is Italian and most of this stuff isn't super hard to make. Time consuming, yes, but it's nothing that is absolutely mindblowing. When we went, the service was fine. It was at the start of dinner on a weekday and wasn't super crowded, but I still felt as though we were being rushed, and the server wasn't particularly attentive.  The food is delicious, though. We had ravioli and gnocchi and I loved them both. The gnocchi wasn't too heavy, and the sauces were perfect. Overall, not any place I would go out of my way to visit, but I wouldn't be upset about going here either. A little spendy for what they offer, but it's also in a premium location.",0.9496,0.792,0.152,0.056,0.5472222222222222
2017-04-27,4.0,"Great service, great food. I had the pork belly ravioli and it was fantastic. Everyone in my party enjoyed their selections as well. I wish I could remember our server's name-he was very attentive and ensured we got through our meal with ample time to make it to the theater.",0.9705,0.639,0.361,0.0,0.82
