date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-27,4.0,"Easy call-in reservation a week ahead, guy who answered spoke both English and Mandarin fluently and was conscientious about explaining the private-room gratuity policy (18% as of July 2017). Medium room was large and very clean. Song software was a little frustrating for non-Chinese readers because the default setting is not in English and the panel is set into the wall next to the big-screen TV without any sort of remote control. Staff came very quickly when summoned to take drink orders and bring them. We were there from 8-10pm on a Saturday. Did not attempt to extend our reservation and staff was very prompt about presenting the bill, which was fine by me because we had other places to be :) Song and artist selection was pretty good although certain hits were missing from certain artists. Not every song had its own music video - sometimes we enjoyed hilarious b-roll of random Europeans walking around. Powerful sound system. Very solid choice for private room karaoke in Chicago and easy to get to from the Red Line.",0.9782,0.793,0.175,0.032,0.5285550082101806
2017-07-09,4.0,"Fantastic place to get our karaoke singing fix! The list of Chinese songs on their system is more comprehensive than that of Pop Ktv's and is relatively updated. Price for a small room is $35 per hour which is a bit pricey unless you go in a larger group to split the cost. Having said that, if you prefer to hang out in the main hall, you can always head up onto the stage to sing but we wanted the privacy to sing as badly as we normally do I'll definitely be back - just one request - can they please consider opening another outlet in the suburbs? Pretty please?",0.8979,0.822,0.143,0.035,0.4037037037037037
2017-07-03,5.0,"More (Chinese songs) than Pop KTV, but price for singing at the bar is also more expensive ($30 as opposed to $15). I like their sound system also. The people who work here sing very well! So if you need someone to help you with a duet song, you could probably ask one of the staff members. They are also very friendly and helpful.",0.9639,0.75,0.25,0.0,0.43571428571428567
2017-05-18,4.0,Just a fun place to have a good time with friends. I like the option of either being in the communal area which is set up like a lounge with couches and tables. You can sing karaoke or listen to other intoxicated patrons attempt to sing. Or you can have a private room for your party and pay by the hour.  Full bar and bottle service available. Open late and they have bar snacks available even late night. Definite plus when you got munchies while drinking.,0.9493,0.781,0.204,0.015,0.4636363636363636
2017-03-29,4.0,"This place was quite fun. There was a live karaoke, with full bar. Lychee martini was delicious. The atmosphere was good. Decoration is modern with light up table.",0.8805,0.702,0.298,0.0,0.5499999999999999
2017-02-01,3.0,"It was nice singing with friends in an own room, but overall quite a few things could have been better. Some songs didn't work or were badly synchronized (tone + lyrics + matching video), some staff members were very unmotivated and slow (others were friendly though) and we were kicked out at 10 pm sharp even though they told us on the phone when we made the reservation for two hours that we could prolong if we wanted. The drinks were good I guess, but not that cheap (and you have to get them yourselves from the bar). I liked the interior design though. I think we might be back, but maybe we'll also try out other karaoke bars first.",0.8992,0.795,0.147,0.058,0.5015625
2017-01-06,4.0,"Came here for my birthday, my bf and I booked it about 2 weeks prior, they require a $100 down payment to hold any reservations for rooms. Came around 10PM on a Friday night, the rooms are clean and huge!! I had about 16 people with me, and we fit very comfortably in their VIP room. They have their own bathrooms as well, which is awesome. They had a good selection of both Chinese and English songs, booze prices were a little pricey, but that was expected. We had a lot of fun!",0.953,0.782,0.218,0.0,0.49920634920634926
2016-09-22,3.0,"This is an interesting place with a nice little setup in the lounge area with the lighting and everything-Came here for a friends birthday. They offer VIP rooms as well. In the lounge area they require you spend $15 per person and the drinks are fairly priced.  The place has a good selection of R&B & Hip Hop songs in addition to the many other selection well.  Overall, not a bad karaoke spot during the week night in Chinatown, it was pretty empty when we arrived which was great so we could have our own little party area.",0.9826,0.704,0.281,0.016,0.6279761904761906
2016-09-03,2.0,"With multicolor LEDs glowing in the bar area, the establishment has a dated nightclub look and feel. It's decently clean though, the floors aren't sticky (1st star), and the karaoke system - while it doesn't have recent month's music - does effectively control the mics and the backtrack (2nd star).  So why the poor review?  The staff is really unpleasant. Simple as that.  Just the minimal rude interaction of asking which room we could have and the employee barging in at 10 minutes before our time was up to give us a check made my group feel unwelcome. We get it; time is money, so they have to keep everybody on track. But the employees' people skills are sorely lacking in maintaining a balance between time management, professionalism, and courtesy. I'm sure they don't care, but I don't recommend this place nor will I be back.",-0.6713,0.866,0.048,0.085,0.5223665223665223
2016-09-02,1.0,"I walked in and the security guard said it was reservations only. Having came here a few times, I've never heard this. So I decided to call them. They told me on the phone that you can walk in without reservations. I guess they don't want black people in here. (Mind you I'm clean cut. Dress shirt and shoes.) I feel highly disrespected. If you aren't black, no worries. You're good enough to walk in without a reservation.",0.6813,0.773,0.148,0.08,0.5383333333333333
