date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-19,3.0,We had breakfast here one morning. The food was ok. The service was not great. We were out on the patio and felt forgotten several times. We were staying at the hotel so it was convenient but we didn't go back again the next day.,-0.2493,0.89,0.034,0.076,0.25
2017-06-10,2.0,"I am so sad to write this review. For about 6 or 7 years, we have always made it a point to eat here at least once each summer--usually outside on the patio. It has changed over the years, but to varying degrees, it was always good food and classic service.  Those days seem to be over. Sitting down, I was immediately disappointed with the menu--it has been trimmed down to a very sparse list. I suspect the hamburger is there for the hotel crowd :) I don't care for lengthy menus, but it seemed much less interesting than in the past. The good part. The food was good.  We ordered a charcuterie plate for one--and it could have fed three.  Great cheeses and meats.  The salmon amuse bouche was just okay. Husband had pea soup, which was lovely.  My bibb salad was a mess (literally) as it was drowning in liquid. It had too many pears (luckily, hubby loves them), good blue cheese, and virtually no discernible nuts. Way over-priced for what it was.  We shared the chicken entree which was excellent. Great mashed potatoes, Brussels sprouts, and morels. I love morels and these were good. Delicious little macaroon and candy as a complementary sweet at the end. Why two stars?  The service was beyond terrible.  This is a place that used to be quite formal--chargers, cutlery with each course, water constantly refilled. Even when it became less formal, the service was usually good, We were seated for about twenty minutes before they even brought water or took a drink order.  Then the long wait began!  Seriously, we had no bread, no nothing for at least 40  minutes after we ordered.  My water glass was empty most of the time. They were woefully understaffed. Roni, our lead server was personable, and tried--he apologized a lot. The young french woman assisting was totally incompetent.  She could barely describe the dishes, she never once refreshed water, she would look directly at the dirty dishes on the table and walk away from them. We had to ask her to bring a soup spoon and fresh cutlery. The hostess and manager were busing more tables than she was.  The manager never once came by to ask how things were--I suspect he already knew the answer! Two and half hours--and we didn't do dessert or coffee. Oh my, where did my Cafe go?",0.9924,0.714,0.181,0.106,0.5065192743764171
2017-05-28,5.0,"I come here every time I'm in Chicago. Beautiful neighborhood around the Sofitel hotel and a really trendy modern spot for breakfast. All the staff greet you with s welcoming Bonjoiur!  Pastries of your pick from a tray of tummies is offered and is included in your meal. Cofffe is authentically French pressed. The fruits are beautiful, fresh and sweet!",0.9577,0.726,0.274,0.0,0.6214285714285713
2017-04-16,5.0,"My boyfriend's mom was staying at the Sofitel hotel this weekend for Easter and we decided to go here for an early Easter dinner tonight. Oh my god - everything was incredible! It was a set menu, so you pick a starter, main course and dessert individually. Everything is three picked were outstanding. We got two bottles of wine for the table too. Our waiter was from France and was excellent with recommendations during the entire meal. We all left so full! Such an amazing meal and beautiful decor. We even got to sit outside because the weather was so nice.",0.9709,0.809,0.191,0.0,0.6023809523809524
2017-03-14,4.0,"We ate here because a mess up on behalf of Sofitel , they gave us complimentary breakfast so why not eat free breakfast! We started off with French pressed coffee and orange juice, followed by an American breakfast and traditional omelette. The food here was good but nothing special, our waiter, I believe his name was Andrity was super nice as well. He brought out complimentary fresh croissants and baguettes. Our total not including tip would have been $56 for 2 people , which is a little pricey for me for breakfast. Fortunately it was all taken care of and we enjoyed it.",0.9798,0.691,0.256,0.053,0.5445684523809523
2017-02-28,2.0,"We were at Cafe des Architects for brunch and I regret choosing this place. The staff seemed to not care about their customers. There were no napkins on any tables and when I asked for it, the busboy brought us cocktail napkins. I was never asked if I wanted more coffee etc and our server was nowhere to be found. The food was good but this is not enough to make me go back.",-0.3322,0.901,0.027,0.073,0.4
2017-02-18,3.0,"The sofetiel hotel is a really cool place, much different than other hotels in Chicago, so I was interested to try out a restaurant located within. This restaurant is also French, so also a different spin on a normal lunch that I would have. My mom, grandma, and I tried out the restaurant week menu for lunch, though I wish I had chosen the entrees available instead. I like how the servers bring out a tray of bread to choose from, along with the different butters and cream cheese. The coffee was also spectacular. Other than that, the food didn't really knock me off my feet. My first course was the salad, which was more like a few pieces of veggies on top of a cracker. Not really my kind of salad. My entrée pick was the rainbow trout, which was pretty tasty but a very tiny portion. My dessert pick was the white chocolate lemon cake. This was much better than expected or how it looked, but still not my favorite dessert.  Service is a little slow, but very accommodating. Overall, the food was mediocre, and the portions small. However, I'm glad I got to dine at this French restaurant for a nice lunch!",0.9535,0.865,0.12,0.016,0.5104166666666667
2017-02-01,4.0,"Only here for a light snack, skipped the pastries and had one of the best cups of coffee...order the french press.  Portions seemed small although I only had grapefruit. It came with yogurt and an incorporated glass of grapefruit(?) juice: delicious.",0.836,0.824,0.176,0.0,0.6285714285714287
2016-12-28,5.0,Brought my in-laws here for breakfast the day after Christmas. Ambiance is elegant but not stuffy. Beautiful pastry tray is brought to the table. I had a gorgeous and very delicious quiche made in a beautiful puff pastry. Very personable wait-staff. Enjoyed seeing a few famous actors who were staying at the hotel and having breakfast near us. Will definitely be coming back.,0.9765,0.626,0.323,0.051,0.6583333333333333
2016-12-27,4.0,"We had Christmas menu. I added 3.5star compared with price and expectation. Service is good. Our waiter forgot a spoon for soup, bread (we didn't get until entree) but other people nicely covered it.  I recommend their dessert (French style, not only heavy sugar style). That's always what  I expect at restaurants. French onion soup is good. I ordered lake white fish. OMG it was really bad taste for me. My decision was wrong. It's very smelly. I felt it wasn't applied good preparation. The robster sauce on with fish wasn't sophisticated finish.  At least I enjoyed risotto and Brussels on the plate.",0.7891,0.716,0.175,0.109,0.5401041666666667
