date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-18,5.0,"Yummy food no complaints volcano maki, combo platter, crab Rangoons, pad Thai, pad see eiw everything was great! and sweetest waitress ever. My 4 and 6 year old ate everything. Def will be back.",0.5983,0.688,0.191,0.12,0.31666666666666665
2017-08-17,3.0,The food was tasty but portions were about 40% less than I expected.  I would not come back here without a Groupon given that I ordered nearly $40 worth of food and I could have eaten it all by myself.,0.3291,0.935,0.065,0.0,0.14166666666666666
2017-07-22,5.0,"We dined here with a groupon and were very pleased at the value, even w/o the groupon. We ordered the following: -tom kha soup  -pad Thai -California sushi roll -Philadelphia roll -shrimp tempura -mango mochi -strawberry mochi  We got all of this for just over $35 dollars pre groupon! Everything tasted fresh, especially the Philadelphia roll and tom kha soup.",0.8012,0.872,0.128,0.0,0.65
2017-07-16,5.0,"Waited until our second visit to review. Delicious and inexpensive and BYOB too! We've enjoyed edeamame, sweet potato tempura, tuna and avocado, spider,  shrimp tempura, and spicy tuna. All very good. We'll keep coming back! Worth it,  even without a Groupon.",0.9401,0.691,0.309,0.0,0.46142857142857147
2017-07-15,2.0,We visited the kitchenette today. It was less than ok. Miso was slightly warm. Salad is very simple. The steamed potstickers were actually fried. Both entrees were totally bland. The Tempura was so greasy and tasteless. The only up was the sushi.,0.3671,0.919,0.081,0.0,0.5580357142857143
2017-07-03,1.0,"Took us 20 minutes to have our order taken despite repeated attempts to flag the waitress down. Watched her comb her fingers through her hair and proceed to bring people their food without washing her hands. Took an hour from when we ordered to get three rolls of sushi. Not even complex rolls, but CALIFORNIA ROLLS. Waited 10 minutes for the check after asking for it. Didn't get it. Asked again. Came back with attitude another 10 minutes later.  Seriously? How do you run a business like this? How is this place not out of business yet?",0.4098,0.942,0.038,0.021,0.27111111111111114
2017-05-22,1.0,"Absolutely terrible. Service, food, everything. We waited in the room when you walk in with all these empty tables and they said we couldn't eat there. So we ended up waiting for 40 minutes when they said it would be 10 MINUTES. I kept checking the room and asking and she said oh it'll be a minute. Very rude. Mind you, it's Monday. All these empty tables and we couldn't get serve in the other room. We ended up finally getting a table and waited another 40 minutes for the food. When I finally got my food, the presentation of my sashimi plate was disgusting. It looked like it came on a clear ugly microwave plate. The cuts of the sushi were so crappy you could barely grab them with the chopsticks. My boyfriend got his food 30 minutes (panang curry, which was so gross) before mine and was nearly done by the time mine came. It's just not a good quality place. Bathrooms were super grimy and walls were not clean. Thank god I got a groupon and just paid tax on this meal. Crappiest sushi and service we've ever had. Don't come here! Go to a buffet with sushi, any Chinese buffet has better quality sushi and is way cheaper. I think grocery sushi is way better than this. DO not come here! I recommend Sushi Para. There was probably 40 more people in the restaurant and we got our food within 15 minutes.",-0.9642,0.804,0.055,0.141,0.5752499999999999
2017-03-08,4.0,Had vegan shushi rolls.. Was pretty decent... No complains.. Quick and good service.,0.5994,0.546,0.333,0.12,0.6916666666666667
2017-02-10,5.0,"Awesome place! The price? Great! The food? Super fresh. We had the combo plater (I believe) and it was good but just ok. Them we ordered the Gozilla $15, the Rainbow $13 and the Futo $6. Everything was really good! Felt so fresh, definitely one of the best sushi spot we've tried... Plus this place is BYOB, another plus!. Now, for me, the decoration; well it could be better!. But this place for me has five starts because the food and the price is what matters.",0.9871,0.674,0.326,0.0,0.5833333333333334
2017-01-02,3.0,"We went here for the all-you-can eat sushi.  We were surprised at how long it took to get our first round after ordering.  The place was pretty much empty on a Sunday evening, but it took about 35 minutes to receive.  They did actually bring full sized makis, and not just the 3 pieces you get at normal all-u-can-eat sushi places.  We were also a little surprised that when we ordered the appetizers, you actually received only one piece.  Really--just one pot sticker??  So, if you have the time to order multiple rounds (prepare for at least an hour), you will be satisfied.  But if you don't have the time, go elsewhere or don't order the all-u-can-eat.",0.8205,0.906,0.083,0.012,0.5458333333333334
2016-12-16,4.0,Great to have a neighborhood sushi place near by.  Wide variety of sushi and thai food.  Certainly you'll find something to your enjoyment.   Thanks.,0.9186,0.594,0.406,0.0,0.46428571428571425
2016-12-06,5.0,"If you live in lakeview , this place is perfect for sushi and Asian food! Shrimp pad Thai is my fav . They have all u can eat sushi and it's better than sushi para:) Service could be better though) owners are super nice but waitress seems kinda rude.",0.7455,0.703,0.232,0.064,0.6407407407407407
2016-10-31,1.0,"Ordered takeout and it took 45 minutes when they said it would take 20. My food was pretty bad (I got pad thai, noodle soup, and ragoons). Just completely tasteless and below average!",-0.1511,0.816,0.084,0.1,0.7416666666666666
2016-10-06,2.0,"I was so hungry in between my two jobs today so I ordered take out. Low and behold, when I get back to my car (where I planned on eating in between shifts), there were NO UTENSILS!!!!. Super bummer. Had to wait even longer to eat and start my shift late.",-0.5995,0.772,0.07,0.158,0.3916666666666666
2016-09-19,1.0,"Avg sushi but the service was buzzkill. The waitress was completely un-welcoming and acted as if she'd rather not deal with us. Granted we had 2 small kids with us, but it was only 5pm and the place was literally empty. Even the sushi chef failed to even acknowledge us. Why would we want to go back when greeted like this?",0.296,0.766,0.14,0.094,0.4333333333333333
2016-08-15,5.0,"Kitchenette has gradually moved up to our favorite sushi place. The sushi is always fresh. I've had about 800 California rolls in my life, and theirs is the best ever. And their sweet potato tempura roll is the best we've ever had. They're BYOB, and that's always nice. The staff is quick to open the bottle and provide a bucket of ice. I'd recommend bringing a bottle. Their entrees are also amazing. The vegetables are always fresh. And the spice level is dead on. When you order ""extra spicy"" at most places, you're lucky if it's just spicy. At Kitchenette, ""extra spicy"" is indeed spicy, but not over the top. The cashew chicken is our favorite, but we've had a couple other dishes, and loved them too. A very affordable place. Service is fine. The location by Wrigley Field is convenient, and street parking has never been a problem. This is a family owned restaurant I'd highly recommend.",0.983,0.759,0.215,0.026,0.5673188405797102
2016-07-29,4.0,I used a groupon for this place and it was worth it. Me and my friend went pretty late on a Thursday and it was empty . I was a bit skeptical but it was good. Their volcano roll was delicious ! Def worth it the service was quick and friendly . Will try again for their all you can eat sushi,0.9609,0.647,0.309,0.044,0.54
2016-06-29,3.0,Give this place three. Their pad Thai is flavorless and a small portion.  Sushi is average.,0.0,1.0,0.0,0.0,0.4
2016-06-17,2.0,Service was very poor. There was maybe only two other tables taken but food still took forever. Our appetizer of crab Rangoon came out at the same time as our sushi. Sushi was good but quantity is really small. I don't recommend dining in here but take out for sure.,0.3701,0.789,0.119,0.092,0.5955555555555555
2016-06-05,4.0,"I go fairly regularly for their $20 all you can eat sushi (Saturday, Sunday, and Monday), and for the price, it's a pretty great deal!  You can get a range of rolls, nigiri, miso soup, and various appetizers (including my favorite - seaweed salad).  While it's not the absolute best sushi in the city, for everything is nice and fresh and well made and I never regret it! :)",0.9269,0.677,0.251,0.072,0.7026923076923077
2016-04-12,2.0,Portions are way too small on the Thai menu. Also very greasy and Thai is not their speciality. Service was way too slow and it's not even that busy.,0.0,1.0,0.0,0.0,0.35
2016-04-09,2.0,"Delivery was quick through DoorDash. Other than that, this dinner was quite mediocre. The spring rolls were good. I ordered the spicy chicken, very spicy, and got about 1/3 of the to go container with very bland chicken (only 4 small bites of chicken). The rest was onion and bell peppers. My wife got the pad thai and she said it was mediocre at best. Not sure if they're having an off day, but there are a ton of better places to order from in the area at the same price point. Will not be a repeat customer.",0.8422,0.9,0.1,0.0,0.6774305555555556
2016-03-17,1.0,"Okay food, inexpensive but small portions on Thai food. Went during half price sushi time at 5:30, clearly advertised on entry window as Thursday 4-7 pm. All four of us in our party were charged full price for the sushi despite asking after receiving the check why it was full price. Was informed that we ""needed to have told"" our server we wanted the half price sushi (apparently it comes on a different menu, which is fine, but was never made clear to us. Also why would we think to ask if we were handed a sushi menu when we were seated?). Spent 1:15 there, service was extremely slow despite being the only party in the restaurant. Maybe take out is okay, seemed like a rip off for what we got.",0.9316,0.827,0.138,0.035,0.4366666666666666
2016-03-15,3.0,"this place gets three stars on fish quality alone. almost everything in the sushi combo was delicious (my girlfriend said the shrimp tasted weird. i don't eat shrimp, but more on that later), and the makis that came with the combo were completely on point. the crab rangoon had ample filling and wasn't overly greasy, but the thai iced tea was sadly kind of hit or miss (one jar was decently flavorful, the other was completely bland).  it was a quiet, romantic spot for a date night... because we were one of two tables in the restaurant. as someone mentioned in an earlier review, take that as you will, but i take that to mean that my sushi won't take forever to prepare, which it did, and i take that to mean that my service will be attentive and courteous, which it was not. i'll share just one gripe: i informed our server that i had a mild shellfish allergy and if possible, would like a sushi combo that did not include shellfish. our server told me that they ""would not"" accommodate that, and i don't know, call it an issue with language or a miscommunication or something, but man, something about it just rubbed me the wrong way. the whole situation could have been handled more delicately -- ""i'm sorry, it's against restaurant policy and we are unfortunately unable to substitute"" or something to that effect, but just some semblance of understanding or empathy would have gone a long way and i wouldn't be writing slander about it right now, you know? anyway, i raved about the fish quality for something like an hour after our meal, so i'll probably be back for takeout or delivery if it strikes my fancy, but i'm not sure i'd go out of my way to come back in for a meal.",-0.3368,0.861,0.061,0.078,0.6038548752834467
2016-01-29,3.0,"I am an all you can eat sushi fanatic. I like to be brave and see where I can get the most bang for my buck. I would say this was not one of my favorites. All you can eat menu is nothing like their regular menu. Also, the appetizer portions are pretty small. Sushi was not bad at all, just not my favorite.",0.9296,0.729,0.237,0.034,0.680448717948718
2016-01-23,4.0,I went here with my wife and we ordered some temporal sushi and they were good but the first ordered came out cold. So i ordered a second order and the second one was nice and warm. So i did not like the inconsistency plus i ordered a tea and it was cold i think that i will go back and give them a second chance.,0.7535,0.793,0.16,0.047,0.4533333333333333
2016-01-03,1.0,"Bad service, bad food. Long wait and unappealing setting. Waste of time and money. Only positive things are the wrapped mints at the end",-0.7351,0.599,0.108,0.293,0.5398268398268399
2015-12-09,5.0,"Familiar business nice for having Japanese/Chinese food on Thursday, day that you can get half prices on rolls. The philly roll was amazing, but the edamame was cold. Enjoyed so much!",0.8419,0.756,0.244,0.0,0.6380952380952382
2015-12-06,4.0,"We had a very nice experience here and a Saturday afternoon. Service was a little slow but we were in no hurry. The food was delicious and affordable. We had sushi, which was fresh and tasty. We also had tom kha soup, which was coconut milk creamy and delicious! For entrees, I had the staple, pad Thai and he had panang curry. Both were absolutely fantastic!",0.9649,0.702,0.263,0.035,0.7571428571428572
2015-11-18,5.0,"Amazing sushi! I honestly can't overestimate how much I loved their sushi rolls. I'm a vegan with an pescatarian significant other, and both of us absolutely loved our meals (veggie potsticker appetizer, spicy tuna, shrimp tempura, avocado, and veggie maki).  Also, the service was excellent. The establishment is BYOB, and they were kind enough to open and chill our wine for us. The waitress was very attentive, and obviously the chefs were very talented.  Additionally our meal was very affordable.  Can't wait to go back!",0.9812,0.728,0.272,0.0,0.6900000000000001
