date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,4.0,"Just stopped in for the first time last week to try the Chicken Pad Thai. It was very fresh, served hot and delicious. My only suggestion is that they offer a lunch special with soup or an egg roll. The portion itself was quite filling though. Nice, quiet atmosphere - only a few tables but it was a pleasant place to sit and relax.",0.931,0.749,0.231,0.02,0.6785714285714284
2017-08-13,4.0,"Food and environment brought me back to Thailand! Noodle soups are authentic Thai food.  My Tom Yum noodle soup was very similar to the street foods of Thailand except this portion is so much larger and costs more. There was also extras on the noodles that's included such as squid & meatballs. Glad I got to try this place; there were Thais dining here so you know it's gotta be good!  Pretty empty for a Sunday lunch so service was good. Food came out fast. First Thai restaurant I've been to that has different price for Thai tea with or without ice, with or without condensed milk. You can either pay $5 or $2, depending on what you get on it. Interesting concept.  Every table has condiment jars with pickled peppers, dried chili peppers. They gave us plastic cup, plate, and a teaspoon for my toddler. How thoughtful of them!",0.9449,0.859,0.121,0.02,0.5649019607843138
2017-07-10,4.0,"I'm a great fan of Thai food and had great expectations when visiting this restaurant. We were ravenous by the time we reached the restaurant and quickly ordered Chicken Satay, Thai Crispy Rolls, Pad Kee Mao and Hot & Spicy Fried Rice. Chicken Satay - It's my all-time favorite and absolutely liked it here with yummy peanut sauce. Thai Crispy Rolls - This is the first time I'm having this and it's very good with crispy exterior and tasty meat and glass noodles inside. Pad Kee Mao - It could have been better as I felt it's too sweet. Hot & Spicy Fried Rice - It's a winner. The flavors are so good with all the vegetables and chicken in it. You can add some dried chili powder if you like the fried rice to be extra spicy. The service is pretty good and we will definitely visit again to devour their tasty food :-)",0.9937,0.715,0.285,0.0,0.7149206349206348
2017-06-26,1.0,"Did not like the food at all.  TomYam soup - bland Mee Krob - too sweet, your tongue hurts Salmon dish - way too salty and salmon too dry Pad Thai - all you can taste is peanut flavor in the sauce The only thing I liked about this place is that it's a BYOB restaurant.",0.1506,0.807,0.102,0.091,0.7766666666666667
2017-05-06,1.0,"WORST SERVICE EVER. Waited over an hour to even get our drinks. I asked the waitress how long food would take and she doesn't even come back. I waited another 30 minutes, but nope never comes to our table. The restaurant was not even packed or busy. I had to had to walk out.",-0.4435,0.945,0.0,0.055,0.425
2017-04-12,5.0,"I'm going to keep this short and sweet. I had their peanut sauce chicken dish with rice (Thai rice is just better btw.)  My body wants more,  I'm an instant junkie.  I don't know if they strategically place msg in their dishes but I can't stop thinking about this dish and it has only been 40 minutes since I scarfed it down.  This may come across as hyperbole but I love this place so much that Rosded might be the place I'd pick for ""Check Please.""  I mean everyone else would be trying to impress with ambiance and decor from Michellin wannabe places......this place is like $10 with a tip and you are left beside yourself plus the M recognition (according to the sticker on their door.)  So would I come back?  Sure, I might even go back tonight.  I would bath in their food if possible and build a shrine in my house for this dish.  (I'm going to breath now)",0.9688,0.866,0.134,0.0,0.4901143790849673
2017-01-12,5.0,"I normally default to Opart Thai when in Lincoln Square, but decided to give Rosded a spin for this afternoon's lunch. Although Opart makes a great curry, Rosded took takes it up a few notches. The ingredients of the chicken curry blended together perfectly and the chicken was juicy and flavorful. From now on I will now default to Rosded as my top choice for Thai in the square!",0.9427,0.814,0.186,0.0,0.7000000000000001
2016-09-15,1.0,"Terrible experience here. I have a gluten intolerance and usually thai food is safe. I asked the server (who looked like a manager/owner too) if a couple dishes are gluten free (spring rolls and curry), and he abruptly and exasperatedly said ""I don't know."" When I asked if he could ask someone, he said ""they won't know."" I wound up ordering pad thai, but it was not good pad thai. Not good quality meat either. I shouldn't have ordered anything.",-0.5296,0.824,0.073,0.103,0.6785714285714286
2016-09-07,5.0,"Simple place, amazing Thai food. Nothing against Opart Thai, but I couldn't believe how many more positive reviews they receive compared to Rosded. I got the exact same order at both places in the same week, and Opart's food was consistently oversweetened and overcooked, more of an ""Americanized"" version of Thai cuisine.  If you want delicious, authentic Thai food in the area, go here!",0.9385,0.8,0.2,0.0,0.48354978354978356
2016-08-20,5.0,"So good and fresh. Looks like nothing special when you first walk in, but they are so friendly, and the food is flavorful and delicious.  We had the Panang curry with chicken and the spicy basil with ground chicken. Highly recommend both.",0.9608,0.618,0.354,0.029,0.6605291005291005
2016-05-29,5.0,"I'm from Wisconsin, but on our way into the city my parents and I ventured to Roseded for a trip down memory lane. My mom went to this place THIRTY YEARS ago in college and has maintained that it's the best fish she's ever had. We went there today to confirm that it wasn't in fact just nostalgia driving this claim. Alas, this hole-in-the-wall does have the best fish of my young 22-year-old life. We shared the red snapper with basil and chilies. Crisped to perfection and generously doused with a spicy sugar glaze, this dish really hit it out of the park. When my mom went three decades previously, they served the whole fish bones and all. Now, it's just the filet, which makes for an easier, albeit slightly less authentic eat.  Our server also recommended a mango rice desert for a light summer treat. The green rice is colored with pandan, a tropical leaf. Coated with sweet coconut milk, the warm rice pairs well with the cool mango. I don't even care that I left the place a few pounds heavier, because everything was so incredibly fresh and full-bodied. I'll be back, Roseded!",0.9927,0.756,0.217,0.027,0.37962962962962965
2016-05-16,4.0,"Ordered take out from here and it was delicious and inexpensive. The crispy Thai rolls and potstickers were especially delicious! The server who helped us seemed rather grumpy so I'm not sure I'd enjoy eating in as much, but it's still a solid Thai restaurant.",0.537,0.791,0.14,0.069,0.6148148148148148
2016-04-22,3.0,"I used to come here all the time and then they sold the place and now it's under new management. After about three years and reading the Yelp reviews I decided to give it another try. Honestly it was just so-so. The service could be better and the food was just not great. I got chicken satay which was super greasy and somewhat bland. Got shrimp rolls and they were pretty good, came out hot and crunchy. Also had salmon green curry, the salmon was invisible but the dish over all was pretty good. I also got tum yum soup (no meat, tofu) it was actually the worst I've had. It had no veggies at all and was way too sweet. Overall if the service was better I might consider coming back but the one (yes one) server was not very attentive, she looked pissed off half the time and looked over unamused. It's a shame because I work in the service industry and like to be generous but this time it was strictly 15%.",0.8911,0.735,0.165,0.099,0.5958818958818958
2016-04-19,4.0,I would give 5 stars but the service could be better... Get the green curry tofu! So good!  I Asked for spicy and I wasn't disappointed.  My coworker got the chicken pad Thai and said it was one of his favorites.  Don't expect a fancy joint. It's a small affordable place with good food!,0.9551,0.727,0.273,0.0,0.5857142857142857
