date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,4.0,"We traveled to the North Michigan Avenue in Chicago for hot meal(dinner), and they have jazz with a three combo. We get seat about 7:50 pm for 7:45 reservation, we were a tad last. The spinach dip was very good, and they left the salt shaker in the kitchen.  The lack of salt was great for me. Roc has the trout and she was very thankful. The Seattle-Style BBQ salmon was on point with the pommé purée and broccoli . They service honey for sweeting my cup of tea. The desserts were hit and miss. The miss was the apple walnut cobbler with a side of vanilla ice cream. The apples and nuts were better on the tree. The milk for the ice cream missed it calling as ice cream. Now for the banana cream pie with whipped  cream, caramel sauce, sliced bananas (huge), and shaved dark chocolate was good...... I would get a taffy apple from Old Town Fudge Pot next time . The company for dining was over the top.... Shalom",0.8012,0.867,0.078,0.055,0.44974358974358974
2017-08-31,5.0,"It gets a little tricky to find a good dining spot on Michigan Avenue despite all the great retail going on on this street. Bandera, however, salvages this situation. I came here for lunch and was blown away by the quality of food, the speed, quality and efficiency of service as well as the atmosphere in general. The corn bread is an absolute MUST ORDER item. Please get it and you'll understand why. I was so blown away by how perfect the crust was and the sweetness balanced with savory flavor profiles was amazing, not to mention the soft (almost custard-like) texture... can you tell I'm in love?!  I also ordered the lamb sandwich with coleslaw as side and it was delicious and comes in a huge portion so I ended up taking half a sandwich home.  Pricing is pretty reasonable for a restaurant on Michigan Ave and the server could not have been more friendly. Solid spot!",0.9835,0.77,0.203,0.026,0.6392156862745098
2017-08-31,2.0,"We'll run restaurant used to be a favorite.  Maybe an off-night , server didn't visit table for over 5 minutes after seating at 7:50 for a 7:30 rezo. Chicken salad should have chicken in it ! Had plenty of fried corn bread croutons and dates with maybe 2 or 3 ounces of shredded chicken bits. Probably will not return until different concept takes over this beautiful space .",0.8367,0.88,0.12,0.0,0.9083333333333332
2017-08-28,4.0,"oh my god, the cornbread. basically i eat the ahi tuna salad (huge!) plus cornbread and i explode after of full-ness and happiness. Mouth is actually watering right now thinking about the cornbread. It's not necessarily an exciting or exotic place, as it is American food, but those two items hit it out of the park.",0.3244,0.895,0.073,0.032,0.5051020408163265
2017-08-20,5.0,"Best veggie burger I've ever had. Really well done food. Also of course, can't beat the atmosphere. Open late, even on Sundays. Bartender was great and served also one of the best old fashions I've ever had as well. Definitely eat at Bandera if you're in Chicago.",0.9637,0.672,0.328,0.0,0.41875
2017-08-20,5.0,Food was soooooo good! Loved the ambiance and service staff. Will come again when we are back in Chicago!,0.8118,0.697,0.303,0.0,0.46666666666666673
2017-08-19,5.0,"I cheated on my husband with Bandera's Macho salad and homemade Oreo ice cream sandwich dessert! Not to mention the incredible trip tip enchilada. A well seasoned pork fillet. A girls weekend away in Chicago! Perfect stop for an amazing meal to remember that we gals will remember for awhile. Got started off with the macho salad as an appetizer we all shared and their homemade corn bread. These two alone gave a song to our tastebuds to sing! Macho salad has a great dressing, creamy goat cheese and avocado, just delish! Cornbread like never before, it's out of this world good. A little more moist than usual cornbread and a crunchy top crust that's addictive. My tri tip beef medallion paired with a hearty sized duo sauces enchilada was a great pairing. Only complaint of mine was the beef was a little fatty. The companion ladies ordered the juicy amazing rotisserie chicken & beef BBQ ribs, also just perfectly seasoned with good flavor but not over powering, a great balance of textures and flavor. My aunt ordered the pork fillet that was fabulous but a little dry, very well seasoned. I just had to have the homemade Oreo ice cream sandwich with homemade ice cream! It has an espresso sauce I wanted to roll around in and slurp all day! Just a feast for royalty! I haven't had a meal that left me this smitten in years. Great staff and service! Can't wait to return!",0.9891,0.801,0.173,0.026,0.5982142857142857
2017-08-18,5.0,"My cousin from NYC was in town and asked to do a little bit of sightseeing. She was staying near Mag Mile so we decided to find something with decent views and drinks. We came across this place and it looked decent so we decided to try. We ordered a pleasant bottle of wine, I had the kale salad and both my cousin and fiance ordered the burger. The burgers were alright, but the fries were pretty tasty. My kale salad, however, was excellent! The vinaigrette and the chicken was perfect, even my fiancé who doesn't like veggies enjoyed it :P They didnt have accommodations for children so we had our toddler sitting in one of the chairs, and surprisingly kept her entertained. The view of the city is spectacular to go with your meal. The only complaint I have is that I think our waitress forgot about us when we ordered an espresso (she was great all along), and waited about 10 minutes before I had to flag someone down for the check and the espresso.",0.9797,0.787,0.168,0.045,0.734640522875817
2017-08-18,3.0,"A solid 3.5 stars. Likes - Great live jazz from 6pm onwards - French dip sandwich was juicy, tender, and definitely worth it - Lamb sandwich was very moist and soft, and the roasted peppers were a great touch Dislikes - Cornbread appetizer was horrible. Smelled and looked great but dry and tasteless. We couldn't even finish.  - Gravy that came with the lamb sandwich was tasteless and too thin but this didn't detract from the sandwich",0.7935,0.77,0.179,0.052,0.5607142857142857
2017-08-14,5.0,"Food and service here are great.  Limited menu (2-page only) but what they have they do well.  The prime rib sandwich was excellent, so was the smoked salmon. Service is efficient and polite.",0.926,0.645,0.321,0.033,0.7232142857142857
