date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-12,4.0,"First time. Stopped for a sober late night snack to go. Special fried rice to go was nice and spicy. It came with shrimp and chicken. Big portion. I would order it again. FYI fried rice is always a safe option when visiting a Chinese restaurant. The fried egg roll was good and crunchy. Everything was hot and fresh. The older gentleman that took my order wasn't overly friendly, but he was fine. The dining room looked authentic with nice booths. AC was off on a hot night, but the place was pretty empty. I would recommend checking the place out if you're in the neighborhood.",0.9521,0.744,0.21,0.047,0.5819047619047619
2017-04-13,4.0,"This place is decent for what it is which is small, old school, not fancy, Chinese food. Could be improve by fresher ingredient but overall it's not bad.",0.6932,0.82,0.18,0.0,0.3222222222222222
2016-11-06,4.0,"Great place and great price. The food is great but could be better choice when it comes to the meats, ((the meats are alittle bland)). However for being out off of Fullerton and away from the main street. this place is a great find. Come here to stretch your dollar.",0.9528,0.72,0.28,0.0,0.6666666666666667
2016-09-30,1.0,"Hideous, if I could give it zero stars, I have would. I don't understand how beef cho fun can contain no cho fun noodles.  These looked like the kind of noodles your mom would use to make goulash, accept without the taste.  It just was not good. I don't understand why we cannot get decent Chinese take out in Logan Square without going to Chinatown.   Stay away.",0.796,0.778,0.16,0.063,0.4277777777777778
2016-08-28,5.0,"The crispy hot wings here are awesome. One order is enough and the wings are pretty big. The sauce is what makes the dish. It's tangy, sweet and spicy at the same time. Very crispy and satisfying. I also had the kung pao chicken and smoothies, both were decent as well.",0.9399,0.742,0.258,0.0,0.6492424242424243
2016-03-23,5.0,"Cheap, simple menu doesn't really get any simpler than this. I'm not sure if people thought they were going to the next Jiro Dreams of Sushi or anything like that but it's a cheap choice to grab a greasy bite to eat.",0.2776,0.879,0.086,0.035,0.4743386243386243
2015-12-17,2.0,"This place is pretty crappy Chinese food, I'm surprised anyone is saying differently.  The orange chicken was way too sweet, the meat quality was not good, and the crab ragoons were filled with big white onions. The waitress boxed out food, but left out the fried rice, which was the best part of my meal. No matter though, the chicken had a distinctly moldy taste today, so it probably wouldn't have lasted the night either.  The spicy beef dish was better than the chicken, but not enough to justify ever coming back.   The smoothies are pretty decent.  The egg rolls are all grey inside.",0.9343,0.762,0.182,0.056,0.5222222222222223
2015-12-10,5.0,Amazing food here!  Also fantastic service and some of the best Chinese food ice ever had.  Get the crab rangoon and the general tsao's chicken!,0.9214,0.644,0.356,0.0,0.5916666666666667
2015-09-21,2.0,"As a former New Yorker, I am forever in the search for decent Chinese food here in Chicago, and sorry Blue Willow, but you are not it.  Sad too, because I just moved to this area, and I've been here once before with an acquaintance who said they ate there regularly.  I ordered for pick up, but when I got there the place was empty.  Tons of cheap things you can buy at the counter, like charms and trinkets and what-not.  I ordered potstickers, the chicken and broccoli, which in NYC was my hands down fav and General Tso's chicken as a back up, because I've noticed that while Chicago can't seem to get chicken & broccoli right, they don't do too bad with the Tso's.   The potstickers seemed undercooked, and tasted quite doughy. The chicken & broccoli was bland and flavorless, so I switched immediately to the Tso's, which seemed to be welded together by the force of either the sauce or the breading...so in trying to pick up one piece, I ended up picking up about 5.  However it was prepared, it entirely desiccated the chicken, so I was eating hunks of breaded and sauced hardness....and the sauce wasn't even that flavorful.  So I guess if I'm ever really drunk and in the mood for something that doesn't taste like anything but fills my stomach and is nearby, I'll stop in again. Other than that, I don't expect to be a patron here again :(",0.9055,0.855,0.093,0.053,0.6029095349095349
2015-05-10,5.0,"My friends and I were involved in a pub crawl around Logan Square the other day...and after a few stops we got hungry.  The Blue Willow beckoned us with the promise of Chinese food.  There was no one in the restaurant at the time, but the folks running the restaurant quickly cooked us up a vast assortment of delicious hot entrees and everything was great.  Loved it.",0.9631,0.712,0.251,0.037,0.5475000000000001
2015-05-04,5.0,"I order carry out here, because it's close to my apartment. It's always ready super fast and is consistently tasty. The crab rangoon is probably my favorite in the city because it isn't extremely sugary sweet. Love the honey dew smoothie too!",0.9094,0.681,0.268,0.051,0.6583333333333333
2015-04-28,1.0,I ordered chicken fried rice to go when the restaurant was empty one night. I changed my mind and wanted to eat in the restaurant after I got my food. I was told I wasn't able to eat in the restaurant because I did not spend enough money to eat in. Bad customer service.,-0.6486,0.897,0.0,0.103,0.6483333333333333
2015-01-21,5.0,Great service.  Very friendly.  I had the steamed broccoli and chicken with won ton soup.  It smells great and tastes great.  If you're looking for a good take out place this would be a good choice.  Not a place I'd take a first date for all you Chinese lovers out there.,0.9829,0.57,0.43,0.0,0.598148148148148
2014-10-06,1.0,"I think I should preface this review by stating that I understand that this is a generic inexpensive Chinese restaurant and I believe my expectations were proportionately low when I decided to order take-out from Blue Willow. Even with that mindset I found this to be possibly the worst Chinese food I have ever had. My girlfriend and I ordered the Hot & Sour Soup, Mongolian Beef and Chicken & Garlic combination platters.  The Hot & Sour Soup could more accurately have been described as Hot & Sweet Soup. I understand that Hot & Sour Soup calls for a small amount of sugar but the sweetness in this dish was overwhelming. It also lacked any sour/vinegar. Finally, there were very few mushrooms (the best part, as far I'm concerned) which was a huge disappointment.  The Mongolian Beef was recommended by several Yelpers so I gave that a try. Instead of being spicy and flavorful it was bland and very oily. Also, the beef was very fatty/chewy and vaguely resembled brains. I didn't expects filet mignon but the quality of this meat was really off-putting.  My girlfriend's Chicken & Garlic (?) (Chicken in Garlic Sauce, something along those lines) was passable but it was very oily and bland.  Finally, the pork-fried rice that came with our dishes was perhaps the most edible of all the things we ordered but was also very oily and discolored which sort of made it seem like the restaurant recycles their oil or something. I don't know. It was bad. I will never go again. You shouldn't either.",0.802,0.871,0.078,0.051,0.5399166666666668
2014-03-31,2.0,Mediocre food. Bad service. Smelly place. Will not come back.  I dont understand why I can't get even one smile in Chinese restaurant.  The guy looked like was angry because he had to serve food.,-0.4215,0.711,0.123,0.167,0.4611111111111111
2014-03-23,4.0,Great special fried rice and egg rolls. I live around the corner and I usually order it and leave right away and it's always ready when I get there. This is my go to Chinese take out in bucktown,0.8442,0.753,0.219,0.028,0.4438775510204081
2014-03-17,3.0,"I order from Blue Willow when I want cheap, hot, basic and timely delivered Chinese food.  So far I have never had a problem when ordering via GrubHub.  I often get the combo plate which has pork fried rice, some entree (my go-to is the General Tso's or Sesame Chicken (basically the same thing) and an eggroll....all for under $9 and the portion is HUGE (I have leftovers for at least a day or two after).  I have dined in a couple of times and the place is small and always pretty empty.  The service is meh....not super friendly, but the owners refill your water regularly and check in often enough to see if you need anything.  Decor is not at all fancy, but it is what it is!  Don't expect 5 star service or pleasant ambiance, people!  It's a friggin' Chinese restaurant!  -_-",0.9242,0.874,0.116,0.01,0.5130128205128205
2014-03-02,1.0,"If I could give less than one star I would.  The owner is rude and obviously has no clue how to run a restaurant.  The food is mediocre at most. But the service is absolutely horrible. We have occasionally ordered in from here and the last two times they messed up our order.  The first time they gave us the wrong dish completely. After it was delivered we called and he said that we couldn't get the item we had ordered because they had just closed. We could get it another time but would still have to pay the delivery fee. Umm, that's messed up. How is it my fault you messed up our order? The next time we ordered (also delivery) the didn't give us any sauce after we specifically asked for it on the special instructions section of the delivery service. When we called to complain the owner was completely irrational. He was yelling at us and calling us liars! I have never been treated so poorly by an establishment.  We will never order from here again.",-0.9782,0.817,0.018,0.165,0.4476934523809524
2014-02-17,5.0,"For takeout , 5 stars! If you like BBQ Pork, you need to try theirs. A bit fatty (because it's BBQ Pork) but the flavor is excellent. I also recommend the General Tsao Chicken. Great!",0.9537,0.624,0.376,0.0,0.72
2014-01-11,2.0,"Ordered delivery online through Grubhub and was pretty disappointed. It took over an hour to arrive, the food was colder than I would have preferred, but the real kicker was the driver. He called me from outside my place and asked me to come get my food from his car. And when I refused and made him deliver to my door (oh the nerve!) he made a snide comment. Excuse me?? I didn't order drive-through delivery service.  The food was okay, but there are so many Chinese places that deliver it's not worth putting up with slow and crappy delivery.",-0.8177,0.829,0.055,0.116,0.36499999999999994
2014-01-09,1.0,"My quest for a local chinese food restaurant continues and this was the next on the list.  I ordered online, so I cannot speak for interacting with the staff. The delivery girl was very friendly though, even though it was in the thick of the winter storm. The food arrived very hot and well packaged, not to mention quickly. Things seemed to be off to a good start.  I had the Mongolian Beef, as recommended by Yelpers, and while it was flavorful, it was very oily. There was a ratio of 1000:1 glass noodles to pieces of beef. I ordered Mongolian beef, not glass noodles with a hint of beef. I also ordered the Orange Chicken.... tsk tsk. Bones in each piece? Grey questionable meat? Unacceptable.  Back to the drawing board it seems.",0.7111,0.871,0.09,0.039,0.42884615384615377
2013-09-30,1.0,"If I could give it a 0 stars, I would. Not sure why there were so many good reviews but this place is atrocious. Ordered the dumpling soup- they tasted like snot. The combo sesame chicken was so bad my partner couldn't even eat it, he ended throwing 90% of it in the trash. I had simple BBQ pork fried rice. Not sure how you can screw up fried rice, but they did. There was almost no flavor at all. The BBQ ""pork"" was actually BBQ lard, as the vast majority of it was giant hunks of fat. Not pieces of pork with some fat on them. Literally giant hunks of slimy fat. Ordering the delivery should have been an indication. Some woman yelling in the background made it almost impossible to hear what the dude was saying. As soon as I finished reciting the order for the third time, he hung up.  Click. Didn't ask for an address, didn't ask for any payment information. Just hung up. I called back to ask if he needed my address, and after repeating four times and having to spell out C-H-A-R-L-E-S-T-O-N, he hung up again, still without asking for any payment information. Click. Called back, asked him if they needed my credit card information, that took three attempts, too. The first he said there wasn't enough numbers, the second he said it was declined, the third he said he'd gotten the expiration date wrong and it worked. Click.",-0.3417,0.887,0.058,0.056,0.5564247921390779
2013-09-29,1.0,"I don't know what you people are raving about. This was the most disgusting Chinese food (if you want to call it food) in my life. The wonton soup, sesame chicken and rice all taste like snot. It's so gross I'm about to throw it all up and call the health department. Do not eat this bullsh#t. So gross.",-0.8713,0.774,0.055,0.171,0.4083333333333334
2013-09-22,1.0,"1 star is definitely way more than this deserves. Couldn't be more disappointed. Ordered food TWO HOURS AGO from here. Was supposed to be here within the hour. Still have not received. When we checked on the order after 1.25 hours they couldn't get a hold of the driver - just checked again (after 2 hours) and STILL had no idea where their driver was. Told them to go ahead and cancel. BUT GRUBHUB had to refund our order out of their own pocket because this restaurant didn't even do so. DON'T ORDER DELIVERY FROM THEM UNLESS YOU DON'T ACTUALLY WANT TO EAT. Now it's 2 hours after I wanted to eat and I have to start over. Just called back to check and they tried to ask me to pay again for the food and they could re-send and were EXTREMELY rude about the entire situation. Definitely would not recommend this place. It's a shame too, as we were looking forward to trying it.",-0.803,0.845,0.057,0.098,0.5075000000000001
2013-09-01,4.0,"Their Mongolian beef is the best I've had. The restaurant is just ok, but the food very good and big portions",0.8171,0.68,0.32,0.0,0.42000000000000004
2013-06-14,1.0,"I went to the restaurant once and it was good food so I thought, delivery would be awesome! especially since it's so close to my house. But when we ordered it, there wasn't much food, veggie lo mein, orange chicken, and broccoli & garlic. It took an hour to get here, and it didn't arrive in a paper bag, but a pressure cooker box.... Also, the food was cold and was absolutely disgusting, to the point where we had to throw most of it out. The orange chicken was slightly raw and grey in some plaaces (ew...) and there was barely any orange sauce on it. The lo mein was probably the most disgusting noodles I've ever had, super bland. And the broccoli and garlic didn't taste like it had garlic in it at all, overall the food was super bland.  I did talk to the owner and tried to tell him what happened to at least get a partial refund, but he would only give me $5 off our next order...and we didn't want to order there again.  Overall, do NOT order from here at all. Their food tastes like old grease and was terrible.",-0.8351,0.815,0.07,0.115,0.5869822485207101
2013-04-25,1.0,"Fried dumplings were raw, and the rest of the food (sweet & sour pork, BBQ pork, dumplings in hot oil, and Mongolian beef) were all just off in some way. Not a place I'll order from again. The saving grace was the crab rangoon. Delicious and not as heavy tasting as most places.",0.7096,0.838,0.116,0.046,0.5802197802197802
