date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-27,5.0,"This place holds a very special place in my heart. I love the owners, love the food. Always on time and always perfection. The prices are just right and the customer ALWAYS knows it's me on the phone ordering my chicken and cashew meal, super friendly staff. I've been coming here for years!",0.9735,0.667,0.333,0.0,0.6564625850340137
2017-06-25,2.0,Food was ok.  Service was poor.  We have to look for the server if we needed something.  I ordered a pad Thai and asked for it to be made spicy.  When we got the pad Thai it was too spicy to the point that it's inedible.  I told the waiter and he gave an attitude saying that if I order spicy you would get it spicy.  But it was so unbearable.  They did replace it though but the whole incident just made our dining experience bad.  I would not go back to this restaurant.,-0.7351,0.911,0.017,0.072,0.4333333333333333
2017-05-25,5.0,Great place for affordable food.  All the noddle dishes are great especially pad Thai.  I come to place at least 5 time a year.,0.8481,0.699,0.301,0.0,0.725
2017-05-21,5.0,"I love this place! Thai Valley has great food! It feels just like home when I'm there. We talk about life, byob, relax, and enjoy a great time with friends and family. Their tofu pad Thai, red curry duck, and wonton soup is the best! Try for yourself! You will enjoy it very much.",0.9869,0.568,0.432,0.0,0.4575
2017-04-21,5.0,"I have been going to this restaurant since I was a kid and now I'm 32- they're the only Thai place that has Spicy Rice Namsod salad- a must! Fresh ginger crunchy stir fried rice and pork and a vibrant dressing... amazing. Also the chicken satay, and Tom Yum Kai soup is amazing- order it Medium The only downside is expect slow service and plan on ordering everything at once",0.9117,0.794,0.18,0.026,0.7479166666666668
2017-02-25,3.0,The restaurant itself isn't very appealing. I wouldn't dine in there but I really enjoyed the chicken panang curry. I ordered it two days in a row. I had pad Thai there once and was disappointed.,0.1875,0.762,0.129,0.109,0.7625
2016-11-26,5.0,Food is so tasty and fresh and the service is excellent. On were is such a sweetheart always so happy to see us. By far the best Thai food in the city,0.9626,0.581,0.419,0.0,0.7166666666666667
2016-11-06,5.0,"Been coming here for over 10 years and it never lets me down. Tom yom soup is amazing, beef fried rice is my favorite, the shrimp rolls and that specific sauce are so good! I love this place!",0.9486,0.679,0.321,0.0,0.5856481481481483
2016-10-05,1.0,Signs on the door reveal that they've been closed by the health department. About time!,0.0,1.0,0.0,0.0,0.1
2016-10-04,4.0,"I've never dined in, only had takeout. I've tried a variety of things here, and everything's ok-good. But the combo fried rice is awesome. With some sweet and sour and sriracha, with a side of cream cheese wontons for the crunch... I bring it home when my wife's having a bad day :)",0.765,0.768,0.172,0.06,0.736111111111111
2016-09-23,5.0,"You can't beat Thai valley prices and portions. My family has been eating here for years. The waiter who is always working is such a good employee, it's too bad the owner does not have the same great attitude.",0.5423,0.769,0.154,0.077,0.5283333333333333
2016-09-01,4.0,"it's easy to be very particular about thai  in this town.  this place is not bad and gets points bc  it's in the hood and they deliver.  have gone many times and will surely go again.  the drunken noodles are just right.  prices too.  it's chill and you can hang out a bit and not feel rushed. also, check out that lunch special! they deliver--fast!",0.8986,0.834,0.166,0.0,0.6327664399092969
2016-06-21,1.0,To be honest I must say the food is good here but the service due to the ownership not helping the one employee serving and taking orders is super slow I've been sitting here for 12 minutes before I was brought a menu management doesn't care about his customers as much as he cares about his show on tv he ignores everyone and doesn't even bother to answer the phone when it rings he just stares at it money is he's priority though because as soon as he sees someone get close to the register he gets up quick,0.8215,0.783,0.142,0.075,0.5202380952380953
