date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-22,5.0,Great restaurant it get a big line sometimes but the workers are pretty fast and great cook place kitchen is clean all is served hot and fresh .big burritos and tacos are delicious they got the washrooms in good conditions.workers got hats and net and gloves great place to eat .,0.9887,0.55,0.45,0.0,0.6333333333333333
2017-07-15,2.0,"Food was ok.. there's definitely better in the area. We ordered tacos, a quesadilla con rajas, and two plates of birria. My brother had to step out to spit out a piece of meat because the birria was almost unchewable; my jaw tired halfway through the plate. The service wasn't the best either unfortunately.",-0.471,0.767,0.091,0.141,0.6
2017-01-24,3.0,"I went here because I was in the area and I did a Yelp search for good restaurants nearby and this place popped up. I was disappointingly underwhelmed. The food was not bad, it just wasn't great. If I am going to be honest, I was every so slightly turned off by their process. It's one of those places that you can tell caters to regulars. As soon as I walked in, the guy screamed, ""What can I get you?!?"" AS-SOON-AS I walked in. No time to look at the menu board, nothing. I tried overlook that and ask questions and I'm not sure if there was a language barrier or he was a firm believer in not working outside his job description of just making the food but I was irritated. While I appreciate the fact that the food was very fresh (I could both taste and see the freshness) but unfortunately it had no flavor whatsoever, which makes the food star rating a 2. The third star is for the following: the salsa, the watermelon juice (totally wanted to take my shoes off and throw on a sundress), and the thing that totally made my 30s---FINALLY getting enough napkins in a carry out order. The cashier lady totally rocks for that. Even though this review gives every indication that I would not return, I definitely will...I just won't make a special trip here. There are so many great reviews on here that I am hopeful that this was just an off day. Will return and post accordingly...",-0.8868,0.819,0.065,0.115,0.5687452758881331
2016-09-17,4.0,"When I was a recent graduate of high school 30 years ago I was introduced to this place by a stoner friend.  It was my first burrito experience and the one by which all other burritos are judged to this day.  I was a weekly patron for about 5 years until I moved far enough away that it was no longer convenient. The burritos are great.  They're about the size of a nerf football.  It's a counter service place with plenty of tables.  The counter staff are fast, friendly, and courteous.  It had been quite a while since I'd been here.  I had a wake to attend that was in the neighborhood which didn't occur to me until I eyeballed some familiar places.  After the wake I located the place with the help of my brother's memory.  I was pleased the place was exactly as I remembered it.  Burritos still huge and excellent.  Staff still friendly.",0.9786,0.807,0.179,0.014,0.6248958333333333
2016-08-23,4.0,Good burrito. A few pieces of grizzle or it would have been a five-star review. It's kind of to be expected in a carne asana burrito. There is something specific about a Chicago burrito that you don't find in the southwest or anywhere else. This place is exactly what I was hoping for. Friendly staff and great food.,0.9186,0.79,0.21,0.0,0.453125
2016-05-15,5.0,"Disclaimer: I have not visited Birria Huentitan in AGES... I am, however, very relieved to see that the joint I discovered nearly 30 years ago is still operational and -even MORE impressive- continuing to receive rave reviews (can't say the same for what was my 2nd-fave burrito place). My recollections: drunken visits at 2 am (with a waiting line out the door and down the block) for a DELICIOUS burrito that never made it home in the time it took to drive 3 miles north via Pulaski Rd. I also worked not far from there in the late 80's (Armitage and Kolmar) so I enjoyed some awesome taco lunches there, too. The exterior looks different than from back in the day, but I am looking forward to a return trip soon.",0.8917,0.901,0.099,0.0,0.5779914529914529
2016-04-20,5.0,"I have enjoyed this place for years.  I was introduced to Al Pastor here and order it all the time.  This place is great for late night or daytime meals but on weekends, there may be a line.  They work fast to get you on your way but you can also choose to dine in.  This is not an upscale place but if you value taste over ambiance, this is a great place to eat.",0.9253,0.833,0.167,0.0,0.6799999999999999
2016-02-11,4.0,Love chicken tacos and tostadas from here. Dont really care for the carne asada. Its open late and be prepared to wait in line late fri and weekend nights. This is the spot after the bar/club.,0.8622,0.775,0.225,0.0,0.5750000000000001
2015-11-27,5.0,Birria de chivo mmmmmmmmmmm!,0.0,1.0,0.0,0.0,0.0
2015-11-14,5.0,"One of Chicago's most underrated taquerias. It is located in West Humboldt Park so if you're scared and uncomfortable around blue collar Latinos and blacks don't come here. Stick with your wicker park ""taqueria"". Their tacos and burritos are always excellent. Carne Asada is always cooked perfectly! Juicy, tender, and not burned just how it should be. Their Al Pastor is one of the best also it comes straight off the spit and it's always crispy, juicy, and flavorful. I tried their lengua tacos once and it was cooked perfectly not chewy at all. Others would only give this place 4 stars due to their service but you don't come to a taqueria like this one expecting 5 star service, the waitresses have always been nice and have always taken my orders down correctly. The times I have been here there has been CPD officers taking their lunch here since on duty officers receive complimentary lunch here. (How admiring from the owner) so if you reek of weed or are paranoid about law enforcement don't come here as well, stick to wicker park.",0.9296,0.81,0.134,0.056,0.6510683760683761
2015-11-07,5.0,All time favorite late night Mexican food go to spot. I love this place. It has never failed me when I'm starving. Early or late the got me every time.,0.7965,0.663,0.263,0.074,0.4857142857142857
2015-07-07,5.0,"Great Streak made on the grill.. love the food!! Very authentic flavoring.  Service seems to be good, nothing to brag about. I wish the $6 Orange juice was cheaper.",0.938,0.624,0.376,0.0,0.7312500000000001
2015-06-22,5.0,I ''ve been going here for 30 years I love the food and service. Impartically I and a great number of my family love the Pastor meat the best in the city.,0.9584,0.561,0.439,0.0,0.5625
2015-06-19,4.0,"I walked over to Taqueria (Birrias) Huentitan today and had a really good lunch.  Two Al Pastor, a Pork Tamale + drink; $7+tip. See attached photo, got the time stamp on phone camera figured out, Rooster's beak was a little watery but had some heat, table service was great.  Earlier in the day I had the pleasure of shopping at the North Pulaski Fresh Market, my colleagues were down to 2-1/2 tablespoons of Costco coffee grinds.  Cafe Bustelo, good sized produce, and butcher selection that will bring me back to shop (Picanha?) Looked like good turn over and fresh. (Bedolla Super Foods 3850 W North Ave, Chicago, IL 60686) MK",0.9898,0.724,0.276,0.0,0.5005050505050505
2015-04-02,5.0,"It is what it is, good fast Mexican food, lived in that neighborhood when it first opened and it's still there for a reason.",0.4404,0.884,0.116,0.0,0.38333333333333336
2015-03-20,4.0,"I've been going there since I was a kid. There burritos are made to order, awesome taste.",0.6249,0.773,0.227,0.0,1.0
