date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-29,5.0,"Excellent! Everything is perfect! My friend and me were there last Saturday! Food was great,All employees was nice and kind! Definitely come back!!.",0.9669,0.451,0.549,0.0,0.6380952380952382
2017-08-19,4.0,"Two boys liked their chocolate chip pankakes and nutella crepe.  I had omelette. The Omelette portions are really big, but crepe and pancakes come with no sides. Not very big portions, but big enough for kids. The coffee is all right, but nothing to write home about. The hot chocolate was incredible according to my boys. Paper tablecloths make for fun drawing for the boys. Cute little place with big dinerbar and open floor plan. Out the door for all three of us for $45, plus tip.",0.8201,0.862,0.109,0.029,0.4740490278951817
2017-07-30,5.0,Wonderful stop with fresh brunch options.  The coffee is always good and the meals are made with fresh ingredients.   The service is great and friendly and attentive.,0.946,0.491,0.455,0.054,0.6785714285714286
2017-07-28,5.0,"It is definitely a very intimate setting with tables very close to each other. That said, their food tastes great. I had a breakfast blt which came with a side of potatoes. It was very delicious and filling. For drinks, I got a chi with ice and it was equally enjoyable.",0.9286,0.75,0.25,0.0,0.6341666666666667
2017-07-25,5.0,"This was an incredible breakfast. We took our entire family (3 kids) and we ate a plentiful amount of high-quality food with a total bill of just $60. The service is what was most incredible, however, the servers were superb and it seemed like after each sip of coffee, I had a refill with a smile. And the bread...not just any side...I tried the cinnamon raisin and sourdough toast and both were the best I'd ever had...with whipped butter and homemade jam.  The star of the show was my spinach, tomato and goat cheese omelette. It was melt-in-your-mouth scrumptious.  Delicious.",0.9643,0.816,0.184,0.0,0.6749999999999999
2017-07-10,4.0,"Was here for breakfast. Cute little establishment. No wait since we came here semi early on a Sunday.  Sat by the window seat so I had the bench leather seat.  They may want to consider either refinishing that or try a different material.  The weather's all cracked, dry and brittle.  I have a weird thing about nasty upholstery and sitting on it after thousands have sat on it before me and where i can definitely see wear on it, kinda skeeves me out.  Breakfast was good, nothing on the menu was that different or creative, but the food was good.  I had the B.E.LT which is basicallciy a BLT with an egg in it.  They put it on a ciabatta bread which was good.  Came with red potatoes which weren't crispy as I like them, but I actually didn't mind it this time, the seasoning was good on them and were quite tasty.  I would go back for some other stuff off the menu.",0.9131,0.832,0.122,0.046,0.5541666666666666
2017-07-08,5.0,"If you're not brunching at Toast, you're doing it wrong.  My girlfriend and I couldn't decide between dishes, so we ordered everything. And thank goodness we did, because everything was delicious! I had the chorizo scramble, with banana pancakes ""on the side"".  My girlfriend ordered an omelet, to go along with an apple and pear crepe. Yes...way too much food for two people, but we're no quitters! Whatever we couldn't finish at the table, served as solid leftovers the next morning. Great ambience. Friendly waitstaff. Reasonably priced. As a self proclaimed brunch expert, trust me when I tell you, it's well worth your time to give Toast a try.",0.9724,0.739,0.222,0.039,0.461111111111111
2017-07-07,4.0,"Toast is a super safe, family friendly option for brunch that has a solid back patio and that opens early enough to knock out brunch before attacking a big day full of the things you don't really want to do while toting kids around Chicago.  And I think it is BYOB so you can get yourself a cocktail before taking down the large portions at this place. I tried the chorizo scramble and was very satisfied, in part because Toast doesn't scrimp on the meat.  While the potatoes were a miss, I liked my challah toast on the side...from the pancakes I tried on my daughter's plate, I was pretty satisfied with this meal. Don't come here if you are looking for that out-of-the-blue French toast that is made with truly creative ingredients and methods in the kitchen.  This is vanilla, people...but, it's like good homemade vanilla bean ice cream.  Very solid, excited to bring the kids back for a future visit!",0.9855,0.746,0.22,0.034,0.4582229123533471
2017-06-24,4.0,"Truly wanted to try the stuffed French toast - looks absolutely beautiful but tastes just ok, nothing special. Also tried tenderloin eggs Benedict - pretty good. The restaurant has a nice atmosphere, fast but pushy service.",0.924,0.48,0.384,0.137,0.6589285714285713
2017-06-16,5.0,"Toast is a fantastic place for breakfast, lunch, or both! The menu has a wide variety of basically anything you'd ever want to eat for breakfast, as well as great unique sandwiches. I had the B.E.L.T., which was a bacon, egg, lettuce, and tomato sandwich with some potatoes. Excellent! The ambiance was a bit loud though, but the service and overall vibe of the place more than offset the excess noise. Highly recommend!",0.9094,0.811,0.189,0.0,0.6544444444444444
2017-06-12,5.0,"Great food and service, went there at 10:30 on a Sunday expecting a long wait, luckily we were seated in the nice patio in the back right away. The tenderloin eggs Benedict was amazinggg, will be coming back for that again!",0.8832,0.75,0.225,0.026,0.5027210884353741
2017-06-11,5.0,"First time here, went for lunch on a Sunday, very nice, good choices, flavorful dishes.",0.7408,0.657,0.343,0.0,0.6444444444444445
2017-06-07,5.0,"I MUST have the recipe for the crack they put in every dish here! I have yet to be disappointed with a meal at Toast Dos so I will continue to throw my money at them. My most recent visit was on a Sunday around noon for 2 and there was no wait for the back patio (even for a gorgeous day). The tables are close together but it makes for fun conversations with random people who look on enviously at your food. After I drooled over the menu for 10 minutes, we finally decided to share a few plates (because we're fat like that): Tijuana Omelette, El Bucktowno sandwich with potatoes & the Stuffed French Toast. I expected to have a clear favorite but I honestly cannot pick which gave my taste buds the most joy! The Tijuana was the perfect amount of spicy and savory (didn't have to douse in hot sauce which is a rarity for me), El Bucktowno's bread was made by angels and hand-delivered here, and do I have to say anything about the stuffed french toast that the other Yelpers haven't already said (I will eat cardboard as long as there's Nutella on it so perhaps I'm easier to please than most)?! The service was great even though our server was busy with all of the tables on the patio and we were able to order, eat and pay all under an hour. Even if this wasn't a stone's throw away from my place, I would frequent this joint until I tried every. single. dish... twice.",0.9931,0.814,0.168,0.019,0.477689594356261
2017-06-04,4.0,"Overall seemed like a solid brunch place! The wait was 45 min+ on Memorial Day but that's probably to be expected. We requested a seat on the back patio, which while it was nice to be outside on a rare warm Chicago day, but the patio wasn't anything special and the table was wobbly.  Many menu items seemed unique and tasty, I got the Mascarpone and Pine Nuts pancakes. The pancakes themselves were really neat because they're flavored with anise! Large portion, but because of the mascarpone the pancakes got very mushy and soggy, wish this came in waffle form or something. Still enjoyed the uniqueness and I would come back to try other menu options !",0.9484,0.783,0.172,0.045,0.4191176470588236
2017-06-03,5.0,I crave the mascarpone stuffed french toast all the time it's amazing with strawberries! So good! It gets crowded here on the weekends where there typically is a wait so I try and go at off times when I get the craving for the stuffed mascarpone french toast. The restaurant is smaller so keep that in mind if you have a big party it may be more difficult to find a spot.,0.8168,0.826,0.137,0.037,0.4555555555555555
