date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-14,5.0,"Needing a change from Mariano's I decided to push myself to come here more. I'm glad I did. While I can't get everything I need for the week here you can certainly put together a good meal. I've only tried the taco meat but it's fantastic, fresh, and priced well. The produce is fresh - my Mariano's produce goes bad days before I have to worry about FPP items.  Great beer selection in an ice cold freezer - it really helps you make your decisions faster. Everybody is very friendly and helpful. Lastly, not many mentions about the awesome deli sandwich you can get for $7. The thing is massive!",0.9881,0.625,0.313,0.062,0.7086309523809524
2017-06-23,5.0,This place is small but manages to pack an impressive selection of groceries and variety into the space. The staff are always nice and helpful. There are not a lot of food grocery options in this area (the world's worst Mariano's is the main game in town a few blocks away) and I like supporting a local business.,0.899,0.636,0.256,0.108,0.4981481481481482
2017-05-02,4.0,"I love this place. It's only 2 blocks from the house so it's very convenient for me. They have very fresh produce and a butcher and deli counter there. They have a nice wine selection , but they have an extra room which is a freezer and it's filled with a huge selection of craft beer! The prices are reasonable as well.",0.867,0.782,0.195,0.023,0.6722222222222223
2017-04-19,5.0,"Looking at the storefront, you wouldn't know for sure even if it was operational. I moved to the neighborhood assuming I would have to shlep to Mariano's. Turns out, Farmer's Pride holds down the basics and beyond. The kind of store that you might take for granted in New York, but in Chicago is a real treat.  I've been falsely accused of shoplifting twice in my life, once at Whole Foods and another at Farmer's Pride. I was manhandled and treated like dirt at Whole Foods, but at Farmer's Pride they were totally cool when I explained what had happened, the cashier apologized, shook my hand and made it clear that he wanted me to return. I was booted out of the garage at Whole Foods even after it was clear I hadn't taken anything! That speaks to the difference a quality independent business like Farmer's Pride makes.   Consistently quality produce and a nice variety. They have a good blend of higher priced items & healthy stuff along basic staples.  Highlights: a bunch of different gnocchi, noodles + sauces, wide variety of coffee and big local beer selection, oats/grains/beans, frozen fruit, all the La Croix, squashes, almond butter, beyond basic produce like leeks + two varieties of kale, cheap nuts, variety of onions and potatoes, cornish hens in the freezer, simply OJ.",0.9921,0.736,0.216,0.047,0.4396589521589522
2017-02-22,4.0,"Come here instead of Mariano's anytime. They have a good selection of organic fresh produce and products, good wine, cheese, hummus and chocolate. They also have a deli and fresh meats and chicken. You basically get everything you need except good ice cream. The lack a better selection. Who eats Ben and Jerry's anymore.   Wish they got rid of all the can and soda and replace it with better (whole food like) dry goods. People will buy them around here.  The cashier girl is a little dizzy but is better than the black independent women from Mariano's that surely do not give a flying f about anything or that you are a paying customer.  Come here for the produce and groceries stay for the friendly service.   Good job guys!!   Ps. Get some better ice cream no? (Hate going to cvs)",0.9807,0.741,0.223,0.036,0.5630116959064327
2016-10-01,4.0,"This is a great local grocery store for produce and speciality items but you can't get everything you need here. Its got a good sized beer and wine section which is nice and if you're a vegetarian they are stocked with a variety of Tofu, Upton's, and other non meat brands that you wouldn't expect at a small store. There are a lot of gourmet and European foods too, definitely fun to browse and find some new brands to try",0.959,0.792,0.208,0.0,0.41994949494949496
2016-08-30,5.0,"Tried it for the first time today (they opened a new location in Logan Square a few days ago). I think the concept is great - small, local grocery store that has everything you need (99% of the time) for daily cooking. Easy to get to, has parking if needed, and easy to get around. This beats walking around a giant grocery store for an hour, realizing you forgot something at check out and then having to run a quarter mile across a warehouse to get it. And in Logan, add another 30 minutes of traffic to get to any decent grocery store in the area with fresh produce and a deli counter.  This won't replace Costco for big bulk purchases or whole foods/Marianos if you need some very specific ingredient, but for day to day grocery shopping they have everything you need.",0.7269,0.942,0.058,0.0,0.4355808080808081
2016-05-08,5.0,Friendly staff and hands down lowest prices. Their produce is high quality and the selection is excellent for such a small store. I've probably shopped at a half dozen other grocery/produce stores in the area and Farmer's Pride is my favorite.,0.8658,0.695,0.252,0.053,0.5300617283950617
2016-04-19,5.0,"I really love shopping here. You know you'll get good produce and good meats. The employees are always friendly and helpful. And they have a huge selection of wine, beer, and liquor now. It's fantastic.",0.969,0.539,0.461,0.0,0.6833333333333335
2016-04-18,4.0,"Local, small grocer in the Ukranian Village/Humbolt Park area. This place has an epic selection considering the size of it - it has a little bit of everything.  Cool vibes/thoughts: + Great selection of beer...I mean they have dedicated a walk-in cooler for beer.  That's pretty awesome! + Vegan products are sprinkled throughout the store.  Amazing! + Produce is fresh and I have been in there a couple of times where I have seen them clean the refrigerated veggies! + Prices are reasonable in comparison to Mariano's down the street.  + Meat is surprisingly a decent price and with nice cuts of meat! + Customer service is amazing and even remember a familiar face (I only come into town a couple times a year...it was very comforting to have them remember me!!!) Support local, they are amazing!",0.9916,0.692,0.294,0.014,0.620138888888889
2016-02-16,5.0,"Ever since the new owners took over at Farmers Pride Produce, a handful of years ago, the quality of their produce, deli, bakery goods and especially their employees have maintained high quality. Before the new owners, I was a huge advocate of Farmers Pride's products and people.  I continue to feel that way.",0.5719,0.909,0.091,0.0,0.6698181818181819
2016-02-15,2.0,I love the convenience of this store.. I mostly come here to pick up last minute items for dinner.. I could not shop here regularly as a main source for groceries. The quality of produce is atrocious. Meat is okay. Good beer selection - they have many craft beers. Fair selection of frozen munchies and assorted boxed/canned/jarred foods on the shelves.,0.8834,0.821,0.179,0.0,0.5555555555555556
