date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-19,5.0,"Walked in without any expectations and was very pleasantly surprised. House wine was good, goat cheese appetizer super yum and main dishes were large portions and amazing! Shared the tiramisu and it melted in my mouth. Prices were reasonable. Will definitely be back!",0.9677,0.622,0.378,0.0,0.5535714285714285
2017-08-06,5.0,"This was my third time at Leonardos. The ambience is really great warm and inviting. The BEST Italian food in Andersonville, hands down. I have tried a variety appetizers and entrees and each one is better then the next, have never been disappointed. Can't say enough about how AMAZING the food is at Leonardos. The only one critic I would give management is the service is a bit slow and unorganized at times. If you love Italian food this is the place to check out in Andersonville.",0.9796,0.711,0.269,0.02,0.4392592592592593
2017-07-30,5.0,"Last night I had dinner here with some girlfriends and we all loved it. First time there for me since it reopened, and first ever for them.  The ambience, food and service were all great. The veal Marsala and baked goat cheese appetizer were the biggest hits. The only negative comments, and these were minor overall, were that we had to wait a little too long to settle up the tab and the restroom had poor quality paper napkins to dry your hands.  Highly recommend!",0.6468,0.813,0.116,0.071,0.4659523809523809
2017-07-13,5.0,They are open - despite various warnings on the Web  Had a great meal - food and service to boot  Baked Goat Cheese is a must - if only because it is different (sauce is cool too)  Split a Ceasar Salad - normal/well made and nice dressing (with a surprise crouton alternative) Seafood Platter (Fuite de Mer) Pasta --- lots of excellent tastes  Rigatoni Vodka - the special with two meatballs - the pasta and the meatballs hit the spot Well made - tasty - and large portions (yes we took home entrée portions large enough for another meal) . Price was already reasonable and then add a full extra meal - cool beans,0.9682,0.79,0.21,0.0,0.6142857142857143
2017-07-09,5.0,"This is my favorite place in Andersonville.  The atmosphere is sexy, the food and wine top notch.  So glad its here.",0.8883,0.597,0.403,0.0,0.875
2017-07-04,4.0,We live just down the street and were pleased to see Leonaro's reopen. Went for dinner Sunday evening for my wife's birthday. Three different groups in the room while we were there so no waiting. Service was very attentive. Goat cheese appetizer and veal marsala were very filling and tasty. Wonderful décor. Definitely recommend.,0.8374,0.77,0.185,0.045,0.648611111111111
2017-06-03,5.0,"This is a great find. Food is incredibly fresh and reasonably priced. I started with Tito Martini which was $12 and a nice pour with blue cheese olives. Fresh bread with a garlic butter was great flavor. I had fresh garden salad which was heaping with red, green peppers, red onion, cukes, tomatoes - and nicely chilled. Main dish was Night's special - white fish prepared over spinach with a nice light topping. So light and tasty. Service was great - space was very cool. They also had good selection of appetizers like fish cakes,  calamari, etc. And good selection of pasta dishes, steaks, which I will try next time.",0.9911,0.66,0.34,0.0,0.5260766045548654
2017-05-07,5.0,.Beautifully renovated.  Wonderful service. Delicious food. Loved the eggplant.  Goat cheese app and the meatball with polenta were first rate.  Great martinis and wine list. Wonderful loved it.,0.9812,0.44,0.56,0.0,0.8119047619047618
2017-04-15,3.0,"The ambience and food are pretty awesome, but the smell of stale cigarette smoke that permeates the restaurant is unfortunate. You smell it as soon as you walk in. Not appetizing",-0.09,0.764,0.127,0.109,0.82
2017-03-26,5.0,So happy to see this place open again! I came in this past Friday to meet up with friends after work and we started off in the bar area-which had PHENOMENAL drinks! We then continued with dinner where we started with the baked goat cheese appetizer and I can tell you it's a must try! We will definitely be coming back!,0.8992,0.834,0.166,0.0,0.4583333333333333
