date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-25,5.0,This is a great neighborhood bar which is great itself but add to that the food being excellent and you have a 5 star place to come!,0.8871,0.668,0.332,0.0,0.8333333333333334
2017-07-18,3.0,A friend and I stopped by this place one afternoon and sat at the bar! He lives a block away but had never been!! We enjoyed each other and the couple seated next to us but other than that nothing special stood out for me! The bartender took our orders but did not seem too interested in conversation with her patrons!! Customer service is everything!!,-0.8956,0.778,0.029,0.193,0.42023809523809524
2017-07-11,4.0,"Pretty neat spot with a cool nautical theme and some nice menu options. Two visits ago I had the Philly cheese steak, which I remember being a little disappointed by...I think it was that the food didn't come out as hot as expected. The last time I was there I had the fish and chips, which was really, really good. It came with two fairly big battered pieces of cod, some hot and crispy steak fries, a mound of coleslaw, and tartar sauce. The coleslaw ran around most of the plate, which would have been a problem if it tasted bad, but it tasted great. Would definitely order again, and/or go back for their all you can eat fish fry night.  They have some nice looking salads too from what I could see at other tables. Also they have a few tables outside where you can sit with your dog, which is great, although it's not a huge space (3 somewhat tightly packed tables). They do seem pretty dog friendly though.",0.9843,0.761,0.194,0.044,0.5657619047619048
2017-07-09,5.0,"*bites fist* Let's out slow happy cry...,""I love this place."" Awesome things about Weather Mark Tavern: - Street Parking is available  - The brunch is frigging amazing. The food is (in Cookie Monster voice) gooooooood. I don't even like breakfast food and I can't get enough of this place.  - Bottomless Mimosas for $10- $20 I don't think you could ask for more you really don't have to because they fill up your glass constantly. I'm so glad I took a Lyft to this place because there's no way I could drive home after that. Maybe I'm a lush but after a while I said hey just hold the sugary orange juice and give me straight champagne. Lol   - Its a comfortable place to sit and catch up with a friend, eat alone, or watch the game.  - The crowd does not mingle but as good as the food is I don't think you need them too. You can enjoy yourself all by yourself.  Cons- Honestly, I can always find an area of opportunity but I really like this place. It's not ultra fancy, but it's above average and we don't need ultra fancy every day, do we?",0.9903,0.748,0.213,0.039,0.5619047619047619
2017-07-03,3.0,This is my second time coming to weather mark. Today there was only 1 waiter on a basically full house let alone her being new and having no idea about anything on the menu. (I do not blame her this was her first day)We waited about 15 minutes for our waiter to come and give us menus then another 15 for her to come back. After about 20 minutes our food had came. The ribs I ordered were badly burnt and not good at all. We asked the waiter to bring us 2 burgers instead. The burgers were very good. I would recommend getting the burgers instead of ribs.,-0.744,0.852,0.042,0.106,0.4871717171717172
2017-06-07,1.0,"This place SUCKS! went there for a pre- concert meal (u2) and the service was a disaster and my meal was cold. Waited 35 min. To be greeted and take order and it took 2 hours for my food to come and it was cold. The waitress never apologized and then the manager came over upon our request and yelled at us ""what do you want me to do? The past is the past"" then he said just forget about it...your meal is comped.....THEN charged our CC 350.00 DOLLARS! JUST GOT THE BILL!!!! Don't go there....settle for a hot dog or McDonalds !!!",-0.8948,0.84,0.031,0.129,0.6083333333333333
2017-06-04,1.0,90 minutes and no food.   manager said he didnt know what happened.  dont go to this place,-0.296,0.879,0.0,0.121,0.0
2017-05-22,5.0,"I went to the Weather Mark tavern recently.. day drinking on a beautiful Chicago day.. appetizers were great , fried pickles and risotto (vegetarian) , but the service was even greater thanks to Hilary. I work in the service industry and have high expectations. You can order a drink or dinner anywhere, but the bartender/ server makes all the difference. Thanx Hilary!! Can't wait to come back !!",0.9227,0.814,0.186,0.0,0.4628571428571429
2017-05-20,5.0,"Been here several times when in the neighborhood for business. Reasonably fun nautical theme, clean, fast, friendly. It doesn't get much better for casual dining.",0.8222,0.599,0.329,0.072,0.48095238095238096
2017-05-08,2.0,"I've had this place bookmarked since 2008! I think I saw it on Check Please! Which is why I had such high hopes.  We came here on a Thurs for pub trivia. There isn't a set spot for the game, it just happens all over the bar which is annoying for both the players and the non-players. Its very loud and hard to hear anything. And we had to show the guy that he was adding up our points wrong (for those keeping score) The people there are very nice but the service was terrible. We were never offered waters, we had to order beers multiple times, and they charge $3 for soda - no refills.  The food looked ok. Regular pub fare. When it was time to leave the checks were a total mess. We also had to ask for it multiple times. Not only were things not charged right, we didn't get the daily 1/2 price appetizer special. We were so ready to leave that we didn't point it out. Full priced tots! There's trivia all over the city. No need to return.",-0.3636,0.802,0.09,0.108,0.5447967905110763
