date,star,text,compound,neutral,positive,negative,subjectivity
2017-05-21,4.0,"It's a late night bar, 4 a.m. and 5 a.m. on Saturdays. It has everything you would except at a 5 a.m. bar on Saturdays. It's actually a cool place. Drinks are good and they have a decent beer. Been here a few times, met and talked to some random but cool people.  It's never been packed when I have been there but a decent crowd. 5 a.m. bars are always a bad decision, this bar makes it less of a bad decision.",-0.714,0.802,0.081,0.117,0.5303030303030304
2016-10-03,5.0,"Some of the best people you'll ever find! Victor and Katie run the show, for all of those who avoid 4 am bars because it's a Zoo...this is the place to go. Great people, good vibe, reasonable cost. The only 4am I will ever go to again and a spot that I'd be happy to patronize any hour of the day.",0.9324,0.749,0.219,0.032,0.7083333333333334
2016-08-21,4.0,"Yeah, it's like you're walking into your creepy Uncle's basement who for some inexplicable reason has a full bar with wood paneled walls and framed pictures of 80's celebrities. And yes, the year-round Christmas lights remind you of a dorm room trying to class up the joint. But if you hit this place up before the 2am rush of drunk assholes, YOU can be that drunk asshole in either a completely empty bar or among a handful of strangers who will begrudgingly listen to the shitty songs you insist on playing on the jukebox (Labyrinth's Magic Dance, anyone?).  They actually have a pretty decent beer selection for a dive bar, and the bartenders are pretty cool (will serve you some shot you've never heard of but is absolutely delicious).  They serve food that I've always been too afraid to try -- but I gotta admit the flaming cheese has me intrigued.  But considering I'm always trashed when I'm there, a dish that's on fire probably isn't the best idea....",-0.5021,0.827,0.083,0.09,0.7711111111111112
2016-02-21,3.0,"Nicer on the inside than expected, with wood paneling kept in good conditions and a strong jukebox playing. Bartender was very nice on a Saturday night although she has a limited bar to work with. Definitely a place to talk to friends while nursing a very cheap (in taste) domestic.",0.9509,0.63,0.337,0.032,0.5482738095238094
2015-07-03,5.0,A strong decent neighborhood bar in Chicago. There is an age limit in this bar from the one time I went and numerous times driving past it as everyone looked like they just either graduated college or high school. The place is cool yet small inside and beats any strip mall bar you will find heading East with good bar service and a laid back atmosphere. Across the street from another very popular bar in this hip area. Worth a visit.,0.9324,0.816,0.184,0.0,0.4945454545454545
2014-06-16,3.0,"The sign says 'Open till 4am,' but they were definitely open until 5am on the night I was here... so it's got that going for it.  A friend (who is not from Chicagoland) brought me here to show me (who was born and raised in Chicagoland) what a ""real Chicago bar"" is like.  Thanks, condescending friend.  Sure, it's blue collar Chicago-y, but it also has wafting smells of toilet water that are hard to ignore. And I gotta be real, it didn't seem all that different from just about any townie bar in Schaumburg. From the clientele to the terrible music they chose on the juke, to the super dark bar and dimly lit 80's type diner area, all I kept thinking was that this place seemed plucked right out of the suburbs and got a break with that early morning liquor license... because who doesn't love watching the sun come up over your final beer? Props are due to the easy peasy street parking sitch, the really friendly and on-point staff, the surprisingly decent craft beer selection they had, and it was nice that nobody made a face when my second and third round at the bar was a water. I could easily see where this would be a regular stop for locals, but a true slice of Chicago Americana? I don't know about that.  Also, there should be a law about how many times drunk girls can play Cyndi Lauper's 'Girls Just Wanna Have Fun' in a row on the jukebox. Thank you a million times over to whomever broke the streak with a Pixies song. I owe you my sanity.   All in all, a solid 3.5. Everything you'd expect it to be from the outside is what it is on the inside. Not a terrible thing and as far as late, late bars go, this is actually one of better ones... maybe even your best option if you absolutely need to be out and about around the 4am hour.",0.9935,0.742,0.187,0.071,0.5028141170998315
2014-03-20,3.0,"Oakwood is definitely one of those places you go and then wake up Sunday morning thinking that you shouldn't have gone to a 4am bar. It's strategically situated across from Fountainhead so when you've had your fill of fine ales and can't really notice the taste of swill, this is a perfect spot.  Overall the bar doesn't offer too much in terms of beverage selection but gets by on vibe.  It can be chill, it can be dancey, you can essentially make it what you want.  I stumbled in here on a Saturday night and our group decided to start throwing down the dance moves to Wilson Phillips but it was great because everyone else was so tanked they didn't notice how terrible it was. I don't consider 4am bars (outside of Hangge Uppe) real destination bars but if you're in vicinity and need a place to booze it late, this place is decent and old school looking.",0.9329,0.901,0.099,0.0,0.42222222222222217
2014-03-03,5.0,"My son and I were out for a winter hike enjoying the snow.  I'm from Philly, he lives in LA and we were in town for a family party.  Meeting at Slim's across the street for hot dogs with family members.  We had enough time for a quick pop of something clear and alcoholic. The Oakwood 83 lit up one corner of the intersection.  Gus and Victor were the only two guys in there on a Saturday night.  Father and son ordered Ouzo and the gents comped us on a refill.  I used to live in Albany Park back in the day, and lived as crazy and wild as a guy could manage in 1977.  Some 35 years later, here I am back in Chicago, nursing a shot with my 23-year old son.  For me, sweet and poignant.  The ghosts of Nelson Algren's barflies and bums seemed to fill the empty seats around us.",0.8176,0.897,0.076,0.027,0.469607843137255
2013-05-06,2.0,"nothing too special and the beer selection is bad. however, the bartenders are always nice and i like that there is a piano in the bar that you can play. i would never go out of my way to come here but since i work down the street, it's a place to go in a pinch. i think my favorite part about this bar is the amazing half lady/half tiger 1980s picture on the wall when you walk in.",0.8927,0.779,0.174,0.046,0.6562358276643991
2013-01-29,3.0,"Is Oakwood three-star quality?  No. But it holds a special place in my heart, because every time I ended up there, it meant I had had a good long night of drinking and didn't want it to end. I'll list the strange things about Oakwood that lead me to like it in some kind of perverse way: it's really a diner. So at 4 AM, when it's packed full drunkies, you all hang out at the 80s fake wood diner tables and booths. But it's like the diner isn't really open. So you are actually hanging out in a closed 80s diner. You always see the same characters every time you come. Oakwood has dedicated regulars, and the same guys will hit on you over and over again. These same characters have no sense of  manners. On more than one occasion, my boyfriend and I were pestered and bothered. These guys don't care if you're with your boyfriend, which is pretty hysterical. On big nights out, like halloween weekend, this place is hopping at 4 AM. Peoples' costumes are barely in place, no one can create full sentences, and everyone becomes best friends when masked with beer goggles. This dive bar/diner thinks nothing is embarrassing. So solo-dancing to your jukebox tunes for five songs in a row is not frowned upon, or even given special attention. You WILL witness a passionate argument or fight outside the front doors. Now that I don't live down the street, I certainly won't be making trips to Oakwood. But if you live nearby, drop in, because this weird place is a stand out among the rated G vibe of Ravenswood.",0.913,0.764,0.134,0.102,0.459592227695676
