date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-19,4.0,Nice patio. Love the umbrellas to block sun while enjoying nice weather. Good drinks. Service should be faster and more consistent. We ordered the same two drinks twice and both our drinks were vastly different round to round.,0.9217,0.627,0.316,0.057,0.5522727272727274
2017-08-04,4.0,LOVE this neighborhood bar for chill day drinking sessions on their patio or happy hour after a long day. My personal favorite is to get their nachos! I always get them with chicken and I'm never disappointed. Great size for the price (~$13)! Staff is attentive and laid back. Never a bad experience here,0.8392,0.676,0.222,0.102,0.6651515151515152
2017-07-18,1.0,This place really really sucks the food was good but the experience just ruined everything for me with sucks to say because i was so excited for the patio. The management is absolutely horrible. Servers were good. Managers were unbearable . I had the worst experience here with a manager named Keith and another taller one with a beard. They were rude and not professional AT ALL. DO NOT GO TO THIS ESTABLISHMENT,-0.9528,0.627,0.106,0.267,0.5833333333333334
2017-06-22,1.0,"Leave a cash tip, or no tip as the servers have no problem stealing from patrons after horrible service. Their slick addition of one dollar to each credit transaction adds up for them. What a horrible practice. I will not be returning.",-0.9371,0.589,0.049,0.361,0.7916666666666666
2017-06-04,3.0,"The drinks here are waaaay to sweet. Tried a drink with whiskey and raspberry tea that tasted like candy. The whiskey sour was all sweet, no sour. The manhattan was extremely sugary too. Our server was nice. Super slow though. And the overall ambience and set up is cool. Lots of open air and outdoor seating.  Overall, good environment but the drinks are just ok.",0.8979,0.752,0.226,0.022,0.486904761904762
2017-05-29,3.0,"This review is solely based on the drinks, which were excellent. The drinks were strong, which I appreciate. I would def recommend trying the frozen sangria it was so good! Check your cups, someone in our party got a dirty cup with someone else's lipstick on it.",0.9436,0.629,0.322,0.049,0.7833333333333334
2017-05-24,1.0,This was once a place to go. Not any more. Pretentious and bland food. Twenty five years ago the place rocked. Now the owners seem to not care anymore. Outdoor dining and bad wait staff is not a good combination.,-0.8193,0.804,0.0,0.196,0.6599999999999999
2017-05-24,1.0,"In response to whomever the ""gentleman"" is that responded back to my comment (ahem, 7 months later), is completely wrong and was not present. Not sure why the guy being a football player (which he absolutely isn't), would matter how he treats a patron. The ""too big to throw out"" comment was NOT a joke as I said, ""is this a joke?"" And the manager said, ""no, I'm sorry it's not."". Your response is just as disgusting as the actions that took place that night. No wonder this is allowed at the establishment with supporters like you.",-0.6114,0.795,0.074,0.132,0.5320987654320988
2017-05-18,4.0,"Pretty decent happy hour. 'First Bites' are half off. We had the nachos, protein was extra. They were great! Plenty to share as well.  Drink specials until 7. Nice patio!",0.9564,0.562,0.438,0.0,0.6270833333333333
2017-04-23,4.0,It's close by and I don't expect a lot here so it's perfect for simple bar fare. They have sweet potato fries and a good burger. (W/bacon) decent whiskey selection and okay taps. Service is usually friendly and coherent. That's not a guarantee in a lot of sports/local bars.,0.9222,0.694,0.274,0.032,0.6217261904761905
