date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,2.0,"Once a reliable option in a chain restaurant driven neighborhood, now just feels out dated and lackluster in both food and service. Ordered several items(appetizer/drinks) that never appeared, and zero dishes we received were without flaws. Won't be back.Too many other great options in River North these days.",0.6249,0.916,0.084,0.0,0.40625
2017-09-02,5.0,Brunch at Hub 51 was delicious! There are a variety of food options from sweet cinnamon bun pancakes to savory breakfast nachos. The food is reasonably priced too and the portions are large. Service was fast and friendly.,0.8805,0.769,0.231,0.0,0.6297619047619047
2017-08-20,5.0,"This place has hands down the best nachos I've ever had, and also the nachos themselves could feed an entire family of 4.",0.6369,0.84,0.16,0.0,0.4046296296296297
2017-08-20,3.0,"Business lunch here the other day.  It was just ok... Guacamole:  Fresh and good Tuna Poke:  Pretty decent but the tune could have tasted fresher Prime Rib Sandwich:  Meat was good but the fries were HORRIBLE!  The WORST fries I've had in a restaurant, EVER!   I can't deal with a restaurant that serves meh fries.  Services was good. With the vast and wonderful selection of restaurants that serve this type of food in the city, I will probably never make it a point of coming back.",0.4561,0.685,0.181,0.134,0.6801282051282052
2017-08-17,3.0,"Three stars is somewhat generous here, mostly because I have been to several Lettuce Entertain You restaurants. For example the Santa Monica Summer House in Bethesda, MD is just terrific. Service was slow at Hub 51, and I expected more from the food. I had the filet steak tacos.  They were barely warm after waiting over 30 minutes, and there were parts of the steak that were tough and hard to chew.  The bartender kept switching the TV's, and we were trying to watch the Braves game. Each time we mentioned something, it was changed to our game, but minutes later switched.  Strange.   It was a business dinner, but I am happy to give it another shot for a social visit.",0.854,0.85,0.112,0.037,0.45277777777777783
2017-08-16,3.0,"Food was OK, but we waited over and hour to get our entrees' and the place was half empty. I was told after dinner there was a big group order put right in front of ours (4 ppl). I wish we had known that before we ordered...",0.5133,0.842,0.113,0.045,0.36047619047619045
2017-08-13,2.0,"If you're wanting some exceptional food, do not come here. The only good thing about this place is probably the ambiance. The food is mediocre at best. I got the king crab and shrimp roll, and my boyfriend got the burger. The sushi roll was very underwhelming and a rip-off for the way it tasted. Very little shrimp and crab and too much rice. Burger tasted worse then something I could make myself (btw I am a horrible cook). Fries were decent - nothing special. As for the service, the waitress was great but forgot to add my lettuceeats points. I emailed and tweeted about this but still haven't gotten a response. Will not be back.",0.2894,0.887,0.062,0.052,0.6092063492063493
2017-08-13,4.0,"Hub 51 has great pulled chicken nachos! These are perfect as an appetizer. I was with three people, and there were plenty left. I then got the beach club cob salad, and it was good! I was really hungry and honestly left hungry, but if you like bacon and thick chunks of blue cheese, you'll love it!",0.9578,0.717,0.283,0.0,0.46749999999999997
2017-08-13,5.0,Trying to find a place in the city to eat breakfast was no easy task. Everything was a 2hour wait. Luckily we found Hub 51 and the food was amazing. Breakfast nachos and the cinnamon roll pancakes were the best we've had. The manager Dan W. runs a great place and Hub 51 is definitely a must eat when downtown!,0.9642,0.676,0.294,0.03,0.6861111111111112
2017-08-06,3.0,Good spot in a great location close to a lot of offices and attractions.  I went here with clients based on their recommendation.  Luckily I made a reservation as it was pretty packed around lunch time.  I went with the prime rib dip and it was good.,0.9595,0.646,0.354,0.0,0.7566666666666667
2017-08-05,5.0,Great veggie brunch options. We tried their veggie burger and french toast. One of the delicious french toasts I've had. Would definitely recommend their mimosas with housemade punch..,0.9186,0.649,0.351,0.0,0.45
2017-08-04,4.0,"Back for another great meal. It's not a big menu but everything they cook is great. We like to work the appetizers some nights. We started with the guacamole which is fresh and has corn on the bottom of the bowel. Great combination. The ahi tuna poke is one of the best I've had. Beautiful red tuna ! We shared the chicken tacos which they split for us. It had so much flavor I combined all the beans, rice, tomatoes, etc in the juice of the pulled chicken bowl. Last time we were here the salmon I had was far better than Shaw's.  I never get a bad meal here. First look of the menu looks like bar food with sandwiches and tacos. If you look closer there are some real food gems.  The guacamole and chips are a good start. We tried the shaki shaki tuna which was small tuna chunks on rice cakes. Delicious! We always like the 3 green bites with edamame, shishito peppers and tempura green beans.  The sushi rolls are good, I had the salmon special and it had a nice outside char with a wonderful moistness inside. The fish tacos are construct your own with mahi mahi.  We shared the big brownie with homemade vanilla ice cream.",0.9978,0.703,0.297,0.0,0.5346031746031747
2017-08-03,5.0,"I absolutely loved the environment here! I came here with a group of friends for a mini reunion and I could not think of a better place we could have met.     The drinks were great and so was the food. There was a variety of food, from enchiladas to sushi. We did have both and both dishes were delicious!",0.9357,0.722,0.241,0.037,0.7625
2017-08-03,5.0,Cool menu and surprisingly good service. Lots of nice seating and I've never had to wait for a table. Happy hour deal as well.,0.9325,0.515,0.485,0.0,0.8125
2017-07-30,2.0,The new brunch menu is dreadful. I already stopped going there for dinner due to change in menu. The only decent item left on the menu is the hub punch so I may go there if and only if I want to drink.,-0.5423,0.858,0.03,0.111,0.6423160173160173
2017-07-27,3.0,"Dined here during my lunch break earlier this week and ordered the 1/2 priced sushi.  We arrived at 4pm, were greeted by one server who took our order, then were served by a different person. We didn't mind so much at first until about half way through our meal when I noticed the other girl was still there finishing up her side work. She was still there working when we left........it was a bit weird. The Tempura Sweet Potato was the most flavorful with the creamy combination of avocado and potato;  the Spicy Tuna had good Tuna, but the sesame seeds completely overwhelmed the roll; the Spicy Shrimp and King Crab was  messy as the roll easily fell apart and the crab and shrimp on top slipped off.  I'll try here again, but not for the sushi. --- p.s.  There is a single red stiletto on a high beam above the booth where we sat- not sure where it came from or why it was there, but it's odd.",0.1397,0.872,0.071,0.057,0.4658688387635756
2017-07-18,4.0,"I would best describe Hub 51 as being a great ""safe"" option for brunch, lunch, or dinner in the River North area.  Almost everyone can find something on the menu that they will like. Due to their location and popularity, this place gets super busy.  Booking a reservation online or by phone is something I would suggest in order to avoid long wait times.  I've been to Hub 51 about 5 or 6 times over the last few years, and I've generally had positive experiences with the food and service. The burgers and sandwiches are good choices to get when you come here.  The pulled chicken nachos are also delicious, but some of the tacos aren't as exciting as they sound on the menu.  To drink, I typically stick with their Hub Punch (really good btw), or one of the wines from their menu.  Carrot cake lovers should make it a priority to try the carrot cake.  I can honestly say that the Hub 51 carrot cake is one of the best I've had from any restaurant in Chicago.",0.9837,0.791,0.184,0.026,0.527689393939394
2017-07-17,3.0,"Went in for brunch on a Sunday. Wasn't too packed, didn't have to wait at all. The place is large with plenty of seating, indoor and out. Food was good, tried the surfers breakfast burrito and Mexican hashbrown. Both were really good. The service was kind of slow and a bit inattentive at times, although friendly. Would recommend this place if you happen to be in the area and have some time on hand",0.9287,0.82,0.18,0.0,0.489795918367347
2017-07-13,3.0,Came here to get away from the party scene while staying in the River North Area. Average experience overall. Drinks are decent. They had a club on the lower level called Sub 51 with $20 cover for guys- which is why we didn't go.,0.128,0.893,0.059,0.048,0.35555555555555557
2017-07-10,5.0,"I've been to Hub 51 a total of three times now, and have really enjoyed my experience every single time. So far, I've ordered the fish tacos, the skinny burger, and the el segundo sol burger - which were all really good. The food is always cooked to my liking, and is served in a professional manner by the friendly staff.  Hub 51 will run you a few dollars more than some places, being a nice restaurant in the middle of downtown, but the quality of the food matches up with that price-point. Overall, really great place, very chill atmosphere, and always a good bite to eat in the city.",0.9619,0.825,0.175,0.0,0.47428571428571425
2017-07-06,4.0,"Good tacos with a cool twist on a regular burger! I enjoyed the meal overall but it wasn't anything new. My friend ordered a tuna sushi roll for $14 dollars and it sucked! This place is definitely not the place to go to for sushi, a $5 roll at a grocery store would have looked and tasted better!",0.9235,0.668,0.272,0.059,0.4351835664335664
