date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,"If you're staying in the ""Magnificent Mile"" this will seem like a trek to get to. But seriously, it's worth the walk! We have now been here twice and what brought us back was the atmosphere, Reuben and the history. Did I mention the Reuben? But seriously, how cool is it to eat in a place full of history and to enjoy the food and atmosphere!? We'll be back every time we return to the city and we do recommend this place to friends/family really to everyone who we know are coming to Chicago.",0.9306,0.801,0.166,0.033,0.40740740740740744
2017-08-23,5.0,"A huge THANK you to the bartender working the Sunday lunch shift. My dad left his baseball cap, and he chased us down on the street once he realized! Now that's customer service. My dad was already impressed by the stellar treatment we received, so this was icing on the cake! Perfect stop after our Chicago gangster tour. :) Thanks again for showing my dad some true hospitality!",0.9623,0.71,0.264,0.026,0.5876543209876544
2017-08-21,5.0,"I brought my company's intern here for her last night in Chicago, for a Malort shot. (Hey, you have to have a shot of Malort before you leave Chicago, right?) The bartender was friendly and didn't charge us for the sprite we chugged in a vain attempt to wash the taste of rotting rubber bands from our mouths. The atmosphere is relaxed, friendly, and fun. I'll definitely be back.",0.9118,0.747,0.201,0.052,0.3003968253968254
2017-08-07,5.0,"Ready to go out an have a good time? Green Door Tavern it is! So, being the touristy people we are - we stopped in at the Green Door while visiting the Windy City. We were super-curious about the speak-easy in the basement. We made our way through a nice enough bar/restaurant and found a staircase. At the bottom of the stairs waiting a gentleman standing by a bookcase. He took your party number, gave you the approximate wait time and you stand on the stairs and wait.... but then.... but then he magically turns around, opens the bookcase - BAM - the speak-easy is hidden behind a bookcase! HOW COOL IS THIS?!?! We were escorted in pretty quickly, agreeing to stand in the back until a table became available... our entire wait time was a whole 10 minutes.... totally fine. We got a GREAT table at the front of the bar, nearer the stage... oddly, they have 1950s soft-core porn playing... quite odd, but hey, gay-or-not, I'll roll with it! It was quite entertaining but then... the top of the hour arrived... the curtain flies open, the music starts playing, the lights illuminate the stage and there is a burlesque dancer on stage! Yes... a live burlesque dancer! AND SHE WAS AWESOME! Quite the show... only lasted about 10 minutes but my jaw was on the floor! OH WAIT - drinks? You're probably wanting to know how the drinks were? FABULOUS - DUH! This placed earned every single star! It was such a hoot - now, to be fair... I can only account for the first drink or two... I may have lost count that night - totally worth it! DO NOT MISS OUT ON THE GREEN DOOR TAVERN! THIS IS TRULY A CHICAGO TREASURE!!!!",0.9945,0.78,0.186,0.033,0.5640542328042328
2017-07-29,5.0,"SUPER good burgers! I would highly recommend the ""Bootleg Burger"". The fries were also very good.  The restaurant is located in a building that was built shortly after the Great Chicago Fire. Most of the antiques inside are originals. There is also an old speakeasy in the cellar that opens in the evening. This speakeasy was installed during the prohibition era and was even populated by mobsters.  This place is a little off the beaten path, but has easy access to ""The El"".",0.8965,0.793,0.169,0.038,0.5972727272727273
2017-07-16,3.0,"A fun and funky local spot. Nice Sunday Bloody Mary bar -- and you can't beat the basement speakeasy after 5. A chunk of Chicago history and fun atmosphere and cocktails.  We opted for burgers (handmade, but a bit over done), fries (hot, large, and crispy), deviled eggs, which had a nice zing to them, and a Scotch Egg (much anticipated, but far over cooked, which distracted from it.  A solid beer list with some nice, less common  brews available. Served nicely chilled.  Friendly, efficient staff and good service.  They offer a Sunday Brunch, but not being brunch folks we passed.  A fun, small, old, historic spot in the City! Totally worth a stop, especially in the evenings.",0.9796,0.641,0.27,0.09,0.4935515873015872
2017-06-25,4.0,"Solid place for a quick beer and some bar bites.  Always crowded, and the door man, Julius is great.  We live in the immediate area and frequent this place for a night cap. Full of locals and is consistent.",0.6908,0.86,0.14,0.0,0.42142857142857143
2017-06-02,5.0,Came here for some day drinking - it's a great dive bar! Very friendly staff and we loved the $4 spins of the wheel. I want to come back for the secret basement thing.,0.9199,0.674,0.326,0.0,0.5800000000000001
2017-06-01,2.0,Good luck if u get the glimpse of the burlesque show!!! we waited 1.5 hours to get into the theater... Upon entering the waiter was quick to get our orders but the show for which we waited 1.5-2 hours was almost over ... we could see only 5 min of the ending that too we had to stand ... Moreover the ladies dancing looked tired worn out and  not good enough!!! sorry not worth my money!!!,-0.8639,0.786,0.062,0.152,0.625
2017-05-20,4.0,"So nice to go to a pub with good food at a fair price in the loop. Great atmosphere, strong drinks. The only drawback is that there were way too many hipsters.",0.9402,0.614,0.386,0.0,0.7833333333333333
