date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-05,3.0,I usually eat here after partying along the strip of bars down the street. The burritos are BOMB and I am always in the mood for one. My go to is the steak with everything in it. Delish! The only downfall that I do not like for this restaurant specifically is that they do not carry green salsa AT ALL. No salsa verde in a Mexican restaurant ?!?! I literally will never understand. It makes absolutely no sense to me and it is my favorite kind of salsa. It compliments all Hispanic foods perfectly ! This is the only place I will eat a burrito without green salsa. The red is very VERY hot but not unbearable. GET SOME GREEN SALSA YOU GUYS !!!!!,0.5283,0.863,0.078,0.059,0.5884920634920635
2017-06-21,5.0,"Excellent food, I'm a local and I've been to countless Mexican places in the city and this place is among the best food for the money.  Not a lot of ambience as it's a quick and simple place but it's always clean and tidy.  Their salsa is fantastic and all of the food that I've had has been very good.  Very much will go again.",0.9564,0.763,0.237,0.0,0.5080952380952382
2017-06-21,4.0,"First things first, this Allende is SO MUCH BETTER than the one further down the street on Lincoln. I've been coming here since I was a little girl and now that I'm older I keep coming back to Allende at least once or twice a month. I am in love with their salsa and the tacos are always good to me. I love the horchatas! The people that work there are so nice to everyone. They advertise as not having a restroom, but I've asked nicely before and they let me go to the back. They are so cheap, yet delicious and they are prettt much always open! The only thing bad I have to say is that sometimes when I order fries they come out really greasy and nasty.",0.8778,0.777,0.154,0.07,0.5328502415458937
2017-04-09,5.0,"Finally, I've found a place in Chicago that rivals the taco shops of Southern California. Perfectly seasoned meats and tacos that are fresh and delicious.",0.8807,0.673,0.327,0.0,0.55
2017-03-09,5.0,This hidden gem is no frills but no frills are needed! Their food is AMAZING! Some of the best tacos I've ever had (drunk and sober). One of my favorite spots and everyone there is always very friendly and nice! I always leave happy!!,0.9854,0.48,0.44,0.08,0.7092592592592593
2016-12-17,5.0,"Allende totally nails it when I'm craving cheap, authentic, quality Mexican food. $2 for a steak taco, it can't be beat. It's a total no frills place, with fresh Mexican staples. Don't come here looking for fancy tacos.",0.0258,0.883,0.06,0.057,0.4928571428571429
2016-10-21,1.0,"I would never go there if I had any other options. I ordered a burrito and asked for extra sauce. Did not know they charged for extra sauce. The horchata tasted like some instant made horchata. The burrito is overloaded with lettuce, little meat, and less cheese and beans. When she handed me my change, she made a comment about forgetting to charge me for the extra sauce. She grabbed the change out of my palm. Food sucks, service sucks. Maybe if I was drunk, I'd go there for food, but again, everything tastes decent when one's drunk.",-0.6433,0.883,0.031,0.085,0.43124999999999997
2016-09-03,5.0,Ordered al pastor tacos and they were delicious. Great price for good quality authentic Mexican food (as far as the al pastor tacos go anyway). Will definitely come back and recommend to those looking for some real authentic Mexican food.,0.9423,0.688,0.312,0.0,0.5599999999999999
2016-08-31,5.0,"Can't beat this place. Great food, great deal. Every time. All the tacos are great, but I recommend the vegetarian taco... with a side of al pastor and chicken!",0.8805,0.673,0.327,0.0,0.8
2016-08-29,5.0,"Okay, seriously, I don't really like tacos, but this place has me IN LOVE with tacos. The chicken is so great, the tacos are filled perfectly with meat and veggies. I always leave happy. I'm so glad this place is in my life!",0.9872,0.473,0.463,0.064,0.7666666666666667
2016-08-17,4.0,No frills Mexican restaurant located about two miles from Lincoln Park Zoo. Complete dinners for $10. Great spot for basic Mexican meals.,0.4404,0.76,0.156,0.084,0.255
2016-07-28,4.0,"Looking for a big ass, greasy burrito to soak up that booze and get you home safe?  This is the place to go in Lincoln Park.  I've been to quite a few taco joints in the area, but this is my go-to.  You may have to dodge the late night crowd on the weekends, but that should be expected.",-0.0772,0.929,0.033,0.038,0.33999999999999997
2016-07-26,5.0,Im from the south side by pulaski where there is at least 20 taco places in a 15 block radias and i have tried them all imust say these tacos are good and fresh and the cheese fries were goid too but if you are not a hot fan the salsa will sizzle the lips off you i loved it at 1 in the morning,0.6764,0.805,0.131,0.064,0.6300000000000001
2016-07-23,4.0,"They make their tacos with love, great steak tacos! Although, the people could be nicer, the quality of the tacos make me overlook the dry customer service",0.9098,0.676,0.324,0.0,0.65
2016-06-29,5.0,Had to give them 5 stars although I've only visited once. Had the steak burrito and fries following the recommendation of a previous reviewer. Fabulous. Now the place is very basic and they don't have a restroom which isn't uncommon for small restaurants in Chicago. But I came hear to eat and they hit it out of the park.,0.5267,0.941,0.059,0.0,0.5470238095238095
2016-06-28,3.0,"VERY GOOD FOOD, but the dining experience can be lackluster.  I've eaten here 50+ times after work (not late night).   1.  Again, the food is quite good; I love the enchiladas and the chips and salsa are good too. 2.  The dining area has for many months smelled like bleach with a hint of sewage. 3.  Some of the waitresses are very nice; but others will nickel and dime you on anything that you ask for after receiving your order. If they got rid of that smell (which has caused me to go here twice a year instead of 30 times a year); I would bump this up to 4 stars.  And if one of their servers stopped nickel and diming their customers, I'd bump it up to 5 stars.",0.9768,0.809,0.174,0.016,0.6685714285714285
2016-03-30,5.0,My absolute favorite chicken tacos in all of Chicago. I go through streaks where I eat Allende 3 or 4 times a week for dinner. I had my first Torta here almost 20 years ago. Open late & always great anytime of the day. My favorite,0.8779,0.781,0.219,0.0,0.7541666666666667
2016-03-05,5.0,"Allende is the Jam! I live around the corner and have hit this place up for years for fast, inexpensive,  and delicious food.  Goto menu items: Steak burrito(no lettuce, add avacado) & fries :)  The tostadas are really good The nachos are unique and delicious!  Awesome hot sauce too!",0.9616,0.693,0.307,0.0,0.838888888888889
2016-02-12,4.0,"The Mexican Chorizo here is the BEST.   Love the flavors.   I would skip the chicken as it is usually pretty dry.   Stick with the fattier meats - al pastor, steaks, chorizo.   Can't go wrong.     I usually swing in here as it is down the street for me for a quick dinner option and never am disappointing.   I also hear its open till like 4am, which is just absurd.   I couldn't imagine what the clientele is like after 1am... FYI, all the bad reviews here are from the drunkies - don't let them stop you from checking out this hole in the wall.",0.9699,0.736,0.233,0.03,0.5896825396825396
2016-01-31,5.0,"We make a day of it. Stop at Allende, go to Swirlz around the corner, visit the Zoo. This is our favorite stop for tacos, hands down. Best in the entire North side of Chicago (that we have tried) and staff is always friendly. Can't wait to stop in again, soon!",0.7263,0.718,0.174,0.108,0.5427777777777778
2016-01-27,2.0,"I'm not giving this place one star only because their horchata is surprisingly good (it's called rice drink on their menu?), but that's the only positive thing about this restaurant I can review. Also, this place has no restrooms so make sure you pee before coming! My friends and I stopped by here because we were tipsy and just wanted to eat whatever was close by/open at 4am. We stumbled upon this restaurant. So Cal people know that after clubbing you either go for late night pho or late night Mexican food. The place was filled up so I figured why not. I ordered two tacos (carne asada and al pastor)...boy...was I sorely disappointed. The meat was burnt to crisp and the salsa was bland. I tried to look for any redeeming pieces, but found none. I couldn't even finish the second taco. I definitely do not recommend coming here for late night drunches.",0.8088,0.802,0.118,0.08,0.6083964646464646
2015-10-21,5.0,"So so good, and can't beat the price. Tostadas are amazing, tacos and nachos as well.",0.8545,0.581,0.419,0.0,0.75
2015-09-02,2.0,"They don't grill onions (WTF?), and there veggie selection taps out at guac, onions, tomatoes, lettuce, beans and rice.  - Get some greens and grill 'em!  Also a little dingy inside.",0.0,1.0,0.0,0.0,0.75
