date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-28,3.0,"My bf and I were looking for a brunch spot we had not already tried. We were seated immediately inside without a wait. There was no salt and pepper on the table, and there was also an old pitcher of creamer on the table from the previous customer.  I ordered the blackened catfish with cheese grits while he ordered the beef hash. The spices on the fish were perfect, however the grits were very bland. His hash was decent and the biscuits were good, but overall the meals were average at best and I do not anticipate going back.",0.8591,0.885,0.099,0.016,0.4333333333333333
2017-08-27,5.0,Old school delicious w a southern flavor. It's a big heavy breakfast so be ready. Never much of a line and always consistent,0.7564,0.724,0.276,0.0,0.34375
2017-08-18,5.0,"First off, I had no idea Oprah had restaurants. I was visiting Chicago from LA and was taken here by a family member. Secondly, I loved the decor. Makes you feel comfy and like you're in a real Southern restaurant. Service is always a big thing for me, and our server was kind. We went during a slow day, so it slowed her to be attentive but there weren't very many staff there.  There were so many options and everything sounded good. I ended up getting the shrimp and grits which were so so so good. Now, it wasn't made the traditional way. They had a creamed sauce that the shrimps and grits were in, I believe mushroom based. Whatever it was, it was a nice twist. It came with a side so I got greens. My family had the salmon cakes, greens and red beans and rice. I tried hers and it was delicious. The red beans and rice were so good. The best part was that it was affordable. Often soul food restaurants can be so expensive. Definitely a just visit foodie spot.",0.9893,0.805,0.187,0.008,0.5316666666666666
2017-08-12,4.0,"Had lunch here and sat outside in the spacious patio.  I ate the pulled pork sandwich (sans bread) which came with a small, tasty side of coleslaw that was just creamy enough, and a yummy mashed sweet potato with pecans on top.  Four stars because the service was a little slow because it seemed like there was only one server for the whole outdoor space. I would dine here again and try another item from their interesting and extensive menu.",0.9081,0.839,0.161,0.0,0.47575757575757577
2017-08-10,5.0,Great service and good food!! Definitely should be on your list of places to try when you visit the West Loop.,0.8829,0.636,0.364,0.0,0.6166666666666667
2017-08-09,3.0,"Food was good but the wait time to get our food was too long.  If you're starving, I suggest not going there. 40-minute wait for food.  I got salmon cakes with potatoes and my co-workers got brisket and grilled chicken.  Our server wasn't too attentive, the food runners had taken care of us more. But still tipped 20%.  Just not what I expected, my parents used to come here for their date nights when they first met and loved it, so I gave it a shot and was super excited... but wait time wasn't worth it.",0.9224,0.79,0.157,0.053,0.5818181818181818
2017-08-08,5.0,Really enjoyed the Shrimp and grits with a side of cheese eggs and muffin. Had a Bellini to drink.  Enjoyed the meal and the ambiance.,0.7841,0.753,0.247,0.0,0.7
2017-07-29,4.0,I have been dining at Wishbone for fifteen years and I have never had a bad meal here. The food is always fresh and delicious. My favorite is the cajun shrimp and grits and the blackened catfish with hoppin' jack. The service is good and you couldn't ask for better options when it comes to southern food. A must try if you are visiting the west loop area.,0.9071,0.772,0.196,0.032,0.6095238095238095
2017-07-24,5.0,"I will say right away their customer service is A+. Everyone including waitresses and Bussers were extremely friendly. Their manager Jeff was very nice as well. This restaurant is very clean and the air condition was on high, which felt amazing on a hot summery day. The only food I tried so far was brisket and I LOVED it! I will be back :-)",0.9718,0.694,0.306,0.0,0.7529761904761906
2017-07-18,5.0,"I had the brisket plate and it was awesome! Food came out in a very timely manner. And my waitress, Latrice was fabulous. Great service and so sweet!",0.952,0.578,0.422,0.0,0.74
2017-07-16,5.0,"EXCELLENT EXCELLENT EXCELLENT!!!! Don and Q at the bar are the best bartenders in the West Loop! They took excellent care of us for brunch. We are visiting from Maryland and New York for my friends birthday and we had to stop at Wishbone! The Cajun Shrimp and Grits are the  bomb.com !! I cannot leave out Jeff! Jeff is amazing. We had a rough start with one of the servers and we moved to the bar. Jeff and the bartenders went above and beyond to rectify the situation. Comp drinks, dessert and EXCELLENT customer service. We will be back!!! Thanks again.  To top it off the waitress came and apologized! You don't find establishments like this anymore. Love it! P.S. - Ask for a Moonshine Mary",0.9915,0.685,0.287,0.028,0.6038961038961039
2017-07-04,4.0,"I was surprised at the blackened Salmon, it ended up being the highlight of the meal. It was perfectly cooked, very flavorful. Everything else was good, but not special. I also had the cornflake French toast, cheese grits, green beans, coleslaw. Service was ok. They brought us the wrong (plain) French toast, even though they double checked our order.",0.1187,0.74,0.155,0.104,0.45238095238095233
2017-06-28,5.0,"The crunchy French toast and corn cakes are both incredible!!!!! I took a pic but the French toast has a bite out of it.  Couldn't wait, it looked so good.  The service was fantastic, and the patio is huge, clean, and comfy.  We loved Wisbone!",0.9777,0.616,0.384,0.0,0.6
2017-06-26,4.0,"Good breakfast; variety of omlette options and other standard breakfast fare. Outdoor seating available, but a fun main dining room too.",0.7506,0.738,0.262,0.0,0.31805555555555554
2017-06-25,4.0,Yesterday my mom and I went here for dinner. We had the fried catfish with sweet potatoes and mac and cheese. The catfish was perfectly cooked and the sauce that is paired with it is delicious. We also ordered the fried green tomatoes my said the were perfect. For dessert we had the chocolate pecan pie. It was very good and fresh as if they just took it out of the oven. The service was great I will definitely return.,0.9802,0.72,0.28,0.0,0.72
2017-06-15,4.0,"Came here for a work brunch and was not disappointed! Portions are huge and the foods tasty, what's not to love? Service & atmosphere: there were quite a few of us and besides some late-coming waters, service was warm and attentive. The space is homey, colorful, and warm.  Food: thanks to my peer pressure, I was able to sample quite a bit of everyone's brunch choices. First off, I had iced coffee which came in a huge mason jar (I couldn't even finish it for fear of getting too wired!). I ordered the crawfish cakes which were full of lots of crawfish meat and combined with eggs, sweet red pepper sauce, and cheesy grits, it was so tasty. I split the biscuits and gravy as well, the biscuit was huge and fluffy with big pieces of sausage in the gravy. I also sampled the chicken andouille hash, shrimp and grits, and Cajun shrimp and grits (yes I'm greedy and yes I took advantage of my coworkers' kindness). Out of those three I'd say the Cajun shrimp and grits was the best, with the sauce being flavorful without heavy and just the right amount of kick to balance the creamy grits.  Great choice for southern comfort food, I'll be back to try the fried chicken!",0.9737,0.792,0.161,0.047,0.5368165784832452
2017-05-27,2.0,"Everything was Meh. My mac and cheese was cold and congealed, they took a little longer than I would have expected taking into account of how many people were in there. They're service was good, though! Friendly staff!",0.7494,0.805,0.163,0.032,0.5833333333333334
2017-05-22,3.0,Came here for Sunday brunch with a small group of people. The service was a bit slow but overall the food was good. We had a few issues with our order but I really enjoyed my French Toast. The others at my table seemed to like their omelettes as well. I think the main issue was that half the group really liked Wishbone while the other half was on the fence.,0.9627,0.765,0.235,0.0,0.3368055555555556
2017-05-18,3.0,"Wishbone is one of my favorite spots however my recent experience was not so great.  We came on Mother's Day, a party of 12. It took our waitress 20 minutes to acknowledge us after we were seated.  I had to go get menus for us and then again we were left alone.  The food was good as always but the service subpar... no upsale, reading of any specials, suggesting any of the drinks being highlighted that day ... just brush pass and we had to be the ones to wave her down for more drinks, etc.  We watched tables come and go and new patrons being quickly serviced by other servers.  Our bill was $200+.  We still left a 15% although very hesitant to do.  Will be back but pray won't get the same type of service.",-0.2637,0.872,0.061,0.068,0.3673881673881674
2017-05-16,2.0,"I've eaten here 3 times, and have been terribly underwhelmed every time.   Good: We brought 5 kids here ages 1 month to 6 on Saturday. They sat us in the back, dealt with 3 booster seats and like 40 different drink orders over 2 hours like champs.  Nicely done, sorry for the mess. Also good: the moonshine iced tea is not as sweet as it sounded, it's very drinkable and tasty Crunchy French toast - I liked this, one of my dining companions thought it wasn't good - I'd order it again, which, given the fact that it is accommodating for groups and kids, that might happen. 2 eggs over easy - perfectly done and very tasty fresh eggs Not so good: Blood mary's are average Blackened catfish - tastes moldy, seriously.   Yankee scrambled eggs: towards the dry side, average. All the benedicts: extremely dry, thick goopy hollandaise and not enough of it at that Pancakes - just average Grits - too thick Biscuit - good salt and butter level, but heavy, not flaky Sorry guys - I know you're a local favorite, but I'm just not feeling it at all...",0.9503,0.79,0.159,0.051,0.5679687499999999
2017-05-11,5.0,"Loved it, it was empty because of the rain. But I know this place is always packed. Came in with my friend we enjoyed the Butter Fried Chicken with two sides. We even had margaritas. Everything about this place was beautiful from the hostess to the friendly faces around. I must say I will be back maybe with the family or date night. It was a great experience all around and I was stuffed. Well worth it. Great job!",0.9821,0.668,0.313,0.019,0.605
2017-05-08,5.0,"I've been to Wishbone many times, but this is my first time trying the Mac n' cheese. And can I just say, I don't know whose auntie is in the back making it, but it's heavenly! Like, stop dead in your tracks, let me get a order to go, heavenly! Oh, and Anthony is by far the best server I've experienced here--his suggestions and level of service is platinum",0.9311,0.671,0.231,0.098,0.49047619047619045
2017-05-03,1.0,I am really mad at this place! The server kept telling me that breakfast items were not available even though they were listed on the dinner menu. I wanted corn pancakes that come with eggs. I was told that they might not be able to make eggs. Turned out it was a nice new server with no training. It was my little 3 year old Birthday and they did not sing happy birthday to him. They could have bought out a flipping candle! Zero for being kid friendly! What a stinky way to celebrate a birthday! Manager and server could care less. Food is nothing to write home about. Corn muffins are very good. Server on Fat Tuesday was exceptional. A lady with dark curly hair made our Fat Tuesday celebration enjoyable and impressed the birthday boy to want to come back for birthday pancakes. I should have gone to IHOP. Corn pancakes are rather tasteless. The fried eggs were good. I was so disappointed that the misinformation. Provided by the waitress and we could care less attitude by the server and manager.,0.9333,0.765,0.152,0.083,0.5921439393939394
2017-05-03,1.0,"It hurts my heart to write this. My boys and I have been loyal customers for 20+ years. Never had a bad experience until last night. Their usually ample menu was pared down to a single page. We always come for crawfish cakes. Not last night. Wasn't even on the menu. I asked for a menu and was told that WAS the menu. Now, offerings are cut in half. No more all day breakfast. I asked the waitress if the restaurant had been sold or something. I couldn't understand why so many choices had been eliminated. She explained that the owners son had taken over and wanted to simplify the menu. BAD idea. I wrote a note on my check including my phone number expressing my disappointment in the changes stating I would not be back. No call from them so far. Here's a thought... Don't mess with success.",-0.9526,0.808,0.041,0.15,0.3621775793650794
2017-04-15,4.0,"Love the airy feeling, very clean, you can get a cocktail and great soul food. Yummy blackened catfish and fried too, great collard greens and mac& cheese and we inhaled the corn muffins hot from the oven with real butter. Food is always hot; great service not too fond of cheese grits- but all in all a delicious menu and great prices.",0.9741,0.64,0.338,0.022,0.751
2017-04-14,5.0,"Wow. This place was really good. It's huge, first of all. And on a Sunday when everyone is brunching, there was not too long of a wait a little before noon. We all ordered a whole bunch of dishes, potatoes, benedicts, omelettes, frittatas, pancakes, cheese grits - oh my goodness it was fantastic! I was brunching and gallivanting across Charleston and Nashville, having the best Southern food in my life, and the food here definitely was on par. Love it love it love it.",0.989,0.654,0.346,0.0,0.5452380952380952
2017-04-11,4.0,"Delicious southern comfort brunch spot in the West Loop! My husband and I met a friend here for brunch (on her recommendation) and we had a great experience there! Their mission is simple: southern comfort classics. They have everything from Benedicts, scrambles, eggs any style, to sandwiches, burgers, etc. We had to wait until our entire party was there, but it didn't take too long and we were quickly seated thereafter.  Our server was really friendly, so that was nice. I ordered a Bellini drink and it was good! A little heavy on the pulp-y side, but nothing terrible. I liked that it was nice and tart and not overly sweet like some bellini's can be! All of us ordered the black bean cakes, but got different sides. I ordered the black bean cakes with roasted red pepper sauce (I could have swam in that sauce - so good!), cheesy grits and a biscuit. Everything was so good!!  I don't know why there are some mixed reviews of the place. We had a wonderful experience and I know we'll be back!",0.9869,0.747,0.209,0.044,0.5592151675485009
2017-04-07,5.0,"My husband and I stumbled upon this restaurant one Saturday morning when we were new to the West Loop area, and I could not have been more pleased with our find! We arrived around 9 AM, and we got seated right away. The staff was very friendly, and our food came relatively quickly after ordering. I got the Yankee scrambled eggs, and husband got got the Crunchy French Toast - Both were delicious! I was also pleasantly surprised by the affordable prices on the menu, and the quirky charm of the interior decor. I can't wait to go back when I am in more of a ""brunch"" mood to try some of their signature Cajun seafood dishes like the Shrimp & Grits. This place will definitely be a weekend staple for us!",0.9725,0.824,0.176,0.0,0.58001998001998
2017-04-04,4.0,Shrimp and grits is a must have here!  Really you can't go wrong with anything here! The biscuits are tasty and I usually take some home for later.,0.4833,0.888,0.112,0.0,0.3375
2017-03-26,4.0,"If you're looking for a classic diner with great breakfast and options and reasonable price this is the place, can be hard to get away from the trendy brunches in west loop but this is a great low key diner with delicious, fast, well portioned food.",0.9331,0.658,0.275,0.067,0.6608333333333333
2017-03-26,5.0,"Loads of options, food came out piping hot (which is tough for breakfast food sometimes), quick service, and a good scene. Can get very crowded so get there before 10am or after 1pm.",0.34,0.872,0.084,0.044,0.6166666666666667
