date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-18,4.0,"I used to live a block from El Paisano and and it was my I-feel-super-lazy dinner spot. It's a solid Taqueria, and the service is very good. It meets one of my favorite criteria, namely having the obscure menu items that aren't even labeled. Don't know what a Huarache is? Order it and find out! Not that they wouldn't tell you of course, the staff are notably friendly and helpful. The Huarache is in fact my favorite thing to get here (it's basically a flat Gordita). There are a few things that aren't great; the Al Pastor is the wet non-skewer kind and the tamales are the nasty dry kind. The place also smells a little weird in a cleaner-y way. I see another reviewer saying it's a common Mexican floor-cleaning product, so good to know it is, in fact, just cleaner.  It's a mild enough smell that you stop noticing a couple minutes after walking in.",0.9369,0.755,0.167,0.078,0.5835714285714285
2017-07-17,4.0,"If you are Mexican, you will instantly notice the smell of Fabuloso drying on the floor as you walk in, assuring you that someone's abuelita works here. It's pretty good, and the salsas are actually HOT, which is too hard to come by. The meats are delicious, you are served fast and it's just a no-frills place to sit down and have tacos while you watch a boxing match.",0.9001,0.818,0.164,0.018,0.6163580246913579
2017-07-16,2.0,"I might have rated this place higher if it weren't for my biggest pet peeve : watery sour cream. I ordered the nachos and they were salty,  even by my standards. Unfortunately that was the only seasoning I tasted.  I guess their relying on all its flavor to come from the salsa.  Really though the beef and beans should be seasoned as well.  Oh well,  the portion was huge and it filled me up.",0.4767,0.88,0.088,0.032,0.6062500000000001
2017-05-08,1.0,"Even for the Arizona gal with a Sonoran taco truck stomach, this was a gamble for tummy troubles. Smells like a bucket of old mop water in a bathroom with plumbing problems and the food gives you the *do you feel lucky today* *am I.really that hungry* feeling. If you have to go here, stay with the delicious Mexican bottled Coca Cola and avoid anything that grows bacteria namely all products on the menu. Cool Telemundo and a great chance to practice Spanish and a fool hardy smile as you see raw chicken hit the same skillet as everything else for about the same time and just get greasy bottles scraped on enough to add crunch and since it is in front of you you know the crunch was not a hidden roach.. or was it : /",0.9062,0.769,0.16,0.072,0.46854700854700854
2017-04-16,2.0,"Quick Mexican food to go. More of a fast food restaurant than a Mexican restaurant. These place had been falling off for years and only reason I believe it's stay open because of the high school nearby, hungry teens are good for business. Only thing I'll recommend is the horchata(rice water).",0.5859,0.865,0.104,0.031,0.524
2017-04-02,1.0,"I'd say 2/5 is accurate to generous. 40% is failing just like school. Tamale was meh. tiny, dried, nothing too special about it. Fajitas were a major let down. Corn tortillas I personally just don't like this brand so that's not on the restaurant. Steak/beef was generic, fatty, no flavor, chicken was dry no flavor, and shrimp... you can probably guess. I was dying for Fajitas and I threw half of it away. I'm  still hungry thinking about dinner now. If I wanted food this terrible I would have ordered from the place 50 ft from my building. I will not be a repeat customer. The coke and Jarritos were exceptional. The saving grace of the meal. I don't understand why this place wouldn't just serve something good. If people are willing to pay 8-11$ for garbage they'd probably cough up another 5  to have you try a little bit. I'm feeling more like one star as this review goes on. Yeah its one star now. Just don't go here. I'd take your chances with somewhere else and worse case scenario then you'd know 2 places to avoid instead of just one. You're welcome.",0.4859,0.779,0.118,0.103,0.568015873015873
2017-03-30,4.0,"Great location; I ordered delivery and they were on time and very professional. I love my Latin cuisine, and I always get an itch for Mexican dishes and today that itch was scratched! Thank you guys! Great chorizo tacos!",0.9521,0.666,0.334,0.0,0.446
2017-03-09,2.0,"Wow! Terrible burrito. I should have known better than to order a burrito from a place that also serves hot dogs and burgers! Based on the name of this establishment, I thought it would specialize in tacos/burritos.  Boy was I wrong! I mean they put AMERICAN CHEESE ON THE STEAK BURRITO, The travesty! That move automatically places this burrito in the top 5 worst burritos I have ever eaten. American cheese on a steak burrito is a sin and should never happen. Anyways, yea this place kinda sucks in my book.",-0.9257,0.71,0.084,0.207,0.6124999999999999
2017-03-09,4.0,"There is no frills to this place, but it is consistently good and has very reasonable prices.  They have good steak specials and I love their pastor.  It is for sure worth trying if you are in the mood for some good taco's!",0.973,0.588,0.385,0.027,0.5955555555555555
2017-02-27,5.0,Stopped in here over the weekend absolutely starving.  Food was legit and the guy working behind the counter was a hard worker.  A great local small business to support.,0.3415,0.625,0.193,0.182,0.548611111111111
