date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-26,5.0,"Hesitant to come here because of the reviews, but I walked in and the cashier was super friendly and the horchata was amazing. Angie treated us like family. The enchiladas with the green sauce reminds me of California burritos. Good place",0.9734,0.592,0.382,0.026,0.5933333333333333
2017-05-10,5.0,This place is on my way to work  I try they tacos rice & beans Is under new management A family business Was really good,0.4927,0.868,0.132,0.0,0.5272727272727273
2017-04-07,5.0,"I always love this place, Hot, fresh food. Always friendly. They get it done fast, at a great price. They're steak quesadillas and Nachos are the Bomb!!",0.9039,0.532,0.383,0.085,0.6333333333333334
2017-01-05,4.0,Great place for quality Mexican food. Had the enchiladas. Service was quick and reliable.,0.6249,0.76,0.24,0.0,0.4166666666666667
2016-12-17,2.0,"It's not the same. I'm rather disappointed. The carne asada was decent but not overly tasty, the pastor bland. It's also over priced. Sorry, I'm not going back.",-0.3612,0.881,0.0,0.119,0.5625
2016-09-15,5.0,"So I am a vegetarian and I have to say this place has hands down the most amazing veggie burrito in Chicago! It does not have any weird rice fillers in it. And the people who work here are so nice. It's also soooo cheap, how could you not buy it?",0.8597,0.825,0.175,0.0,0.7314814814814815
2016-08-11,3.0,"This is the closest spot to me that sells ""authentic"" Mexican food. However I think it's more Americanized. The food is good but not outstanding. They put mozzarella (not chihuahua) cheese, sour cream, lettuce and tomato on their tacos and burritos and it just makes it all taste a lot worse. If you like Americanized tacos and burritos then by all means this would be a great spot. I prefer to tell them to just keep it to cilantro and onion. The tamales are decent here too, they're not dry at all but at the same time they're pretty plain with no sauce. Customer service here is eh and they've been closed multiple times when they should have been open.  I just found out about El Presidente which is about two blocks north up Ashland and their tacos are already much more fresh. I'd rather go there.",0.7104,0.805,0.112,0.083,0.47354497354497355
2016-06-05,5.0,"This is a hole in the wall sort of place that may leave people questioning whether or not they want to try it but  give it a try!  The chicken fajita meal is so good! The chicken taste fresh and it comes with cooked bell peppers, rice and beans. All the food is seasoned well, cooked well and tasty.  The fajitas come with hot soft tortillas on the side.  I would not suggest this as a dine in place but definitely recommend for take out!",0.9667,0.747,0.218,0.035,0.6187499999999999
2016-04-18,1.0,"Ordered a jr. burrito dinner. The guy gives me a cup because the dinner comes with a drink but then I don't get the rice and beans. I'm told he only charged me for the burrito. Of course their receipts aren't itemized, but i knew a burrito and taco dinner didn't add up to $16 even with chicago tax. And if he only charged me for the burrito then he charged me for the drink (refils are 60 cents btw, wtf). I specifically ordered a dinner.  I give them 1 star for ripping me off alone. The food was bad, everything tasted off. The tomatoes tasted old and the beans had an odd taste. I see why every other mexican place nearby them has a higher rating.",-0.9413,0.866,0.0,0.134,0.5546296296296297
2016-03-01,4.0,"The best place to get greasy goodness at all times of the day. The nachos are my personal favorite. I use to go here to get a good dinner with my roommate after some partying. It is very nice on a budget! Friendly staff, and fast service.",0.9694,0.624,0.376,0.0,0.6142857142857142
2015-12-30,5.0,"I've been coming to this Taco & Burrito house since 1996 and it is one of the best in the area. Not all ""taco spots"" are created equally. Come here and you'll understand what I mean. My favorites are the ""Fajita Dinner"" or the ""Steak Nacho Supreme."" They use real cheese, not fake cheese like TBK. Almost anything you buy is under $10 and I've never had a bad meal.  If you are looking for quantity and plan on buying a taco dinner, just order the fajita dinner. You'll get a huge plate of steak, lettuce, tomatoes, peppers, beans, rice and a separate container holding warm tortillas. You can make at least (6) tacos and get alot more food!  (Can you tell I'm fat?!) lol.  TIPS** This place is open very late and on Saturday nights you will have drunk yuppies and thugs. lol. Also, they do have a bathroom but you have to ""know"" about it. Just ask, you have to walk through the kitchen though.  Seating in the entire restaurant is weird. When it's busy people are in your personal space, a cold draft will also find it's way in and parking is horrible. I suggest parking on Bosworth NOT Fullerton unless you are just running in. DON'T EVEN THINK ABOUT PARKING AT THE BUILDING ACROSS THE STREET. They will tow you immediately.",0.5901,0.884,0.075,0.041,0.6432936507936509
2015-11-20,5.0,"Exceptional tacos and burritos, but the real treat is the southern hospitality feeling that you get from the staff when you walk through the door. Beautiful decor, feels like you are walking right into Mexico. The bathroom is in the back and it is quite a treat walking through the kitchen to get to. 10/10 would recommend. Might wanna be a little high",0.967,0.727,0.273,0.0,0.4844642857142857
2015-09-08,1.0,"Wow this was the worst meal I have ever had. I mean I had nachos and they were bitter and had no crunch.  Which means they were cooked in old oil and flat out stale.  Next issue, pretty sure that was 7/11 nacho cheese ""sauce"". I mean I knew it wasn't going to be a flavor experience but...wow. Just wow.",0.6124,0.679,0.189,0.132,0.6324074074074074
2015-08-31,1.0,"We stopped by here last Friday night. The place looked clean the prices were good and we were hungry. Ordered some basic food that looked wonderful. Unfortunately, two minutes after we sat down to eat, an employee blasted the music so loud it was pure torture. WGCI louder than you can imagine. Rap hip hop and commercials not stop. I had to hold my hands over my ears and try to eat at the same time. I could not believe this. It was too loud to even go up and say something to the guy. I don't know what was the deal but it was almost as if they were trying to drive the customers out. Well, in our case it worked. We were out the door as fast as we could shovel in the food and run. Needless to say, we didn't really have a chance to enjoy or even taste the food. A total waste and very anxiety inducing. To quote an old Fleetwood Mac song, I'm never going back again.",0.0863,0.844,0.079,0.077,0.4978835978835978
2015-05-10,1.0,"I was very excited to check this place out, since I live across the street and love Mexican food. I was sadly disappointed because the food was bland, there was no flavor at all. I had the chicken tacos, and a side of guacamole. I won't be back, which is sad since it's so close to our place.",-0.5118,0.718,0.108,0.175,0.6231481481481481
2015-02-08,3.0,"This little place is great if you want cheap Mexican food. It looks a bit intimidating at first but their prices can't be beaten. But keep in mind that you're spending less than 5 bucks for food - don't expect amazing quality, but at least you'll be filled right up. I had the junior chicken burrito from here and personally thought it was a pretty average burrito, so yeah, if I were in the area and hungry and didn't want to spend any money then this is the place I would hit up.",0.8425,0.779,0.161,0.06,0.5525510204081633
2015-01-28,4.0,"Since getting a new job over in this area I have eaten here a few times. There are not many lunch spots to select from, but if you are in the area and have a craving for steak tacos or tamales this is the place to come. They are quick, in expensive, and friendly.",0.6486,0.919,0.081,0.0,0.45909090909090916
2014-10-23,4.0,Always a good late night option. Staff is friendly even when they are swamped. The quesadillas and nachos supreme are the way to go.,0.8658,0.673,0.327,0.0,0.5666666666666668
2014-10-20,4.0,Quick consistent  service. Open late which is always a plus. Staff knows my order when I walk in. Get the steak nachos or crispy quesadillas.,0.0,1.0,0.0,0.0,0.4625
2014-08-10,4.0,"I go way back with this place, used to go here alllll the time when I lived in LP. Went again last night for the first time in long time. Love it still, even though basically I've been drunk every time I go there.  Burrito special is the way to go, or any special. You get two sides, choice between fries, beans, salad, fries, QUESADILLA, etc. I love the chorizo burrito, so so good.  I want to go here when I'm not drunk, then maybe I'll give it another star. But still, big fan.",0.9533,0.749,0.206,0.045,0.4869047619047618
2014-08-08,5.0,"A hidden gem. Pico de Gallo is super fresh and spicy and their horchata is spot on. A great plus that it's open late, especially for us industry folk.",0.8834,0.7,0.3,0.0,0.6214285714285713
2014-06-16,3.0,"This is how my boyfriend explained this place to me...""Uh, yeah. Two of my friends were mugged walking home from there. But it's 11pm on a Sunday, so let's go"". So you know what we did? We went.  I drove to be safer. Only to park right in front of the place they were mugged. It's cool though. We didn't get mugged. Instead we ended up with two glorious burritos.  And by glorious burritos, I mean, I got the vegetarian burrito that was basically mush and he got the steak fajita burrito that he claimed was lava hot for up to 20 minutes after receiving it. He wasn't lying. And he said it happens everytime and it's only the steak fajita burrito. I don't know, I don't eat meat, so I'll take his word on it.  Anyways...the place itself is what you would expect a Mexican place that is open until 1am on a Sunday to be like. Yellow and greasy. And if I was drunk I'd be in love. But instead I was simply hungover and hungry.  Would I go back? My burrito was $2.70, so Uhhh, yeah.",0.9807,0.834,0.154,0.012,0.5523351648351648
