date,star,text,compound,neutral,positive,negative,subjectivity
2017-04-04,4.0,"I've never eaten at the restaurant, but I get takeout for lunch once in a while. It's better than most Chinese spots in the loop (not exactly a compliment), and the line is never that long. Even if it is, they move people through quickly. Restaurant is down an alley off LaSalle, and kinda dingy on the inside. Maybe that's why I don't stay to eat or meet people there.  Spicy chicken is my favorite dish, but sweet & sour chicken is a close second. Lunch special is a ton of food, and I usually replace the egg roll with a crab rangoon because I like those better. Chicken fried rice is also pretty good, but can make an already heavy meal super heavy with the upgrade. I'm never able to finish even half of a meal here, so it's a bargain. I've definitely had better Chinese outside the loop, but if you're looking for a quick, reliable spot that's better than Panda Express, this is it.",0.9945,0.739,0.261,0.0,0.4822883597883597
2017-03-27,1.0,"The food came out hot and fast, but it was really gross. The shrimps in my Kung Pao Shrimp tasted like freezer and they were very overcooked. The vegetables were about 50% chunks of celery and onion. The sauce was salty without being flavorful. Crab Rangoons were marginally better, but not good enough to save the meal. Honestly, it was just a gross meal. This place is not worth a second chance.",-0.112,0.66,0.162,0.178,0.39545454545454545
2017-03-24,5.0,"Take it for what it is. Dive Chinese in the loop. If you have that mindset going into the place, you will not be disappointed. Food is ready, like Panda Express buffet style. Prices are good and portions reflect generously. It's quick and has saved me from many hangovers. Seriously THE hangover spot.",0.9239,0.722,0.252,0.027,0.5023809523809524
2017-03-09,5.0,Silk Road has been a staple in my lunch rotation going back to my internship days in '06 when my old man would take me here to get some spicy chicken.  Still amazing.,0.5859,0.891,0.109,0.0,0.5125
2017-03-07,4.0,Oh I remember back in the day in my 20s I use to come here once a week.  The spicy chicken it out of this world!  I am not in my 40s and I am going to go back next week since my friend went today and I got jealous that he had the spicy chicken without me!,0.1984,0.881,0.067,0.053,0.38
2017-01-12,5.0,"The spicy chicken at Silk Road is so legendary that's its possible to walk in and order by speaking only the word ""Spicy.""  ""The Road"" as it's known in my heart of hearts, is really the kind of place that's passed from one friend to another. You don't just wander in to this place. You need to know it's there. You need to be shown the way. And once you have, you inherit a personal duty to take others ""down the Road"" so to speak.  I've never ordered anything but the Spicy. It's all you need. Egg rolls are great too. Go forth. Feast.",0.8294,0.929,0.071,0.0,0.7098765432098766
2016-07-13,3.0,We got takeout lunch there. The food is cheap and fresh but nothing to rave about. Decent selections and quality for the 7-8$ you spend. Will try again some time.,0.1655,0.946,0.054,0.0,0.6222222222222222
2016-07-07,4.0,"Located in a dark alley. Outdated decor.  Full of dudes. This is definitely not a first date kinda place, but perfect for in a lunch meet up with my work bros. Great value, heaping portions, plenty of seating, and SYS (serve yo self) water.  I followed Joey Vegas and got the Spicy Chicken Orange Chicken Combo. ""That's way too much food! I'll never finish this!"" Hit the spot. All the spots. Loosen the belt. Nap. Drool.",0.9504,0.811,0.189,0.0,0.6407407407407408
2016-06-22,5.0,"Imagine Panda Express. Now imagine it actually being everything you wanted it to be. This is Silk Road. I only get the spicy chicken and crab rangoon, but i love them both.",0.7783,0.833,0.167,0.0,0.6625
2016-06-22,2.0,I'm not sure why the spicy chicken is so popular. I ordered it on the recommendation of Yelpers and it was a let down. Maybe I have a higher threshold for spicy foods but I thought it tasted more sweet than spicy. It's basically a version of General Tso's chicken. It was also pricey for what seems to be a low budget greasy spoon type of Asian restaurant.,0.5598,0.84,0.099,0.061,0.5843434343434344
2016-04-12,2.0,"I just ate here for the first time.  The Orange Chicken is decent, no better and no worse than others Chinese restaurants.  The fried rice is absolutely disgusting to the point I couldn't eat it. Frankly, Panda Express has better fried rice than here and that is saying something.",-0.659,0.707,0.1,0.193,0.56875
2016-03-31,4.0,Spicy chicken white rice and egg roll is a filling decent tasting lunch downtown. Price is better than average especially with the size of the meal..,0.4404,0.892,0.108,0.0,0.5861111111111111
2016-03-19,4.0,"The Spicy Chicken is delicious, and unlike anything I've ever had anywhere else.  I worked in the Loop for 16 years and frequented the old location across the street from The Sears Tower. I took a job in the Burbs in 2011, and I still crave Silk Road.  On a recent trip to the Loop I decided to hit the Silk Road. I ordered a combo of Spicy and Orange Chicken.  Its a new location, but food is as good as ever.   If you are looking for fast food Chinese, this is the place. It crushes Panda Express or any food court Chinese.",0.3291,0.901,0.061,0.038,0.5004545454545454
2016-02-08,5.0,"I can't get enough of the Spicy Chicken, it the only thing that you should get because it the Greatest thing on the menu, people who say otherwise are lying to you",0.2023,0.792,0.115,0.093,0.8625
2016-01-19,4.0,"Kung pao shrimp is great, good mix of veggies and just the right amount of spice. Spicy chicken is awesome, slight tang and a great kick. Hot and sour soup is a bit peppery, with more of an American mix of veggies, just carrots and onion. Also tofu and egg white still make this soup something I'd have again. Crab rangoon is awesome, so is the egg roll.",0.9652,0.76,0.24,0.0,0.5501700680272109
2016-01-16,5.0,"Oh sweet morsels of meaty mouth gold, how I've yearned for you with the fiery passion of 1,000 burning suns...just had the spicy chicken here after 7 years...",0.5574,0.741,0.185,0.074,0.8
2016-01-14,2.0,Had spicy chicken & Kung Pao. Not very good. Chinese here is below average. Won't be going back. Anyone who gave this place 4-5 stars has zero clue about good food. My stomach hurts now. SLOP,0.5083,0.771,0.154,0.075,0.4019230769230769
2015-11-13,5.0,Great prices Great fresh tasting food I've been coming here for nearly 25 years! Spicy chicken to kill or die for!,0.3578,0.448,0.311,0.241,0.6699999999999999
2015-09-17,2.0,"Completely mediocre Chinese food served in a bland environment.  Sounds tasty, right?  Well, that's what you'll get at Silk Road.  I've pretty much had the entire menu (it's close to my office) and nothing sticks out as terribly good.   The portions are large and the line moves quick, but really, you can do better.  You deserve it.",0.7311,0.813,0.151,0.037,0.5352182539682541
2015-08-31,4.0,4 stars is for the spicy chicken and the spicy chicken only. This place is Korean owned so the spicy chicken uses some kind of gochujang sauce and it's highly addictive.,0.0,1.0,0.0,0.0,0.9416666666666668
2015-08-16,3.0,"There are 2 dishes here that deserve 4 stars - and that's the chicken with vegetables and stir fried vegetables. Both are loaded with broccoli,mushrooms, carrots, bok choy, celery and are very tasty and pleasing to the eye. The white rice served with these entrees is good, and often, they'll make your order as you wait. You can see them making creations in giant woks, which makes it seem a little more authentic. Everything else, though, is just mediocre at best. I don't know if it's a lack of vegetables or way too much sodium, their remaining offerings are not that good. Passable, just not really good. Same for the egg roll. I'm always tempted to get the entree with egg roll and drink special and then I'm sorry I ate anything but the entree with rice.",0.8635,0.875,0.104,0.02,0.5622767857142856
2015-08-06,4.0,"A friend and I had lunch here and we were very pleasantly surprised (as another friend said that this place is very passable). Décor: While from the outside it looks a bit sketchy, given that it is (all the way) down an alley, but the inside is pretty large and is very clean and well-lit. As you wait in line to order food the menu is easy to read and there is a window next to you where you can see them preparing all the food fresh. There are a bunch of tables, and since it seems that most grab-and-go, so you shouldn't have any trouble finding a seat. Bathroom: unknown Staff: The cashier was helpful with our couple questions but, at the same time, seemed rushed to take your order - a bit too rushed. The food was ready IMMEDIATELY though, it was unbelievable. No sooner had I stepped to the side after paying that my food was handed to me. CRAZY FAST. Food: I had the Spicy Chicken (it came w/ white rice), an Egg Roll, and a Hot and Sour Soup. Everything was pretty good, on-par for a Chinese food place. The Hot and Sour Soup is not as I prefer it though. I prefer the P.F. Chang's style and this is not that. However, I very much enjoyed everything else and the portion size was just fine for lunch (I wasn't STUFFED, but I wasn't hungry). Also, they have free water off to the side. Value: I had a few extras with my lunch (egg roll, soup) and it came in just over $10. That's a winner in my book! Given the location, the blinding speed of food delivery, and the taste (paired with my love for Chinese), I know I'll be back again!",0.9962,0.77,0.209,0.021,0.49369981325863677
2015-07-30,2.0,"The spicy chicken is a guilty pleasure--heavily sauced and deep fried chicken wings. Otherwise, the other dishes are pretty standard lower-quality Chinese-American fare, leaning towards cheaper vegetables like celery when vegetables are provided.  It is also rather overpriced for what you get.  Everyone behind the counter was quite nice.",0.7178,0.791,0.158,0.05,0.7083333333333334
2015-07-23,2.0,"Came here after receiving several recommendations. Just didn't work for me. It may be a case of high expectations leading to disappointment. I was told by peers and reviews that for $6 you get whopping portions of great food. I had an opposite experience. It was $11 for spicy chicken special w/ eggroll and fried rice. The spicy chicken was mushy and unappealing. Other than the blast of salt, the food lacked great flavor and was bland. There was not much of it which it as I had been told. Had a left-overs feel. Say what you will about Panda Express, but they offer a consistent quality and quantity of food for a great price, and I'd pick it over here anyday. I guess if you need better Asian food, take a ride to chinatown. If anyone has any Loop recommendations though, I'm all ears.",0.936,0.875,0.111,0.014,0.4893977591036414
2015-07-17,1.0,"I'm appalled how this place gets 3.5 stars. First, it's overpriced.  I can get way more food for less money at nearby Panda Express. Second, the meat dishes taste very weird.  The spicy chicken is ok the first couple bites but then it feels way too salty. Third, they charge you extra for fried rice on the side.  Lame.  I don't want to have boring white rice.  They already charge a lot for regular white rice. But the main thing is that the food just doesn't taste good.",-0.8998,0.828,0.017,0.155,0.419088319088319
2015-06-13,5.0,"A hidden gem off Lasalle and Madison, everything is great there and on top of that they give you so much. Everytime I'm in the area its s must stop spot to go",0.5719,0.776,0.163,0.061,0.4458333333333333
2015-04-29,2.0,"Came here the other night for dinner when I was staying in Chicago and craving Chinese food.  My friend and I got egg drop soup, noodles, fried rice, and sweet and sour chicken.  Our favorite was the fried rice.  Not a fan of the sweet and sour chicken at all. this might have just been our confusion, but this is definitely like a fast food panda express Chinese place, and not really a restaurant.   It also seems like it definitely caters to a lunch crowd.  We came by at like 430/5pm on a weeknight, and they were cleaning up and all the chairs were already up on the table.  The man working ushered us in and assured us they were still open... but then he asked if we wanted our food for there or to go and we felt like we had to take it to go. Not super impressed.  Definitely just like a local panda express.",0.9929,0.714,0.269,0.017,0.48640350877192984
2015-03-11,5.0,"This is my go to spot for Chinese, even though I work all the way in River North.  Spicy chicken is a must on the menu, and they even have Cherry Coke on tap to wash everything down!  It usually takes me a brisk 15 minute walk to get here, and I always find myself coming here because you will find yourself spending the same amount of money from Wendy's Right Priced Menu (formerly the 99cents menu).  I'm the type of guy who will go through 6-8 hot sauce packets when dining at Popeye's, but the Spicy Chicken is justttttttt right.",0.1511,0.984,0.016,0.0,0.448531746031746
2015-01-06,1.0,"If you have worked in the financial loop of Chicago within the last 15 years your digestive system must have become use to the legendary spicy chicken of Silk Road.  It has been a staple for many diehard tech and financial nuts in its tenure.  Personally I think the food is less than appealing especially due to my last experience.   Silk Road is commonly known for its main dish Spicy Chicken.   Probably the number 1 item ordered at it with a side of white rice.    My coworkers had claim when you eat Spicy Chicken you are expected to take a seat on the porcelain thinking chair later in the day.   I think the food is awful and the place itself needs a makeover.  My last visit was the final visit.  While my coworker went to get his food package from the counter he noticed a fat cockroach sitting on the edge of his bag.  It fell off onto the counter.  For a time period which seemed like an eternity I saw my coworkers, three customers, and two Silk Road staff members just staring at it.  Then a Silk Road employee picked it up and threw it in the garbage.   They continued to work as normal as if nothing had happened.   The employee did not wash their hands nor the counter top.   They ignored it.    This was the final straw for me and told my coworkers I am never going back to get Spicy Chicken at Silk Road again.   I went as far as calling it Spicy Cockroach now.     This was before Christmas and the holidays took their toll on a few of my coworkers.   To a point where they shrugged it off and went back to Silk Road for Spicy Cockroach.   As my manager and I began to rationalize it, we agreed upon one thing:   The spice must flow!",-0.2462,0.941,0.028,0.031,0.46896551724137925
2015-01-02,1.0,"OK I have been a fan but today they raised the price $1 and I just don't get it. My friends and I eat here maybe once a month and I only ever have the chicken fried rice and it's okay.  But now it's like ordering a whole meal and I feel ripped off. Sigh, there is always Panda so I'm not coming to Silk Road anymore. The girls laugh saying Silk Road is always my pick for where to go. But no more. And if that's the owner with the broom or rag and the perpetual frown on his face, I hope he reads these reviews!",0.9626,0.772,0.204,0.024,0.5642857142857143
2014-11-26,5.0,I think I found my new fav Chinese place already... Awesome food... My first try here is spicy chicken and that is first in their menu too,0.7964,0.764,0.236,0.0,0.5118686868686869
2014-10-23,1.0,"Never had bad customer service here, the price is decent, the decor is of course middling but fine overall. The only reason this place gets one star is because the food is just bad.  Not bad like it makes you sick bad, or not like they serve it cold or anything.  The food is bland, and the flavor just sucks (worse than even Panda Express), end of story.  I've tried two things here, including the ""spicy chicken,"" and next time I crave Chinese at lunch, I'm jumping on a train to Chinatown.",-0.9552,0.711,0.076,0.212,0.5858630952380951
2014-08-01,4.0,"If you're craving something spicy and fried, get the spicy chicken here. Got it to-go, and they must have put crack in it because I knew I should have stopped eating, but I couldn't. The decor is a little sad, but it was packed when I stopped by.  Didn't try anything else, but looking at the reviews, looks like this is probably the best item on the menu.",0.5483,0.778,0.121,0.101,0.6875
