date,star,text,compound,neutral,positive,negative,subjectivity
2017-04-09,4.0,"Johnnies is a typical downtown Chicago breakfast and lunch place, with a couple of exceptions.  First, they make their own soup from scratch.  And second, they have fair prices.  Third, the people that work there are really nice and helpful.  I've been to Johnnie's three times now: once for breakfast and twice for lunch. The breakfast sandwich with sausage, egg and cheese on an English Muffin is perfect for carrying to work. It stays in tact and stays hot the way they wrap it up.  For lunch, I've had a Badger burger with American cheese, tons of crispy bacon along with lettuce and tomato, and it was tasty. The fries are just okay. I'd order the rings if I were you.  The other time I was there, I had beef barley soup, and it was outstanding. Great flavor, lots of beef with the barley and not too salty, either. A bowl is $8 and pretty much all you neew for lunch.  They take credit cards, too.",0.9798,0.843,0.157,0.0,0.546078431372549
2017-04-02,4.0,Food was delicious! Our order came out pretty fast and our waitress was super nice. They greeted us as soon as we walked in. Will definitely be back,0.9565,0.541,0.459,0.0,0.7111111111111111
2016-10-30,1.0,"Johnnys used to be a great place to dine until the ownership changed a few years back. It was a drastic change for the worst sadly as this used to be my fav place for breakfast...My last two visits were consistently poor in service and the food. First 2 steps in the door we were warned by a waitress & before being seated that whatever we ordered would take up to 40 min to be prepared. Not a great way to be greeted to dine. The menue really didn't change that I could tell. I ordered the same items I've been ordering for years. Food was undercooked, bland, slopped together, and missing basics like cheese. I asked for the cheese to be added per the menue description & they resolved the problem by returning the sandwhich with a cold slice of cheese thrown on..bacon never came out but still charged for it. Waitres was not seen or checked in post cheese incident so we sat for 15min waiting for a check that never arrived. Eventually just got up and paid at the register..what a waist for a once decent place that was established way before Randolph St. is what it is today..I don't see them lasting much longer unless there is another ownership/staff change and realisation on taking pride in the food you serve & customer service.",0.3818,0.867,0.072,0.061,0.4514705882352942
2016-08-22,4.0,"The place is very quaint, the décor is tasteful and fits the atmosphere. Service: They were polite and courteous. Food: Looks good and appitizing, but lacks the artistic flare on the meal. What you see is what you get. The food however is what I expected for the taste. Will recommend people to go and grab a quick bite from this place.",0.7469,0.886,0.114,0.0,0.6333333333333334
2016-08-20,5.0,"I love it here. Reminds me of the diner where I grew up in Ohio, affordable and the staff treats you like family. Living in Fulton River District for over 12 years, there's been a lot of changes and they're mostly all great, but I hope Johnnie's never changes or goes away.",0.8674,0.804,0.196,0.0,0.6166666666666667
2016-08-18,1.0,I'll give this place one star! I ordered from uber eats and never got my second meal! They couldn't even resolve my issue! Never even got taste my DAMN FOOD.,-0.7574,0.806,0.0,0.194,0.0
2016-08-17,1.0,"Placed a To-go order sat for twenty minutes waiting in front of the counter only person here waiting for food, a very simple order and what do you know never gave my order to the cook. Already paid and hungry I definitely won't be ordering from here again.  Instead of apologizing and acknowledging there mistake they ignore my existence what a shame. Horrible service.",-0.8442,0.777,0.039,0.184,0.7410714285714286
2016-08-12,2.0,The cook Francisco is great but the service is terrible. NO one knows what's going on. The servers can't handle more than one task or table at a time. This place use to be one of my favorites but sadly not any more.,-0.7579,0.673,0.114,0.214,0.75
2016-07-29,5.0,"I am here almost every day at lunch. Johnnies is a rare find, reasonable prices, nothing too fancy, just good food.  I cant speak for anything except their breakfast food as thats all I've ever had here, but I highly recommend their chicken n' waffles, its not on the menu but they make it and it is great!  They also have stellar french toast and pancakes.",0.9115,0.836,0.164,0.0,0.57375
2016-07-26,2.0,"As a fairly regular customer, I hate to give only 2 stars but the service here has been on a decline for months now. About a month ago, it took so long for our food to come out that we were not the only customers who got up and left.  Slower paced service is understandable when the small staff seems overworked (which they often are) but it completely rubs me the wrong way when an order is sloppily brought out and presented to paying customers with no remorse. Only half of one French toast order was brought out (I know it was half since I always order it) and so I called the waitress out on it. She then put another piece of French toast on its own plate and brought that out separately. In addition, all of the sides were mixed up and cold. I asked her to take it all back and bring it out the the way it was ordered. The French toast was thrown together and the eggs that were missing cheese was brought out with unmelted cheese thrown on top.  I don't write Yelp reviews but Johnnie's used to be a prime breakfast spot. I hope they can get back to that place because as of late, they are anything but.",-0.8271,0.905,0.028,0.067,0.44001068376068386
2016-07-24,2.0,"The food was standard breakfast and it was good-- but oh my goodness, our server was either in another dimension or just did not care to be diligent in her duties. We were seated promptly when we arrived, but we had to wait at least 10-15 mins before our server came over to greet us. Then, we waited another 10 mins to order. The food came in a decent amount of time-- and we ate and enjoyed. However, we asked for a check TWICE from another waitress (we asked her to send our waitress over since we were not seeing her, and this is not a large restaurant... so, clearly she was doing something in the kitchen, or probably smoking a cigarette out back). We waited for almost 30 MINUTES, and we didn't even end up getting a check. We had to go up to the cash register where the bus boy ended up cashing us out. NO TIP, and NOT RETURNING. I can get an identical meal elsewhere for about the same price ($18 total for 2 people) and I know there are better, harder workers out there.",0.928,0.864,0.099,0.036,0.37946428571428564
2016-07-17,2.0,"We ended up at Johnnie's after realizing that our preferred brunch spot didn't open for another hour.  After some serious power shopping at a warehouse sale, we were hungry but not patient, so we kept walking and came across Johnnie's. The first thing I noticed when we walked in was the sign by the register encouraging customers to write a positive Yelp review in exchange for a yogurt parfait.  It reminded me of this one episode of Maury, where a teenage girl said she had sex for a cheeseburger and a soda.  Have some standards, people! Service was OK.  Food was OK.  This kind of ordinary diner is not what you'd expect tucked around the corner from the noteworthy restaurants on Randolph.  I had an omelet with spinach, feta, and gyro meat.  There wasn't nearly enough feta, the dish was under-seasoned, and the eggs were over-cooked. The interior of the diner, and the average rating of Johnnie's, gave me initial high hopes that we stumbled upon a cheap breakfast spot with fantastic food.   Meh.",0.981,0.845,0.141,0.014,0.4990303030303031
2016-07-16,1.0,"Johnnie's had been my go to for the last 3 years I've been in the west loop. The last couple months the service has not been there. The food has taken in excess of 30 minutes to come out of the kitchen while the restaurant is steadily busy, but not packed. Sometimes your waiter comes by within an acceptable amount of time to give you a menu/take an order and sometimes you're sitting there for 10 minutes until your waiter stops by for the first time. I've given Johnnie's more than a couple second chances as everyone has an off day, but it's turned into a recurring theme here now. After my most recent visit, I was informed the excessive wait for the food to come out was due to Uber Eats. Maybe the way to go with Johnnie's is delivery and not dine in?",0.5023,0.951,0.036,0.013,0.33916666666666667
2016-07-16,1.0,Service is painfully bad and slow. Waiting 25 minutes for scrambled eggs and pancakes---really? I used to love this place. Will be my last time here I think.,-0.4019,0.674,0.123,0.202,0.4333333333333333
2016-07-10,5.0,Kim and Sophia provided great service today!!! The food is wonderful. The atmosphere is cozy and home like. This is a place of home away from home.,0.9037,0.673,0.327,0.0,0.8333333333333334
2016-07-09,5.0,"My new favorite neighborhood breakfast and lunch spot!! Staff is so friendly, food is on point. Exactly what you want when you need you need a pancake/egg/bacon fix. Turkey club is great too and fries are nice and crispy. Been here twice in the last week and will be here many more times to come. The staff treats you like family .",0.9545,0.746,0.254,0.0,0.5579124579124579
