date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-22,4.0,Came here over the weekend for brunch and sat outside.  I had the Lox & Bagel plate which was good but a little smaller than your typical Chicago Lox platter.  Lox was super fresh and tasty and the iced coffee was pretty good too!,0.9622,0.658,0.342,0.0,0.5462962962962963
2017-08-20,3.0,My date asked for a side of bacon and the waitress legit just didn't bring it. I ordered the salmon Benedict and the toast was burnt / not easy to cut through. I honestly thought the food was pretty average. Service made it worse.,0.3628,0.721,0.165,0.113,0.7466666666666667
2017-08-10,5.0,"This place was amazing! Great food, great live music, absolutely excellent service!  I don't write a lot of reviews but this place deserves one. The wait staff was super friendly and the owner was the best! They went above and beyond and we all had a really nice time. Highly recommended...I'm definitely going back!",0.9889,0.547,0.453,0.0,0.5774358974358974
2017-08-09,5.0,"Great food and impeccable service.   I have a ton of food allergies, but they accommodated me excellently.   A great neighborhood place, super bar, good music, and the entire staff is five star.   And they have chocolate sorbet!!  Highly recommended!",0.9827,0.53,0.47,0.0,0.6688095238095239
2017-08-07,5.0,"I took my kids (15&17) to brunch here and we were impressed.  We started with the barbacoa empanadas and mini cinnamon buns. Each were delicious. Then one had the chilaquiles w an egg on top, the other had short rib Benedict and I had salmon belly tartare and lamb meat balls (last two both 'snacks').   They recently reopened Gemini after a complete 3month renovation and redesign.  The menu, philosophy and quality are all excellent.   My cocktail, the San Pancho was a delicious combo of agave spirits and fresh pineapple juice.  Great Sunday brunch.",0.9698,0.783,0.217,0.0,0.5951388888888889
2017-08-01,5.0,"Happened upon Gemini while exploring the neighborhood. Chris our server gave great recommendations. Beautiful outdoor seating, great menu options. The halibut was the best I've had. New favorite restaurant.",0.9652,0.554,0.446,0.0,0.709090909090909
2017-07-29,3.0,"Beautiful space and good food but pricey for the dishes we had. Mostly disappointed that there are no vegetarian entrees on the menu. When we asked the server, there was no offer for the chef to create something, which sometimes happens. My vegetarian daughter had a couple selections from the ""vegetable"" menu category, but no entrees means no protein.  Not great for a dinner out.",-0.3919,0.658,0.155,0.187,0.775
2017-07-17,3.0,"We came here for brunch this weekend. Super cute outdoor space that is dog friendly, and my husband wanted to try it after having read about it. We split the empanadas starter that was pretty good. Then we split two brunch entrees: chilaquiles and the crab cake Benedict. Given the Benedict is called out and it's $22 for crab cakes I expected a LOT more crab meat. And the bread for them didn't seem like muffins. More like toast? Anyways, I think the price is what bugged me here. It was tasty but the bread was a little tough and the cakes too small - some type of side would've been nice too. Service was nice and attentive. I think we would come back for dinner but it's a little pricey.",0.9271,0.836,0.132,0.032,0.64375
2017-07-15,4.0,"Fantastic -  will go again.  Waitress was very knowledgeable,  drinks were great and the calamari salad was amazing.  It is a fairly small menu but we were there for brunch so I'm not sure how the regular dinner menu compares. We enjoyed sitting outside and the weather was perfect, sunny but cool.  Cute interior.",0.9728,0.598,0.363,0.039,0.6346509971509972
2017-07-12,4.0,"First impression:: My fiancé is from Chicago and has wanted to try this place for a while. We were walking around the city and needed a rest stop to grab some beers and food.   Since it was so Nice outside, the patio to the Gemini looks so inviting. We were a little late for lunch so there was no crowd outside but there were several people who were happy to help us. Food/Drinks:: We had dinner reservations so we only wanted to grab a snack, and at first glance the menu items are a bit on the pricey side. But the plates are so beautiful and they taste so good that it is no doubt worth the price.   They had an amazing beer list and our waiter was very helpful with my selection as there were a few that I had never tried. I had the Maplewood Charlatan ($8) and my fiancé had the Left Hand Sawtooth ($7).  Both were very tasty. Mine had a lot more flavor and a great hobby finish. I wanted to go with a logger because it was so hot outside, but he is shirred me that this would still be a refreshing choice. The food on paper looks great. My fiancé and I had no trouble in both picking the same two starters we wanted to split. Duck Confit Nachos ($17) & the Greek Lamb Meatballs ($15).  I'm going to post the pictures of our food but on first to look they are super tiny compared to the price. I have had nacho plate for way less that are at Mountain.  But honestly the food was so good!  I took my half of the nachos down in one by each because it had the perfect amount of pepper, cheese, avocado that you need while The deck was still feeling and tender and very tasty. If I could only suggest one it would be the nachos for sure. The meatballs were amazing too. Also a one bite app, with the perfect amount of Tzatziki sauce and a very unique seasoning flavor, that I think was the fennel. If I had more time in Chicago I would definitely come back to this place for dinner. There are too many great combinations that I would be super excited to see the Chef's take on all of these dishes.",0.9985,0.734,0.23,0.036,0.5333888888888889
2017-07-11,5.0,"I dined here with a client last night who was in town from NYC. Being it was a Monday, there were not that many options, but Gemini was open.  We shared the crispy calamari salad and salmon belly tartare to start. We each had steak frites and shared mushrooms. Even though we also had a couple drinks, we were out of the place in under an hour and did not feel rushed in the least. I would definitely go back. With tip, it worked out to $100 a person.",0.8674,0.891,0.109,0.0,0.29333333333333333
2017-07-09,5.0,We've been loyal fans since before they remodeled. Food is always great and they are very welcoming. Brunch is now good too! The patio is one of the best in Lincoln Park.,0.9571,0.603,0.397,0.0,0.5566666666666666
2017-07-08,2.0,"The decor is nice and the outdoor seating is pleasant but the food needs work, especially for the price. This place is expensive, the portions are small and the food is not cooked well. My friends poached eggs were cooked all the way through to hard, his hollandaise was way too thick and my ""medium"" steak was well done. We won't be coming back.",0.4867,0.803,0.114,0.084,0.6354166666666667
2017-07-03,5.0,"This place is amazing for brunch. I came here with 7 friends for a Sunday morning brunch, and all the staff was lined up to greet us (we were the first table of the day, they were bored lol) and they walked us out to our adorable table out on the patio. The ambience is very chic, but approachable. Great brunch spot with the girls or to bring your parents who are visiting from out of town. The Brunch Punch was the MVP of my entire day. It was 7 types of rum and a splash of something pineapple-y, and it brought me back to my recent tropical vacation. It was delicious and packed a punch! Definitely got my $11 worth with that drink. I also had the strawberries & cream waffles which were delicious. Even my husband who is more of a savory over sweet person, loved it. The only downside was they didn't split the check. We didn't ask them to, but come on. There's 8 of us, and it's clearly not a business lunch, we're gonna need to pay separately. So I had to bust out the ol' calculator app and add up everyone's total and divide the tax evenly, etc. It was a little annoying but definitely not a deal breaker. We'll be back for sure.",0.9923,0.758,0.206,0.036,0.6132222222222222
2017-06-26,5.0,"This is one of my favorite restaurants in the city and it never disappoints.  The food is excellent, the atmosphere is classy, and the service is top notch.  I loved it before the renovation and like it even more with the new menu.",0.9583,0.637,0.363,0.0,0.7363636363636363
2017-06-21,4.0,"Came here for brunch and was really impressed by the quality of my burger! It was easily one of the most delicious burgers I've ever had - perfectly cooked, with crispy pancetta and a good combo of cheese and sauce. The fries were a bit bland, nothing to write home about, but the burger more than made up for that. My SO got the Parmesan chicken sandwich, which was also really delicious. It was surprisingly delicate for a breaded chicken sandwich, and I would highly recommend it as well. The ambience of the restaurant is really nice. It's laid back, but the service is excellent! My only gripe with Gemini is that the portions are too small for the high prices. It hurt a little to pay almost $20 for a burger and fries and to leave feeling a bit hungry. I'd except a bit more for my money.",0.9839,0.732,0.227,0.042,0.7403174603174603
2017-06-19,4.0,"Beautiful restaurant, delicious brunch, and great location! The brunch here is a bit pricey, but worth the splurge if you're looking to treat yoself. I ordered the chicken parmesan sandwich, which was flavorful, tender and surprisingly light. I also had a bite of the burger, which was phenomenal! It is small, especially for its price, but the taste definitely makes up for that. Both dishes come with a side of fries to help fill you up! While I wish the dishes here were a bit larger so you get some more bang for your buck, they do deliver when it comes to taste.",0.9789,0.759,0.241,0.0,0.6583333333333333
2017-06-10,5.0,"Thank you for a terrific meal.  We had a lot of food, nothing I wouldn't recommend! Angelotti Duck Nachos Lamb Meatballs Swordfish - bone in! Salmon Milk Braised Pork Chicken ALL OF THE DESSERTS!",0.8073,0.765,0.235,0.0,0.975
2017-06-10,5.0,"Our first time back to Gemini after the renovation. Long story short, warm and friendly ambiance, great service and hospitality, and the food is better than ever. Gemini has a special place in my heart - after dining here a few times, we've celebrated our wedding engagement, anniversary and returned last night for my dad's 76th birthday. Everything we ordered was delicious: parkerhouse rolls, mussels, crab cake, gemini salad, roasted chicken, walleye, porkchop, and burger. The star of the show was dessert: ""the chocolate"", cherry pie, and strawberry shortcake....it's difficult to pick one favorite, they were all so incredibly good... Thank you Paulie, Tish and team for making my dad's birthday celebration a memorable and wonderful evening!",0.9858,0.728,0.254,0.018,0.6011278195488722
