date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,3.0,"The outdoor dining with the pupper was very nice. The waitstaff was helpful and courteous.  The risotto special was delicious, but the Margherita pizza is NOT a Margherita pizza. It's a thin crust tomato sauce based pizza with minimal basil, no fresh mozzarella and no fresh tomatoes.  We've had better frozen Margherita pizza from DiGiorno.",0.909,0.626,0.292,0.082,0.7246031746031745
2017-08-29,3.0,"Old school Italian Restaurant that has been around for years. All the food was solid, but not mind blowing. We were also the only ones in the restaurant at the time.",0.0772,0.958,0.042,0.0,0.325
2017-08-25,4.0,"Perfect place for dinner for a pre-show Italian treat. Quality fare, prompt service with a good bar to sit and enjoy a cocktail before dinner.",0.91,0.59,0.41,0.0,0.525
2017-07-08,5.0,I really like this place for making real Italian food accessible  with out breaking the bank cooking stuff under a hot brick is pretty cool   Every thing  I've eaten here is   Fantastic I try the chocolate dome cake for dessert make sure you get the raspberry sauce on it.  Hi Chef  Paul.   Make that 6 star's I  never knew they DELIVERED /Duck  breast  Ravioli for my friend's  where are yo ordering your pizza from tomorrow   I thought so.   John Howe,0.9216,0.829,0.171,0.0,0.6079861111111111
2017-06-15,4.0,"I visited Vinci with a friend prior to attending a show at the Royal George Theater. It was a restaurant suggested on the theater's website and it ended up being a great suggestion.  My friend and I ordered the grilled octopus, the arancini balls, and the tagliatelle. The grilled octopus wasn't great, it was touch and chewy but the presentation was nice. The arancini was absolutely delicious. I'd order that again in a heartbeat. The tagliatelle came with a rage sauce and it was also fantastic, although it was a lighter dish than I expected. I loved it.  The service was great. There was a small incident when a waiter knocked over a glass of wine but it was almost empty and they brought us another carafe immediately and cleaned up the small mess right away. It wasn't a big deal but they more than compensated for the small mishap. They were friendly and attentive.",0.9846,0.723,0.22,0.056,0.5663533834586467
2017-06-02,4.0,"This place was close to the Airbnb where we stayed. We ate at the sidewalk seating as it was early evening. It wasn't very busy, but the service was timely and very professional. We started with a romaine salad, my wife had the Pappardelle and I had the Linguine. All were delicious.",0.7227,0.907,0.093,0.0,0.45499999999999996
2017-05-05,5.0,"I came here on a double date on a Friday night and the 4 of us did not have to wait. The interior gives more of a traditional italian feel.  It's nicely maintained and clean.  The dim lighting adds a nice level of intimate appeal too. We started off with a mussel dish.  This had a delicious tomato based sauce and several small mussles making this perfect to share among 4 people.  The flavors were great and the texture of the mussles showed that they were not overcooked.  In fact, the sauce was so good, I took it home and ate it like a zuppa di pesce... because it had such a strong resemblance in terms of flavor. My main dish was the risotto.  I felt the risotto rice was cooked well... not too soft but not too firm, and the flavors were great.  It was creamy and had the right amount of salt.  We did not have to wait too long for our food too! Service is what took this beyond what would have been a 4 star review.  The older gentlemen serving bread was absolutely beyond polite and inviting.  He made our experience that much better because his personality was so bright and genuine. This is a great place if you're look for a more authentic taste of italian food.  It can also be an intimate place for taking a special someone to.",0.9928,0.807,0.193,0.0,0.5590336134453784
2017-04-22,3.0,"Fairly expensive for what you get. Drinks and food tasted good though . Ordered chicken on my pasta and got about 2 oz for 5 bucks. Really slow and u responsive service, had to ask for oil and cheese for bread and instead of a bread basket they give each individual 2 slices.  Decent but lackluster for the price",0.4276,0.93,0.07,0.0,0.6194444444444444
2017-04-14,2.0,"My fiancé and I had dinner at Vinci having heard good things, but we experienced the opposite. First of all, I want to credit the wait staff for being so helpful and accommodating even though what seemed to be the manager behind the bar was despicable.  For what we paid, the food was generic Italian at best. For the prices, I expected much better. My brown butter sage ravioli was like eating a ball of cheese and the sauce was very bland. My fiancé was given the wrong cocktail that wasn't even drinkable. However, that wasn't even what deterred my experience. Upon leaving the restaurant my waiter wished me a Happy Easter and I reciprocated. The bartender decided to mock me for observing this holiday by belittling scripture he poorly recalled, sighting sarcastic pieces of verses back to me. I ignored him while waiting for my fiancé to go to the bathroom and listened to him insult me behind my back within earshot to another customer.  I tend to let many things go, but as a Chicago resident this was by far one of the worst restaurants experiences I've ever had in the city. At the end of the day, a business makes me feel is more important than anything else.",0.9202,0.755,0.149,0.096,0.553623188405797
2017-03-23,2.0,"Wonderful service, lovely authentic-feeling Italian atmosphere but I've had far better quality and taste for much less money. Vinci is among tough competition on Halsted with Balena and Boka, however, I expect much better from such a long-standing and well-reviewed restaurant. We dined before a show at Steppenwolf and the place was nearly dead. We ordered two entrees as well as wine; which they sell by the 1/4, 1/2, and full bottle. Following that, we enjoyed dessert and a very flat glass of Moscato D'Asti. Spinach and ricotta ravioli with browned butter and sage: unmelted cheese atop the ravioli, and not nearly enough of the browned butter sage sauce resulting in a rather bland dish. Not bad but not great, mediocre at best.  Chicken Saltimbocca with polenta and lemon caper sauce: The polenta with the lemon caper sauce was by far the best part of this meal! Unfortunately, the chicken breasts were dense and rubbery with very hard, crusted prosciutto on top making it difficult to cut and chew. While chicken saltimbocca is supposed to be salty, I found this dish to be extremely over-salted and almost unbearable. The spinach was, well, just a pile of cooked spinach. This dish gets a thumbs down.  Blueberry creme brulee: Sweeter-than-usual creme brulee with an excellent sugar crust. I would have liked more blueberries in and on top of the dessert. There were about five berries seemingly poked into the custard, which was again, underwhelming. However, we certainly enjoyed it and would recommend that dessert to someone in the future. Lemoncello & chocolate biscotti gelato: Basic. Nothing to love, nothing to hate.",0.9909,0.712,0.203,0.085,0.6251388888888888
2017-03-04,3.0,"We ordered the following: lamb meatballs vinci's caprese - eggplant Tagliatelle w/ veal tomato ragu Sausage pizza  Can I get a woot woot for the tagliatelle? Would come back just for that. We almost licked the plate clean. The roasted eggplant was different. I liked them, but could go without next time. My bf enjoyed his lamb meatballs, but since we ordered more than 2 can eat (typical of us), he found the last one a bit heavy. But that pizza. *SMH* It tasted like frozen pizza from the grocery store. Not Digiorno. That stuff is good. But more like the $3.99 store brand frozen pizza. We had a couple slices and passed on the rest. I usually take my leftovers home, but those weren't even worth the fridge space. Very disappointing for an Italian place.  Service was good. We were seated prompted from our walk-in on a Saturday evening.  Warning: got seated in the corner of the back room, right by the heater. Boy was it HOT! I know i could've said something, but seemed like it was central heating so i didn't want to bring down the temp of the entire place. It was a fairly quick meal anyways.",0.9528,0.808,0.138,0.054,0.4190507936507937
2017-02-15,4.0,"Came here for a romantic Valentine's Day dinner. They had a special Valentine's day three course menu for $38 per person. A great deal because most of the things we wanted from the regular menu were on the special menu. They gave us some bread to start out the night. I wish the bread was warm because it would have tasted so much better. The butter would have also melted on it instead of just getting clumpy.  We started out with the ""roman style"" gnocchi and sausage with goat cheese. The gnocchi was tender and fluffy while the mushrooms and sauce made every bite pillowy and creamy. I don't really like big mushrooms, but these ones were delicious in the sauce. I was so close to licking the bowl. The sausage was pretty good with a nice spicy flavor.  In addition to our three courses, we also ordered the rigatoni. I wanted to try it because I read from other reviews that it was really good. I was so glad we got it! The pasta was perfectly cooked and the sauce was rich and meaty. It was a blush cream sauce that was just amazing. We decided to eat only a little bit and save room for our entrees and dessert. The waitress was very aware of when we were done and made sure to bring out our entrees as soon as they were ready.  We had the roasted duck and pappardelle with beef short rib. The duck was very well cooked and tender. It was surrounded by a balsamic reduction which gave it a tangy flavor. The sides were not that dazzling to me. It came with broccoli, polenta, and oyster mushrooms. Normally, I love polenta, but this one was a little lackluster and didn't taste like anything. The oyster mushrooms were a really weird texture and I did not enjoy them. The broccoli was limp and forgettable. The pappardelle with the beef short rib was very good though. Honestly at this point, I was so full from the first few dishes that I could only eat less than half of my duck.  Dessert was wonderful! A nice way to end this dinner. The tiramisu was everything that I hoped for. The ladyfingers were a good balance of espresso to the cream and mascarpone. I've had tiramisus where they had too much rum but this was the perfect balance. The blueberry crème brulee was also a star of the night as well. The crunch of the caramel as you crack through the top told me that this was a good one. The custard wasn't too sweet so it mixed well with the caramelized top.  The service was great and they treated us so well. The waitress recommended us a nice wine to go with our meal. I would recommend the gnocchi, rigatoni, and the two desserts. I would suggest that you come planning on spending about 2 hours because there's quite a long wait time in between courses. We ended up spending about 2.5 hours there but we also took our time.  Would love to come back and try their other dishes!",0.9992,0.743,0.235,0.023,0.5838389295889298
2017-02-11,5.0,"The truffle oil roman style gnocchi is amazing. Really good seafood pasta, and apple cake for dessert. Friendly service, great experience overall. Looking forward to going back again",0.9359,0.627,0.373,0.0,0.4583333333333333
2017-01-14,5.0,"This was my first visit to this wonderful restaurant and I was not disappointed.  The service was very good. Our waiter Luis was very attentive and informative. The food was spectacular.  There were 5 of us and we all got something different, so we were able to try several different things on the menu.  Everything was delicious.  The pasta was cooked perfectly, the pork chop was probably the best I've ever had. The seafood risotto was amazing.  I could go on and on, but I think You should just try it for yourself, I'm sure you will agree. This may have been my first visit, but it certainly won't be my last.",0.9657,0.801,0.199,0.0,0.6516013071895426
