date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,3.0,"Have unplanned guests? Need food fast? Order Noon O Kabab to go! I was on the corner of Western and Lawrence when my friends called unexpectedly to let me know they were coming over. I didn't have any food at home to serve so I was about to drive to Pita Inn in Skokie to get some Mediterranean food. Then I remembered a good friend of mine told me there's a really good kabob place on Kedzie so two minutes later, I arrived at Noon O Kabab. They have two locations within less than a block radius. One restaurant is sit down and the other is self serve (order to go). The place has parking but be aware, it's really, really packed. You're lucky if you find parking in the actual lot, stick to street parking if you can, it's rather hard to get out of the parking lot. Anyways, I walked in and the line wasn't too long and since it was my first time there, I let the cashier know I needed enough food for four people. The cashier suggested getting  the Joujeh platter (two skewers of juicy marinated chicken on an open fire served with rice) and Koubideh platter (two skewers of ground sirloin beef seasoned with Persian seating and also served with rice). The cashier even asked me if I would like it served family style and I said yes. I also ordered their homemade hummus. My total was about $56 dollars for two platters and hummus and I was told it would be about a fifteen minute wait. The place is clean, the bus woman and boy were busy picking up dirty dishes, sweeping the floors and making sure everything was tidy. The place was packed but it has a beautiful ambiance and aura to it, the wall art is charming as well. My food was done in less than 15 mins and the richness of the food smelled my entire car up! I have to admit, I was a little disappointed when I opened the food up when I got home, there was double the rice in comparison to the meat. There was a good amount of chicken but considering I ordered two skewers of beef, there was double the amount of chicken in comparison to beef- even though I ordered two skewers of each!! I have to admit, they serve significantly bigger pieces of chicken on the skewer and that could be the reason for the significant difference in portions. Either way, I served half the platter of rice and then all the chicken and beef on one platter and thank goodness we had enough food. Truthfully, if we didn't have other food available, we wouldn't have been able to feed three people nevertheless four. Even though the chicken was juicy, it tasted bland next to the rice. The chicken is great but even with the small side of grilled veggies and rice, there's something missing to make this platter excellent. Maybe it's the lack of salad or a sauce? I don't know but it's missing that extra key ingredient that would make this meal mind blowing. If you don't eat the chicken while it's hot, it become a little dry with the rice so I ate it with the hummus. Their hummus is really, really delicious and I ate the whole small serving in one sitting. The chicken and hummus paired together taste really good!!  I do intend to come back and try the rest of the items on their menu!",0.9966,0.827,0.136,0.037,0.5477124183006536
2017-09-01,5.0,"Come and taste, probably, the most wonderful Persian food in the city. The food is delicious and the prices are not prohibitive at all. I ordered the salmon and I was not disappointed. The salads, the rice and all the food is very fresh. The portions are right and very flavorful. Drink some of their  tea, add sugar, and enjoy some Mesopotamian food, right on the north side of Chicago.",0.9436,0.797,0.203,0.0,0.6412698412698412
2017-08-29,2.0,"The food is here is always good.  But this review is only two stars because after coming here for over 12 years, I was disappointed by the portion size (so much so that I asked the server if they were bringing another plate with the remainder). Maybe it doesn't seem like a big deal, but my lamb shank was so small, it seemed comical compared to the huge amount of rice they gave. On top of that, when I asked to not get the rice or alternatively, to substitute it for hummus (expecting to pay an additional charge), I was told the dish only comes one way.  Good food. Mediocre service. Poor serving size.",0.3808,0.833,0.09,0.077,0.6653846153846155
2017-08-26,5.0,"Best Persian restaurant in Chicago , they serve you best quality for food . Try Persian ice  cream saffron and fig for your dessert . Restaurant is clean and you can see Persian carpets hanging on wall. The manager  was super professional and she take care of all the customers!! Definitely recommending",0.9701,0.667,0.333,0.0,0.4277777777777778
2017-08-24,5.0,"Great place for take out, especially for lunch. Great value (more like $ than  $$ ) at least for lunch. Very tasty and flavorful items. I like both the lamb and chicken kabobs and the Persian rice is nice.",0.9545,0.62,0.38,0.0,0.7062499999999999
2017-08-23,1.0,I just had a Barg there and there was hair in my tomato . I addressed that to my server(Dennys) and never heard of a apology from her or the manager and after paying she just threw the check on the table and left.  Really disappointing.,-0.5634,0.894,0.0,0.106,0.35
2017-08-23,1.0,"My husband and I drove a long way from the suburbs to come and eat here and were so excited to experience the food. We waited 10 minutes to be seated and when a waitress finally showed up, a rude female manager/supervisor immediately tasked her with something.  The server seemed scared of her and left us standing there still, so we seated ourselves. We sat there for 14 minutes without anyone coming to the table.  No menu, no water, NOTHING. After 24 minutes total wasted at this place, we gave up and left. We had such high hopes and left starving with nothing but a ridiculous amount of driving time and a terrible impression of this place.  So dejected and disappointed.  Maybe the food is wonderful, we will never know.",-0.8876,0.745,0.089,0.166,0.5285416666666667
2017-08-19,5.0,"First Persian food experience outside of the food cooked by my Persian friend, but this place was really great! We had a wide variety of food and loved all of it!",0.9444,0.657,0.343,0.0,0.4666666666666666
2017-08-12,5.0,"We held a party last night and our Noon O Kabab was a big hit!  We had meat eaters, vegetarians, picky kids and everyone was happy!  Great customer service too!  Thank you!",0.9345,0.638,0.362,0.0,0.4791666666666667
2017-08-06,5.0,Hi- I and family recently visited this restaurant for a dinner. We loved the food and great service. We were also pleased and impressed by the manager Grace's hospitality.  Thanks again.,0.9509,0.587,0.413,0.0,0.6666666666666666
