date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-28,5.0,"Regarding Carlos' review of Sunday, Aug 27th.... That's weird. I was in there for most of the night with some friends. We had a great time. I thought the staff was friendly throughout the night. The owner wasn't in there last night.",0.8658,0.743,0.221,0.036,0.5633333333333334
2017-07-11,5.0,"Our bartender and waiter, Eli, was so attentive and friendly.  I am new to the neighborhood, and he made my friends and feel comfortable and welcome.  Good atmosphere, Excellent customer service, and the food was pretty good too!",0.9773,0.529,0.471,0.0,0.7505050505050505
2017-06-06,5.0,"Great burgers and drinks!  Eli was a great bartender/server.  Menu has lots of choices, even for my picky friend!",0.9183,0.556,0.444,0.0,0.75
2017-06-05,4.0,"Not another bad place to unwind. The BALT sandwich was pretty good. Watching the Cubs games on their TV's weren't bad either. Plus the NBA finals as well. Lots of old Schlitz memorabilia as well, Worth looking at.  At one time was a Polish run sandwich shop, And believe the expanded location was another bar, And in later times-The Bop Shop.",0.4939,0.734,0.169,0.097,0.46190476190476193
2017-06-04,2.0,"Don't go here if you want decent service. We went around 8 pm for dinner and didn't leave til about 10:30 essentially wondering where our food was the whole time. The place was totally packed but they had only a few waitresses in the whole place.  If you're just going for drinks, I'm sure it would be okay. But don't expect too much. Average dive. Average food. Average offers. I got the spicy burger with a turkey burger and it was definitely decent enough. I wouldn't go back unfortunately.  Also, someone puked near the bathroom and it wasn't cleaned up for over an hour. Disgusting. We also told the staff about it more than once. Just gross.",-0.4257,0.798,0.106,0.096,0.48915343915343923
2017-05-17,4.0,"I have to write a review because most people are wrong. This bar is a solid four, plus or minus 0.25 stars. Plenty of TVs, not too crowded, solid bartender, serves a ton of regulars, daily specials, and the food is surprisingly good (hot and large portions). Could easily be your neighborhood spot; it might be one of mine.",0.6527,0.777,0.17,0.053,0.44119047619047624
2017-03-24,1.0,Terrible service. Was ignored by staff while they socialized with friends and drank. Don't go here,-0.3182,0.605,0.144,0.251,1.0
2017-03-18,3.0,"Fun atmosphere and decent bar food. Came on a Saturday night and most people were drinking, not eating. The appetizers are highlights - the vegetarian nachos are HUGE and the hummus plate was also a large portion that came with tons of broccoli and pita. The burgers were good but not the best, and the fries were like extra crispy shoestring fries. Overall great bar food to accompany some drinks, but not ideal if you want a good, big meal.",0.836,0.682,0.21,0.108,0.4727106227106226
2017-02-24,3.0,"The stand out for me is how good the food is here for such a relatively unassuming type of spot. Starters, salads and sandwiches have always been great. My wife and I love the roasted chicken and short rib entrees though. Chicken is made fresh so expect to wait about 30 minutes, but it's worth it. My reason for 3 stars is the service and the quality of the space. They can certainly do a better job keeping the place clean. I don't want to sit at a bar and be looking at a dirty rail, spotty glasses and dirty tap spouts. Service can be pretty slow and generally a bit aloof. But worth stopping in for a pint and some good bar food.",0.9646,0.699,0.224,0.076,0.5605263157894737
2016-11-13,5.0,"A really authentic and inviting pub with warm staff and a cozy layout. The music is always a great mix.  We go here frequently for the various specials every day(sundays $4 founders all day ipa or $14 for a pitcher!) and a couple weeks ago they had a tap takeover by Ska Brewery! You seat yourself and are always promptly greeted. The staff know the locals and make you feel very appreciated both in service and accommodations. There are plenty of hd screens for watching the game and the bar is great for accommodating large groups. The food is fresh smoked on a wood grill and surprisingly flavorful for pub fare. The wings are juicy and big, and you can add local hickory smoked pepper bacon to any burger/sandwich. You can get a gourmet burger or just a griddle burger(sirloin chuck n shortrib) locally sourced for under 6 bucks.   They have cocktails as well including a cold brew coffee and founders porter concoction (the Wake Me Up Beer). One of my favorite beer n burger bars in Chicago!",0.9795,0.843,0.157,0.0,0.497563025210084
2016-10-19,5.0,"I go here for any sport that I want to watch. I live in the neighborhood and have been to all of the sports bars in the area and Macs continue's to be my favorite. The wait staff is also very nice. The food is outstanding. The beer selection is great. And they have about 20 tv's in the main bar area. You're almost guaranteed to get your game on. Some favorite food items of mine are the quesadilla, the veggie nachos, the bbq chicken, any of the burgers and lastly the wings.",0.9552,0.82,0.18,0.0,0.6875
2016-10-01,5.0,"We came to this place because my sister just moved to the area without looking at any reviews. We tried to go to the super popular ""parlor pizza place"" but there was a 1.5 hour wait... so we made it into Macs. Great beer selection, and the food was Amazing. I'll definitely be back and can't wait to bring my girlfriend. Great beer specials as well. A hidden gem in Wicker Park.",0.9818,0.7,0.3,0.0,0.6142857142857142
2016-09-23,1.0,Place seemed like it had potential. Poor service. Grilled cheese was all bread 2 slices of cheese. Balt had burnt bacon. Then the waitress charges me 275.00 on my card when my bill was 27.50. Now I have to deal with the 3-5 days to get my money back. She was unapologetic. Don't waste your time or money. Plenty of other places to choose from.,-0.0946,0.855,0.07,0.075,0.395
2016-08-13,5.0,"This is in response to Tommy C.'s review.. I find it rather humorous that he even had the audacity to write a review at all, I say this because I was there that night with a group of friends and watched this all happen. The dispute was not over $100.00 or even $1,000.00 but over a few dollars on a groupon deal. It was only after the two gentlemen were asked what they thought of everything and responded with a condescending remark (which is typical for some self entitled, pompous ass) about the service is when the bartender snapped because you see Tommy C you may have felt unjustly attacked and that is why you felt the need to belittle someone via Yelp, however you failed to mention the two glasses that were broken and you weren't charged for them but you want to bitch about a few dollars.  Enough of that.. I like being able to go to your nice little local neighborhood bar to grab a drink and a grilled cheese that comes with tomato soup! I know it sounds pretty basic but it's hard to find that combo anywhere.To be able to wander in have a few laughs, drinks and some food is alright in my book! Mmm grilled cheeesee",-0.2013,0.772,0.121,0.107,0.49509803921568624
