date,star,text,compound,neutral,positive,negative,subjectivity
2017-06-27,5.0,"One of my fav spots in the city for Korean food. Authentic, fun vibe and really good food of course! Korean food is my favorite food and Jin Ju does a great job at delivering. I'm a vegetarian and they do an amazing job of accommodating! I order Kimbap  and Chopchae  and I usually have to ask for the Effie option. This menu has it already on it! Love that!!! Third time ordering food from here and will def be back soon. Thanks to the amazing owner and chefs! Can't wait to be back soon",0.9866,0.716,0.284,0.0,0.4730769230769231
2017-06-08,4.0,"Was on our way back home after a friends party at some brewery in Evanston and a few slices of pizza just wasn't cutting it.  Korean is my go to comfort food and of course being Korean can eat it for every meal.  I wanted to head to Dae Rae Jung, but they were closed to had to yelp the next closest one and Jin Ju came up so I said let's go!  We get there and not what I expected, I'm Korean and when we go to Korean restaurants, they are mom and pop restaurants where cleanliness is questionable, menu is hardly in English and customer service is non existent, but we go for the food.  At Jin Ju, they did not disappoint, In the heart of Andersonville, this place is posh, great decor, super friendly service and the food was on point.  No fusion here, just great tasting traditional Korean food without the frills, just presented better lol.  Drinks were great, but one thing that lacked was the number of side dishes (pan chan), but understandable since they're marketing to a different demographic.  Highly recommend.",0.9926,0.75,0.224,0.025,0.5003703703703704
2017-05-22,4.0,Was in the mood for some bibimbap and Jim Ju definitely delivered. Rice was crispy and delicious. Kimchi was also very good and packed some good flavor. Pajeon was a little oily but a good starter to share,0.9258,0.66,0.34,0.0,0.6633333333333334
2017-05-15,5.0,"Came here for mother's day dinner. we made a reservation for the 3 of us just in case but we probably would've been okay without it. service was great and so was the food! I'm not super versed in korean food so i don't have much to compare it to but everything we ordered was delicious. super fun cocktail list but they also have beer if you're not into that. flavorful, friendly, and fairly priced. atmosphere is definitely intimate but not over the top. we would definitely return here!",0.9689,0.656,0.255,0.089,0.5819444444444445
2017-04-27,5.0,"I love Jin Ju. The food is unique and delicious, the atmosphere low key and friendly, and the service is always fantastic. I probably eat here three times a month.",0.9274,0.567,0.379,0.054,0.7571428571428572
2017-04-21,5.0,"Delicious Korean fare in an upscale yet approachable setting. Jin Ju is a beautiful space with friendly and quick staff. The music playlist is as sumptuous as the food- we really enjoyed the modern mix of jazz, electronic, and house in the background. This would make a great date spot. We ordered the bulgolgi roll which is sushi-style Korean bulgolgi beef and a variety of fresh veggies served with pre-mixed wasabi and soy sauce. This might make a purist cringe but like many Americans I enjoy the combination of salty and spicy so this was really convenient. It was also served with a garnish of pickled radish which complimented the savory maki well. I ordered the kimchi soup as an entrée which was served with a side of pickled and fermented veggies. The soup itself was perfectly spicy; enough to linger on the tongue but not make you gasp for milk. The pork was ample and the broth was perfect for a cool spring evening. It is served with steamed white rice and brown rice is available for $1 extra. My friend ordered the bibimbap which was served with fresh veggies and an instagram-worthy garnish of sprouts wrapped with seaweed and a delicious red bean paste on the side. We mixed the savory paste in right away.  My friend also ordered a lychee martini which is made with sweet potato alcohol and comes with a whole lychee. It was delicious and reasonably priced at $9.  We will definitely check this location out again when we are in the area!",0.997,0.766,0.234,0.0,0.5548469387755103
2017-04-10,2.0,"I've been a Korean food eating machine lately and I was pretty excited to try this place, but to quote the almighty Yelp god, ""Meh.  I've experienced better.""  On a Friday night, it was full of cool, interesting people having interesting conversations (I know they were interesting because you sit so close to your neighboring diners, you can't help but hear their conversations). So, it's got the I'm-out-at-a-cool-place-on-a-Friday-night vibe, but this old married lady only cares about one thing: the food. And this is where they lost me.  In short, I've had much better Korean food for nearly half the price.  Nothing wowed me.  Standard dishes like Bi Bim Bap and Chap Chae were just standard. So what experience are you going for?  If you want a sleek and sexy atmosphere with acceptable food, try Jin Ju. If you want amazing food and don't give a Korean chicken wing about exposed brick and candlelight dining, then go somewhere else.",0.9919,0.7,0.262,0.038,0.557936507936508
2017-03-06,2.0,I was pretty disappointed by this place. Prices were high and very little meat in the dish. Flavors were fine but not outstanding. It wasn't terrible but I won't be coming back. There are other places I can spend the same amount for a more filling and flavorful evening.,-0.1403,0.752,0.128,0.12,0.5740909090909091
2017-02-26,5.0,Fun place to go with happy sushi chefs. Sushi is excellent!,0.8999,0.421,0.579,0.0,0.7333333333333334
2017-02-22,5.0,"Nice place. The food was really good. The server answered all our questions (we had several haha). I had the Mandoo, Bi Bim Bap (both dishes were really good) other people on the table ordered the Mandoo (fried) and was good as well. Had two different Korean beers, they were ""ok"" nothing special.  The decoration and style of the restaurant is romantic and kind of intimate but it will work well for a group as well.  Recommended place!.",0.9128,0.78,0.201,0.019,0.5497252747252748
2017-02-11,3.0,"It was a Saturday night, we went there. I remember it being a bit too dark. We were guided to our table. The menu is simple Korean affair. Unlike other Korean restaurants which I have been to, Jin Ju is modern, more western or possibly modern Korean. I ordered the spicy squid stirfry. My friend ordered the bibim bab. We got a few complimentary munchies but they weren't as good as I have had them in other Korean restaurants. The kimchi wasn't memorable. My friend's bibimbap came in a white cereal bowl. It tasted fine! But the hot stone bowl effect, which is key in that experience was missing. Our server insisted on mixing my friend's bibimbab, which raised a question mark in our heads. Apart from that, he was friendly. My stirfry was good! The tea, is a tea bag tea - well, they could do away with tea bag green tea. It takes away from the Korean experience.  Pricing was ok! It was $20 plus per person. I think there are better Korean places but maybe not in Andersonville. So, if you're in the area, wanting Korean try it.",0.8627,0.855,0.099,0.046,0.43668831168831174
