date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-04,4.0,"The Food: 4/5. I went to Mana about 3-4 years ago for the first time and didn't like it much as I got something that was a salty block of tofu with nothing else and other things were short on vegetables and high on carbs. Glad I gave Mana another try because it brought its A game so I went two nights in a row. I absolutely loved the cold salads that were nice and refreshing and gnocchi was my favorite thing on the menu, it was fantastic.  Gnocchi - 5/5 (wow!) Avocado&Arugula salad -5/5 Panzanella - 5/5 Gyoza - 5/5  Mana Slider - 4/5  Rice noodles - 3/5 Polenta - 3/5 ( more of a personal problem as I don't love polenta) Curry - 2/5 (the curry flavor was good, but they need a different way to cook okra to make it less slimy) Pina Colada  Slushie - 5/5 (surprisingly not too sweet)  Mana Lemonade - 2/5 (too sweet) The Service: 4/5. The service varies a lot. The last time our waiter was very friendly but repeatedly messed up or forgot our order. Overall: 4/5. One of the best vegetarian spots in Chicago.",0.9301,0.822,0.122,0.056,0.5678395061728395
2017-08-22,5.0,"Excellent place for Vegetarian, Vegans and not only.  Went there for years and always brought Carnivores with me; although skeptical they loved it from first moment. Caponata, creamy polenta with Mushrooms (madness), sliders are insanity. Most delicious vegetarian food in the city. Cocktails are something really special and made with real fruit purée, so natural and refreshing. I'm in love with the  Shakerita. I always have 2 or 3. Staff is highly trained and professional and always no nice and welcoming. I recommended it for business meeting (as something different) between my boss one year and the Alderman and he was very grateful for the idea as the place is really special. I tried to reserve a booth but they couldn't guarantee (as it goes against their policy) but finally they put the effort to accommodate him upon arrival! Just super nice people and the back room is great for parties and birthdays!  I highly recommend this place! Love it! Patio is now open and can't wait to find the evening off and go there w friends.",0.9938,0.698,0.266,0.036,0.622032967032967
2017-08-12,5.0,"I was a little leery going to a vegetarian place, but this place was probably one of the best meals I've had in a long time. We had the hot rice noodles in green curry, followed by the goat cheese and toast, and ended with the gnocchi and zucchini. Everything was absolutely delicious. I will definitely be going back again.",0.9534,0.773,0.227,0.0,0.48125
2017-07-29,5.0,"All vegetarian, plenty of vegan options, and many of the vegetarian options can be converted to vegan. I had some vegan friends in town, so I thankfully had the opportunity to try this place out, as I might have overlooked it otherwise. The sesame noodles, bean dip, mappo tofu (best), and Gyoza were all pretty good. The outdoor ambiance is lovely during the summer. The inside was unfortunately a bit too loud. Enjoy!",0.9657,0.694,0.265,0.041,0.68125
2017-07-29,5.0,"Really, really enjoyed this place. 2 out of 5 of us were vegetarians, and everyone had something they really liked. The downside-- we waited about 30 minutes for the table we reserved. It wasn't a big deal, but just a little annoying. The guys all got a cocktail and a beer and the cocktails were really well done!  We ordered everything as small plates and didn't have a single thing we didn't like. Would definitely go back! Sit outside-- the patio is really great!",0.783,0.751,0.156,0.093,0.41948051948051945
2017-07-26,5.0,"Mana is such a great restaurant with a fantastic menu and lovely patio seating.  I'm vegan and I love coming here because they always have something new and exciting and the servers and bartenders are always very friendly.  This place can get really busy so a reservation is a good idea for weekends.  Great food, amazing vegan options, love this place!",0.9905,0.548,0.452,0.0,0.6580419580419581
2017-07-23,5.0,Must try the Polenta with mushrooms. Sliders. Curry. Sweet and sour tofu. Gnocchi. Avocado Salad. Mapo Tofu. ALL so flavorful. I will definitely come back and try the rest of the menu. Very friendly staff. Love it.,0.9315,0.697,0.303,0.0,0.4166666666666667
2017-07-22,4.0,"Don't frequent tapas places and not sure why I don't. This place is great. We didn't have reservations and seatigs a bit limited. Waited at the bar so took the liberty of ordering a a raspberry jalapeno margarita in slushy form...and boy was that good I had a second order with dinner. It's actually pretty spicy, good amount of spice to the drink. We were seated outside shortly after, in the corner. Seatings a bit crammed and space is tight. They recommend about 4-5 small dishes for 2 people so we went with that. Started off with the beets and those were delicious. Next we had the curry, mapo tofu, collard greens which were really good, I never get greens because they tend to be boring but these were not. Last dish was the gyozas..which was ordered on the raving reviews. This is something I don't get, they tasted like every other potstickers I've ever had. I'm Korean so potstickers in my blood, nothing special about these. They were a bit disappointing and wished I could have replaced them with another dish. All in all I'm definitely going back to try some of the other dishes.",0.8739,0.826,0.116,0.058,0.45676328502415453
2017-07-22,5.0,"Absolutely outstanding! A girlfriend took me to Mana last night and everything we had was delicious. In fact I am already planning my next trip back it was that good.  We split the Saag Paneer, Mushroom Saute over creamy polenta, curry coconut corn with sugar snap peas over brown rice with fresh mint and each had a mana slider.  The Saag Paneer was my favorite dish followed closely by the mushrooms and polenta.  The small size dishes are easily shared between two people, but still make you feel like you are getting more than just two bites of the dish (which can be a probably with shared plates).  The small size also allow you to sample more menu items (because let's be real everything on the menu sounded delicious).  The ambiance was clean and simple with wood accents that gave the restaurant a modern yet non-pretentious feel.  I had one of their frozen Gin drinks that was limey and extremely tasty.  Our server was friendly and knowledgeable about menu items.  It was raining the night we attended so the inside does fill up fast but if the weather was nicer they have a front patio and back patio! (Perfect for enjoying Chicago summers). Hope you enjoy it as much as we did.",0.9926,0.798,0.202,0.0,0.5281593406593407
2017-07-21,5.0,Great food! Very fresh and delicious. Modern and hip decor and staff is super friendly. Only down side is it's very small.,0.9587,0.485,0.515,0.0,0.6306172839506172
