date,star,text,compound,neutral,positive,negative,subjectivity
2017-04-10,4.0,"Day of shopping in the Water tower area with the whole family.  Wanted a good pizza joint to try out without the touristy feel (aka Uno, Due, Gino's Pizza).  Fornetto Mei had more of a neopolitano style feel to the pizza, via seeing the brick oven of choice.  Had their various appetizers and their Cauliflower appetizer, delish. children had the usual beverages , parents stuck with the multipulciano varietal red. Pizza was very inspirational. Recommend coming here again...Family Approved. Ciao!  And Cheers!!!",0.9365,0.799,0.179,0.022,0.453125
2017-01-08,3.0,"We dined here Christmas Eve.  Never seen such a small menu for an Italian restaurant.   Their olive bread is great.  The avocado pesto pasta not a great combination.  I had the beef ribs was very good.  They were very accommodating with the kids , but the place was totally empty.   With so many great Italian options don't think I will be back.",0.8809,0.771,0.19,0.039,0.43583333333333335
2016-12-27,4.0,"We were looking for something in the neighborhood open on Christmas Eve. The Yelp reviews were pretty good and it read like a quiet spot that could accommodate the family.  The decor was dark with warm light from the pizza oven, service was attentive and friendly, and the fresh baked bread was amazing.  The menu is pretty limited and could use one more pasta choice (seafood) and one more Italian entree to cover all bases.  My only real complaint was the ultra limited wine list. Very few choices and no Italian red wine.  I'd walked by for years and was glad we finally dined there.",0.9571,0.727,0.208,0.065,0.5270436507936509
2016-11-18,5.0,"Went to Fornetto Mei last night with a Gilt City deal (and would come back without the deal).  We each received a glass of house wine (one white, one red, both great sized pours!) and each were able to pick from the pizza listed on their menu. We chose the Quattro Formaggi and the Tre Carne, both of which we would definitely choose again.  The meal was also started with warm and fresh bread, olive, oil, and parmesan cheese. Overall, we had a great experience, the service was amazing and perfectly attentive, and a huge shout out to the woman making the pizzas, as they stole the show! I would highly recommend coming here.  The atrium is great for people watching outside and beautiful seeing the Christmas lights up. Could also see it as a great space to hold an event with drinks and pizza.",0.9911,0.757,0.243,0.0,0.5042982456140351
2016-11-16,5.0,"This spot has one of the most amazing tasting gourmet pizzas I've tried called the Fornetto Signature that comes with grapes, Italian sausage, goat cheese and fine herbs!!",0.7563,0.801,0.199,0.0,0.475
2016-11-05,1.0,"My wife and I made a 10pm reservation on a Friday night. We arrived at the restaurant at about 9:50pm and told the bartender (no other staff was present at the host station) we had a 10pm reservation, and asked if we could sit at the bar. He said sure and brought us some menus. About 30 seconds later a waiter (or busboy...not sure) came to the bar and told the bartender that the restaurant was closed. I pointed out that we had a 10pm reservation and showed my email confirmation. He said ""sorry, we're closed."" I again asked why the restaurant accepted a reservation for a time when they would be closed? He said he would get the manager, which he did, and the manager said, ""sorry, we're closed."" We left and vowed to never return. We live nearby and like the food. However, the place will probably shut down soon as the restaurant is usually empty, and they clearly don't care to fill it with customers who make valid reservations.",0.6336,0.917,0.056,0.026,0.3890625
2016-10-19,2.0,"I was staying in the hotel and I had to eat a late dinner so I opted to just come to this restaurant. It's kind of awkward coming in from the Whitehall because you walk through the dining room to get to the bar. It was totally empty until I rounded the corner to the bar area. It was quite dark and just confusing.  I sat down and asked for a menu. I ordered the scallops with succotash appetizer and the Caesar salad. The bartender really tried to push me to order drinks which I didn't care for. The food came out quickly enough but I think at that point, I was the only person in the restaurant eating.  The scallops were cooked well but were a bit salty imo. The Caesar salad was not good. It was a lot larger than I expected but the dressing was non-existent and the croutons were crappy. They also use a blend of radicchio and romaine so it was too bitter, especially without a good dressing.",-0.9471,0.862,0.015,0.123,0.5868055555555556
2016-08-05,5.0,Stopped in after shopping. Had mussels and wood fired pizza. Both excellent. Great service. Would go back. The place has a really nice intimate bar.,0.7501,0.537,0.308,0.155,0.67
2016-06-22,2.0,"Very odd. Questionable service. Should be more inviting and open later since they are connected to the hotel. Could be very nice. But, something is missing.",-0.1494,0.618,0.167,0.214,0.48214285714285715
2016-04-21,2.0,"My wife and I are about the most laid back,  non-complainers out there, and based upon a number of good reviews, I really wanted to like this restaurant, but it fell short of expectations. Thinking it would be busy on a Saturday night, my wife and I made reservations and arrived a few minutes early. We maneuvered our way through the hotel and into the bar for a pre dinner drink, that never happened. There were two people together at the bar chatting up the bartender, with no one else in the entire bar area. The bartender looked at us, didn't acknowledge us at all, and went back to his conversation. So we stood there for a few minutes, totally ignored. The host/hostess stand appeared to have no one appointed to it. After a number of minutes of us just standing there making small talk, I asked the waiter walking by if there was somebody who could sit us down, so he did it himself. This is when things started to get really strange. The same waiter who sat us, advised that he would take our orders. Understand, the restaurant appeared only half full/empty, and it took an unusually long time to get our drink orders filled (simple stuff, glass of wine and a gin and soda), the waiter then appeared really irritated when my wife simply asked that there be no mushrooms in her risotto. The orders came out, my risotto was ok, I've had  better, but her risotto arrived and, in my opinion, it was just straight up bad, no other way to describe it. Im not a chef, but I can venture to guess that we weren't the first customers that asked for no mushrooms. So she ate very little of it, and the waiter arrived back at the table and copped some attitude ""what...you don't like it"". Not in a questioning her as if to help her out, but in a snarky insulting fashion. At that point, it was time to go. We ran down the street and ate another dinner. In fairness, the place looks cozy and romantic, fireplace etc, which is worth a couple of stars , but the bizarre evening we spent there will likely prevent me from ever returning.",-0.908,0.832,0.074,0.094,0.4072751322751323
