date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-11,3.0,"My first time dining here and I chaperoned a group of about 30 people. We had a lovely time and you could clearly tell that Jeorgina, chef & owner, has heart and passion for what she cooks up in the kitchen.  Everyone in my group got plenty to eat. There was a buffet setup inside and a buffet setup outside on the patio. Food was good. The plantains had me going back for seconds.  This restaurant is nowhere near where I live and I wouldn't go out of my way to dine here. I probably wouldn't return again. If you're in the area it's a very unique dining experience. You're essentially eating in someone's home. 3/5 because it was very, very cramped and uncomfortable for some of my guests on the lower level. Too cluttered for me, personally.  Not handicapped accessible at all if anyone was wheelchair or walker dependent. Only one restroom.",0.8093,0.887,0.08,0.033,0.49211111111111105
2017-07-16,3.0,Terrible owner Georgiana. So miserable. Food is good. Beans were average. Pão de queijo is good (3x). Buffet comes with entree $16. Waiter was nice. Anderson. Will go back to try acarajé. On Sunday.  I had bobó de camarão. Shrimp pieces are huge. Sauce is good. Cove is good. Mango was ripe.  Won't return for buffet.  No Brazilians come here. Only Americans.,0.785,0.671,0.216,0.113,0.7
2017-07-13,5.0,"Loved dining here! It was really like eating in your friend's mom's house! At $16 for lunch, you could choose an entree and help yourself to the carboload that is the buffet for sides (rice, beans, pasta salad, etc).  My shrimp entree was extremely well cooked, juicy and plentiful! It was like jumbo shrimp and there were easily at least 6 pieces worth of yum! My colleagues all enjoyed their dishes as well. The hibiscus tea was sweet but really good and it was an easy fix to just add a little water to it.  After the 25% cashback on Groupon, tax and tip was about $15/per person. Super good deal (and you know I'm all about them deals) for the overall dining experience. They have a large parking lot that was super convenient. The owner also offered us to go upstairs to see the elegant dining room and also took us to the back where outdoor seating happens with her grapes also growing! It was such a nice gesture to allow us to explore.",0.9941,0.736,0.264,0.0,0.5602756892230577
2017-07-06,5.0,"Wow, just wow.  An unassuming restaurant located in the chef's house.   Wonderful assortment on the Brazilian buffet and excellent entrees.  It's a unique,  cozy experience.   Hope to return again!!",0.9611,0.554,0.446,0.0,0.9583333333333334
2017-06-18,5.0,"A truly amazing meal you won't find anywhere else!! First, we were treated to cocktails and enjoyed our BYOB drinks upstairs as we waited. Then we were sat in a group dining area next to a wonderful Brazilian couple who told us all about the meal. There were plenty of vegetarian options  for me and lots of meat for my husband. It could not have been better!! Please come and support this lovely local business. It's amazing.",0.9794,0.68,0.295,0.025,0.5648148148148149
2017-06-15,5.0,"Scared to leave a review on this place because the food is that good and I want to keep it hidden. Even if you don't have a Groupon it's worth what you pay, especially for the weekday lunch.",0.1531,0.714,0.15,0.135,0.5083333333333333
2017-04-02,5.0,"What a great experience yesterday! This place is amazing, the service, food and entertainment truly amazing! I would recommend Sinha for any celebratory occasion Birthdays, Anniversaries, Work outing etc.,",0.9661,0.506,0.494,0.0,0.85
2017-03-18,3.0,Should mention some of these recent reviews are catch-up on experiences well remembered as just coming up from water on various issues we all deal with. Had a nice time at Sinha. Arrived early for get together in common area then went downstairs for dinner.  We were seated as a couple somewhat awkwardly in a corner 2-top but OK. Service and self-service was fine but some food was lukewarm. Beautiful hostess attention to group but impossible to individuals.. My spouse is Brasilian and we both enjoyed and obviously site can't replicate the total experience here but Sinha does a good job.  BYOB then and I assume still.  Dancing samba options.  Will go again.,0.9709,0.802,0.186,0.012,0.65
2017-03-05,5.0,Great food and great service. They took care of us like we were part of the family. Despite a few other reviews mentioning a problem redeeming their groupon. I had no issue.  I paid the tax on my credit card and then added a tip on the full price of our meal. (which they made sure to mention),0.9313,0.655,0.274,0.071,0.5591269841269841
2017-03-01,3.0,"What a strange but good experience.  My friend and I came here for lunch on a weekday.  She bought a Groupon to this restaurant, and the one time I didn't refer to Yelp beforehand is when I really should have because this place is totally unconventional.  First of all, it's on the garden level of a house.  Secondly, it's literally a house, and you dine in the front of the house (aka, living room) where there are several tables set up and from where you can see the buffet table against the wall and kitchen in the back.  It seats 20ish people max, and we were stuck in the corner at a small high table for 2 because a large party took up the entire middle section of the ""living room.""  I was pregnant with a big belly, so this was even more of a tight spot for me especially, and all the fancy plates and silverware barely fit on the table.  But the food was good!  The buffet is unlimited which is mainly veggies and starches (all very good!), and you select 1 entree.  I got the steak, and it was just ok - small and not very flavorful.  The buffet was surprisingly the best part about the lunch.  You also get complimentary cheese bread, but if you ask for more you get charged.  Give it a try!",0.9848,0.829,0.144,0.027,0.39744663382594425
