date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-15,3.0,"Recently came here & the burger wasn't as good as previous. The meat tasted different and it was constructed sloppily, with lettuce chunks instead of a lettuce leaf which caused my bun to fall apart and condiments on my hands. It was very disappointing, they better get the old stuff back or it wont be worth coming back! Only consistency was their fresh cut fries which are always delicious.",0.2,0.758,0.116,0.126,0.4697619047619047
2017-07-07,4.0,"I live right by mellos so I frequently come here. They have a groupon which saves you a decent amount when you visit, it's like $10 for $20 worth of food or something like that. The food is already not expensive to begin with, so that's nice.  The food is always really good. I love greek salads and this is my go-to place for a good greek salad and some good grilled chicken.  The only problem is that the staff always looks irritated and like your bothering them to place an order. Although last time I went the guy seemed a bit happier, would be nice if they smiled.  But great food!",0.9856,0.641,0.298,0.06,0.5352130325814536
2017-06-26,4.0,"Their food here is sometimes pretty great.  They make an excellent gyros and really good chicken kabobs, rice, and fries.  I have been coming here once a month for the past decade and no employee has ever acknowledged me but I guess that's part of the charm.",0.8764,0.727,0.242,0.031,0.7583333333333333
2017-05-18,1.0,"This place was horrible, let me start with older gentleman that works there, first he was very rude and seemed like he was under the influence.  I saw him preparing food was May 8 I had ordered the chicken sandwich,  when I saw him preparing a burger I saw him drop the bun on the ground and he picked it up and used it on the customer food. I don't think I'll be revisiting this place I'm definitely disgusted by what I saw I can't believe an establishment like this is still in business. I recommend  other restaurants near by then this place definitely avoid Mellos.",-0.3804,0.758,0.114,0.128,0.6301851851851852
2017-05-11,4.0,A little hole in the wall but worth the stop. Delicious food huge portions and truly authentic. The only downfall is it could use a little sprucing up. Would come back again.,0.9081,0.595,0.338,0.067,0.59375
2017-04-23,2.0,"The burger and fries is great all around. In terms of price and taste, I don't think it could get much better. It's also a quick turn around time when it's not busy. My only concern is the employees. The problem I had was with the man who gave me my food. I had asked for  ketchup because I didn't see any in the bag. He counters with ""There is already ketchup at the bottom of the bag, do you want more?"". This bothered me because it was already determined that I wanted ketchup because I had asked for it. Furthermore, when I got home, I had learned there was 1 ketchup packet in the bag, prior to him throwing 3 into my bag. They seemed to have been cheap about the ketchup packets. In total I had 4 ketchup packets for a large french fry order. I would have appreciated some customer service at this place. Mcdonald's is superior to this place in terms of how they treat their customers.",0.9349,0.854,0.117,0.029,0.4945054945054945
2017-03-02,1.0,"If I could give Mellos 0 stars I would.  The first time I ordered Mellos I ordered carry out.  It was snowing out, I drove there after work, picked it up, took the food home and then realized my order was wrong.  When I called and told them my order was incorrect the owner basically told me I was lying and to bring it back to the restaurant and prove it.  Whatever, I decided to give them another chance.  I ordered again, this time I ordered a half slab of ribs.  I opened them up and my girlfriend and I both looked at each other and said these don't look right.  I was starving because the delivery was 40 minutes late so I ate them anyways.  Bad move.  I woke up the next morning throwing up, and that happened all day.  I had to go to the hospital because after my doctor heard what I was dealing with he thought I needed an appendectomy.  It ended up being food poisoning from Mellos ribs.  I would not recommend this place to anyone unless they enjoy feeling like death and like awful customer service.  Death would have been a better option because I would have at least been out of my misery.",-0.9666,0.781,0.067,0.152,0.45979853479853483
2017-02-19,5.0,"I loved their chicken kabobs which was a bit smaller than usual with tzatziki sauce had a salad a root beer and a strawberry pineapple shake , servers were super nice and the menu was long enough to satisfy every palate , located at a nice spot at the corner of dickens and Clark everything else is a walk away",0.9403,0.713,0.26,0.027,0.674074074074074
2017-01-03,5.0,"Wonderful Great Chicago Food! They forgot to add extra mayo I put down in my notes , but he warm temperature of quickly delivered food more than made up for it! Delicious!!!",0.9256,0.659,0.341,0.0,0.5923611111111111
2017-01-03,1.0,"Crummy food and bad atmosphere. It was never a palace, but it's definitely not what it used to be. Used to be able to go there with kids before heading to the zoo but it's no longer on our to do list when in the neighborhood.",-0.128,0.83,0.07,0.1,0.5972222222222222
2016-12-24,1.0,"I ordered online from GrubHub, received my confirmation email 15 minutes later, and two hours later no food. Neither GrubHub or I were able to get in contact with the restaurant. GrubHub canceled the order and gave me a $5 coupon. Not really worth it.",-0.0018,0.901,0.049,0.05,0.18125
2016-11-21,5.0,"Main points:  -Best milkshake I've ever had in my entire life -Delicious food (greek and also burger, hot dogs, etc) -Fast service -Location perfect for walking to the zoo and the beach! I walked in with a group of 7, we put in our orders and everyone had food within 5-7 minutes of ordering, which was amazing. Banana Milkshake: This was the most delicious milkshake I have ever had in my entire life!! It had chunks of real banana in it which made it taste even better. I think I want to come back to Chicago just to have another milkshake. Mushroom burger: I had the mushroom burger which came with fried mushrooms on the side, they were delicious and very hot. Burger patty was huge, excellent if you are really hungry and in a rush. The fries that came with this were also top notch. Chicken kebab platter: I sampled my friend's chicken kebab with rice platter, the chicken was so moist and tender, it slid right off the skewer, really delicious Greek food The location is about a 20 minute walk to the beach (10 minutes away from the zoo). If you're visiting the beach stop by Mello's grab a bite and a milkshake (you'll thank me) You'll get delicious food insanely fast!",0.9927,0.793,0.197,0.009,0.6592775041050903
2016-11-05,1.0,"Ordered delivery, waited 15 minutes get a call and say they don't deliver to my area. Never cancelled the order with Grubhub, delaying my refund. Terrible customer service",-0.6249,0.831,0.0,0.169,1.0
2016-10-23,5.0,"This place is awesome!!! If you haven't been, stop by. The hummus and pita chips, swoon!!!",0.5798,0.552,0.304,0.144,1.0
2016-09-29,5.0,"Ok, so I'm writing this because I was compelled to after having such an amazing lunch! I had the Gyro Sandwich, fries, and a soda. 1) Gyro - in my opinion a good Gyro in Chicago isn't hard to find. However, a great one is! The Gyro at Mello's really is Great!  A. The meat is succulent and tasty and while it's juicy, is not at all greasy! Just delicious! (None of those little hard piece in the meat, no bread fillers, just high quality meat! B. The Tzatziki sauce  was perfect. It didn't taste like it was from a jug, but I also don't know for sure if they make it there. Either way it was yummy, no too thick, and far from watery. C. The bread was definitely my favorite part! (Well it tied the meat) the bread was super soft and just perfectly chewy! It was grilled just right and I really loved it! D. Tomatoes and onions: they were fresh and delicious.  2) Fries - ok, fresh cut French Fries are so hard to pull off. Almost every time I have fresh cut fries from somewhere they are either burnt tasting or sloppy greasy. These were just perfection! They had amazing flavor, not at all overly greasy, and salted to perfection! The flavor made it clear they oil was fresh and I would have been happy ordering just a plate of these!! And one (ok two) other thought(s) --- First, I have read some of the reviews in Yelp talking about beggars and stuff and all I can say I I've personally been in here 12-15 times and haven't seen anyone asking for money. Second, several people have made comments about the bathroom being for paying customers only and saying it's illegal or just whining...woah, have you even been to places around Lincoln Park? There are SO MANY that have signs that read ""Bathrooms for customers only"" and such and the restaurant does that to reduce issues with homeless loitering and other negative behaviors associated with people who use the bathroom that aren't customers. I mean seriously you whining brats, you complain about beggars,m and say the restaurant needs to do something about it, and yet the single biggest deterrent used by many others in the area you cry about. I'm really amazed by people. Oh and the review about how the guy and his friends were assaulted and not given napkins to clean off or allowed to wait inside made me laugh. I may be wrong, but what I read was: ""yea, we were wasted and acting like jackasses! We finally pissed off the wrong people and when they slapped us around and threw our milkshake on us, the cashier I've been harassing the last 20 minutes wouldn't help meeeeee....waaaaahhh""",0.991,0.679,0.196,0.124,0.5755509259259259
2016-09-26,1.0,"Delivery arrived 30 minutes late and all the delivery driver could do is complain about how far he had to drive to deliver the food.  If your delivery person is going to complain about how far they have to drive to deliver food, restrict your delivery area.  Don't waste your time, the food is sub-par for the quality of food and the time it takes.",-0.6449,0.86,0.033,0.107,0.65
2016-08-08,3.0,"I like the food. The prices are just fair however, but consider where they are. My ""beef"" (get it; beef) is that the employees are not very friendly, all restaurants should remember to have excellent customer service and at least ""act"" more grateful when someone buys something. I'm glad they are around and if the work on this point as well as keeping it a bit cleaner they will be fine.",0.9585,0.685,0.272,0.043,0.6692307692307692
2016-07-30,1.0,"This place sucks. Zero stars. We were on a ghost tour and the bus was stopped out front at 8:25. A dozen of us wanted to grab some food and drinks for the trip. They closed early for ""cleaning"". Please see my photos - they are CLEARLY open until 9pm. Just plain lazy employees. We'll never be back.",-0.3542,0.766,0.09,0.144,0.3653061224489796
2016-07-17,3.0,"Came to this neighborhood for pizza, ended up with gyros. Great  Lil shop on the corner. People were very friendly. Food was good. The hummus and pita chips were totally amazing. Gyro and rice was yummy as well.",0.9492,0.569,0.369,0.062,0.725
2016-04-24,4.0,Being from California and visiting Chicago I was really looking forward to the Chicago Italian beef sandwiches.  I tried a few at different places and found Mellos in Lincoln Park neighborhood. Their Italian beef and sausage sandwich was the most tastiest for me. Yes it's a takeout Diner the look is reminiscent of  Chicago neighborhood with the residents jogging or walking home from work talking on their cell phones. It was about 5 p.m. when we came through this neighborhood for the second time I'm sure glad we made a stop at Mellos.,0.7003,0.891,0.086,0.024,0.3788888888888889
