date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-05,4.0,"I was not happy with the first meal I had there. I decided to try it again. I noticed a lot of customers so there had to be something good. They had huevos rancheros for breakfast. I love that and they did it well. The eggs though hidden were cooked right a point sometimes missed by more expensive places. The coffee did not try to be anything but good coffee, another good point. This place is back on my list",0.8807,0.791,0.165,0.043,0.5274891774891775
2017-03-13,4.0,"Smells amazing the moment you enter. They serve you chips and fried beans when you first take a seat. The tacos were really cheap ($2.25 ea) and looked super juicy. They serve their salsa in bottles, which I find super convenient and easy to use. The red salsa has a kick of heat to it, but it wasn't anything unbearable. My favorite meat was definitely the asada.",0.9413,0.775,0.225,0.0,0.6222222222222222
2017-01-15,5.0,"This is a great chicken burrito spot. Nothing fancy, just authentic Mexican food. If you are in Edgewater and love chicken burritos that will fill you up, I highly recommend Taqueria Uptown!",0.9078,0.703,0.297,0.0,0.6485714285714286
2016-09-28,3.0,"Okay tacos. I very disappointed with the fact that my order was wrong and was told to come back the next day to correct it. I did and they did not have the ingredients for what I ordered, which are traditional Mexican ingredients. I was told, again, to come back the next day. I went back, again, and still nothing. I was told yet again to come back the next day. Needless to say, I never went back. Mind you, I called and was told what I wanted was available before I went there.",-0.6801,0.906,0.021,0.073,0.3016666666666667
2016-08-17,2.0,"I didn't enjoy the food here. I ordered a taco dinner ( 3 tacos+ rice and beans). The rice was extremely oily and so were the tacos. I got the tacos al pastor because the menu stated it was their specialty but they were blend and also very oily. They served some chips with beans instead of salsa, and that was also tasteless. Maybe I came in a bad day? The only good thing is that it is very cheap",-0.4047,0.869,0.048,0.083,0.7345833333333334
2016-07-25,3.0,"Decent food at reasonable price. Guacamole was bland. Tacos were good. Enchiladas were okay. They don't have a take out menu, which is disappointing and will lead me to order elsewhere even though this place is very close to my home.",0.1531,0.822,0.107,0.071,0.6
2016-06-25,3.0,"The ambiance is not the greatest here. As a solo female diner, I felt the predatory gaze of one or two patrons and even the cook. But the food was fine. I got the chicken enchiladas with salsa verde (one of my go-to dishes). Their salsa verde is a lot spicier than what I am used to. The rice was good. I liked that they serve a small dish of refried beans with the chips. This taqueria is not on the top of my list for a return visit, but I'm glad I tried it.",0.6975,0.863,0.1,0.038,0.6574074074074074
2016-06-15,4.0,The food here is good and cheap. I stopped in here while out running errands. Unfortunately my service wasn't the best. She was ok but very inattentive. She never checked up on me after she delivered my food and never refilled my water. She kind of made me feel crappy for not being a Spanish speaker. I would come here again but I didn't tip as well as I normally do,-0.8362,0.787,0.047,0.166,0.5499999999999999
2016-04-15,4.0,"A great place for TAKE OUT! The prices are pretty decent and so is the food, but the restaurant itself is pretty craptastic. I can vouch for the veggie tacos, rice, and horchatas. I must admit, I would be afraid to venture into anything bordering on ""exotic"" at this place, but for tacos: A+.",0.8871,0.801,0.199,0.0,0.8861111111111111
2016-02-23,5.0,"The carnitas tacos are bomb!!! Well seasoned, bursting out of the tortilla and cheap! I recommend ordering them with onion and cilantro only. Don't disrespect them by adding cheese or sour cream!  The salsas are also great! Some of the best I ever had. Try them both.",0.9217,0.666,0.28,0.055,0.5166666666666666
2016-02-21,5.0,"My wife and i were. introduced to this little cafe on the corner a few years ago. Friendly staff, generous servings,  very reasonable.too. One of our favorite little haunts now !! James",0.8547,0.688,0.267,0.045,0.4833333333333334
