date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-01,5.0,"We've been coming here for years and the good quality, in food and service, has been very consistent. Everything we've tried on the menu has been good.",0.7003,0.812,0.188,0.0,0.5083333333333334
2017-08-25,5.0,This is a wonderful breakfast spot. Couple colleagues took me here before our meeting downtown. I had there stuffed special berry French toast with some eggs and hashbrowns. The food was more than satisfying for a morning  meal.it  wasn't so crowded since I assume it was a weekday morning.  The restaurants in a quite a lovely neighborhood with a few other shops down the road. Definitely recommended for anyone in the area or visiting Chicago.,0.9536,0.77,0.23,0.0,0.508531746031746
2017-08-23,5.0,Great breakfast diner. Was so good we came two days in row. Both days it was very busy but the service was excellent and the food was even better. I got the breakfast sandwich on a croissant with spicy pepper jack cheese. It was decadent. The hash browns are heavy and fresh. Each order is massive . The server kept our coffee cups full of steaming hot black coffee. It safe bet and a great place to start your day in the Windy City.,0.9804,0.735,0.265,0.0,0.6402564102564103
2017-08-22,5.0,"Great breakfast spot, very spacious, shockingly so. Fluffy pancakes. Very kid friendly. Heard the dinners are good here. Will come back. Very friendly. Very nice staff. Very good service. Downside - could use more than one stall in the toilet for colon loads. It is an old building so do understand.",0.9424,0.607,0.299,0.093,0.46
2017-08-22,4.0,The staff was great and the table turn over very quick. So yo don't need to wait hours in line to get seated. Great for kids as the staff is extremely friendly and welcoming plus they have activity sheet and crayons . The food come out fast. The kids pancakes with chocolate chip is huge and delicious (I recommend one order for 2 kids under the age of 7).  I ordered the huevos con chorizo and it tasted good but it is not what I am used to . I looked other orders around me and they look great and people where very satisfied. For tea drinkers they serve full leaf tea which is delicious .,0.9834,0.754,0.246,0.0,0.7250000000000001
2017-08-22,4.0,A good breakfast/lunch choice for a prompt service no nonsense neighborhood restaurant. Service is quick and portions are large and served hot.  Try the Denver omelette.,-0.25,0.729,0.101,0.17,0.5946428571428573
2017-08-20,2.0,"I struggle to understand why this place has the wait that it does.  Sure it has that old school diner feel, a rarity in the city.  And it is an Old Town icon at a time when the Benchmarks and Steak Bars begin to crowd out the long standing staples.  But once you get past those sentimental points, you realize that Nookies fails to deliver what any good restaurant must: good food.  Having lived in the neighborhood for several years, I've eaten here a lot.  And over time the food has ranged from mediocre to outright awful.  Most recently the eggs were way overcooked for the whole table; poached eggs should not have a hard yolk. The toast was even bad, barely toasted and kind of soggy.  Breakfast, which is Nookies' domain, is incredibly easy to make and yet they routinely struggle with even the basics. You can properly poach an egg at home without much effort--and you can certainly toast bread--and it won't set you back $20.",0.3376,0.829,0.095,0.076,0.47924933862433855
2017-08-19,5.0,We ate breakfast here and I am so happy that we did! Their portions are seriously huge! The wait was only 15 minutes and completely worth every second.  I ordered the Denver omelet with fresh squeezed orange juice. I loved this place and honestly will make it my first stop in Chicago the next time I am in town. Our waitress was so sweet and we really enjoyed the entire experience.,0.9738,0.652,0.303,0.045,0.5775641025641026
2017-08-15,4.0,"I have now gone to two Nookies, Old Town and Bryn Mawr. They are not the same. The food and service are good in both and the differences are both in size and atmosphere. The Old Town one is the original. It seems like a house converted to a restaurant ( I could be wrong but the atmosphere is like that.) The outside seating is very relaxed an casual. There was nobody eating there that seemed to have an agenda. I sat at the counter and was comfortable. In the northern one I am aware of being alone. This one envelopes me and I fit better.  Both are good for whatever your needs are. This one is more homey for me.",0.9794,0.738,0.229,0.033,0.4694444444444444
2017-08-06,4.0,"Nookies is a good brunch option in the neighborhood, with larger portions, and quick service. We came as a group of 7 at about 10 am on Sunday and ordered a mix of sweet and savory items.  My wife and I ordered the southwest omelette and the berry brioche stuffed French toast. Both items were good but I would order the omelette with spices (jalapeño maybe) to give it a kick, though the avocado on top was great. It was stuffed with cheese, beans, and tomato. Also, the hash browns were quite plain so maybe some seasoning in addition to ketchup would help.  The French toast was good but not as moist as I was hoping, and the toast was thinner as opposed to a thicker style toast which I personally prefer. It included strawberry, blackberry, and strawberry. No maple syrup needed as it was drizzled with berry sauce and fruits.  Prices were a bit higher than what I expected given the casual diner vibe and layout (as I'm accustomed to River North), but the positive is that there are plenty of options on the menu.",0.982,0.824,0.162,0.014,0.47932900432900427
2017-07-30,5.0,"We went 7/29/17 to celebrate a birthday. We had 16 people plus 2 high chairs and we only had to wait 10 minutes!!!! Our waiter did not write down a single order yet everyone got exactly what they ordered even the ""please add.....""! Service was very fast. Portions are very generous! We brought in our own dessert and they happily brought us plates & spoons! My favorite is the huevos rancheros: so so fabulous! The veggie & Greek omelettes were excellent as was the corn flake French toast! The waiter, without being asked, brought our 3 yr old her chocolate chip pancakes first, though it was t too long before all else showed up. A very thoughtful and smart idea! Excellent service, very Fast and efficient!",0.9902,0.736,0.264,0.0,0.5894935752078609
2017-07-28,2.0,Not much flavor. :( shame because I really wanted to like it! Also holy moly they have the biggest menu I've seen in ages.,-0.5466,0.688,0.095,0.217,0.4666666666666666
2017-07-23,2.0,"Based on the other reviews we were very excited to head to nookies - we were a little disappointed though, although their food is good it is quite basic, it could use a little more flavor and spice to it, seems to me like a simple normal diner",0.647,0.786,0.159,0.055,0.5332142857142858
2017-07-19,5.0,Stopped in for a quick breakfast today!  The service was great with person who seated me asking if I want anything to drink.  My server was Charlie and what a great person to have on staff.  He was super friendly and very efficient. I ordered the omelet and it was huge.  I'm glad I stopped in during my busy day.,0.9701,0.607,0.341,0.051,0.6296296296296295
2017-07-15,4.0,"Really great local brunch place with character. Prompt and attentive service, and lots of coffee refills. Food is solid and delicious. It's right next to the Lincoln Park Zoo and the waterfront - great idea to take a stroll there after a hefty brunch!",0.9369,0.72,0.28,0.0,0.5044642857142857
2017-07-14,5.0,"We have had breakfast here many times and are always pleased with the quality and quanity of the food, the service, and how quickly they get it to your table even when very busy. They have a great variety of breakfast offerings, and we have tried most of them. If you are not a big eater you might want to share a plate. Servings are big! We will certainly return here for breakfast whenever we are in Chicago.",0.9041,0.841,0.159,0.0,0.49015873015873024
2017-07-11,3.0,"It was a Monday and we were looking for a place to have a late lunch in somewhat close proximity to Lincoln Park.  Based on the other Yelp reviews, we picked Nookies. Here's what to expect: - Inside it's a typical diner, but the menu had a good mix of breakfast and lunch items. - Food was really pretty good.  My daughter and I split both the Amsterdam burger and the Artichoke Fritatta.  We also got soup with the burger.  Both meals were really good, especially the fries which I asked for cooked extra crispy.  My wife had the Wild Bleu omelette, and really like that too.  The only thing that wasn't that great were the hash browns (a little mushy) and the $2.75 per cup coffee (which was ok but nothing special). - Service was pretty good, but it should have been as there was hardly anyone in the place. Bottom line:  Not bad...a solid diner experience with a good menu and well cooked food.",0.9885,0.764,0.212,0.024,0.5780045351473923
2017-07-05,5.0,"Really great place to eat. Nice vibe, pleasant staff and fresh and well made food. Will certainly go back.",0.9459,0.429,0.571,0.0,0.6433333333333333
2017-07-05,4.0,"The essential diner experience in Chicago. They have 2 other locations. This is where I go when I want a traditional American Diner breakfast. They have excellent breakfast, and I tend to go for their skillets. For the price, it's a great value, and better than most diners of this sort that I've been to in Chicago. Best value and best diner in Chicago!  My go to for that greasy spoon breakfast experience. 4 stars because the food isn't exactly groundbreaking. It's just the best diner of it's type in Chicago. Other considerations if you're looking for the diner experience: Dove's (Even better, but pricier), Cornerstone Cafe (little pricier but more upscale), Crosby's kitchen (pricier)",0.9472,0.82,0.18,0.0,0.44999999999999996
2017-06-23,5.0,"Cute little place with excellent service! We stopped in for a late breakfast with our 11 month old baby. They helped us in the door, had a good place to park our stroller, sat us immediately with highchair ready to go, water and coffee a few seconds later, and took our order as soon as we were ready. Food was perfectly done to our tastes, with delicious strawberries to keep baby happy. Never had a smoother dining experience with a baby in tow (and our guy is pretty chill). Baby's favorite parts were the strawberries and ceiling fans.",0.9842,0.705,0.279,0.016,0.6666666666666666
2017-06-19,5.0,"Priced waaaayyyy below the neighborhood and especially for the quantity you get. We sat outside and the waiter was great. I ordered a club sandwich, it was a only like $12.95 and it came with a side of fries and soup. My friend got an omelet and it was insanely big, supposedly four eggs but looked like at least six. Plus, side of perfect hashbrowns and toast.  Highly recommended.",0.9463,0.773,0.227,0.0,0.605
2017-06-10,2.0,"The service was good, but the food was not.  When the best part of breakfast is the pineapple you know you have a problem. The toast was burnt, gravy was runny, and the food was pretty bland.",-0.4314,0.69,0.135,0.175,0.6833333333333333
2017-06-06,5.0,"I work down the street and decided to try Nookies for lunch a couple weeks ago. I ordered at the counter for carryout and the food was ready in about 5 minutes. The caesar salad had crisp lettuce and was larger than I expected for a starter. I also was offered a side of bread with it which I appreciated. I love fried foods so I tried the fried ravioli and was not disappointed! Usually fried ravioli comes with a side of warm marinara sauce, but this was served with a side of salsa. I liked the salsa, but the ravioli were also delicious to eat plain.  All in all, it was great for lunch, especially since my carryout order was ready so quickly.",0.9792,0.785,0.215,0.0,0.5478057889822596
2017-06-03,5.0,"I recently opened a new real estate brokerage just a couple of doors north of Nookies, so it's quickly become one of my go to meeting spots with clients.  They area always quick, and attentive to our needs.  I'm usually there for breakfast, and the Amy's and North of the Border Omelettes are pretty awesome!  You should check it out when in the neighborhood!",0.8353,0.882,0.118,0.0,0.5727272727272728
2017-06-03,5.0,"Sitting by the window in nookies almost feels like a scene from a movie. Cute little restaurant in a tree-lined street, surrounded by a mixture of old brick buildings and a few high-rises.  Very charming little spot with friendly service and good food.",0.9343,0.685,0.315,0.0,0.55
2017-05-24,4.0,"Cool little neighborhood brunch spot located slightly east of the park and zoo.  Great Service, and definitely felt more like a diner. Menu has tons of offerings so we mixed it up with breakfast, and lunch. Ordered some waffles and a sammie which came with some soup and fries. The sammie was chicken with onions spinach and gouda. Not my favorite but it also came with a soup, which was creme de broccoli and boy was that good.  Not bad.!",0.9019,0.834,0.166,0.0,0.593939393939394
2017-05-23,5.0,What a city diner should be. Virtually everything fresh and made in house. Tremendous thick cut hashbrowns cooked to perfection. A very respectable eggs benedict. My buddy's omelette was enormous and reportedly delicious.,0.8955,0.634,0.315,0.051,0.7541666666666668
2017-05-13,4.0,The food in this restaurant isn't that bad...I try their spring trio and salmon skillet. Wasn't that favor on the skillet but the spring trio isn't that bad. You be able to try three different toast. I would come back here again to try other food.,0.4847,0.888,0.078,0.034,0.4533333333333333
2017-05-09,4.0,"First time here. Came on a Sunday morning around 11 and there was a 30 minute wait, but we got seated right away at the counter. Generous serving sizes and was great for a hungover Sunday morning. I got the Huevos con Chorizo and it was really amazing. My friend got the Veggie omelette which he enjoyed, and it looked huge!",0.985,0.645,0.355,0.0,0.6865079365079366
2017-05-01,5.0,"Great neighborhood brunch spot with a variety of options! Everything looked so good on the menu it's hard to only order one thing! Ambiance: It has that local neighborhood diner feel. Super busy on a Saturday morning especially since most places open at 11am for Brunch. Pay for park street parking.  Food: I got one of the spring specials which was the Paris Benedict. Poached eggs on top of crisp bacon, roasted asparagus, melted gruyere cheese on top of brioche served with roasted potatoes. The poached eggs were so soft that it broke open upon contact. The yolk came streaming down allowing the brioche and potatoes to soak it up. The roasted asparagus and crispiness of the bacon added diverse texture to the dish. Overall, really good and moderately priced!  Service: Good and fast. Coffee was always filled!",0.9615,0.813,0.151,0.036,0.5369949494949494
2017-04-30,4.0,"Highly recommend getting the jalapeño corn cakes if you go for breakfast/brunch. I got a yummy cheddar, spinach, and bacon omelette (which was very large and was two meals for me), but had the taste of the the jalapeño corn cakes. Holy cow. They are delicious. They are sweet, and not at all hot (and I'm a wimp for spiciness). Seems an odd combination, but man are they good. Service was good, people friendly. But most importantly, jalapeño corn cakes.",0.9735,0.66,0.281,0.06,0.6011507936507936
2017-04-24,3.0,"Good service but the food was just ok. I got the ""farm eggs"" and there really wasn't much to it. The coffee also tasted sour.",0.5789,0.822,0.178,0.0,0.32
2017-04-22,5.0,"Great brunch food! Delightfully different menu items that tasted so good! I got the frittata and strawberry waffle to share and would highly recommend them both. There is something for everyone on this menu. If I lived anywhere near that area, I'd make it a regular spot. I'll be back for sure.",0.9608,0.689,0.311,0.0,0.48197649572649576
2017-04-21,5.0,"Nookies is an Old Town staple.  I've been going here for over a decade and I have never been disappointed.  I have had some of the best pancakes, French toast and crepes here.  You can never go wrong by ordering something sweet for breakfast at Nookies.  The prices are on point for the enormous portions you receive.  And, for the casual drinkers and borderline alcoholics, it's BYOB. Additionally, Nookies is open from 6:30am to 10:00pm and offer a diverse breakfast menu, including numerous vegetarian options, all day, as well as a full lunch/dinner menu.  The staff is friendly, and although the line at the door is sometimes cumbersome, it moves quickly. Definitely stop by for the best breakfast on the north side.",0.9723,0.79,0.194,0.016,0.5297619047619048
