date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-28,1.0,"This place is massed up! Was waiting more than hour for delivery and it didn't come, was calling 5 times to these unorganized people. I'm very mad.",-0.5838,0.869,0.0,0.131,0.75
2017-08-01,3.0,"Wow Bow was a joint we stumbled upon while looking for a snack on Michigan street. Being Asian, I grew up with Banh Bao so I was looking forward to eating some amazing baos. Well it didn't meet my expectations. The baos were fresh but pork filling was not amazing. It's was ok. In fact Bao was small for the price. The curry Bao was not impressive. Chicken pot stickers were good. Overall average experience.",0.936,0.729,0.23,0.041,0.5958333333333333
2017-07-29,4.0,"Super easy and delicious. Came here for some dinner to take back to the hotel after shopping at Water Tower Place. The cashier was super helpful, and I ordered a teriyaki chicken bao, BBQ pork bao, and chicken dumplings (which came with a soy dipping sauce). All were flavorful and moist, similar to what you'd get in most good Asian restaurants. It made for a small but filling dinner. I would totally go back to try other flavors.",0.8764,0.821,0.164,0.014,0.5244047619047619
2017-07-24,3.0,Why is this place listed as $ on yelp? It should be $$. Baos are not big and quite expensive--at a normal restaurant you should be getting about twice the quantity for what you pay here. It is fast though and ordering through their atm machine thing was very easy. Taste of baos is aight. BBQ pork was decent and teriyaki chicken was a bit too sweet and Americanized.,0.6997,0.892,0.088,0.02,0.6595238095238095
2017-07-01,5.0,This was my first time in Chicago and I stumbled upon this place by mistake. I went here two times because it was so good and so affordable. I know it's a fast food place (by order not by quality) but it seriously rivals some of the restaurants I have been to in Chinatown.,0.0825,0.895,0.046,0.059,0.5499999999999999
2017-06-24,2.0,"Gross. Unless you have no idea what you're ordering.  The idea is great. The execution was not. The young workers at this location were not attentive. We went with a 6-pack. We should have ordered ZERO. Nothing tasted right. There was a wait for their featured item. Keep in mind that there was no one in line in front of us and it was NOT busy. The self-order kiosks had a hand written note that said ""not all items may be available"" so that's cool. Their technology is clearly behind. They got two stars because of concept. But food is like -1 star. Just sayin'. Save your money. Your tastebuds will thank you.",0.9228,0.78,0.162,0.058,0.515079365079365
2017-06-18,2.0,"I never thought someone could mess up a rice bowl so bad, but they did. The rice itself wasn't palatable and the meat on top was way too salty. It seemed like the meat was supposed to be inside of a bao.  The bao and soup dumplings wasn't too bad, but don't get the rice bowl.",-0.8594,0.693,0.082,0.225,0.5020833333333333
2017-05-10,2.0,"The bao is great, the taste is great...but the pork belly is super dry and hard to chew!",0.8356,0.607,0.336,0.057,0.6395833333333333
2017-04-23,5.0,love all the flavors. need to stop everytime I visit Chicago. Wish they would ship or open some in Los Angeles :),0.8271,0.584,0.34,0.076,0.7000000000000001
2017-03-31,3.0,"This is going to be a quick review. Wow Bao is a good place to grab some cheap, Asian baos.  They are steamed pretty well and they hit the spot.  I recommend the BBQ pork one.",0.926,0.659,0.341,0.0,0.6333333333333333
2017-03-01,5.0,"I tried the teriyaki chicken , spicy kung Pao chicken and Thai curry Chicken Bao and they were amazing. Thai curry chicken bao was kind of Sweetish, but pleasant. Can't really compare it with other places that sell Bao's because this was my first time trying it out.  For those who want to try a bao for the first time  and have tasted a momo before, the stuffing is better than a momo but the outer wrap is like a bread. So , go for it.",0.9371,0.828,0.172,0.0,0.6923611111111111
2017-02-23,4.0,"The buns at Wow Bao are decent, expensive but decent. Not to mention the size of those buns. I can finish a bun in two bites, but then again, quality over quantity. For some reason my friends and I were not hungry that day, so as a result, instead of getting full meals, we ended up just getting buns. The BBQ pork buns were delicious, I would actually come back for those. However, the Thai curry chicken buns were aight. Did not taste like curry at all.  Asides from the buns, they also serve soup, salad, steamed dumplings, and bowls (teriyaki chicken, spicy Kung Pao chicken, and the Thai curry chicken). Not exactly sure how tasty those bowls are. But hey, there is always a second time for everything. Overall, I would come back here for a snack, but not to get full since those portions are SMALLL.",0.9088,0.878,0.095,0.027,0.5836601307189543
2017-02-08,3.0,"It's a delightful treat to be able to fill your belly with warm, soft, fluffy bao while shopping on Michigan Avenue or at Water Tower. I like both the savory (teriyaki chicken, BBQ pork, etc.) and the sweet baos (the coconut custard in particular is so good!).  Note: Wow Bao is definitely an Americanized version of bao, so don't expect it to be as good as your favorite dim sum place, but considering its downtown location--it'll do!",0.9241,0.782,0.218,0.0,0.650595238095238
2017-02-02,2.0,"The chicken is terrible, it tastes like a roast that's been sitting in a crockpot and it's overpriced for the portion you receive.",-0.1531,0.772,0.102,0.126,0.975
