date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-04,5.0,"These are the tastiest bagels I've had and the handpacked cream cheese is fantastic! I've tried almost all the flavors and the only ones that weren't fantastic were the tomazzo. The egg bagel with the poppy seeds is my favorite! They're always really fresh and soft and, honestly, I even like them plain & untoasted! Exceptional quality, very very reasonable prices.  It's a comfortable place to grab a tasty, quick, cheap brunch without going broke.",0.9744,0.718,0.282,0.0,0.7451648351648351
2017-08-19,5.0,"This place was amazing! The bagels were so good and the employees were extremely nice. 10/10 would recommend for any time of the day, ill be coming again",0.8916,0.586,0.342,0.071,0.875
2017-08-13,4.0,Came here recently for lunch and got the open face lox and bagel sandwich.  Overall it was good just a little pricey for a take out place.  I'd definitely come back for bagels and cream cheese!!,0.7339,0.838,0.162,0.0,0.33571428571428574
2017-07-28,2.0,"Was my usual go-to stop on my way to work to grab some breakfast.  The staff is always friendly.  Well, they were, until the guy who never works behind the counter decided to run the register.  I get my breakfast sandwich without cheese and the cashiers usually take $.50 off the price for this.  When the guy rang me up full price we had this interaction: Me: ""Oh, I didn't have cheese."" Him: ""Yeah its the same price."" Me: ""It's usually 50 cents less."" Him:""I have told everyone here not to do that. It is only 7 cents for cheese. So it is 50 cents if you add it but only 7 cents if you take it off.  We dont do that."" Me: ""Uh, ok, well that stinks."" Him: ""Sorry man, Have to keep my manager happy."" Weird policy.  Weird interaction.  Goodbye GAB.",0.3506,0.886,0.065,0.049,0.6057291666666667
2017-07-25,3.0,"Typical experience here...Me: ""Can I get a cinnamon crunch bagel with cream cheese?"" GAB employee, looking right at me, listening: ""Sure."" Literally 3 seconds later: ""You said you wanted strawberry cream cheese with that cinnamon raisin bagel?"" ""Uh no, it's cinnamon crunch, plain cream cheese."" Then when I'm standing off to the side, with a few other customers, all of us waiting for our food, employee suddenly looks at me: ""Did you wanna order something else or something?"" What? ""Uh, no, just waiting..."" I feel like I'm taking crazy pills every time I go here. They can't keep a simple order straight. Good food, and the employees are nice, but be prepared to be bewildered.",0.5514,0.874,0.083,0.043,0.5010683760683761
2017-04-06,1.0,"I decided to give this place a try because its not too far from work. A co-worker also recommended this place for bagels and salads. So first time around i ordered a salad and it was pretty good! At this point i decided that this was a good salad place. Long story short Ive been here multiple times after that and my salad was never made the same (correctly). Sometimes i would get ingredients in my salad that I didnt even ask for or I tell them no onions or no cucumbers and I end up with one or the other. Today was my last straw! I ordered a chopped chicken salad and i recieved block cheese (not shred) , burnt bacon, onions, regular salad (not chopped), and the wrong dressing! I will never return to this place!",0.3753,0.836,0.088,0.076,0.4804945054945055
2017-03-12,2.0,"This place sucks. My bf and I came here to eat bagels because CBA was way too busy. Turns out we should've just waited. We can't stop talking about how much our bagels here sucked. He had some cold cut meats on his (why isn't it served warm??) and I had a basic cold veggie bagel, thinking that it would also be served warm. Won't come here again unless it's to buy a bagel bone for our dog",-0.6336,0.855,0.047,0.099,0.515625
2017-03-10,1.0,"10 plates for 26 bagels and 2 knives for 4 containers of cream cheese. Unfortunate finding as you open the ""corporate package"" at the office",-0.4588,0.88,0.0,0.12,0.5
2017-02-28,5.0,Best Asiago bagel sandwich in town! Call to place your order for even quicker service in the morning-,0.6696,0.791,0.209,0.0,0.3
2017-02-26,5.0,"We absolutely love this place!  There is no better breakfast spot for kids.  They know us, know our orders, and treat us so well.  The Sunday morning crew is the absolute best!  The folks being the counter are so friendly, and Luis, the ""bagel man"" is so great with kids!  They have earned our business for life.",0.9793,0.627,0.345,0.028,0.5916666666666667
2017-02-21,5.0,"High quality bagels made fresh every morning. Big selection of salads, sandwiches and paninis.",0.3182,0.85,0.15,0.0,0.38000000000000006
2017-02-11,4.0,"Great place for cheap, good bagels. There are many options and they have ""supreme"" bagels with extra cheese like onion and asiago, and even one with bacon bits on top!  Bagel with cream cheese and coffee special is around $4 with over 5 coffee choices like hazelnut, chocolate cupcake and cranberry.  Quick and easy to get in and out there are tables that can fit groups of four, maybe six if you squeeze. Not the nicest environment in terms of seating, but you aren't gong here for a fancy breakfast experience.  Pretty cool spot because you can see them making the bagels!",0.9632,0.781,0.219,0.0,0.5920634920634921
2017-02-05,5.0,"Favorite bagel place in Chicago. Bagels are perfectly cooked and soft, and the Spinach Omelet sandwich is delicious. To make things better, the prices are so reasonable. I can get a sandwich plus an additional bagel with cream cheese for less than ten dollars. Way better deal than Einstein Bagels or Panera.",0.9493,0.729,0.271,0.0,0.5574074074074074
2016-12-13,5.0,"I had never been here before, went on a whim because I had 30 minutes before my doctors appointment, fast and delicious. I got a bacon and cheese bagel with a lot of scallion cream cheese.  The woman making it actually kept adding cream cheese until I said it was enough unlike Einsteins that gives you barely enough to spread. Love this place, reminds me of the Jewish deli I used to frequent back home.",0.836,0.892,0.108,0.0,0.4
2016-09-01,5.0,It's very simple. Great bagels and fast service. Also there is a parking lot which is a huge bonus for commuters who are on the go.,0.8801,0.674,0.326,0.0,0.6785714285714286
2016-08-20,4.0,"More bready than a bagel, but super flavorful! Wide variety (both bagels and spreads). They have a coupon printed on back of jewel receipts for b3g3 or b6g6 which make it a hellova stop for hung over Saturday's with a group. Favorite bagel: cheddar herd",0.902,0.702,0.245,0.053,0.5133333333333333
2016-06-02,3.0,"Service was pretty quick.  Grabbed a bacon, egg, and cheese breakfast sandwich bagel which was good.  Also had an egg salad bagel, stay away from this one.  There was barely any egg salad on it and it wasn't very good either.",0.8402,0.804,0.196,0.0,0.5960000000000001
2016-05-16,5.0,"My office is nearby, so I have been going to this store for many years.  The sandwhiches are yummy and the bagels are excellent. I'm from the east coast where bagels are a specialty and these bagels are great. Freshly made each day, along with their muffins. To top it off, the young guys who work there are really friendly, remember me and make the whole experience for an old guy like me really awesome. I recommend this store highly.",0.978,0.725,0.275,0.0,0.5718181818181819
2016-03-14,5.0,"Today was my first time in this bagel shop and I have to say , I loved it ! The bagels are fresh & made right in the store . Most bagels are hard as a rock and a week old . These were very good !  And the homemade cream cheeses are EXCELLENT !  I will be back again tomorrow",0.933,0.729,0.244,0.028,0.5190714285714286
2016-03-09,4.0,"I love their wide variety of bagels. The employees are always friendly. Service can be slow at times (mostly when ordering sandwiches) but the food is worth it! Had a smoothie this time and really enjoyed it. This is definitely a good place if you're looking for a quick, fun, solid breakfast.",0.9776,0.606,0.394,0.0,0.4181818181818182
2016-02-24,4.0,"Love their everything bagel. Especially with scallion cream cheese. This location also has an insane amount of beverages to choose from.  Wish I could say more but in all the times I've been here that's the only thing I order. It's quick, usually never packed, lots of parking, always plenty of bagels and a variety to choose from.  And that's all I have to say about that.  Jackée",0.3818,0.906,0.066,0.027,0.6928571428571428
2016-02-19,5.0,"The bagel was so soft and delicious! Very obviously a freshly made bagel. I will be going back for more, maybe a bagel sandwich next time. Those looked good.",0.7995,0.77,0.23,0.0,0.42142857142857143
2016-01-15,4.0,"One of the best places in hood to get freshly made bagels in all varieties of flavors and that come very close to the chewy density of a real NYC bagel! And the service Prices and variety of hand made sandwiches and salads makes this an excellent place to hang out, read, or browse the Internet on a lazy afternoon. Not to be confused with the Great American Bagel, also on Belmont, but just W of the Redline station.",0.7574,0.84,0.119,0.041,0.538888888888889
2016-01-06,2.0,"I work around the corner and after eating here a few times on my lunch break, I've decided it's better to just walk up to Big and Littles or CBA. It's okay if I need a quick breakfast, but some of the workers are a little too friendly. They are cool about giving discounts since I work in the neighboring building but even that isn't enough to make me deal with the obnoxious passes the employees make just for a decent sandwich. Save yourself the trip and just eat closer to the train platform.",0.9124,0.787,0.173,0.039,0.45166666666666666
2015-12-24,4.0,The staff was courteous and extremely nice.  I got the grilled cheese panini and it was pretty good and hot. Their prices are very fair as well. I want to go back just to try their unique cream cheeses.,0.9497,0.615,0.385,0.0,0.80625
2015-12-07,4.0,"Went here this morning for a bagel and a coffee. I had a vegetarian sandwich on an everything bagel -- the sandwich was good, the veggies were fresh and the bagel had a lot of flavor. There was no wait as I was there on a Monday around 10am. Service was friendly. I got a medium French vanilla coffee, I found that this flavor had a very synthetic taste to it and really didn't like it, I'll go for the regular roast next time. This restaurant is definitely a place for ""grab and go"", no ambiance or welcoming seating area.",0.8026,0.794,0.139,0.067,0.2974358974358975
2015-10-26,1.0,"I'm actually confused now this place has good reviews. The bagels were disgusting- actually. I guess if you don't know a bad bagel from a good one than you'd think these bagels are fine, but let this be a warning for all foodies out there: the bagels are thick, extremely bready, and slathered in cream cheese almost to make up for the dryness of the bagel. I even got it toasted to make it more crispy and that didn't even help. Maybe I'm so picky because I'm from north shore area where our bagels are cream of the crop but come on, I'd rather eat a piece of bread with cream cheese and save 5 bucks.  If you're looking for a good bagel in the area, I'd do yourself a favor and head over to ""The Bagelers Coffeehouse"" just a few miles away where they have thin, delicious bagels, fresh cream cheese, and delicious coffees! It's also a really cute and hip place unlike GAB that plays loud, old 2000s music in a dirty, cafeteria like space. Will never be back.",0.9831,0.729,0.205,0.066,0.6186507936507936
2015-10-17,5.0,"Great selection of bagels, Good coffee. Went in on a Saturday morning, it was busy but not a long wait. Friendly and helpful staff. Parking lot a BIG PLUS! I .was even able to pick up ""bagel bones"" for my dogs.",0.6187,0.734,0.189,0.077,0.4678571428571429
2015-10-10,1.0,"This place is WAY disorganized and it cost them by business.  Went in to buy a dozen bagels on a busy Saturday morning.  I get behind a guy in line at the Order Here counter and wait a few minutes.  No one is taking orders.  6 guys behind the counter, lots of people standing around looking irritated, but no one is taking orders.  I then see a guy who walked in AFTER me go to the cashier counter and get served by the cashier.  I then figure that the cashier is the one taking orders, so I walk over to the cashier counter and place my order, at which point the cashier asks me if I've ordered yet.  I say no, then the cashier goes back to the order counter and takes the order of the guy who was waiting.  I go to get back behind the poor guy who has been waiting for several minutes already, only to see 4 people have now gotten behind him in line.  This place needs to have one person taking orders and another person working the cash register, not one guy walking back and forth between the two, choosing to take orders from random customers at whichever counter suits him best in that moment while making everyone else wait unfairly long.  6 people behind the counter on a busy Saturday morning should be enough to take orders, process payments, and serve bagels.  Totally disorganized, totally undeserving of a good review.",-0.8552,0.872,0.04,0.089,0.45714285714285713
2015-10-10,1.0,"It's been about a month since I was at great American bagel but I'm still giving it 1 star for my experience. Not for the bagels (although I can get a bagel as good just about anywhere) but for what happened after.  After I bought my dozen bagels, I put them in my car in their parking lot and walked right next door to fuhlstroms fish market where I had a to go order to pick up. I was there for literally 45 seconds (as I know they are militant about their parking lot if you do not shop there) and my to go order was ready and waiting for me). When I came back to my car (again it was about 45 seconds)....there was the parking lot security taking a boot out of his car and blocking my car too. He was very surprised to see me come back so quickly which is why he was never able to put the boot on my car but proceeded to tell me I'm lucky and I have been warned to never leave even if it is for as short of a period of time as I left for.  At which point I told him, I have a receipt from great American bagel and it has been about a minute. He said he did not care.  Called the great american bagel after and nothing came from it. So think I can get bagels from just about anywhere else and not worry about being booted or scammed by someone who makes a living trying to boot people's cars. Ridiculous",0.9782,0.819,0.136,0.046,0.4286340852130326
2015-09-26,1.0,I stopped by today to pick up the free Belly bite offer and you were closed. Now I have to go back again tomorrow! I'm not very happy!,-0.3397,0.719,0.103,0.178,0.41730769230769227
2015-08-12,5.0,I love the bagels here! They are always so soft and delicious. My favorite is the jalapeño cheddar bagel with cucumber cream cheese. It reminds me of eating a jalapeño popper for breakfast. I also love this place because they donate bagels to good causes at the end of shift for non-profits. Makes everything more delicious!,0.9745,0.673,0.327,0.0,0.70625
2015-06-18,4.0,"I went on a crowded Sunday, and after I picked out my bagels I asked to have them sliced and the guy behind the counter had so much attitude! It was my first time there, but the guy lectured me about how I should have told them before I picked out my bagels that I wanted them sliced. Weird! The freshness of their bagels completely makes up for the rudeness of the staff. I've never tasted a bagel so fresh and delicious! Get the french toast bagel you won't be disappointed!! Sadly when I got home I noticed they forgot one bagel, maybe it was because I had a free belly bite for a half dozen? Go next door to the fish market and they have fresh lox which are amazing!",0.9822,0.752,0.211,0.037,0.55
2015-05-10,4.0,"Evrerything here is okay. The product, the staff and the atmosphere. I was happy and enjoyed my bagel. Bo5hing special but sometimes simple is better. Grab a toasted spinach bahel with veggie cream cheese and a tomato! The pepperoni bagel is a tasty lunch alternative and if you like it a bit spicy order a jalapeño version.",0.9215,0.748,0.252,0.0,0.6047619047619047
2015-04-07,5.0,Nice friendly customer service. Much appreciated in the morning! Smells great and bagels are fresh and delicious.,0.9622,0.358,0.642,0.0,0.6416666666666667
2015-03-12,1.0,Although posted sign - behind the counter says: Plain Bagel 1.39  I WAS CHARGED 3.19 I asked the cashier why I was charged more than DOUBLE THE POSTED PRICE - she said prices change. So American Bagel MORE THAN DOUBELED THE PRICE and did not change the sign? Shady Shady business practice. The cost of a Bagel @ Einstein's is 1.15!!!!,-0.6706,0.904,0.0,0.096,0.4133928571428571
2015-03-04,1.0,Ordered takeout from them for the first time. Ordered bagels and cream cheese. They forgot the cream cheese. Seems like a tough thing to screw up. Not helpful when I called. Won't order again.,0.5267,0.773,0.146,0.08,0.5833333333333334
2015-02-26,5.0,"Very friendly staff. Delicious bagels. I will definitely come here again! The French roast bagel they sell is phenomenal. If you live French toast, you really have to come here and try it.",0.8872,0.735,0.265,0.0,0.41875
2015-02-23,3.0,"American is the key word here. These bagels are more like small loaves of bread stuffed with everything you can fit in there. Breakfast sandwiches, one of my favorite food categories, are microwaved here. I really prefer griddle-made brekkie sandwiches. However, the bagels are definitely guilty pleasures. Sometimes my coworker brings them in and we split them in to quarters (they're honestly huge) and we eat them all day. The jalapeno one is stuffed full of jalapenos, and there's a pizza-y one that's messy and tomatoey, and the sweet ones are like cupcakes in bagel form. They must each have about 600 calories. It's a chewy treat, but when it comes to bagels I like thinner.",0.9221,0.803,0.168,0.029,0.5833333333333334
2015-02-15,4.0,"This is a safe restaurant to get a sandwich in an area where things are kind of pricey, and it has its own parking lot that is a big plus.  The guys working there are pretty friendly. Yesterday morning I actually saw them making bagels through glass walls on big machines I thought that was awesome.",0.9246,0.778,0.222,0.0,0.5777777777777777
2015-01-11,1.0,My bagel and coffee cost me $140 after my car was booted in their parking lot!  When I went in to ask what the deal was the guy behind the counter said what do I care about your $2 bagel/coffee when I just got $140.....total scam and nothing I could do until their guy unbooted my car....they said they saw me leave their parking lot and that gives them the right to charge $140 for parking.  Hmmmm.,-0.2481,0.893,0.041,0.066,0.6178571428571429
