date,star,text,compound,neutral,positive,negative,subjectivity
2017-04-24,5.0,"Went to get some paan for my mom before my flight for CA, told the guy to pack them nicely so they survive the plane ride, he wrapped each paan without the betel nut very securely and nicely and asked his helper to put a good amount of betel nut separately in a zip lock bag then put everything in a small plastic container so when it arrived CA it was in prime condition.  Mom s an avid paan eater and loved the paan and enjoyed them for a week. Even the meetha paan I bought were very nice and had fresh Gul qand, wish they would mail me the paan!!!",0.9837,0.745,0.255,0.0,0.778
2016-07-29,5.0,Food might be oily but the Indian/Pakistani  food tastes better when it is oily.... :D Very very satisfying in very reasonable price... Fish Fry should be in your order for sure....,0.9456,0.663,0.337,0.0,0.8337777777777777
2016-03-01,1.0,Was horrible! My order was wrong and they took longer to deliver the said! I ordered two chicken curry and was brought two separate items and I requested it to be not spicy and both dishes where spicy.,-0.8011,0.826,0.0,0.174,0.9499999999999998
2016-01-04,1.0,Worst lentil soup I've ever tasted in my life. Whoever cooked it was too generous about salt use. Disgusting atmosphere. There were some scumbags that were staring at us for no reason. Ruined my dining experience.Aside that for egg biriyani they charged us more than the displayed price. Who knew that chicken and egg biriyani would cost the same. That's something new for me!,-0.8908,0.761,0.043,0.195,0.671590909090909
2015-08-12,1.0,"I ordered on grubhub (side note: they messed up my order).  I walk in and say I have a grubhub order for pickup, the employee does not acknowledge a word I say but walks in the back to get my food, shoves it towards me and says ""bye."" I fumble with my headphones for a second and he says ""you can leave now,"" umm rude!  the flavors are okay but I will absolutely not go back! The rice is four times the size of the entree, which itself was about 40% bone.  Sure, I got a good amount of food for $13 but I will definitely never order from here again. Clearly they have no concern for their customers. I should have checked these other reviews before ordering from there!",0.8529,0.8,0.127,0.073,0.38472222222222224
2015-03-25,1.0,Food served here is not hygenic. The buffet will give you bad stomach. The serving is unhealthy. I used to have a great food nearly 6 months back over here. But now the food they serve is all frozen. If you like Dosa I recommend this restaurant. Eat fresh live fresh.,0.7003,0.66,0.226,0.114,0.5020833333333333
2014-12-09,1.0,We go here cause its a good not to go often resturant and they serv south indian breakfast till late but I always get a un coocked dosa even after telling them many times. Avoid if u can avoid,-0.5647,0.809,0.049,0.142,0.5666666666666668
2014-11-08,1.0,"This was the most disappointing meal ever. We have been searching everywhere for a restaurant that serves good egg biryani (ever since trying the dish in Hyderabad at Paradise Restaurant.. yummm). We were so happy to find that this place made egg biryani, and called in the order ahead of time. When we got there, the guy told us to wait 5 minutes (even though it had been more than enough time since we called it in) and finally brought out the food. It smelled good and looked promising, so we were excited. Normally good biryanis are not fully mixed up -- the white rice is still fairly separated from the curry/sauce which is embedded within, and you have to mix it all together when you eat it. That's what this looked like -- the white rice on top, with a few flecks of saffron here and there. But when we actually opened it up when we got home, there was no curry/sauce in the dish whatsoever! The guy literally served us a bowl of basmati rice with a few saffron-colored rice pieces sprinkled in and a couple of unseasoned boiled eggs thrown on top. It was also incredibly greasy, we literally did not even want to feed it to our dog because we thought he would get sick from all the grease (he normally loves rice and eggs as a treat). We took a picture of what the dish looked like after we dumped it into a bowl, to show that it literally is just a bunch of rice. Such a disappointment, we are never going back there again.",0.9606,0.823,0.122,0.055,0.5002747252747253
2014-09-07,1.0,"》》》》》》》 AVOID THIS RESTAURANT AT ALL COST 》》》 I am an Indian myself the food used to be good, Not anymore ! I made a mistake thinking food is still good here therefore I recommended my Caucasian friend.  They gave her bad dish and it was supposed to be Catering order.",0.3091,0.662,0.188,0.15,0.6222222222222222
2014-05-15,1.0,"Ordered delivery for lunch yesterday...NEVER AGAIN! The first issue was the delivery charge. Why so much? Issue number two...the time. It took over two hours for the food to arrive. Issue three...half of my order, placed via Grub Hub, didn't arrive. (Sidebar - Grub Hub refunded the money! Go Grub Hub!)  The half that did arrive, very disappointing. The samosas were small and over fried...black almost. The bread was a thick, greasy, oversized tortilla. The vegetable role was alright... Nothing special. Needless to say, I will never go back.  With the number of Indian Restaurants on Devon, there is no need to waste your time here.",-0.6748,0.865,0.052,0.084,0.40564285714285714
2014-04-10,5.0,They have the best dosa in town!!! Is just delicious i have try dosas from all devon but here is just out of this world. And best of all very affordable this place is mainly for food and flavor not for decor  or service.,0.9123,0.775,0.225,0.0,0.44666666666666666
2014-04-01,2.0,"My friend and I went to this place the other night - he lives in the neighborhood and we likes to try new restaurants This place is so weird, the food is not that great, and they overcharged us. First of all, there is a ton of seating in here, and it was pretty much empty when we went. Not a good sign. It's not clear whether you're supposed to order at the counter or if there's table service, so we just walked up to the counter and ordered. There was a guy staring at us the whole time, and when we tried to order with him another man told us to wait a moment. No prob, we waited, ordered... and then watched as everyone behind the counter was so confused and unorganized. There were several takeout orders being filled that were mixed up, and the naan that we ordered was part of another mixed up order... they just put it with ours instead! Got home, opened our food, and it was sooo greasy - I like spicy food, but this was crazy hot and not flavorful. Avoid this place - there are so many other better Indian/Pakistani restaurants in the area. but its one of the few late night restaurants...",0.6386,0.862,0.076,0.062,0.5400527009222662
2014-01-10,1.0,"NEVER ORDER FOR DELIVERY FROM THIS PLACE!! usually,we take carry out from this place.In terms of food it is good.We usually order for Haleem and Biriyani.But this review is about recently we ordered for delivery through grubhub.After two hours of online order,still we didn't get the food.My husband tried to call grubhub and it took 30 minutes wait time to speak with customer representative,and she told she will call back after speaking with delivery guy,that again took 15 min wait time.we tried to call restaurant guy and he told the some nice story for the delay as only one delivery guy is working on that day. After three hours of total time,again we called restaurant guy and he told delivery guy just left to your place.Its terrible to hear this.Thank god  we are able to cancel the order.When I asked to cancel he felt so happy and didn't even care a damn about his customer.   If you guys can't deliver in time don't  do it.     Dont keep your customers waiting( May be I am wrong you don't even know how to treat a customer)!!",0.3898,0.845,0.073,0.082,0.615909090909091
2013-10-25,1.0,Please avoid this place.  I literally just signed up on yelp to write a review for this place. Their delivery took 3 hours and they did not return my money. And the food was terrible!   I'm not sure how this place stays in business with food and customer service like this.,-0.4125,0.777,0.087,0.136,0.9444444444444444
2013-10-15,1.0,"AVOID THIS PLACE. I'm an Indian myself, so perhaps I do get a little picky when going to Indian restaurants, however, this place is just horrible! My experience was as follows Late Sunday night, 12:40 AM, I got hungry. Everything was closed, and I saw that this place still delivers and it's indian! I had never ordered indian food before, so this was a first. Anyway, I call them and I ask a few questions about the food, and I order the Chicken 65 and Chicken Biryani, along with 3 Chapatis. So that was $6 + $6 + $2.50, the food was $15 bucks and the guy said delivery is $7 for my area. I said, fine. An hour and 15 minutes later, the guy arrives. I was neither angry nor upset at the delivery timing, I had expected this, since the place was about 20 minutes from my home. The total was about $25.xx, I gave the guy $29 and let him have the change. I then open the bag and get all the food out. The food was cold. I don't mean that it was undercooked, or the food lost temperature while the guy was bringing it over here. The Chicken 65 was literally cold. It was as if the food was just taken out of the refrigerator and the guy brought it here. Chicken 65 and Chicken biryani were both this cold. Surprisingly the Chapatis were warm though. I then decided to warm them up in the microwave and have a go at it anyway. Food was DISGUSTING. The chicken didn't taste like meat at all, it was just disgusting. I tried the biryani, disgusting as well. The chicken in the biryani was so disgusting as if the meat had expired months ago.  I was angry that I had spent about ~$30 for crap.  I then called them and told them ""What is this man, this is not even food, everything was cold, etc. etc"" After some discussing he agreed to have the guy come pick the food up again and give me a refund.  The guy shows up an hour later, gave me back $25. I was fine with it. The delivery guy was really nice. After the refund, he even stopped and asked me if this was my first time ordering from Daata Darbar and he'll check with the kitchen staff, etc. Props to him. CONCLUSION: Don't get this food. If you're feeling hungry and came across this on grubhub, IGNORE THIS PLACE.  On top of that, the few bites that I had out of this food, gave me some food poisoning. Took a really painful dump the next day.",-0.974,0.846,0.056,0.098,0.652422480620155
2013-04-21,3.0,"Late night ""hotel"".  In English terms it's a dive or greasy spoon which maintains late night hours.  During those late night hours the place is usually packed with dudes watching Indian or Paki television.  If it was during normal operating times of a day that I was jonesing ""Indian"" this wouldn't come to mind.  Late night however, is a much different story.  Know that there is probably a shit load of microwaving going on late at night.  Reheating of stuff made earlier that day.  Occasionally a regular customer may be able to coerce the cook to make an entree fresh even during those late night hours. I no longer visit for rice or curries.  I've had them and they are okay.  As Arpan S. mentioned in his review, it's about the rolls.  Specifically the Chicken 65 roll or a lamb (mutton) roll.  Wrapped pretty nicely in chapatti.  That's like a tortilla.  Your choice of meat filling with some lettuce.  Served with this gooey white chutney which looks shockingly like another white gooey substance my guy friends and I have shared laughs over.  The cost won't break the bank. Now I've been a couple times for late night eats and on average you could blow 45 minutes plus, to an hour of time waiting on food and then dining.  Ordering items one after the other can extend this time exponentially.  Indo regulars say calling ahead is necessary.   I was here just the other night and couldn't believe what was served on my plate next to my wrap.  The guy served it to the table with this foreign item and didn't think to remove it.  WHAT THE F&#% right?  I'm posting the photo to my Yelp profile, just to be nice to them.  I ordered a mutton roll, however I never said I wanted a hair.  My buddy asked if we should send it back, he spoke Hindi and didn't mind calling the manager out.  It was late and I wasn't willing to wait on another.  With enough booze in my belly and a prayer to the Lord, I could only hope I'd be okay.  WTF.",0.9536,0.875,0.092,0.033,0.547700983227299
2013-02-26,3.0,"I went here for take-out as an alternative to Ghareeb Nawaz: authentic, open 24 hrs., and less expensive than most other places, and having some dishes that GN doesn't have. The portions were much smaller than Ghareeb, and at a higher price. So, the 'value' equation does not really equal a great deal. The food was good, but not any better than dozens of other places.",-0.349,0.864,0.057,0.078,0.4897435897435898
2013-02-05,1.0,"I had a horrible experience with this place. I ordered delivery and after it had not an hour later, I called to see where my food was. The man said that it was pick up, went to look at the ticket, saw it was delivery and said ""Oh sorry, we'll have it right out."" Of course when I received my food, it was cold. Not only that, it was disgusting. I will never eat here again and I suggest you don't waste your time either.",-0.7067,0.875,0.028,0.097,0.6919642857142857
