date,star,text,compound,neutral,positive,negative,subjectivity
2017-09-03,5.0,"Just go, it's a great cheap place to eat and the food is always amazing. The workers are very nice and the place definitely has its own unique vibe. I recommend the pulled pork dog bc who doesn't love pulled pork!",0.9204,0.624,0.312,0.064,0.8062499999999999
2017-09-02,5.0,Lakeview's best kept secret. Walk down the stairs into a tight little space with just a handful of tables and you'll be wondering if you made the right decision. But the burgers are seriously good. Dogs too. And tater tots so crispy/fluffy.  Love love love this place.,0.9674,0.637,0.335,0.028,0.501031746031746
2017-08-28,4.0,"Most amazing hungover experience of my life!!! Tons of options, good quality. Got a classic Chicago dog, the fries were amazing (cashier suggested spicy garlic mayo for fries it was unreal) and a chocolate shake that made me believe in god again. Highly suggest!",0.9281,0.697,0.271,0.032,0.601111111111111
2017-08-23,5.0,"We order from here quite often for work and man it is delicious.  The people at this spot remember us when we call and are exactly what you expect when you think chicago dog house.  I get the Mr. Big sport peppers and all, sooooo good.",0.765,0.867,0.133,0.0,0.48750000000000004
2017-08-10,5.0,"If i'm in the Lakeview area and have out of towners, Flub-A-Dub Chubs is the only hotdog shop that I take them to. There is a special feeling you get when you step down and into Flubs.  There's always drawings taped on the wall and a current game on the t.v.. You might find yourself surrounded by those with hangovers, but dubs maybe the perfect cure. I'm a simple Chicago style all the toppings kind of gal, but if you're vegan, like chili cheese, want a burger or whatever - you're set. Their hotdogs are a piece of art, and your choices are fries or tots!!",0.9088,0.875,0.125,0.0,0.6146825396825397
2017-08-06,4.0,"I enjoyed this place. Lovely staff and quality food. I only give it a 4 star simply because I don't like hotdogs in general. So my bias opinion took away that one star. With that being said, they do offer lots of other food. Writing this review makes me want their burger... I have not yet tried it but if it's good then I'll come back and add a star lol my friend is addicted to their hash browns lol which I also don't understand, like I mean it's tasty but potatoes just don't do much for me lolol",0.9493,0.749,0.199,0.052,0.5692602040816327
2017-07-26,5.0,"I had a croissant at a near by place and wanted to wash it down with a quick dirty dog. It was quick but not dirty. The name Flub a dub comes from a kids show in the 50's, the Howdy Doodie Show. Mr. Flub A Dub was the puppet seal on the show. I am sure the dogs were not made pf puppet seals. It tasted like a good dog. I of course had a salad instead of tater tots. It is a cool place. It is down a narrow stairs  and looks like dog places looked in the early 70's. It has a TV and is just comfortable like a buddy's basement. They have burgers and make your own burgers but since I wanted a dirty dog, I cannot comment on them. A good place for half a dozen buds to watch sports and second guess the players.",0.9593,0.761,0.178,0.062,0.5435185185185184
2017-07-22,4.0,Awesome hole in the wall perfect for pre or post game meal. Hot dogs and sausages better than the burgers. Tots and fries crispy and hot.,0.8934,0.682,0.318,0.0,0.7666666666666666
2017-07-16,5.0,"Plenty of people have raved about the hot dogs, so I am here to leave some love for their burgers. The burgers are amazing and I love the pretzel bun. The Bryan Burger is my personal favorite.",0.9432,0.647,0.328,0.026,0.7083333333333334
2017-07-13,4.0,"Great hot dogs.  Only issue with good was the bun was not the poppy seed bun but a regular roll.  Otherwise everything was great.  The floor was slippery and dirty and the tables hadn't been wiped down.  If the food hadn't been as good, this would have been marked down a lot for the gross dining room.  A lot of fun hot dog at around to look at while waiting on food.  Parking is a nightmare but not restaurants fault.",0.9237,0.699,0.219,0.082,0.5467643467643467
2017-07-12,5.0,BEST veggie dog in town. I go here at least 2x a month for my hot dog fix and it's spot on every single time. Friendly staff and all around great place. Check it out you will not be disappointed.,0.9412,0.697,0.303,0.0,0.5377551020408163
2017-07-11,4.0,Happened to stumble on this place driving down Broadway one day and so glad that we did. The burgers and fries are delicious! There is a good variety of food choices.I definitely recommend it.,0.9428,0.637,0.363,0.0,0.5814814814814815
2017-06-22,4.0,"This place is actually so good!! My boyfriend was begging me to try for a longtime since we live right down the street, I was Hesitant. Last night was finally the night and it was coincidentally &10 burger night. The burger deal is great, create your own burger with lots of choices and toppings, plus fries (cheese too)! I also took advantage of the check-in deal for a free drink. We got ours to go and that took around 10 minutes. The space is small but clean and just what you'd expect. Fast forget to getting home and eating: so good! Quality burger, couldn't finish it! I love fries and these were seasoned right and with the cheese sauce . Happy to have tried and will be back.",0.9485,0.769,0.173,0.058,0.5681657848324515
2017-06-04,5.0,"Had a great experience here, got a dog that had cheese sauce, and I subbed the chilli with there super tasty veggie chilli! Love love!",0.9583,0.515,0.485,0.0,0.6541666666666667
