date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-29,1.0,"Carelss staff. Overpriced for the quality. Ordered philly stake to go. Didn't check what is inside the package right away. Later, found inside artificial green colored and absolutely inedible burrito. 23 bucks for 1 veggie burrito and 2 bottles of soda. Terrible.",-0.4767,0.926,0.0,0.074,0.6226190476190476
2017-08-28,5.0,"A late night option that isn't pizza and isn't fried everything. Open until 4am most nights, offering a large and truly healthy menu. 10z chicken breast sandwiches, burgers (including turkey), salads, smoothies, fresh juice, hummus, guac, baked sweet potato, and much more. Perfect spot if you're out late or work nights. The cops drop in here all the time, so it's really safe. You gotta be nice to Athena, especially if you're drunk.",0.9467,0.705,0.241,0.054,0.6819047619047619
2017-08-19,5.0,"I came to Jubilee for the first time for a late night snack, and first of all they still serve smoothies at 3AM! Amaaaazeballs! The pina colada smoothie was delicious and the service was even better! I'll definitely be back!",0.8877,0.77,0.23,0.0,0.4611111111111111
2017-08-12,5.0,"Great! I wanted something fresh to eat on a Saturday Night & this place was a hit!! Pineapple Smoothie made Fresh, marinated Chicken sandwich mmm,mmm good! The chicken mushroom on Pita Great!!!  I will definitely be making this place a part of my regular ""go to"" for good eats!!",0.9588,0.575,0.369,0.056,0.6176923076923077
2017-08-11,5.0,"I LOVE jubilee it is actually quality food late night oh and the staff is actually nice people. I haven't had a single bad experience at jubilee since the first time I went in 2015. Did I mention they deliver? Also, one of the best turkey burgers too I'm an aficionado.",0.9411,0.74,0.26,0.0,0.47678571428571426
2017-08-05,5.0,My friend recommend I come here when I go To Chicago and they surely did not disappoint. They have the best food here! I love their smoothies too! They let you customize your smoothies free of charge. You need to try them out when you come to the city!,0.9733,0.625,0.375,0.0,0.6472222222222221
2017-07-26,5.0,"So, my partner and I just discovered this place a week ago and we've been back 3 times already! The veggie burger is one of the best in the city. It's also decently priced. A great place for vegetarians craving that ""street food"" taste.",0.8622,0.816,0.184,0.0,0.42916666666666664
2017-07-24,5.0,"This is a very cute healthy restaurant. I came here for some fresh squeezed juice and a veggie burger , they had both. Very satisfied, food is great !",0.9438,0.542,0.458,0.0,0.75
2017-07-20,5.0,"Been dining with Jubilee Juice since I moved to the area in 2010, I've never had a bad thing here whether delivery or dine-in/pickup Usually i have one of their burgers with waffle fries, a cheese cup, and a smoothie.. tonight I branched out to the steak quesadilla and am I glad I did. Generous portions and good flavor with the salsa. I had the mango madness smoothie, fresh mango juice, sherbet. Yep, it will set you back a few $$ but it is worth it!",0.8388,0.811,0.166,0.023,0.40208333333333335
2017-07-16,4.0,"When you just want good food without the Restaurant Row hassle... this is the spot. Seriously, it's good change of pace place in the West Loop. And they are open late.",0.6597,0.754,0.198,0.047,0.5750000000000001
