date,star,text,compound,neutral,positive,negative,subjectivity
2017-07-10,5.0,I've been eating here for at least 10 years. They have the only real deal felaful in Chicago. Beats roti and naf naf hands down. Very good food overall but the falafel and overall price and service is worth heading to the lower level Thompson center for lunch.,0.1646,0.861,0.085,0.054,0.3298765432098766
2016-12-20,5.0,"great food, great prices (especially for downtown), and incredible service...they are on top of their s*&it here!",0.8832,0.576,0.424,0.0,0.78
2016-11-22,5.0,"With this weather, they should really advertise their soups. I wouldn't have eaten here if the lady didn't entice me to their special. I really wanted soup but ordered both. She even let me sample both soups which were the mushroom soup and lentil soup. Both were really good but I had the craving for lentil soup. The soup was flavorful and just what I need for this head cold.",0.7302,0.912,0.088,0.0,0.5142857142857142
2016-09-02,2.0,"Yelp said this place was open till 3 pm so I went there around 2:15 pm and there was no one at the counter and it was kind of hard to tell whether they were open or closer. I called for assistance and a guy finally came out and told me they were closed. It was odd but I turned around and started to walk away as the owner came running from behind telling me that they are in fact open and the employee was just being lazy... wth? In any case, the owner was nice and took my order and the transaction went smoothly. Unfortunately, the food was mediocre at best and I left wishing the owner hadn't seen me and called me back.  Hummus: bland Pita bread: soft but cold Fattoush salad: okay but didn't have any pita chips in there even though it was listed on the menu Rice: decent to good Beef: okay at best, lacked seasoning Chicken: dry and lacked seasoning Falafel: perfectly crisped and tasty - this was easily the best part of the meal, which is why I went with 2 stars instead of 1 I don't know if they generally give out any kind of sauces with their food but I did not get any with my meat combo. Perhaps with some good sauce, the dryness and the overall insipidness could've been overlooked but ultimately, the falafels simply aren't enough for me to go back.",0.9885,0.761,0.174,0.065,0.5833011583011584
2016-08-11,5.0,"I love this place. The food options in the Thompson Center are as bad as the building itself: all terrible chain restaurant garbage. Except Pita Express, which is a diamond in the rough. Great middle eastern food, great vegetarian options. Support small business!",0.8313,0.543,0.293,0.164,0.5185185185185186
2016-08-04,5.0,"I am a huge fan of good mediterranean food, and Pita Express did not disappoint! The food was great and the price was super affordable. The restaurant also uses a phone app called ""GiftAMeal"" and I got to donate 2 meals to a food pantry (no cost to me)- just by snapping a pic of my food through the app; I thought that was pretty neat. I will definitely stop by here again when I'm around.",0.9655,0.632,0.304,0.063,0.736111111111111
2016-04-08,5.0,"Was happy to discover this great middle eastern counter in the Thompson center. Just off the main food court.  I had the middle eastern veggie plate. Falafel, hummus and pita were great. I'm not a huge fan of tabouli, but even that was good. Soft warm pita on the side. This is not like the chain middle eastern places in the loop where it's an assembly line of food. It's better! Would definitely recommend.",0.9318,0.61,0.262,0.128,0.45595238095238094
2016-03-16,5.0,"Hidden away in a side corridor sits probably the best place, Mediterranean or otherwise, in a fast-food-heavy food court. The owners and workers are extremely nice, the food is delicious but healthy, and its decently priced for the Loop.",0.8607,0.758,0.242,0.0,0.6333333333333333
2016-03-05,5.0,"Hands down, this is my favorite restaurant in the Thompson Center food court.  It's tucked away from the main atrium section, but once you find it you'll be in for a treat.  Their middle eastern food is affordable, authentic and just delicious.  I'd visit every freaking day if I worked any closer to this place!",0.8016,0.771,0.171,0.058,0.49603174603174605
2016-02-02,1.0,Do not go here. I've gone 3x. Their counter girl tries to oversell. It takes forever for the food. My order 2day was like they just nuked whatever they had on hand. Grk kitchen all the way from now on! Fresh fast homemade & amazing!,0.8881,0.732,0.232,0.036,0.6
2016-01-20,5.0,"Pita express at the Daley center has the best middle eastern food in the area...always solid customer service, highly recommend friends and family in the area to eat here.",0.8211,0.61,0.304,0.086,0.20800000000000002
2016-01-06,5.0,"I just went here for the first time. The food is awesome and very cheap. But most importantly, the manf who served me my food was SO NICE!! Although this place is a bit farther from my building, I will definitely go out of my way to eat here simply because of how nice the staff was.",0.9541,0.739,0.261,0.0,0.7333862433862434
2015-11-30,5.0,Don't be fooled by the affordable price or the fact that its vegetarian- the vegetarian plate will fill you up!,0.3561,0.885,0.115,0.0,0.0
2015-10-26,5.0,"Best food In the loop! I am vegetarian and the food is just spectacular. The Hummus is creamy and tastes great. Good value for your lunch, very healthy and they are extremely helpful and friendly even when. I was pretty indecisive.",0.9767,0.512,0.454,0.034,0.7124999999999999
2015-09-17,4.0,"I had Pita Express for the first time today... I really enjoyed it! I ordered the Meat Middle East combination plate. This dish allowed me to sample an assortment of foods, all of which were delicious. The hummus and the falafels were my favorite, great flavor! The salad that comes with it was light and refreshing...everything was cooked really well overall. I also tried the baklava, loved it! (Get the baklava with extra nuts. #yum) The customer service was very good...that always makes the difference. I recommend Pita Express to anyone seeking a quick lunch. The food was great, good service and super affordable. Worth it!",0.9819,0.65,0.281,0.069,0.4999999999999999
2015-04-16,5.0,I love this place. Kinda tucked away in the corner of the Thompson center food court.  Great tastey affordable Mediterranean yum yums.  Best falafel in the area.  Great friendly staff.  Weekly special changes every week and I highly recommend the Messe Chicken.,0.9783,0.566,0.434,0.0,0.5623809523809524
2015-03-18,5.0,"Great food, great prices, very friendly people. Definitely get the homemade lemonade.",0.9399,0.353,0.647,0.0,0.6625
