date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-21,2.0,Went there to celebrate a birthday.Went in happy and left pissed off!  Had a waitress that didn't know the difference between a wingette and a whole wing! She was the worst! Bad attitude and very snippy. Ordered a margarita that was the worst I've ever had. Although the bartender added more alcohol it didn't improve the taste.  Will not go back.  Will not recommend.,-0.9312,0.64,0.093,0.267,0.5407407407407407
2017-08-13,4.0,"Accidentally stumbled by this place and glad I did! Delicious food, R&B music, and great service I'd come back and bring more friends.",0.9199,0.502,0.427,0.071,0.65
2017-08-08,5.0,"This was by far one of the Best Burgers that I have ever had. The french fries were hot crispy,  great service great atmosphere great place to eat. You have to come and experience this place. The staff was exceptional prompt and very friendly.",0.9682,0.655,0.345,0.0,0.6722222222222223
2017-08-01,5.0,Strolling down the street and I found this spot for lunch with my kids. Bar was empty and we were greeted by the manager as soon as we walked in. He and our server were the best!!!! Friendly to my kiddos and recommended a great beer to pair with my wings. Very pleased with the service and food,0.9295,0.742,0.231,0.027,0.5564814814814815
2017-07-29,5.0,$10 champagne bottles!! Perfect place for a brunch on Saturday with friends. The service is super friendly and attentive. I would come back here and recommend this poppin place to anyone! It's so lit!!,0.9626,0.568,0.432,0.0,0.6133333333333333
2017-07-25,3.0,"I came here with a friend Sunday afternoon and it was quite an interesting experience. Upon walking in a hostess asked if we had a reservation. It's a burger spot and wasn't crowded so it was weird that she asked but that may indicate that it gets crowded here during the peak times.  Drinks: I thought it was cool they had spiked milk shakes. I ordered one but it was a bit stronger than I expected and it didn't pair well with my burger and fries so I ended up sending it back but cool concept nevertheless.  Menu: I wasn't super impressed with their menu. You are pretty much forced to build your own burger. The ones the have as options just wasn't anything spectacular. Be mindful when building your burger because it can add up quickly. I was shocked they didn't have a burger on the menu with a fried egg and bacon - that's like an American standard nowadays, right? Lol Food: I didn't like that pickles and lettuce come on the side... like you are back there making my burger, I requested lettuce and pickles so why not just throw it on? Me and my friend decided to split a large fry and they were massive! We both agreed we should've just split the smaller portion. The burgers were messy so I wouldn't go here on a first date lol Overall the food was good though! Service: Service was kind of lacking. The waitress wasn't attentive even though it wasn't busy. She charged us for the shake I returned. Then when I reminded her to take it off, she walked right to the register and kept it on anyway. She was very sweet and apologetic about it and mentioned it was a rough Sunday, which I understand! We are all human and deserve some grace. Temperature: It was hot outside plus two parties had dogs with them so we opted to eat inside the restaurant where they had the patio door open. When I tell you it was hotter inside than outside, man! We walked out and were relieved by the breeze. They may want to get some fans blowing or turn the air on when it's hot out.  Overall: Overall it was an alright experience. Nothing I'll be running to bring other people to but if I'm in the area and hungry I would possibly go back to. The food was good, the prices were typical and the atmosphere was good! Don't go out of your way to come here but you should maybe possibly check it out lol",0.9951,0.786,0.164,0.049,0.5108333333333335
2017-07-23,5.0,"If you are in Chicago and looking for a spot you'd frequent as a local, check this place out!  I loved visiting hidden gems that are not touristy when I travel, and I was far from disappointed. Our server was fantastic and the food was everything I expected it to be.  My boyfriend and I created our own burgers, and let me just say, the garlic aioli could make cardboard delicious. The portion sizes are huge, definitely shareable, but trust me, you aren't going to share.  They also have local beer on tap, big bonus from me! * This is a sports bar, so the music is loud, but you won't be interested in talking once the food hits the table.  Also, the service was surprisingly fast.",0.947,0.768,0.179,0.053,0.5813725490196079
2017-07-23,4.0,How cute are we! Typical burger joint with a lovely touch. I had the caramel milkshake and turkey burger with a side salad. The caramel milkshake was so good! Rich and strong (alcoholic). I would go back there for sure just for the shake. The turkey burger was a little weird... the meat kept falling apart for some reason. Idk. The side salad was cute and fresh. The service was very good too! Stop in if you're in the area. You won't be disappointed.,0.9805,0.621,0.31,0.068,0.6834814814814814
2017-07-23,1.0,"Welp...back to normal. Walked in, sat at uncrowded bar, watched two bartenders spin in circles and not ask me or two other people how we were doing or offer drinks. 12 minutes later, i bagged it. Hey, it's your tip money in my pocket that I'm trying to give you. Sad... Unless you are dying to be ignored, I'd avoid this place. Great burgers though!",0.2244,0.873,0.059,0.069,0.5549999999999999
2017-07-21,4.0,"Stumbled upon this place on a Monday evening after walking around the city for a bit and was the perfect pit stop It's a place that locals go for a pint and bite after work or to catch a sports game (they have tvs everywhere) and was perfect for what we were looking for.  We arrived around 5pm and were just in time for half price apps and beer (which ends at 7pm)! We ordered the wings and nachos and they were both goooood.  The nachos were actually like open faced quesadillas topped with a ton of guac, salsa, and cheese! It was nachos without all the mess- genius! The wings were also bomb! The chilli honey wings had some nice heat plus sweetness and were perfectly crispy.  Last but not least, we each ordered a burger. Yes, we were STARVING! Fiance ordered number 1 (had blue cheese and arugula) and I ordered number 6 (their version of a big Mac). Both were killer good and we were insanely stuffed after!  Meal was super delicious and filling, and overall, great bang for your buck.  Go here for great burgers, great beer and just for a chill time. Would definitely come back!",0.9915,0.702,0.238,0.06,0.5228260869565217
