date,star,text,compound,neutral,positive,negative,subjectivity
2016-04-08,3.0,"UPDATE: APRIL 7, 2016 ----THIS LOCATION HAS CLOSED---- Season's 52, located at 55 E. Grand Avenue, has closed - a sign in the door last night (April 7) asks guests to dine across the street at their sister restaurant , Eddie V's.",0.4588,0.927,0.073,0.0,0.3166666666666667
2016-04-07,5.0,This location is closed as of Monday April 4th. It is no longer open for business at his location.,-0.296,0.891,0.0,0.109,0.3
2016-04-04,4.0,"We went for Easter dinner.  I think,portion size was an issue since most people are used to these giant portions.  I reminded everyone that all meals are under 500'calorirs so your  diets are safe lol I love those little mini desserts",0.872,0.78,0.22,0.0,0.6333333333333334
2016-04-01,5.0,"We came in on Thursday around 5pm and to our surprise they have a discounted bar menu from 5-7pm (i think).  They have 8 appetizers for $5 each.  Well, we got all 8!  I couldn't recommend them enough!  The scallops & shrimp were delish, the meatballs - soooo goood, the lamp chops & duck are excellent and the tuna was gone in 5 seconds (thanks dad!).  I also got the wine flight with 3 samplings and a full pour of your favorite for $15 plus a flatbread.  We got the lobster for $5 extra.  It was really awesome. My mom is lactose intolerant.  Our server Xio couldn't of been more helpful about it.  Every appetizer was made without dairy and the dairy toppings were served on the side for my dad & I to use. We also got the Sea Bass & Filet for our entrees (we were hungry...lol).  Both were on the lactose free menu and soooooooooo freaking good. We are DEFINITELY coming back over and over again.",0.9755,0.803,0.169,0.028,0.5576923076923077
2016-03-21,5.0,"Seasons 52 five star plus!!! Decided to pop into Seasons 52 after work on Friday to check out their menu. The hostess was very friendly sat me near the bar area, as I was looking over the menus a server had offered me water and said someone would be back shortly. Almost 30 mins still no one had even come back to table to see if I was ready to order or if I wanted a drink. After speaking to the hostess again and the manager the customer service was awesome! I wish Yelp had more options other than just a five start over all review. The customer service and manger were a 10 plus for the night. The waitress that took my order was also a delight. She recommended a great wine selection and dishes off the menu. Started out with a crisp glass of Care Bread 13, Chardonnay paired with pipping hot Lump Crab, Roasted Shrimp & Spinach Stuffed Mushrooms under a Parmesan-panko crust. To DIE for! They were absolutely delish plus small enough where you weren't to full for dinner. Moving on to the main dish, another amazing glass of wine that complemented my fish selection perfect. Went with Spy Valley 14, Savignac Blanc paired with the chef selection that was recommend Asian -Glazed  Chilean Sea Bass Entrée over a organic black rice, snow peas, shiitake mushrooms, micro wasabi. One of the best pieces of Sea Bass I've had. The glaze was perfect, the fish was cooked to perfection. Light and slightly crisp on top. Delicious from beginning to end. Was way to full for dessert so I'll have to make it a point to go back!!  Service 10+  Food 10+",0.9932,0.805,0.173,0.022,0.5233870967741936
2016-03-19,5.0,"Chic, nice appetizers, fair selection of wines in the heart of chicago. I really liked this place. I received a promo from this place through amex an year ago, and my first thought was ""too expensive"". I was wrong, they have reasonable prices and the food is great. I'd totally come back.",0.8832,0.706,0.242,0.052,0.6733333333333333
2016-03-17,5.0,"I absolutely love this place!! Went last night for the first time to celebrate a friends birthday.  We ordered from the happy hour menu and we were not disappointed.  The ambience is very nice and it was nice to be able to hear the people that I was with.  The booth was nice a roomy and I just love the look of this place.  I had the shrimp scampi skillet, lollipop lamb chops, and a Hawaiian pineapple cosmo.  Everything was perfect!!  The shrimp were juicy and succulent and not dried out like a lot of places do and my absolute favorite was the lamb chops.  I ordered mine medium well and it was juicy and very tasty with the balsamic glaze.  I look forward to coming back to enjoy more things from the menu.  I highly recommend this place.",0.9928,0.696,0.291,0.013,0.648157894736842
2016-02-27,5.0,"Brought my wife here for her birthday weekend during lunch. The staff was very accommodating, our waitress brought us champagne after we settled in. When it was time for dessert, the waitress brought a candle along with a nice display of a tiered dessert stand of mini dessert shooters. Good food, great service",0.9001,0.793,0.207,0.0,0.6625000000000001
2016-02-27,4.0,"We came in for lunch and loved our food and waitress! I ordered the filet mignon with mashed potatoes and broccolini...yum. Cooked to perfection! Hubby had the Chilean sea bass with black rice. He also loved how the chef prepared the fish.  We ordered a side of Brussels sprouts that were on the lunch special: so good, crunchy bits of bacon and perfectly seasoned. Since it was my birthday weekend hubby mentioned it to the staff when he made reservations and we both got a glass of champagne! Wait staff was so sweet and attentive to us! We got some complimentary dessert shooters that were bomb! I had the cannoli raspberry one and hubby had the chocolate ganache one. Great cozy place! Will be back!",0.9883,0.724,0.254,0.021,0.5772893772893772
2016-02-19,5.0,I was looking for something new and this was the place. Great service and excellent food. If you enjoy sea bass I definitely recommend it.,0.9451,0.526,0.474,0.0,0.6174242424242424
