date,star,text,compound,neutral,positive,negative,subjectivity
2016-03-14,5.0,"**SPRITZBURGER HAS CLOSED 3/13/16. They lost their lease** COST: $20 (Deviled Eggs, Kimchi Burger, Bottomless Sangria) I'm only submitting this review to honor SpritzBurger in the gone too soon heavens because I repeat, SpritzBurger closed yesterday. Yes! It's very unfortunate since I had such a great time the first and only time I ate here. I forgot what they called the kimchi slash pulled pork burger but it was amazing. Pulled pork was mixed into the patty and it was fantastic. Normally the burger would cost $15 plus about $5 for the deviled eggs. However, Tuesday through Thursday they'll have a $20 app + entree + UNLIMITED SANGRIA.  I'll miss you Spritz. Hopefully the owners find it in their heart to open this place elsewhere or work on a new venture! I'll follow them!",0.9352,0.771,0.156,0.073,0.6027056277056279
2016-02-15,2.0,"OK. So this is how last Sunday went. I was craving a good brunch and convinced my husband to take me to one (he didn't have an appetite big enough for a brunch). The options were between SpritzBurger and one other place, because we were really short on time. I've been here once before and didn't enjoy the food at all, but Thomas, the forgiving man that he is, suggested that we should to give them another shot. And so we did.  I had the Crabby Bennie, and he opted for a burger. His was better than mine, but not great. Our food lacked seasoning, I kept shake-shake-shaking the shaker! And there was waaaaaaaaay too much Hollandaise on my Benedict. I had only one and just the crab off the other. Thomas' fries weren't seasoned at all.  The two stars are for both our visits to the place. I don't remember what we ordered the last time, but I know we had burgers and they were a major disappointment.",0.2625,0.861,0.078,0.061,0.4107843137254902
2016-02-10,5.0,"This review is long overdue, but just moved out of the city and this is a place I'm going to miss going to.  We had some memorable meals at the original Hearty Boys restaurant, and weren't quite sure what to expect when they changed the concept, but Spritz Burger has been even more popular with us. The goal of making a ""neighborhood spot for a Wednesday night"" has been met in spades. The burgers never disappoint, but I love the Chick-Fil-Gay sandwich the most. My wife loves the grilled caesar salad. The Mac 'n Cheeto is every bit as good as you hope. Service is always great - shout out to Oliver specifically as he's our usual server and never misses a thing.  Drink menu is always creative and once my wife became pregnant, the nonalcholic options were super helpful and made her feel less left out.  The only bad experience we had was with a hostess that refused to seat us outside (oh yeah, the patio is awesome for those great Chicago summer nights) despite us having called ahead by 30 minutes. But the restaurant fixed it right away on that visit.",0.9928,0.691,0.239,0.069,0.590200138026225
2016-01-26,3.0,"I hear brunch is great but never been. I tried this plane twice both times I was underwhelmed. The burgers are decent, nothing special. A few blocks south on Broadway you can find much better burgers. Don't know much about the rest of the menu",0.6717,0.766,0.174,0.06,0.46468253968253964
2016-01-24,4.0,"We had dinner there last night with our son in law who has eaten there several times and enjoys their burgers. When our server heard that I eat vegan she immediately went to the kitchen to find out what they served that I could eat. She suggested the kale salad, without the cheese and bacon, and brought us some pickled veggies to start. Yum. They had a good selection of beers. I had the Zombie. Again, yum. And at the end of our meal she brought us complementary drinks. Obviously not the best place to eat as a vegan because of the limited menu for compassionate eaters, but I sure felt welcome and they really tried to make our meal special. Which is all I really want when I go out to eat with others who don't eat vegan. Thank you for a fun evening Spritz!",0.9519,0.81,0.15,0.04,0.3808201058201059
2016-01-19,3.0,"My wife and I went to Spritz burger and we were a little underwhelmed. If your establishment is solely on burgers, your burgers better be good. Unfortunately I thought the burgers at Spritz were a resounding meh.  We ordered the Chick-Fil-Gay (clever) and Amish burger and both weren't memorable. Even the fries and tater tots as sides were forgettable. On top of the that the desert was just ok. (Sensing a trend).  It was a lovely evening out so we got to take advantage of their patio, but give the mediocre food and the slow service, it is very unlikely that I will be back.",0.714,0.868,0.104,0.027,0.6238095238095239
2016-01-05,2.0,"I ordered the tilapia & vegetable kabobs. The description says ""skewered grilled tilapia & vegetables, spicy fruit marmalade, curried jasmine rice"". While the fish was properly cooked (not too squishy, not too firm), the fruit marmalade had no detectable spiciness whatsoever, and the ""curried jasmine rice"" was not curried at all, but simply a mound of flavorless white rice. The meal had the flavor and sophistication of something I could cook myself (which is to say it was bland and simple). This was my second mediocre meal at Spritz Burger (which used to be fantastic when it was called Hardy Boys). With all the great dining options in Chicago, I won't be going back.",0.9382,0.869,0.118,0.013,0.4270562770562771
2015-12-06,1.0,"Went here for brunch.  A disappointing dining experience, here's why: 1) the food was mediocre at best  (e.g., the chilaquiles had no chihuahua cheese, soggy tortilla chips, and little discernible taste other than the pound of red onions that undoubtedly went into this dish as a filler - really guys?); 2) the ambiance was LOUD and unsettling (tacky Def Leppard was cranked far too loud for the crammed dining area); and 3) the service was lacking (our waitress was sweet, but it seemed like she was on her own, despite numerous extra ""staff"" that seemed to be just hanging around and socializing with each other). I hope you guys can get it together.",0.8402,0.87,0.099,0.031,0.5625
2015-12-04,3.0,"I'd give this cute spot a 3.5 if I could. The decor is fun and the service was rock solid. Maybe because it has such a hip feel, I had really high expectations. The burger and fried chicken sandwiches were both tasty and my husband liked the options for innovative pop i.e. spritzes but for the overall price we probably won't rush back. That said, I don't think you'll be disappointed and we are glad we stopped in.",0.6187,0.764,0.159,0.076,0.57
2015-11-23,3.0,"I finally was able to visit for dinner. I got the plain burger to taste it in it's pure form. The burger was good and the tater tots were also crispy and not greasy. There was a big, juicy tomato slice on it that was bigger than the bun, and I liked it a lot. I also got the burger pink, and it was perfectly cooked.   My friend got the bleu cheese burger with bacon, which was my 2nd choice. She let me have a taste, and it was an assault of salt in my mouth. The flavors were all there, and good, but the salt ruined it a bit.  Service was what you'd typically expect. Ambiance is good. I'd come back here for a burger.",0.7003,0.839,0.11,0.05,0.49880952380952387
