date,star,text,compound,neutral,positive,negative,subjectivity
2016-07-21,5.0,"Fabulous food, excellent service, atmosphere so relaxing.",0.9045,0.263,0.737,0.0,1.0
2016-07-19,5.0,"Adorable patio, really great wine, and good food. Had shrimp pasta special that was really tasty with good portions of shrimp. Also had the shrimp and scallops and very tasty. Definitely will be going back. Good service as well and allowed my dog on the patio and brought her water :)",0.9778,0.608,0.392,0.0,0.5564935064935065
2016-07-12,5.0,"Always have a great experience here - good bartenders, great food across the board, you can always get a table or seat at the bar and they are really friendly.  I like the quiet location, that may not be right for everyone but it's very close to my office so I love it.  The patio really cannot be beat, it's awesome.  Plus they have an outdoor bar, so you can choose table or bar!",0.9768,0.715,0.285,0.0,0.5569047619047619
2016-06-18,4.0,"Currently walking home after a very lovely evening and meal at ""Trat Izzy."" Hugo, our waiter, was a peach. From the wine he poured to the ravs he served, nothing was less than fantastic. Also the atmosphere outside is as romantic as Tom Hank's witty charm in You've Got Mail. The reason for four stars and not five is that we weren't offered freshly ground parm cheese. Other than that I can't wait to go back and ask for my man Hugo and try some more delicious dishes .",0.9502,0.826,0.174,0.0,0.5222222222222223
2016-06-15,1.0,"Some co-workers and I stopped in because out usual spot down the street has a patio that was under construction. It had a beautiful patio and it was just too nice out to sit inside. We were greeted by the owner or manager or whoever he is talking on his phone. He continued to stay on his phone while he grabbed menus and seated us. Our server came over and we soon learned they were out of all the bottles of wine that we wanted. We settled on a bottle of Rose. We immediately  put in our food order since the bottle took some time to get to us. 2 simple pasta dishes and a salad. Halfway through the bottle, THEN they decide to bring out the bucket with ice...a little too late? It took a little longer than it should have for our food to come out, but we had drinks so we were fine. The food came out and it was delicious! No complaints at all about the food. We ordered an extra glass of wine as we were winding down our meals since we had to get back to work soon. After waiting and waiting and WAITING for our server to come back, we had to literally SHOUT over to him for a box and our check. We shouted like 3 times before he actually paid any attention to us. Mind you, this was NOT a busy time. I think there were maybe 2 tables inside and two outside. He had another server bring out our check and since the service wasn't exactly quick, we had our cards and ready to just split it 3 ways evenly. We waited another 20 minutes before I just walked into the door and stood there as the owner and two servers stood there running our cards. Once they realized I was standing there he explained to me that because we had 3 cards it took some time. I explained that I was a server and it shouldn't really take that long to swipe cards. No apology, no offer for a drink, nothing. We then signed out tabs and quickly left. Do not go here unless you have 3 hours to sit around and maybe see your server 2 times.",0.804,0.908,0.057,0.035,0.408040027605245
2016-06-15,1.0,"I went to this restaurant last night the servers were great and the manager was incredible. But the owner don't even get me started, he was so unprofessional he had glass after glass of liquor he was belligerent rude he was swearing racial profanities at the steph and some other customers. He came to our table and kind of stumbled over he started talking about these African Americans who were at the bar calling them n-words. The food was horrible and it took forever I would never tell my worst enemy to eat at this place this place should be blacklisted and shut down.",-0.8337,0.801,0.062,0.137,0.5880555555555556
2016-06-01,5.0,"Delicious, authentic Italian food. BEST patio in the area! Perfect for a meal with friends, coworkers or parents in town. Michael, the owner, has treated us like family every visit. Could come here every night.",0.9597,0.614,0.386,0.0,0.61
2016-05-07,1.0,"DO NOT GO HERE - THEY ARE THIEVES. Long story short - there were four of us at dinner, and the waiter took the check back to swipe four credit cards. He swiped and charged four, but brought back three. After informing him that mine was missing, he could not care less. He maybe took a lap around the restaurant and kept saying, ""I don't know I don't know"" He also said it was my fault that from the time he swiped my card to the time he brought it to the table, it somehow went missing. I spoke with his manager, and he could not care less. He said he will deal with it Monday. He also told me it's not a big deal and to just cancel my card. He sat smoking his cig by the bar while I was wandering around looking for my all of a sudden missing credit card. He would not comp my meal - he said, ""Well you ate...""  Anyway, after additional people were involved and the situation was getting more so out of hand, SOMEHOW MY CARD MIRACULOUSLY SHOWED UP. The waiter was screaming at me to call the police on him, and the manager was like shaking his hands in my face. I can't fully describe what these people were doing or saying on this public forum, but I would highly suggest you don't go here unless you want your belongings stolen by the staff.",-0.9498,0.805,0.065,0.131,0.19214285714285717
2016-05-04,4.0,"Good pasta, great service and a cool ambiance in the Loop. Perfect for business dinners or to grab a bite before taking the train home, Trattoria Isabella is the perfect restaurant. The wine selection was good, our server was exceptional and the food was better than average (tiramisu & Linguini Calabrese were great; lobster ravioli didn't have enough lobster and too much sauce). The restaurant also needs some work (the paint doesn't go all the way up to the season, the floor is missing some tiles) ... with a little love, this place could be dynamite. it is perfect now for business meetings given the reasonable prices and location but if you are looking for a fancy & expensive special night, I would look for something else.",0.9657,0.789,0.199,0.012,0.6300751879699247
2016-04-19,5.0,"I have been at Isabella many times and have never come away disappointed. The food has always been first rate, whether it was the various pasta dishes or the scrumptious Chicken Vesuvio. The pizza is a great option as well. The crust is always nicely crisp without being burnt. Michael, the owner, works hard to insure that your experience is top shelf. A solid wine list also adds to the wonderful times had by his loyal customers. The topper is the incredible outdoor space. While not possessing a fantastic view, it allows you to dine outdoors without bus fumes or annoying sidewalk gawkers. Truly an undiscovered gem. All of this with free parking...hard to say no.",0.9683,0.698,0.234,0.067,0.6671875
2016-04-10,5.0,Super nice staff! The atmosphere is Frankie S and old Italian. The food is average but the staff makes this place a 5 star place!,0.6038,0.802,0.198,0.0,0.4533333333333333
2016-03-19,4.0,"So here is why I go here.  1) free and easy parking.  2) always has a table  3) good portions 4) Decent food.  My favorite is the chicken marsala with a side of penne bolognese.  $23 for both,  comes with broccoli and asparagus,  and I usually can't finish it.  The service is hit or miss,  but they try and for me this place consistently delivers when I am hungry and I just need a decent meal or am in a bit of a rush.",0.6956,0.882,0.101,0.016,0.6685185185185185
2016-02-08,1.0,Love this place for a quick bite (we live next door).  They definitely improved their menu from when they just started (back then everything was greasy as can be).  They just need to have someone professional come in and assess their bar speaker system.  Everything sounds tinny and horrible when you sit in the booths. I've noticed it degrade the last few times I've been there over last 6 months. It is worth having someone come in and look at this professionally as this destroys an otherwise perfect experience. And please no Luther Vandross. Stick to Sinatra or something more fun.,0.8245,0.719,0.176,0.105,0.3333333333333334
2016-01-26,1.0,"This was the seventh visit here and the first bad experience. The Calamari Fritti appetizer was as ordered and delicious as always. For my lunch I ordered the Pollo alla Parmigiana Panini (sandwich) that is served with a side of french fries. When the meal came, I was brought chicken parmesan and a huge pile of spaghetti as the side, not what I ordered. When the server was near I called him over and pointed out the discrepancy. He was certain that what was brought is what I ordered, even mentioning that's what I was pointing at on the menu as I ordered. After a couple back and forths, he left to get a menu and prove me wrong. As he was showing me what I actually ordered, he realized the mistake was his and apologized. A manager overheard, came by the table, and also apologized. But the apology failed to turn this huge entrée into the simple panini I ordered. After a few moments and realization I was keeping this, I requested a to go box. The server and manager both returned and asked ""You didn't like this?"" (I had taken a few bites and, no, I didn't like it.) I said it isn't what I ordered, would like a box and the check. To add insult to injury, I was charged for the entrée, a menu item that is $5 more than the panini I ordered. Until this visit, the food has always been great and service attentive. But when a problem arises, there is no customer service to ensure things are made right.",-0.8667,0.793,0.084,0.123,0.4887755102040816
2015-11-02,1.0,"Ordered delivery via Grubhub.  Including tip spent about $77.  The meal began fine until I bit into something hard; I had ordered eggplant parmigiana.  At first I thought it was some kind of bone but was positively horrified to find out that it was a thin, small piece of metal almost like a wire.  I called Grub hub immediately who contact in the restaurant on my behalf and said that the restaurant ""apologized.""  Grubhub offered me $15 toward my next purchase but the restaurant did nothing to correct the mistake.  I have three very small children and would not feed them the rest of this meal.  The metal was definitely small enough that it could have been accidentally ingested and I guess I'm just lucky I found it.  Although it hurt somewhat to bite into it.   Poor customer service.  I understand that accidents and mishaps may happen but what kind of restaurant does not fix the mistake by making the meal complimentary?  This was a potentially dangerous situation to my kids.  Clearly I don't recommend eating here.",-0.8835,0.721,0.114,0.165,0.5392845117845119
2015-10-10,1.0,Awful awful awful service took us over 90 minutes to get food.  Would never go to this place again of you paid me to.  Restaurant was half empty and still terrible service!,-0.9215,0.655,0.0,0.345,0.7777777777777777
