date,star,text,compound,neutral,positive,negative,subjectivity
2016-08-23,2.0,"This place is cheap. It is disgustingly dirty, even for a dive bar. The bathrooms might be the grossest, smelliest rooms on all of Milwaukee Avenue. There are usually a good amount of very intoxicated people at this bar, at any time of day. These people can be very loud and rude, although most stay to themselves. Sometimes there are very sketchy people at this bar, and as some reviews have said, they might be gang members. The bartenders are not very nice or attentive. The hipster die-hards go here on the weekends.  They do have TVs for sports games, though, and dirt cheap beer, so it's ok once in a while, but definitely will not miss this place when it closes, even if it's taken over by an overpriced ramen joint.",-0.2849,0.85,0.064,0.086,0.6284023668639053
2016-04-07,4.0,"Amazing deals on beer. I mean AMAZING. $1 for Sapporo drafts on Mondays? Sounds like paradise...anyways, a couple of nice TVs, decent sound system, jukebox, pool table and a comfortable crowd of peeps? Can't go wrong! And what's so special about the Two Way Lounge? There are TWO ways in and out the bar! Wow twice the fun! But really, another great addition to Milwaukee Ave's barnificent mile.",0.989,0.605,0.395,0.0,0.6904304029304029
2015-09-18,5.0,"Baby baby Two Way As a poor college student just looking to chill and get cheap drinks ding ding ding this is the place to go. Monday and Thursday are dollar draft beer days so that's when you'll see me there. Let's see, I've come here alone, with my friends, with my boss, I've even brought my mother. Bringing the mom was stretching it, but hey.. she had a good time defeating the pool table.  Most of the people are everyday regulars and have been going for years.. hey Alfredo, Mike, Rick, Gloria and others! B and Amanda are the bartenders, who are completely awesome and respected. Shawn is the...bouncer? He's a sweet guy, you'll see him dozin by the door with a do-rag on. The Miller's own the place, they come into my place of work, Thread's etc, and buy funny things probably once a week. We do a lot of trading money back and forth. Sometimes they bring Shawn along with them.  It's really as unpretentious as it gets. Sometimes it's rowdy in there and can be filled with drama but mostly everyone's just trying to get their drink on. Besides, when there is drama it's entertaining... unless you're involved. Which just might happen, it's an unpredictable place! There's one pool table, a jukebox and plenty of seating. There are literally two ways of entrance, the name is just too clever Miller's. Also, I want the painting in the girls bathroom. I laugh every time I go in there.  If you want to dance and meet a soul mate, it's not the place for you but if you want to get wasted and have some good stories the next day join the party.  Just make sure to tip Amanda and Ms B! P.s. it's cash only",0.9914,0.809,0.157,0.034,0.6078282828282828
2015-08-04,1.0,"Trashy staff, similar patrons. I was already IDed at the door, but I was followed by another staff member and hassled. I was told I then have to pay a cover for giving him a hard time. I will not come here again.",0.2263,0.84,0.079,0.081,0.4708333333333333
2015-07-08,3.0,"It's a dive, but everyone is nice and Amanda will do her best to get your order, even when she's the only one working with a full bar. It's cash only but they have an ATM, or if you're a citi person a 7-11 is across the street.",0.8885,0.816,0.184,0.0,0.7699999999999999
2015-01-30,5.0,"What can I say, I love dive bars. This is as authentic as it gets. I almost hate categorizing this place as a dive bar. it's just the 2 way. It's in it's own category.  You won't meet the people that frequent the 2 way anywhere but the 2 way. It's an anthropological experience.  They have your cheap beer, your dirty bathrooms, your jukebox, your pool table. If you're looking to escape the bullshit big city hipster juice bar monotony, come to the 2 way and cleanse yourself. Baptize yourself in the dirty draft old style. Drown your sorrows in shot after shot of malort. Let your mind take a vacation and let your body settle into a barstool at the 2 way. This is as good as it gets, my friends.",-0.917,0.754,0.086,0.16,0.6136363636363636
2014-12-07,5.0,"Came here last night with my roommate and my friend (""friend"" used loosely here, although it has been fun recently). The lighting in the bathroom is not flattering but the mirror you look at when you are ordering your drink is wonderful and the reason I really just opened myself up that night. Great time. Nice bartenders and excellent jukebox. Might be my favorite dive in chicago.",0.9821,0.665,0.318,0.017,0.5735897435897436
2014-07-20,3.0,A Shady Dive with a Loud jukebox and Cheap beer. This bar is not faking the sketch.,0.3252,0.857,0.143,0.0,0.7083333333333334
2014-06-12,3.0,Dive Bar. Weird crowd. Good things never happen here.,0.296,0.603,0.25,0.147,0.8
2014-03-06,5.0,"It's rare these days, that when a place is labeled a Dive Bar, it is in reality a dive bar; or at least one not specifically designed to be a dive bar. But Two Way is definitely a dive bar--a friendly one at that. With dirt cheap beer, the bartender knows how to keep 'em coming. Moreover, it's awesomely dated and dilapidated decor is not purposefully designed; it literally is just dated and dilapidated. To echo a review below, this place can ""out-dive"" some of you who love dive bars. But you should definitely give it a try.",0.886,0.85,0.126,0.024,0.6375
