date,star,text,compound,neutral,positive,negative,subjectivity
2015-12-20,5.0,"The name is play on Led Zeppelin's ""Dazed and Confused"" for those who are not old. Somewhat expensive but not beyond what I pay at Starbucks. What's different is where it is right off the Damon CTA stop and smack dab in the middle of one of the most interesting areas of Chicago, in my opinion. I come here to people watch as much as to get my carb fix. They have a walk-up window from the sidewalk so you don't even have to go into the place to get your donuts which is convenient (I've taken a picture of this odd idea that works quite well). The guy who opened the sliding window to serve me was really helpful in explaining some of the flavors even though it was a frigid day and I only bought one. Good sign of good people running the place. I loved the donut but I love most donuts. Stan's has a bigger selection (directly across the street) so if you are a pastry-holic you will want to go there, but this is a rockin's place that I gravitate to every time I am in the area.",0.9759,0.804,0.152,0.044,0.5326530612244899
2015-12-05,1.0,$$ expensive one doughnut and cup coffee 8 dllrs Nice colors in the paper cup but cold coffe Never go back Across the street is other opcion,0.2263,0.929,0.071,0.0,0.615
2015-11-29,3.0,"I came here around 11pm on a Friday night. I think it's great that they have extended hours on the weekends for your random late night donut cravings.  The selection isn't as big as Stan's, which may help if you're kind of indecisive. I had the pumpkin spice donut, which was one of their specialty flavors for the fall.I liked how the dough was really fluffy, but the pumpkin flavor was very underwhelming for me. The addition of pumpkin seeds on top didn't do much to help either.  I really wanted to try their red velvet donut, but it was sold out when I went. Until then, I think I'll stick to Stan's across the street,",0.8557,0.883,0.103,0.014,0.43750000000000006
2015-11-21,4.0,"So about three donuts here will get you about a dozen at some unnamed donut chain, but these are in a totally different league and totally worth the moola. I stopped by on a quest for an apple fritter, which incidentally eluded me yet again on my visit here on a Sunday afternoon as they were sold out of the darn things.  They have a walk-up window from the sidewalk so you don't even have to go into the place to get your donuts!  Convenient.  The cashier was really helpful in explaining some of the flavors, and they were really nice. I was able to snag a Lemon donut (it was called something else) and a Creme Brulee donut.  The lemon was basically a lemon glaze over a cake donut, so deliciously sweet and tart at the same time.  A really interesting balance.  I kind of wish the cake was a little bit lemony though, without the glaze it was just a cake donut.  Although, a really good cake donut.  The Creme Brulee I didn't get to eat since I gave it away, but the recipient did say it was an excellent donut.  I will have to go back and try for myself! This particular location is really interesting and you should be prepared to do some people-watching.  Passed through what looked like some either heavy rock or metal bands that were unloading gear (on a Sunday afternoon??) as well as some people lined up outside the place I think as part of a food tour (they had a guide and were trying the donuts).  It's a really eclectic area to say the least.",0.9942,0.818,0.174,0.008,0.46228070175438596
2015-11-14,2.0,"Good donuts, but come on people! How do they get away with charging $40/dozen?! They're donuts.",0.3682,0.855,0.145,0.0,0.6000000000000001
2015-10-25,3.0,"I did try the Stan's donut which is across the street before and really like it but they always have long line so I gave Glazed and infused a try. I had the red velvet which taste more like a cake texture and pretty sweet so not impressed much. The cream cheese frosting is not having rich cream cheese taste as I expect. The maple bacon long john is very delicious. It's the perfect combination of sweet and salty and not so greasy with having bacon on top as I was imagine. It goes along well with the maple taste and glaze donut is nice and fluffy. If I have time, I would prefer to get on the line at Stan's but for a decent donut with quick nice service, the glazed and infused is pretty good choice. They have many different locations throughout Chicago so that's another plus.",0.9919,0.687,0.271,0.042,0.631159420289855
2015-09-13,5.0,"A fun arrangement of donuts to pick from, tried the red velvet and raised sugar. Red velvet was incredibly sweet and rich. The sugar was a delicious donut, almost a cross between yeast and cake. Amazing.",0.9581,0.609,0.391,0.0,0.4375
2015-09-10,3.0,"Lost a couple of stars because their selection is sometimes mehhh on top of tasting like yesterday's doughnuts. If they're going to be selling til late, they should have a small fresh batch for later in the day because whatever you get after 9 p.m. is tough and dry. Their Sparrow blend didn't blow me out of the water either. Oh Glazed, I so want to love you! I shall try you again and see if you deserve the stars back or I do convert to Stan's only.",0.8518,0.816,0.143,0.041,0.5033333333333333
2015-09-01,3.0,"I was here on a couple occasions and so far they have been hit or miss.  I had some chocolate donut that was fantastic. The pistachio was actually inedible since it had some kind of lemon citrus glaze that just didn't sit well. I would rule them out, but I have had better luck with Firecakes and The Donut Vault.",0.8571,0.795,0.161,0.043,0.6799999999999999
2015-08-25,4.0,Absolutely loved their donuts! I was craving them for a while and I was veeh pleased in the end. I had the bacon donut and the bacon was delicious!will defiantly bw coming back soon.,0.8261,0.785,0.215,0.0,0.6
