date,star,text,compound,neutral,positive,negative,subjectivity
2015-06-14,4.0,Went here to start our groups TBox experience last year and the service was great and beer kept flowing! easy place to get to and find bc of its unique name.,0.807,0.799,0.201,0.0,0.6625
2015-06-08,5.0,"This place is fun to visit as an out of towner.  The drinks are delicious, the staff is super friendly, and the food is delicious.  The bar has two levels.  Downstairs is where you will often kind Karaoke or a comedy show.    The next time I blow through Chicago, this place is definitely on my list!",0.9792,0.633,0.367,0.0,0.5958333333333333
2015-06-04,3.0,"went here a few weeks ago with the homies & enjoyed ourselves. the food was not really outstanding to me nor did they have the type of liquor i like but i really like the karaoke area downstairs, hence the 3 stars. they didnt even have the food item that 1 of my friends ordered so she was disappointed bout that. i tried their drinks from their menu but not impressed. i just wanted flavored ciroc or effen and they didnt have either!! wtf!??!?! i really like when restaurants have the open windows so that u can still feel like ur outside even though ur inside but sometimes the people walkin around can be rude & intrusive towards the people eatin. overall id go back for the entertainment downstairs but not for their food or drink selection.",0.8447,0.755,0.152,0.093,0.4596153846153846
2015-05-23,2.0,"Went here for dinner to try it out since we passed by it so often. First impressions were great, seemed like a cool place inside, seated right away at a cool table. Drinks were out in no time, and the old fashioned I got was really great - that's the only reason this is a 2 star instead of a 1. To be fair, we should've been warned by the kitschy cliche mustaches that adorned everything... Waitress took a long time to come and take our food orders, and mine came out wrong even though she had read it back correctly. Supposed to be a medium-cooked plain cheeseburger, came out well done and coated in some kind of gross mayo. I asked the person who brought it out for some ketchup to hide the taste since I couldn't scrape it off entirely, and he promised to get it right away - that was the last we ever saw of him. I waited for a while, as my girlfriend finished a third of her meal, and finally managed to wave down another server - for being only half full, it seemed like no one was really paying attention. The hostess was on her phone the entire time actually - how unprofessional is that! You come into the restaurant and she's leaning at the stand and visibly scrolling on Facebook or whatever, while I'm ten feet away and waving for service. Wow. I finally flagged someone down and demanded just one little bowl of ketchup already so I could eat, and our waitress brought it back, noticed the plate where I had scraped everything off because she got my order wrong, didn't seem to care, and walked away immediately. Ok... After all that, biting into it and finding out it was thoroughly well done wasn't so bad because I was pretty resigned to having a bad experience here anyway. The waitress never even seemed to care. Didn't even apologize or offer to correct it. Wouldn't have been a big deal if it was just, like, a tomato that I could pick off, but this gross mayo sauce was so soaked into the whole burger and bun that I couldn't even finish it. I left with a disgusting taste in my mouth and I'm never coming back. There are plenty of other options just steps away - don't waste your time with this lackluster place.",0.2904,0.835,0.088,0.077,0.47568150448585234
2015-05-17,4.0,"Awesome!!!! I had a wonderful time. The sliders were delicious. The spicy chicken wings were wonderful. The karaoke space was wonderful. My only complaint was karaoke selection was not was as vast as I was told. The DJ was filling in for the regular DJ. So, my party kept asking for artists and was told that he couldn't find the song. We asked whether he could download the requested song. But, he said that he was filling in and didn't know how. They didn't have Proud Mary by Ike and Tina Turner???Also, he seemed to have lost control over the stage at times which could be attributed to lack of experience. Overall, we had a great time!!!",0.9534,0.758,0.174,0.069,0.7674556213017751
2015-04-15,4.0,"Stopped in here because from the outside it got my attention, but when I went inside I was impressed.  I stopped in for a drink and wind up having another, plus a shot.  The bartender was real cool and well informed about the beer selections.  Looked over the menu and my mouth was watering at what they had on it.  I will be back and they also have Karaoke so that can be a fun night out on the weekend.",0.9081,0.788,0.167,0.045,0.4450000000000001
2015-03-29,2.0,The owners need to be sure they are staffed to handle a Sunday Brunch crowd.  Two of us went in at noon and the wait for a table was about 30 minutes so we decided to sit at the bar.  We sat there for over 15 minutes and the bartenders did not acknowledge us or attempt to wait on us.  We have eaten there in the past with no issues however the service seems to be suffering.,-0.4588,0.905,0.029,0.067,0.5694444444444444
2015-03-22,2.0,The ambiance was amazing but the service was terrible. Just went there with a few friends to grab some drinks and it took them a whole hour to get us what we ordered.,0.34,0.724,0.169,0.107,0.6
2015-03-22,2.0,"Wonderful atmosphere, the live music was amazing! Although there were some aspects of the restaurant that didn't fulfill my expectations. Mind you we were the FIRST to arrive and the only ones in the restaurant for 10 minutes. The service took longer than expected, there were 3 of our waters that had particles in them, it took about 30 minutes to get one pint of beer, and the food took about 45 minutes to receive. This needs improvement!",0.865,0.844,0.128,0.028,0.688888888888889
2015-03-18,5.0,"Brunch is definitely the best time to head here, Bottomless mimosas $13? STEAL! and no need to waive your waiter down, if you're party is big enough they bring the bottle to you. Crab cake Benedict a personal fave but don't skip the chicken and waffles also a crowd pleaser.  All around I'll be back (I've been back about 3 times now)",0.7921,0.763,0.177,0.06,0.32654320987654323
