date,star,text,compound,neutral,positive,negative,subjectivity
2017-08-24,1.0,"Overrated and expensive. Small Fry is better. The burgers are good for the most part. Don't order lettuce on your burger, if you do you are subjected  to a huge chunk of thick dry lettuce leaves with the core still attached.  The fries are absolutely dreadful: fried within an inch of their lives... tasteless unseasoned sticks. Although I think sticks might have been tastier to eat.  Milkshakes are good as the drinks selection. The music is way too loud... the curse of overly confident average restaurants that sell fast food.",0.7584,0.795,0.139,0.066,0.6538888888888889
2017-08-23,5.0,"Simple burgers, but so damn good! Double cheeseburger, good meat/cheese to bread ratio... I was an instant fan!  The line was very long but it moves very fast and food comes out fast so don't let the line discourage you!",0.6026,0.62,0.226,0.154,0.5154761904761904
2017-08-23,4.0,"A tasty burger, great for the 20 something millennial crowd, too hip for my taste but I like the concept.",0.7003,0.734,0.266,0.0,0.75
2017-08-23,5.0,"More crisp, more meat focused, and less mushy than Au Cheval (not to mention shorter waits!)",0.4889,0.826,0.174,0.0,0.37083333333333335
2017-08-22,4.0,"My friend and I happened upon Small Cheval while wandering from our Airbnb in Bucktown on our first day in Chicago. I'd heard great things about the original Au Cheval and was excited to try the famed burger with less hassle (especially since there were few restaurant options on the stretch of Milwaukee Ave we'd walked). The inside is simple and cute, and the menu is equally minimal. The order line and the food service were both quick, and our burgers, fries, and shakes arrived quickly. The burger, of course, was great--hearty, plenty of cheese sauce, topped with nice pickles and tomatoes. The shake was rich AF and perfect to wash it down with. The fries weren't quite as crispy as I like, but still good. I'm curious to see how it would all stack up to the original! We also wanted to take advantage of their cheap shots, but alas it was too early in the day. Next time!",0.963,0.813,0.164,0.023,0.6040013227513228
2017-08-22,5.0,"I love this place! The beer options are great and the burger is delicious, It doesn't sit to heavy and its the perfect portion of meat and cheese. My only recommendation would be a slight improvement with the fries. Otherwise this still is one of the best burger spot in Chicago!",0.9763,0.647,0.353,0.0,0.6645833333333333
2017-08-19,5.0,"Great burger,  but suggest not to get the bacon here.  It isn't very crispy.  The bacon at Au Cheval and Bavette's will change your life, but unfortunately it's not the same here.",-0.1406,0.842,0.072,0.087,0.54375
2017-08-18,4.0,"I can't claim to be a burger connoisseur as I eat them once in a blue moon, but I thought Small Cheval was good. I liked the no frills experience and communal seating in the main dining area. The burger was probably a little overpriced for what you get.",0.6956,0.79,0.153,0.057,0.45555555555555555
2017-08-17,5.0,I'm a huge fan of their burgers and fries. The shakes are not so great though so I would say skip out on those. One of the perks is they have super cute and spacey outdoor seating for those beautiful weather days.,0.8823,0.635,0.288,0.077,0.8633333333333333
2017-08-16,4.0,"A nice option for those of us who don't have the patience to wait around at Au Cheval.  Located conveniently in Wicker Park with street parking around, Small Cheval is easy to spot with their large, iconic design on the exterior. We arrived around 615 PM on a Saturday night and there was a line out the door, though we expected as much.  We waited for about 30 minutes and then got to the front and ordered from their simple menu: cheeseburger or hamburger (""housestyle"" with dijionnaise, pickles, and onions), fries, and a large cocktail menu to order from... or in our case, milkshakes (vanilla or chocolate available, and you can add a shot of a number of liquors into it). There was some seating on the inside, though it was dark and not particularly cozy. Everyone was headed to the large outdoor patio and we followed suit. We found a spot at one of the many long tables available. The food came out relatively fast - within 10-15 minutes. Everything was as delicious as you'd expect with that Cheval name attached to the place!",0.8748,0.94,0.06,0.0,0.5236772486772487
2017-08-14,5.0,"I haven't been to Au Cheval, but this was one of the best burgers I've had. It takes a little while for the line to move, but there's plenty of space out back for seating. They have a cool selection of beers, shakes, etc. It's all about the Cheeseburger cheeseburger.",0.8674,0.837,0.163,0.0,0.36250000000000004
2017-08-14,5.0,"Get the house style cheeseburger! It's savory and delicious. You have to respect a place that focuses on doing one thing very, very well.",0.8678,0.672,0.328,0.0,0.6950000000000001
2017-08-14,4.0,"I dropped by here on my way home from the airport. At around 9:30 pm on Monday, it was pleasantly empty. The lady at the front desk taking orders was very friendly. I had been to Au Cheval before. The burger here is basically the exact same burger (minus the egg option) but in a fast food fashion.  I like their burgers very much, but I also do not think they're the best burgers out there (see my review of Au Cheval). My belief that this place is a little hyped remains unchanged.  Nonetheless, the food/drink hit the spot for me. I had the cheeseburger plus bacon, the fries, and a cup of Founders. After a week of traveling, nothing screams ""Chicago!!"" in your ears like a good old American cheeseburger that you can get at Cheval. I sat outside in the patio enjoying the warm summer night, sipping my beer and munching on my fries/burger. I loved every moment of it. God bless Chicago, good to be back.",0.993,0.752,0.241,0.007,0.37416666666666665
2017-08-14,4.0,"Never got to try Au Cheval (due to long lines, but will attempt to at some point) so this review won't be a comparison between the two. I knew this place was popular so I wasn't at all surprised with the $10 cheeseburger--it came out pretty tasty, but I don't know if it was really worth $10. I liked the chewy bun of the burger though! There was a nice patio area for people to share tables and eat under cute lights, with the cta train passing every now and then. The line also moves really efficiently so I wouldn't stress if you see a lot of people trailing out of the restaurant. Overall, the burgers are good and worth a try, but it's lil overhyped.",0.9904,0.716,0.271,0.014,0.5673076923076923
