date,star,text,compound,neutral,positive,negative,subjectivity
2015-03-14,4.0,I have been wanting to come here for months but never found the time to do it until today.  When I walked in I was greeted by a guy behind the counter. He was really nice and told me about each loaf. He also offered me a sample to try. They all looked so good and I couldn't make up my mind. The guy suggested that I get one cupcake and a loafie. Which I thought was a great idea since I couldn't make a choice on one. So I got the Omega-3 cupcake and the Roma loafie. It took them about 5min to warm up and was ready to eat. I will definitely go back to try more.,0.9812,0.786,0.214,0.0,0.58125
2014-12-17,3.0,"My friend and I passed this restaurant on the way to Del Seoul, and it looked so cute that we had to get one on the way back to the car.  The people whom work here are soo friendly, and they also had plenty of sample for us to try.  We tried the loaf a roma, and the garlic mashed potatoes.  The loaf of roma didn't really taste particularly special, so I guess the novelty is that they are in cupcake form.  We purchased the fuego loaf, which is a spicy meat on top and the garlic mashed potatoes on the bottom.  This loaf also came with a side of gravy.  I was kind of disappointed when I got home because there was nothing fuego about the fuego loaf, not spicy at all.  They could have amped up the spice quite a bit.  Plus it was also kind of pricey $8, for a not so tasty piece of meat with mashed potatoes.  They do have online ordering now though!! Which would be great if you wanted to treat your guests to something really cute and edible that's not a sweet.",0.967,0.84,0.131,0.029,0.643452380952381
2014-11-09,5.0,"Great place!  They were very accommodating to delivering a surprise lunch to my boyfriend, even though we lived a bit out of their delivery area.  The delivery was warm, prompt, and a huge hit with the BF.  Thanks, Meatloaf Bakery!",0.9167,0.697,0.303,0.0,0.55
2014-06-24,1.0,"My job has a pretty cool set-up going where they have food trucks come directly to our parking lot a couple times out of the month. The building (at least) has about 200+ people in it and alot of people get excited for these days.... with that in mind... The Meatloaf Bakery brings their food truck to our lot (they were about 45 minutes late from their scheduled time- which is crucial when you have a lunch break) , people start to line up to get their food... except by the time the first 5-10 people had ordered THEY HAD NO FOOD LEFT. How is it possible to run out of food after 5-10 guests all buying 1-2 things each? I was probably 8th in line and getting cold meatloaf to heat up myself was the only option left for me-- so I bought ""the mother"" and a whoopie pie-- WAY OVERPRICED-- For $13 I could have gotten warm food that actually filled me up and I enjoyed. Take-a-ways: If you dont care how much you are spending on mediocre food then go for it, but if you are looking for something that is quick, reasonably priced, and convenient-- this is NOT the place to get it. WHY would someone who is buying from a food truck want cold meatloaf?",0.6224,0.932,0.05,0.017,0.6492063492063491
2014-05-13,4.0,"I bought the groupon for this place after wanting to try it since it first opened. I was finally able to pop in a few weeks ago and was pleasantly surprised. The staff was super helpful in answering my questions and I finally settled on the mother loaf, the MACnificent and the herby turkey with a side of yukon smashers. Everything was delicious but at the price tag ($9 per cupcake), I'm not sure how often I will be coming back. I know they have the smaller loafies but they looked so tiny, I am not sure how you would get a whole meal out of them.  This isn't really a sit down restaurant btw. The people in line behind me seemed confused by the lack of seating here - there was maybe two high top tables.",-0.0992,0.833,0.089,0.077,0.5648245614035087
2014-04-16,2.0,"I wanted to love this place but out of the 4 ""cupcakes"" we had I only liked 1. The prices for them were a little ridiculous... $9 for 1 meatloaf cupcake.  The mother loaf- it just wasn't that good for a traditional meatloaf Herby turkey loaf- didn't have any flavor. The cranberry sauce that came with it was good though.  Loaf-a-roma- great concept but the meat was flavorless and the spaghetti was all crunchy after heating it up (which you have to do at home because they're all cold at the store) No buns about it burger loaf- was the one that I did like. It had good flavor and the mashed potatoes on top were very tasty!  From their side dishes I had the veggies which didn't have much flavor, the garlic mashed potatoes which were good and the cheesy mashed potatoes which were even better!  Overall I would've give them another chance and tried some other ones but their prices are too high to go back!",0.8857,0.787,0.132,0.082,0.5816666666666666
2014-04-11,5.0,"Crazy concept, but perfectly executed. I randomly stopped here this afternoon for a snack before a late dinner. My girlfriend and I split a mother loaf and it keep me content 9:30pm. The sauce was excellent. I will be back.",0.8689,0.668,0.242,0.09,0.6666666666666666
2014-03-08,5.0,I went back again and I have to upgrade to 5 stars. I received the most unique Thanksgiving inspired loafie along with 2 others and its only $5.99 for 3. They are very rich and I think they are definitely worth the money. This is my new lunch spot!,0.9052,0.761,0.239,0.0,0.5756493506493506
2014-01-31,4.0,"I was fortunate enough to walk past the Meatloaf bakery food truck last night on my way home. I took the herby turkey home and split it with the hubs. WAAAAYYYY better than expected! Delicious, moist, layered with flavor. The stuffing on the top was also moist and the cranberry sauce that accompanied the cupcake was not too sweet. I will have to keep this place in mind the next time I want to order in food!!!!",0.8831,0.805,0.165,0.03,0.45666666666666667
2014-01-31,2.0,"Tried this for the first time the other night. I knew the look of menu items since I'd stopped by the store a few times to peek in. It's a cute concept and the food looks well thought out.  However,   I think the price point is waaaay off here. I liked the mother loaf and thought it was tasty.  But that sauce/gravy was really lack luster.  It was in need of seasoning and flavor. I From the  look of it,  you' d think it was a rich reduced stock that's going to be heaven,  It wasn't.  The mashed potatoes,  had nice texture but again,  lacked seasoning.  It's one thing to see these ""cupcakes"" show cased in the bakery window and how cute it all looks and quite another when you spend too much money for sub par food.",0.8898,0.864,0.113,0.023,0.5758333333333334
