date,star,text,compound,neutral,positive,negative,subjectivity
2017-02-09,1.0,"Awe, its closed. Heard good things about it so I thought I'd stop in. I guess I missed a good thing.",0.2815,0.554,0.247,0.199,0.4333333333333334
2016-05-29,2.0,"I got the duck ramen. It was a bit blend, meh. I was expecting some flavorful ramen soup. The pork taco had good texture but too dry. They tried to add multiple layers of flavor their but it didn't bring out enough of it...A little bit sauce would help too...service was delayed..hard to find a good ramen spot in Chicago",0.8481,0.832,0.15,0.018,0.46666666666666673
2016-05-15,4.0,"My second time trying ramen, and it was delicious. Actually, the first time also happened to be at this place about a year ago... And, well, they've improved a lot C: I ordered Tsukemen ramen. The flavor is well composed and noodles are sooooo good. Also, maki are incredible (I ordered Shrimp Tempura maki). Kushikatsu are interesting. The stuff is nice and attentive. The inside decor... Well, probably unforgettable. Some people may not like it, but I think it's even cozy, in a strange way. The only reason why I put 4 stars is the music...",0.7903,0.81,0.151,0.039,0.6333333333333334
2016-05-05,4.0,This place is definitely interesting. The ramen is not what I'm use to but it is unique. You can't assume all ramen taste the same. I got the Ahiru ramen and the tonkotsu ramen. I preferred the tonkotsu a little more. Ramen : 3 stars I got the bears and bliss signature sushi rolls which I was impressed. Both were really delicious. I would probably come again for the sushi. Sushi: 4 stars,0.9606,0.762,0.238,0.0,0.703125
2016-04-18,1.0,I saw a roach on the wall as I waited for my food. I had to watch it crawl all around the store for 10 minutes. I could barely stomach the food when I got home.,0.0,1.0,0.0,0.0,0.1
2016-04-18,5.0,"Saw this place near the train and finally stopped in. Really good ramen! As a vegetarian the veggie ramen options aren't always the greatest, but the vegetarian ramen here (yasai ramen) was one of the best I've tried from anywhere so far. Lots of crazy and cool mushrooms in it. My boyfriend ordered a ramen with pork and didn't think it was the best he's ever had but did think it was very good. We also tried the sweet potato kushikatshu, which was also really tasty. We noticed the place smelled strongly of bleach when we walked in...guess that means it's clean though right? It's very bright white inside which I thought was fine. Service was good - our waitress was friendly and helpful. Overall very tasty and convenient ramen. Stop in!!",0.9929,0.648,0.296,0.056,0.57495670995671
2016-03-27,1.0,"This is the worst meal I've had in memory.  Silly adorned sushi that is squishy, crunchy, and uninspired.  The environment can only be described as bizzare.  Don't go here.",-0.4939,0.788,0.088,0.124,0.96875
2016-03-24,5.0,This place was so good!! The waitresses were attentive and informative. They are also open for a long time. They also gave me and my sister a complementary vegetarian sushi rolls which were also really good.  Only negative is the atmosphere and interior  If you're in the mood for ramen or sushi this is the place to go!,0.6592,0.811,0.128,0.061,0.6285714285714287
2016-03-21,5.0,"I had a really nice bowl of ramen here tonight. The place is unique inside with what I think is giant tiles but could have also been concrete board. Also, there are enough LED strips to land a plane. Either way, the food and service is well worth the visit.",0.7224,0.859,0.141,0.0,0.65
2016-03-08,3.0,I tried the Tonkotsu ramen since it is usually a good way to judge a ramen place. It was good but not great. It is cheaper than other ramen places I have visited but I think that comes through in the quality.,-0.3697,0.803,0.092,0.105,0.58125
2016-03-05,3.0,"Tokatsu ramen was good. I love the pork. Came back again to order Set A (from the togo menu) the girl who picked up the phone said ""Set A for dine in only"". Im confused. Why you put Set A on the togo menu if it made for dine in?",0.7003,0.821,0.135,0.044,0.5800000000000001
2016-02-22,2.0,Pretty bland. Not really worth the hype and NOT really authentic. The food is bland and the quality isn't there. The staff isn't even Japanese. Nothing worse than going to a Japanese restaurant and having the entire staff speaking in Cantonese. It would be one thing if the food was on par but it wasn't. Sorry it was pretty weak. Anywhere is probably a better place to go than this if you want real ramen.,0.7737,0.76,0.171,0.069,0.5833333333333334
