date,star,text,compound,neutral,positive,negative,subjectivity
2015-04-17,4.0,"They're closing April 24. That's a damn shame because Max's Wine Dive is great. I'd review it further, but there's really no point. If you go, be aware they've slashed their wine prices down to insane levels to help liquidate* their inventory. * Pun intended.",-0.7131,0.653,0.111,0.236,0.4981481481481482
2015-04-16,5.0,"I've passed by this place a few times, but usually bypass it for native foods cafe next door (I'm not a vegetarian, but some of my best friends are! wink). I finally went for dinner and was really pleasantly surprised by how good everything was! Got the mussels to start. The broth and bread were delicious and flavorful. We had to ask for more than the two texas toast size pieces provided, and our server happily obliged. I probably should've thought about that a little more since I ordered the fried chicken sliders which came on similar delicious toast! The sliders were amazing. I ended up not eating most of the buns/toast they were on, but there was a delicious honey drizzle under the buns that was great for sopping the chicken. Very light breading and excellent flavor to the chicken and a really good amount of chicken (3 sliders) for $12. I think this is listed as an appetizer, but it could easily be a full meal (even without my gorging on the mussels).  The wine was also a great deal. Though we finished our ($9!) bottle of malbec, you can take wine to go, and there is a wide range of prices for wines by the glass and bottle--but with prices $7 and up for bottles, who's getting a glass? I'm eager to head back for brunch sometime soon and would highly recommend this spot to any fried chicken or wine enthusiast.",0.9981,0.723,0.277,0.0,0.6677419354838708
2015-04-15,4.0,"I've been here twice - once for dinner and once for brunch with a GILT city deal.  Both were good experiences. Both times I got the fried chicken. (They also have a gluten free fried chicken available which surprised me). The fried chicken is delicious - crispy, without too much breading and very moist.  The jalapeno in the batter gives it nice balanced flavor.  It was a heaping portion that I just couldn't get through it, but it made good leftovers.  It came with collard greens which were okay but I preferred the breakfast potatoes.  The atmosphere is okay - it does have more of a ""chain"" vibe that seems a bit out of place for the neighborhood. Service was good both times.  Our waitress was knowledgeable about wine and the cocktails.  Their wine list is pretty big.  Their bloody mary for brunch had a nice kick to it (and comes with a fried chicken wing).  Note: Sadly, Max's Wine Dive is set to close by the end of the month. Kudos to the staff for still bringing their A-game.",0.9726,0.787,0.174,0.039,0.7136363636363636
2015-04-14,5.0,"I just heard this place is going to close, and my heart broke. I loved all 3 of my visits to Max's Wine Dive. The first was with a friend, and he ordered the fried chicken. It was so amazing, I was jealous even though my sea bass dish was also very good. I brought my fiance here the second time, and we both got the friend chicken and were not disappointed. My third visit was with my bachelorette party as I knew this place could handle a party of 12 on a Friday night easily in Wicker Park. I'm so sad to hear it is closing, it will be missed!",0.9497,0.683,0.223,0.094,0.6497222222222222
2015-04-13,5.0,"I just realized I've never reviewed MAX's! Anywhoo, I've been a few times and decided I really really like it! It's just a really fun atmosphere, laid back, but still really good food and wine.  We came on a Thursday and they had $5 sparkling wine, yum! Sign me up! (You know the next day I regretted this decision, but at the time it was great, haha) We had the fried brie, really good; The friend chicken sliders, sooo sooo sooo good. I have been thinking about how I might pop in for take out of these sliders in the near future; the stuffed peppers, I also really enjoyed these; the gnocchi, yum! and the pork shoulder, also really good.  You should definitely stop into this place, it is a great neighborhood spot. Totally approachable, but with great food and wine. Love this spot!",0.996,0.636,0.331,0.033,0.47375000000000006
2015-03-31,4.0,"This place is pretty solid, decent wines at good prices, and rich homely foods to fill your belly with. I never though champagne and fried chicken would work so I had to try it. It really does! I don't know why, buts it's awesome! Decent service and a good beer selection as well. Not too many vegetarian options though. I will probably be back with the guy friends.",0.969,0.675,0.301,0.024,0.5861111111111111
2015-03-27,4.0,"Since when were brussel sprouts considered 'cool'? I don't know, but my spare rib breakfast hash came loaded with the nasty bastards.  Smelly, bitter, and not at all tender, so what in pluperfect hell were they doing in my skillet dish?  GET 'EM OUTTA THERE!  Fo realz, yo.  Apart from those green spheres of grossness, the rest of it was delicious.  Two eggs sunny side covered a bed of wonderful spare rib meat, which sat atop crispy breakfast potatoes.  $15 was a little steep for my liking, but I ate the dish with fervor. My brunch companion ordered the Scooby Doo, which were chocolate chip pancakes with a dollop of marshmallow fluff and sprinkled with graham crackers.  She proclaimed it delicious (but how could it not be?) and it was something like $11. The mimosa bar was very cool indeed: $5 got you a glass of champagne + grapefruit juice (as opposed to the normal orange juice) and a candy buffet to accompany it.  They had gummy bears, Peach-O's, Twizzlers (bite off the end and use it as a straw!), candied watermelon pieces and a few others to add to your mimosa. Our server, Claire, was genuine and attentive.  They featured some very spiffy wall art and had a 'retro' brunch going, with cartoons showing on their TV's and they had out toys like Connect4 and Hungry Hungry Hippos.  I was a huge fan of this, since I grew up with these un-board games, and I totally kicked Caty D's ass at a highly competitive game of Don't Break The Ice (needless to say, she broke the ice). Saturday brunch for two (1 drink, 2 entrees) totaled $35 + tip, which was way more than I was planning on spending, but we both enjoyed the experience.  The brussel sprouts almost ruined my dish, though.  Almost.",0.8932,0.756,0.14,0.104,0.651590909090909
2015-03-24,4.0,"Liked the concept, food was very good.  I do wish the service was a little better, maybe someone could have recommended a great glass of wine, instead I got the mediocre house red wine which was just blah... Can't wait to try the brunch!",0.9498,0.657,0.343,0.0,0.6185714285714285
2015-03-13,4.0,"This little neighborhood spot is perfect if you want to have a pretentious glass of wine without feeling toooooo pretentious. The selection is extensive and the options are solid depending on your tastes. The retail options and prices are fantastic as well. I will say that the food is a little heavy for me across the board and it's a bit to pricey to label itself a 'Dive', but as a once in a while drunk odyssey through vineyards, both foreign and domestic, it's a darn good time.",0.7364,0.811,0.141,0.048,0.542948717948718
2015-03-10,3.0,"Was underwhelmed by this place. Atmosphere was ok and the wine was decent, but I was disappointed in the food. I had the fried chicken sliders and the short rib and gnocchi. The fried chicken was juicy but not a ton of flavor. The short rib dish felt like there was no short rib. It was mixed into the sauce, so it just got lost with all the other flavors in there. I don't think I'll be back.",-0.7227,0.824,0.058,0.118,0.48560606060606054
2015-03-02,4.0,"Fried chicken, collard green, mashed potatoes and WINE? Is this my version of heaven? It just might be. I couldn't resist checking out Max's wine dive during restaurant week because on any given day, there is a 90% chance I'm craving southern food. I was not disappointed. The portions were generous, the service was speedy, and my friend loved everything on her tasting menu.",0.956,0.747,0.253,0.0,0.5599999999999999
2015-02-28,2.0,My fiance and I met here for brunch. I'll have to say I was not impressed. The service was lacking. It was awhile after we sat down before we even found out who out waitress was. My fiance ordered the pizza bagel. 11$!! For a bagel with cheese on it. Dunkin donuts has way better bagels than this.  And I got the burger and it wasn't really bad but why was my medium cooked burger like chewing rubber? And the server was not doing he rob very well.  The manager ended up giving us half off the pizza bagel. But needless to say. Also I have never written a yelp review until this experience.  We will not be returning to this place.,0.9443,0.847,0.139,0.014,0.5603174603174603
2015-02-26,4.0,"I've been several times with my husband and once with a girlfriend now.  I love the ambiance and the service is always great.  I love that they can joke around and be fun AND pay attention to how we as a table are progressing through our dinner and not focus on pushing us through and turning the table over.  I like the philosophy of commit to two glasses and we will open the bottle for you and everything I've tried has been delicious, with one exception - I'm not a super fan of the sweets.  But that is OK because there's an abundance of other yummy items to focus on and I feel taken care of while I'm there.",0.9868,0.678,0.276,0.046,0.5191666666666668
2015-02-24,4.0,"Avoid the bar at Umami burger next door (however available and cool it may make you look, their cocktails taste like cough syrup) and go to Max's for drinks or post-brunch drinking. $5.25 mimosas, enough said. Also, you might want to sit at least three tables away from ultra loud Sex-in-the-City style girlfriend hangouts. Many classic awkward dates to witness on weekends. 5/5",0.3182,0.854,0.09,0.056,0.4907407407407407
2015-02-22,4.0,"(3.5 stars) Good food, atmosphere, drinks (Irish coffee and mimosa), and service.  Expensive food, atmosphere, drinks, and service; over-priced, even.  I had the standard mimosa (nothing to write home about) and an Irish coffee (more of the same). Both pretty good, not pretty great.  The food was a nice step up though. I had the burger, and my fiancé had the caramelized apple oatmeal. Mine was pretty good, and hers was great. We also had a piece of the chicken that was out of this world.  The customer service was what really blew me away. The waitress actually suggested the less expensive entree because she liked it better. That made me feel good about what I ordered.  All in all, a good place every now and again. Just a tad pricey.",0.9751,0.739,0.217,0.044,0.5475694444444443
2015-02-18,4.0,"I never give any place five stars cause there's always something BUT I gotta say this place comes close. The aesthetic and ambience is spot on from custom exposed brick, an open kitchen concept, and fantastic wall art.   The staff is friendly and clearly trained on wine and food description. I never had an empty glass :)  and they recommended great wine pairings based on my preferences and the food I had ordered.  Speaking of the food, it's delicious--savory bread pudding what?! My only complaint is that I was by myself and couldn't try more. Southern comfort food and wine pair together terrifically--who knew? The wine somehow classes up the food genre and the food brings something out of the wine that can't be accessed with a standard cheese plate.  No patio and the staff wear stupid shirts- but whatever.  GO HERE- great change of pace from the rest of wicker in Milwaukee and it's appropriate for any occasion from parents to romance to a girls night.",0.964,0.815,0.148,0.037,0.5655555555555556
