date,star,text,compound,neutral,positive,negative,subjectivity
2015-06-12,5.0,Amazing. One of the best vegetarian restaurants in the Chicago area. Food is always fresh and service is great too.,0.9371,0.526,0.474,0.0,0.6125
2015-03-01,4.0,"This place has closed down which is a shame ..  Karyn  - Open up a small place , slightly toned down, somewhere in Lakeview  I am sure you will see better results !",0.3382,0.736,0.169,0.095,0.3916666666666667
2015-02-24,5.0,"I went to Karyn's on Green for brunch lately and it was EXCELLENT.  Of course, everything is vegan, even the stuff that doesn't sound like it should be.  My wife and I had two entrees, which were delicious.  The coffee and ""flowering tea"" were excellent.  And it wasn't crowded... highly recommended for Sunday brunch.",0.8724,0.749,0.189,0.062,0.6914285714285714
2015-02-22,5.0,"Absolutely love this place. The décor, the ambiance, the alcohol and of course the amazing food. A great place to take a date or meet up with a friend. Honestly do not know how you could be disappointed in this place. It just rocks it's so good.",0.9649,0.593,0.358,0.05,0.75
2015-02-22,2.0,"We came for brunch, first visit.  I am vegetarian and have been looking forward to trying this out.  The location and decor are very pleasant.  The service was also attentive and polite.  Unfortunately, the brunch was a huge miss.  Quite simply, the food was pretty terrible.  The pancakes tasted of uncooked batter and were less than average considering the price.  My companion had French toast. Some of it was burned some was undercooked and soggy.  The compote with the dish was disappointing as well.  Neither of our dishes were flavorful or highlighted the possibilities of a vegan restaurant.  I won't go back.   While I cannot speak for lunch/dinner options, given how the simplest dishes for breakfast were done so poorly I wonder where Karyn's went wrong.  Overall food was pretty sad considering what good reviews this place has received on yelp.",0.2006,0.784,0.11,0.105,0.5928571428571429
2015-02-15,5.0,"Great upscale version of Karyns in Chicago. Completely vegan menu, great breakfast food (pancakes, waffles) kale salad, and raw burrito. They also have delicious cinnamon rolls. Highly recommend for food lovers of all types in Chicago. If you want a more causal version of karyns, try one of the other locations as this one is pretty fancy",0.9714,0.682,0.318,0.0,0.6418376068376068
2015-02-15,5.0,Five Stars to Stella and the rest of the waitstaff! I have been dining at Karyn's for brunch the past few months and have never had a bad experience. The chocolate chip pancakes are to die for!,-0.3887,0.818,0.071,0.111,0.33888888888888885
2015-02-14,3.0,"We went here last year for valentine's day and had a wonderful time, the food and service were great. We've been back a few times after with the same result so we thought we'd do valentine's again there this year. Unfortunately, both the food and service were not good this time.  We ordered the prix frixe for $55 each.  Nothing was spectacular but some was worse than others. The beet soup tasted like chilled nothing. I left the bowl full. My partner had the tomato soup which tasted like blah marinara he left his half full. The server upon seeing that we barely touched our soup said nothing as he removed the bowls and placed down the salads.  My salad was OK but my partner had the frisse salsad he did not like it and neither did I. The dressing tasted like chalk. When the server asked how everything was we spoke up this time saying that the frisse salad was not good. He offered to bring more dressing. The red velvet cinnamon roll was great! I got the chocolate mousse which was lumpy and barely tasted  like chocolate.  This would be the third thing that went uneaten in our 5 course meal.  Again we told the server and again he acted like there wasn't much he could do about it.  The servers ambivalence toward our displeasure at the food was not his only struggle in serving. Now to be fair I worked in fine dining as a server for several years and he was young. This may be his first serving job. There were only two of us and each time he brought the food he had to ask who had what. My partners glass of wine was empty through two courses and he was asked ""are you doing OK with wine?"" (The glass was empty) he didn't buss any of our plates until the next course was brought. He dropped the check with a full dessert that we had said we didn't like and only cleared it when we asked  to have room to finish our drinks. The seat I had faced the bar and the dirty dishes continued to pile up and in the middle of our dinner an overflowing trash can was dragged by us.  We spent $150 for valentine's day dinner two hours ago and are at home now waiting for a pizza. This is a shame. If we hadn't had such a great experience in the times prior it would have been 1 star.",0.9877,0.826,0.122,0.052,0.42683080808080814
2015-02-10,4.0,Great healthy vegan lunch options!  I got the vegan burrito and it was delish. it also came with some perfectly flavored kale chips :),0.9359,0.571,0.429,0.0,0.8125
2015-02-06,4.0,"Great vegan restaurant. Went there with my family and we had a chance to check out many different options on the menu. The butternut squash soup was amazing as was the soup of the day. Enjoyed the Brussel sprouts and the buffalo mozzarella fried was so unique. We had the tempeh in a salad which was well flavored and enjoyed great dessert options. The brownie desert was good but could have been more moist and have more ice cream on top. The place has a nice ambience, and I would consider it good for small groups or date night. It's pricey for sure, but I think well worth it.",0.9826,0.723,0.277,0.0,0.64640522875817
