date,star,text,compound,neutral,positive,negative,subjectivity
2016-02-04,5.0,"I am DEVASTATED. Their Cheddar Bisque was like spicy liquid gold, I've dreamt of it on multiple occasions. I've scoured the Internet for a comparable recipe, to no avail. I've tried to find the woman who owned it online so I could DM her in an attempt to obtain the recipe, and all I found were Internet tumbleweeds. Cheddar Bisque...we'll always have the memories. There will never be another one quite like you.",-0.4466,0.845,0.065,0.09,0.0
2015-07-01,5.0,"I was assuming this place was probably about to close, since whenever I passed by here the last few months(I live only blocks from here), I saw it open less and less. Once I saw an article on one of the local blogs that the owner was trying to sell the bar for $725,000, I knew that was a sign the owner was looking to move on. Also recall seeing a sign about a month ago that they were open, but not serving their food menu. :( At least I did get a final visit in very early in the year, before they started to wind down operations. Also wouldn't be surprised if competition from nearby bars and places, was starting to hurt their business. RIP, Edgewater Lounge. I will miss you!",-0.92,0.892,0.0,0.108,0.4299305555555556
2015-06-07,1.0,Ok..the Edgewater Lounge is officially CLOSED..pending a sale...would not expect any new opening soon...,0.0,1.0,0.0,0.0,0.45454545454545453
2015-06-03,4.0,"I miss this place.  Nothing fancy but a great grilled cheese.  Whenever I am in Chicago, I always try to get back here. The prices are great, if not unmatchable in the area. The tap beer list is pretty impressive. The over vibe is relaxing.  This place is the epitomy of dive but I appreciate that about its charm. I want to go to a place where I can relax and just take a breather. The patio is nice especially on days when you need a little air in the city.",0.9919,0.626,0.362,0.012,0.75
2015-03-21,4.0,"This place looks like a dump. Both outside and in.  But don't be turned off by that, because you'd be seriously missing out.  They have a killer tap beer selection, especially if you like Rogue like I do.  And their food is off the charts.  Get yourself a jerk chicken sandwich and thank me later.",-0.4939,0.644,0.153,0.202,0.41
2015-03-13,4.0,This is one of the few places I know that serves good seafood and sausage gumbo. It's not much of a popular dish up north but when I'm craving it. I go here. They have outdoor seating and inside is your typical divy bar but with live music. I do enjoy coming here and will continue to do so.,0.6792,0.868,0.104,0.028,0.5166666666666667
2015-02-04,2.0,"I expected more from a dive bar...wait, that's kind of an oxymoron of a sentence.  Regardless, I've passed this bar to and fro work for a loooong time and from the outside I thought, hey, this place probably has a cool, chill, vibe, and a slow pace and cheap beers. On an unrelated note, my brother in law also thought the exact same thing about this place and was jealous to find out I went there. So the opportunity came up to meet friends halfway from Evanston and I quickly suggested this place and so we went. Disappointment ensued. The place smelled like farts, the bartender was rude and basically ignored us and wandered in back to do god knows what while we were there, then charged us WAY to much for drinks and when we asked for more water he basically pointed at a pitcher on the other side of the bar and was like ""over there"" I no longer wonder and hope about this place. This fart smelling, rude bartender, craphole can fade into oblivion, much like it's sign on the outside.",0.2298,0.785,0.112,0.103,0.3894736842105263
2015-01-22,1.0,"I've heard about the Edgewater Lounge for years and their great burgers, dive atmosphere, and 1/2 price burgers some night of the week.  On a whim we looked up what night was 1/2 price burgers and found on  chicagospecials.com  that Thursday night was it.  When we walked in tonight and the sign said $7 burgers, which didn't seem very half price to me, so when I checked with waiter, he said no specials but just standard burgers.  Bummed because we had left our neighborhood where we could have walked to a local joint for burgers and discounted prices, we decide to try anyway since we were there.  Waiter was ""in the weeds"" from the second we stepped in the door and we were the only table!  Not friendly at all.  When we asked what drinks they had that kids could order, he replied, ""Mostly a bunch of booze.  Usually we have root beer but we're out"" which led me to believe no sodas at all, so we ordered waters for kids.  Menu confusing as said $8 burgers, yet at bottom it said build your own burger for $6.  When I asked him what the difference was (weight or bun, etc.) he said none, but the menu was just confusing.  Once we ordered, heard lady next to us order a coke, so asked waiter if soda avail and he said sure, so ordered 2 sodas for kids.  We ordered 3 burgers, an order of onion rings, 2 sodas, and 2 beers for 4 people.  Onion rings brought out first, and food didn't come for another 20 minutes.  Onion rings tasted mostly of oil.  Once fries came with the rest of our dinner, they tasted like the oily onion rings too, but burgers were fine.  Bottom line, did NOT live up to expectation and ended up with over a $50 tab for what I had planned as a cheap, quick dinner out with the kids.",0.829,0.92,0.052,0.028,0.42566137566137574
2015-01-08,4.0,"The reviews are hot and cold.  We went on a good day, apparently.  Great beer selection, GREAT food menu given the price.  I'll keep it simple; try it out if you're in the area.",0.9158,0.717,0.283,0.0,0.7178571428571429
2014-12-12,1.0,"This place is the worst! I've been coming to this location for 20 years.... And it has gone so downhill in the past 5 or so.  Last time I was here (in April or May... Because I avoid it) the waitress spilled water on my iPhone and my husbands burger. She scolded me that I should  ""not be texting at the table"" and never once apologized. She messed up almost every meal (mind you I was with a group of about 10, very easy going and frequent customers). She was inattentive and rude. Then tonight, I decide to try again. The ""waiter"" literally threw menus at our table and was unbelievably dismissive and obviously unhappy. Did not acknowledge any of our questions, pleases, or thank yous. I believe he was actually the bartender but didn't know what was on tap. Two of the meals came out 15 minutes before the other 2. It was the most unprofessional service I've ever experienced. Only one of the four meals ordered was correct. Not difficult orders... Just burgers and one fish and chips. To boot, the burger tasted.... Funky. I won't get into detail but I didn't trust it and do not feel too hot now. Ate 1/4 of it and left.  Lesson learned. Please get new management and/or staff who are friendly and at the very least semi-competent and food that isn't always a little off. This location is too great to waste!",-0.8026,0.818,0.071,0.111,0.5711914600550965
2014-12-11,4.0,This place is Great!   The people there are SO nice and accommodating!  They can make food just about any way you need it - which for me is important due to allergies.  I have only gotten to go orders but I will go there for drinks when I get the chance because they are so darn friendly!,0.9254,0.769,0.231,0.0,0.7708333333333334
2014-11-02,5.0,I love this place because it's open super late! It's a great place to hang out in the neighborhood with friends! The staff is really friendly and the price ain't bad for a good time.,0.9675,0.504,0.448,0.048,0.6104166666666666
2014-10-29,5.0,"I've walked and driven by the Edgewater Lounge many times, but never tried it out till last night.  I'm very glad I did.  I enjoyed a delicious grilled ham and cheese sandwich and two craft beers for a mere $18 before tip.  Quite a good deal.  The bartender was very friendly, the music selections were eclectic yet cohesive, and I loved the dark wood and classic neighborhood bar ambience.  I left thinking that this is what a bar should be like; glad it's only 3 blocks from my house.  I look forward to returning soon.",0.9899,0.662,0.317,0.02,0.5988095238095239
2014-05-27,2.0,"I've been going here for three years but after my experience a few days ago, I think I can find something better. We would go here for the good burgers and interesting beer selection but now I realize they never change what's on tap or they run out of everything on their list. The service was horrendous and I'm not a person to complain about service. My burger was wrong, I'm pretty sure we were over charged for our burgers, and then the waitress argued with us when we told her we had one less beer than she charged us for. Why would you argue with your customers over a beer? She tried to blame us for beginning our tab at the bar when I tried to imply it would be ok for her to close it if it was too confusing for her. We've had better experiences there but there are plenty of better places in Andersonville and Edgewater to get a good burger.",0.8993,0.695,0.178,0.128,0.5427350427350427
2014-05-22,3.0,This is a really solid neighborhood bar.  The food is great--tonight I had the yummy gumbo.  A nice selection of mainly American craft beers.  The service is about as good as it needs to be for a divey place.  Outside seating is pleasant.,0.923,0.704,0.296,0.0,0.4527777777777778
